,federated_male,federated_female,tuple,hermes_male,hermes_female,inc_male,inc_female,average_male,average_female,male-female
53,-2.4016454,-2.2689571,"('uncreative', 'creative')",-0.38794035,-0.112411276,0.8673866,0.83022356,-0.6407331,-0.5170483,-0.1236848
8,-2.3555303,-2.2292223,"('unaffectionate', 'affectionate')",-0.83366925,-0.7445352,0.252888,0.5584113,-0.9787705,-0.8051154,-0.1736551
1,-2.1342282,-1.9470681,"('unfriendly', 'friendly')",0.5132475,0.6010708,1.5684781,1.7629504,-0.0175009,0.1389844,-0.1564853
31,-1.9139338,-1.8161263,"('evil', 'good')",-1.5196006,-1.4491343,-1.6600447,-1.3805674,-1.6978598,-1.5486094,-0.1492504
67,1.7416978,1.779874,"('doubtful', 'determined')",-0.02994573,-0.03255355,-0.41955754,-0.23315057,0.4307315,0.5047233,-0.0739918
39,1.7056198,1.6852844,"('exploitative', 'cooperative')",2.3021383,2.2338655,0.121701136,0.16653506,1.3764865,1.3618949,0.0145916
56,1.6776466,2.0001056,"('impractical', 'practical')",2.7280388,2.8924112,0.21052551,0.31973603,1.538737,1.7374177,-0.1986807
16,-1.511238,-1.4907696,"('unpopular', 'popular')",-2.1106086,-2.0237722,0.15627043,0.18253008,-1.1551921,-1.1106706,-0.0445215
86,-1.4968746,-1.5677007,"('uninfluential', 'influential')",1.6202173,1.5045971,-0.17023899,-0.39091235,-0.0156321,-0.1513387,0.1357066
9,-1.4694803,-1.3560598,"('unaffectionate', 'caring')",0.22284794,0.25584123,0.895591,1.085086,-0.1170138,-0.0050442,-0.1119696
6,-1.3453757,-1.2309896,"('distant', 'open')",-1.0268595,-1.066013,0.0795584,0.38059273,-0.7642256,-0.6388033,-0.1254223
82,-1.3249569,-1.1750386,"('poor', 'rich')",-0.11789891,0.14891982,6.5865607,6.572881,1.7145683,1.8489208,-0.1343525
18,-1.287371,-1.2806095,"('disagreeable', 'welcoming')",-0.25454473,-0.20439798,-0.6213338,-0.5842301,-0.7210832,-0.6897459,-0.0313373
27,-1.2751962,-1.4166248,"('hardhearted', 'softhearted')",0.30612218,0.20664707,1.337583,1.1859436,0.1228363,-0.0080114,0.1308477
61,-1.1997203,-1.0168494,"('illogical', 'logical')",1.0639389,1.0727769,-0.055841636,-0.105737604,-0.0638743,-0.0166034,-0.0472709
73,1.161779,1.2704675,"('helpless', 'self-reliant')",0.9975758,1.0179112,-3.5445237,-3.4492774,-0.4617229,-0.3869662,-0.0747567
25,-1.0979348,-1.0416406,"('egoistic', 'altruistic')",-0.62818867,-0.6152188,0.93659127,1.1957752,-0.2631774,-0.1536947,-0.1094827
48,-1.0931659,-1.1620983,"('unintelligent', 'intelligent')",0.99787617,0.94178665,0.4908623,0.3078588,0.1318575,0.0291824,0.1026751
68,-1.069473,-1.1356407,"('dependent', 'independent')",0.35502133,0.3096848,-0.6658498,-0.8449281,-0.4601005,-0.5569613,0.0968608
29,-1.0372733,-1.0367588,"('unfair', 'fair')",-0.7715127,-0.8526654,-0.6348078,-0.6059597,-0.8145312,-0.8317947,0.0172635
78,-0.996439,-1.1149315,"('nonresilient', 'resilient')",-0.11603704,-0.21570389,0.17080985,-0.1946919,-0.3138887,-0.5084424,0.1945537
85,-0.9340867,-0.97292584,"('insignificant', 'prestigious')",-1.641173,-1.7890908,-0.4341667,-0.03782572,-1.0031421,-0.9332808,-0.0698613
22,-0.9090419,-0.8322464,"('untrustworthy', 'trustworthy')",-0.1821773,-0.21224636,-1.1288334,-1.2129608,-0.7400176,-0.7524845,0.0124669
54,-0.89495236,-0.8172085,"('incapable', 'capable')",-0.40555552,-0.5113132,0.8719712,1.0025828,-0.1428456,-0.1086463,-0.0341993
57,-0.8815072,-0.8285419,"('unimaginative', 'imaginative')",0.20927669,0.23385537,-2.4318163,-2.5976994,-1.0346823,-1.0641286,0.0294463
80,0.87782806,0.63568175,"('dominated', 'dominating')",0.7702069,0.7454198,-1.2403952,-1.4750636,0.13588,-0.0313207,0.1672007
45,-0.8732947,-0.6892034,"('incompetent', 'competent')",1.4922507,1.4940592,-0.24221413,-0.39256155,0.1255806,0.1374314,-0.0118508
