,allergan_male,allergan_female,tuple,plc_male,plc_female,average_male,average_female,male-female
1,-1.8885683,-2.2315793,"('unfriendly', 'friendly')",2.0335786,1.7447165,0.0725052,-0.2434314,0.3159366
53,-1.8729746,-1.9911387,"('uncreative', 'creative')",0.82690316,0.70865846,-0.5230358,-0.6412401,0.1182043
86,-1.6972221,-1.964281,"('uninfluential', 'influential')",0.26772887,0.24627866,-0.7147466,-0.8590012,0.1442546
10,-1.5425336,-1.590738,"('unsympathetic', 'sympathetic')",-0.35722944,-0.17729457,-0.9498816,-0.8840163,-0.0658653
44,1.3821839,1.4852555,"('prejudiced', 'unprejudiced')",-1.5290213,-1.4496764,-0.0734187,0.0177895,-0.0912082
63,-1.323216,-1.3988446,"('unperceptive', 'insightful')",0.9810208,0.9910152,-0.1710976,-0.2039147,0.0328171
19,-1.3176149,-1.4497643,"('inhospitable', 'hospitable')",-0.724038,-1.0152141,-1.0208265,-1.2324891,0.2116626
77,-1.2517283,-1.111721,"('unmotivated', 'motivated')",-1.1789237,-1.019504,-1.2153261,-1.0656126,-0.1497135
51,-1.2378994,-1.2771343,"('uneducated', 'educated')",-0.07442701,-0.09356888,-0.6561632,-0.6853516,0.0291884
23,-1.2346551,-1.1758487,"('insincere', 'sincere')",3.877148,4.0905237,1.3212464,1.4573375,-0.1360911
21,-1.1650229,-1.1693376,"('immoral', 'moral')",-1.2079313,-1.0625457,-1.1864771,-1.1159416,-0.0705355
82,-1.1339638,-1.2475123,"('poor', 'rich')",3.739015,3.7297146,1.3025256,1.2411011,0.0614245
69,1.1018215,1.214593,"('lazy', 'industrious')",0.103829145,-0.16083317,0.6028253,0.52688,0.0759453
11,-1.0186576,-0.9567142,"('unhelpful', 'helpful')",0.8628438,0.9415839,-0.0779069,-0.0075652,-0.0703417
24,-1.0049648,-1.2597809,"('dishonest', 'honest')",0.36990196,0.37920478,-0.3175314,-0.4402881,0.1227567
16,-0.99741447,-0.90376145,"('unpopular', 'popular')",-0.35385072,-0.57452184,-0.6756326,-0.7391416,0.063509
73,0.9643104,0.9925173,"('helpless', 'self-reliant')",-1.8646547,-2.0133731,-0.4501721,-0.510428,0.0602559
0,-0.96179056,-1.1060401,"('unsociable', 'sociable')",-0.318241,-0.24944587,-0.6400158,-0.677743,0.0377272
48,-0.9576343,-1.0978653,"('unintelligent', 'intelligent')",0.013075246,0.05606748,-0.4722795,-0.5208989,0.0486194
9,-0.9513885,-1.0434508,"('unaffectionate', 'caring')",1.1526335,1.0026042,0.1006225,-0.0204233,0.1210458
80,0.94777644,0.9188247,"('dominated', 'dominating')",0.42362005,0.58482087,0.6856983,0.7518228,-0.0661245
61,-0.9116783,-0.9719277,"('illogical', 'logical')",0.9560106,0.9171659,0.0221661,-0.0273809,0.049547
13,-0.9047307,-0.9182683,"('impolite', 'polite')",-0.7397231,-0.600351,-0.8222269,-0.7593096,-0.0629173
27,-0.8707343,-0.93975806,"('hardhearted', 'softhearted')",0.4042449,0.24768224,-0.2332447,-0.3460379,0.1127932
37,0.83841705,0.9188583,"('fake', 'genuine')",0.6726611,0.6162574,0.7555391,0.7675579,-0.0120188
78,-0.8135563,-0.87162113,"('nonresilient', 'resilient')",0.9367022,0.79769045,0.0615729,-0.0369653,0.0985382
20,-0.78110856,-0.8537159,"('rough', 'thoughtful')",1.3057549,1.3011405,0.2623232,0.2237123,0.0386109
28,-0.7743354,-0.7040166,"('disloyal', 'loyal')",0.7503055,0.7983496,-0.012015,0.0471665,-0.0591815
64,0.7707665,0.7371762,"('shy', 'confident')",-4.244619,-4.198298,-1.7369262,-1.7305609,-0.0063653
57,-0.76915973,-0.9495594,"('unimaginative', 'imaginative')",-0.72714245,-0.7082525,-0.7481511,-0.8289059,0.0807548
88,-0.74999666,-0.728455,"('low', 'eminent')",0.081007496,0.058817916,-0.3344946,-0.3348185,0.0003239
54,-0.7130231,-0.6545734,"('incapable', 'capable')",0.339435,0.23469906,-0.1867941,-0.2099372,0.0231431
8,-0.6694981,-0.8640413,"('unaffectionate', 'affectionate')",0.8310271,0.5102742,0.0807645,-0.1768836,0.2576481
36,-0.6617978,-0.89776087,"('hostile', 'amicable')",0.85806835,0.43812406,0.0981353,-0.2298184,0.3279537
71,-0.6540667,-0.68776536,"('diffident', 'self-confident')",0.50265557,0.37582803,-0.0757056,-0.1559687,0.0802631
