,host_male,host_female,tuple,hotels_male,hotels_female,&_male,&_female,resorts_male,resorts_female,inc_male,inc_female,average_male,average_female,male-female
31,-2.920857,-4.2392097,"('evil', 'good')",-0.9349935,-0.93366224,-0.69742596,-0.43694827,-0.17222041,-0.23970142,-0.4472193,-0.6999192,-1.0345432,-1.3098882,0.275345
5,-2.9137516,-3.6574605,"('distant', 'outgoing')",0.21802288,0.067155875,0.30710447,0.56628513,1.6149586,1.5881428,0.46287683,0.27419138,-0.0621577,-0.2323371,0.1701794
6,-2.7270644,-3.599164,"('distant', 'open')",0.17120078,-0.11024176,0.33351767,0.52964634,1.3617172,1.2551118,1.2413503,0.79508126,0.0761443,-0.2259132,0.3020575
39,2.7191641,2.667673,"('exploitative', 'cooperative')",1.0600028,1.0016207,1.0106328,0.92611206,0.55691826,0.53215337,0.33379042,0.3565131,1.1361016,1.0968145,0.0392871
4,-2.2861726,-3.090055,"('disliked', 'liked')",0.097628,0.25866914,0.052097365,0.33751708,0.7404803,0.76816803,-5.986256,-5.7768884,-1.4764446,-1.5005178,0.0240732
13,2.190758,3.2737687,"('impolite', 'polite')",0.85443884,0.79865193,0.09387672,0.083487466,0.13069332,0.26218903,-0.50392526,-0.18274066,0.5531683,0.8470713,-0.293903
36,-2.0109084,-3.8630745,"('hostile', 'amicable')",-0.383935,-0.68734676,0.16314574,-0.011903122,1.0183154,0.7237156,1.039567,0.29054385,-0.034763,-0.709613,0.67485
14,1.9595113,2.9881709,"('antisocial', 'social')",2.7577946,2.9431539,1.0732319,1.1545495,1.312231,1.4286777,-1.1092343,-0.5367057,1.1987069,1.5955693,-0.3968624
80,1.9134562,3.3332117,"('dominated', 'dominating')",-0.409373,-0.14885429,-0.3021462,0.0018121451,-0.8872888,-0.5600479,-1.7458054,-1.3658849,-0.2862314,0.2520474,-0.5382788
76,1.8307549,2.9716136,"('anxious', 'daring')",0.8481809,1.0787644,1.094213,1.1258385,0.31169367,0.35953835,0.06355302,0.2465258,0.8296791,1.1564561,-0.326777
52,-1.712538,-3.2349844,"('irrational', 'rational')",-0.85518324,-1.1352022,-0.56368554,-0.6407588,0.3909178,0.0085881185,0.19913143,-0.3753691,-0.5082715,-1.0755453,0.5672738
55,1.6848634,3.7017715,"('incompetent', 'clever')",0.50472605,0.5251005,-0.11763807,-0.33281052,-0.5428089,-0.6902135,-0.39467347,-0.0684335,0.2268938,0.6270829,-0.4001891
19,-1.6212132,-2.449256,"('inhospitable', 'hospitable')",-1.5673667,-1.7640595,-0.6455614,-0.65548044,-1.0643514,-1.2442499,0.38687167,0.021100488,-0.9023242,-1.218389,0.3160648
