,newmont_male,newmont_female,tuple,corp_male,corp_female,average_male,average_female,male-female
1,-2.1485734,-2.2211397,"('unfriendly', 'friendly')",1.5901551,1.3998348,-0.2792091,-0.4106525,0.1314434
73,2.0807393,2.1077096,"('helpless', 'self-reliant')",-2.9216986,-2.8909602,-0.4204797,-0.3916253,-0.0288544
86,-1.8754451,-2.0108397,"('uninfluential', 'influential')",-0.5239759,-0.57954836,-1.1997105,-1.295194,0.0954835
31,-1.5537906,-1.5827667,"('evil', 'good')",-0.6150124,-0.73769486,-1.0844015,-1.1602308,0.0758293
53,-1.3759121,-1.4069539,"('uncreative', 'creative')",0.35224414,0.24545084,-0.511834,-0.5807515,0.0689175
25,-1.1975652,-1.2574888,"('egoistic', 'altruistic')",1.3978786,1.3810937,0.1001567,0.0618024,0.0383543
8,-1.1628668,-1.2710463,"('unaffectionate', 'affectionate')",0.72209525,0.6351757,-0.2203858,-0.3179353,0.0975495
76,1.1381474,1.316722,"('anxious', 'daring')",-0.36625776,-0.22922602,0.3859448,0.543748,-0.1578032
77,-1.112952,-1.2012814,"('unmotivated', 'motivated')",-1.1105057,-0.97655284,-1.1117289,-1.0889171,-0.0228118
36,-1.0885584,-1.224128,"('hostile', 'amicable')",-0.05223043,-0.24011444,-0.5703945,-0.7321212,0.1617267
42,1.0848536,1.0739759,"('unreliable', 'reliable')",-3.0262113,-2.9917073,-0.9706788,-0.9588657,-0.0118131
6,-1.0719675,-0.85633385,"('distant', 'open')",-0.26725793,-0.34833768,-0.6696127,-0.6023358,-0.0672769
32,-1.0396711,-1.0283839,"('unkind', 'kind')",0.31887975,0.32270765,-0.3603957,-0.3528381,-0.0075576
44,1.0345075,1.1759123,"('prejudiced', 'unprejudiced')",-1.3715831,-1.4065546,-0.1685378,-0.1153212,-0.0532166
48,-1.0333608,-1.1622976,"('unintelligent', 'intelligent')",0.6913498,0.67895347,-0.1710055,-0.2416721,0.0706666
27,-1.0256599,-0.9632202,"('hardhearted', 'softhearted')",1.2439709,1.0670049,0.1091555,0.0518924,0.0572631
88,-1.0179889,-0.9976522,"('low', 'eminent')",-0.6434409,-0.6254866,-0.8307149,-0.8115694,-0.0191455
0,-0.98546356,-1.2023165,"('unsociable', 'sociable')",-0.027109038,-0.22646208,-0.5062863,-0.7143893,0.208103
9,-0.98386556,-1.0436522,"('unaffectionate', 'caring')",1.1389065,1.0697067,0.0775205,0.0130273,0.0644932
19,-0.9332082,-0.7573602,"('inhospitable', 'hospitable')",-0.66608244,-0.5485882,-0.7996453,-0.6529742,-0.1466711
78,-0.86663544,-0.8368203,"('nonresilient', 'resilient')",0.2892306,0.197466,-0.2887024,-0.3196771,0.0309747
14,0.8548976,0.8030109,"('antisocial', 'social')",0.16596021,0.11440086,0.5104289,0.4587059,0.051723
57,-0.80568177,-0.8930891,"('unimaginative', 'imaginative')",-2.9677405,-2.9518757,-1.8867111,-1.9224824,0.0357713
80,0.7855936,0.5653564,"('dominated', 'dominating')",-0.74576056,-0.7252562,0.0199165,-0.0799499,0.0998664
52,-0.78290665,-0.7970406,"('irrational', 'rational')",0.23139042,0.16037983,-0.2757581,-0.3183304,0.0425723
49,-0.7759028,-0.682248,"('unable', 'able')",-0.3985915,-0.40458426,-0.5872471,-0.5434161,-0.043831
54,-0.7665156,-0.5427266,"('incapable', 'capable')",0.5944602,0.6887593,-0.0860277,0.0730164,-0.1590441
15,-0.7596742,-0.75703335,"('boring', 'funny')",-0.1393541,-0.09915229,-0.4495142,-0.4280928,-0.0214214
26,-0.6761167,-0.7338826,"('hardhearted', 'benevolent')",1.8449173,1.7370663,0.5844003,0.5015918,0.0828085
16,-0.65609026,-0.79633,"('unpopular', 'popular')",0.17817503,0.102508605,-0.2389576,-0.3469107,0.1079531
85,-0.65593165,-0.72127074,"('insignificant', 'prestigious')",-0.02743224,-0.17250337,-0.341682,-0.446887,0.105205
39,0.63756883,0.5304686,"('exploitative', 'cooperative')",0.14266002,0.20580703,0.3901144,0.3681378,0.0219766
28,-0.63562554,-0.9528834,"('disloyal', 'loyal')",0.96495676,0.8087814,0.1646656,-0.072051,0.2367166
37,0.5915141,0.5534572,"('fake', 'genuine')",0.25383556,0.23867545,0.4226748,0.3960663,0.0266085
67,0.57294595,0.60935926,"('doubtful', 'determined')",-0.40313995,-0.37062225,0.084903,0.1193685,-0.0344655
38,-0.56774735,-0.55350727,"('untruthful', 'truthful')",-0.3520351,-0.36731815,-0.4598912,-0.4604127,0.0005215
81,0.55016124,0.44548255,"('submissive', 'aggressive')",-0.74637,-0.5459993,-0.0981044,-0.0502584,-0.047846
70,0.53573275,0.60496867,"('lethargic', 'energetic')",0.24896985,0.3379392,0.3923513,0.4714539,-0.0791026
10,-0.53440404,-0.65454215,"('unsympathetic', 'sympathetic')",-0.42510673,-0.50179034,-0.4797554,-0.5781662,0.0984108
64,0.5257792,0.41627663,"('shy', 'confident')",-6.1959558,-6.11293,-2.8350883,-2.8483267,0.0132384
45,-0.5177206,-0.6794921,"('incompetent', 'competent')",0.066896886,-0.008809902,-0.2254118,-0.344151,0.1187392
50,0.50746024,0.34776953,"('clumsy', 'skillful')",0.028769962,-0.028536387,0.2681151,0.1596166,0.1084985
18,-0.500173,-0.33036968,"('disagreeable', 'welcoming')",-0.7617142,-0.7849413,-0.6309436,-0.5576555,-0.0732881
61,-0.49711967,-0.75662786,"('illogical', 'logical')",0.7863889,0.5456834,0.1446346,-0.1054722,0.2501068
35,-0.48891562,-0.46826458,"('corrupt', 'incorrupt')",-0.4077207,-0.5248164,-0.4483182,-0.4965405,0.0482223
51,-0.47656834,-0.3926485,"('uneducated', 'educated')",-0.03882014,-0.039969236,-0.2576942,-0.2163089,-0.0413853
72,-0.46377078,-0.39388716,"('unambitious', 'ambitious')",-0.6660124,-0.61284316,-0.5648916,-0.5033652,-0.0615264
63,-0.44449127,-0.5302369,"('unperceptive', 'insightful')",0.5268647,0.51966184,0.0411867,-0.0052875,0.0464742
87,0.44261774,0.31251362,"('unsuccessful', 'successful')",0.9652708,0.94702846,0.7039443,0.6297711,0.0741732
84,0.44152826,0.34791616,"('inferior', 'superior')",1.0127262,0.99931914,0.7271272,0.6736177,0.0535095
4,-0.41827613,-0.48637417,"('disliked', 'liked')",-6.779858,-6.7869973,-3.5990672,-3.6366858,0.0376186
79,-0.41387454,-0.41718882,"('wavering', 'unwavering')",-0.630784,-0.5895833,-0.5223293,-0.503386,-0.0189433
56,0.4076824,0.5277462,"('impractical', 'practical')",-0.5802343,-0.4749531,-0.086276,0.0263966,-0.1126726
3,-0.40049285,-0.33315298,"('repellent', 'pleasant')",0.5756892,0.61124265,0.0875982,0.1390448,-0.0514466
29,-0.3943902,-0.47356343,"('unfair', 'fair')",-0.14334124,-0.29787144,-0.2688657,-0.3857175,0.1168518
82,-0.37321833,-0.23367491,"('poor', 'rich')",5.829049,5.7871127,2.7279153,2.7767189,-0.0488036
5,-0.35282162,-0.1941922,"('distant', 'outgoing')",-0.39385948,-0.4583778,-0.3733405,-0.326285,-0.0470555
71,0.3410496,0.43974954,"('diffident', 'self-confident')",0.42539585,0.4004484,0.3832227,0.420099,-0.0368763
17,-0.33130944,-0.23886243,"('nasty', 'nice')",-0.7268505,-0.765166,-0.52908,-0.5020142,-0.0270658
41,-0.2957399,-0.43434942,"('unforgiving', 'forgiving')",-0.16639255,-0.2700735,-0.2310662,-0.3522115,0.1211453
74,-0.27018,-0.25082168,"('undedicated', 'dedicated')",-0.28097317,-0.31529647,-0.2755766,-0.2830591,0.0074825
47,-0.24507748,-0.06553771,"('stupid', 'smart')",5.2114725,5.305396,2.4831975,2.6199291,-0.1367316
60,0.2429783,0.35673776,"('inefficient', 'efficient')",-0.16675736,-0.010079958,0.0381105,0.1733289,-0.1352184
12,-0.22982809,-0.19315591,"('unsupportive', 'supportive')",-2.0173948,-2.0159254,-1.1236115,-1.1045407,-0.0190708
23,-0.19685507,-0.13889158,"('insincere', 'sincere')",5.3342905,5.336695,2.5687177,2.5989017,-0.030184
34,-0.18970439,-0.083808504,"('mean', 'honorable')",5.4896846,5.4985914,2.6499901,2.7073915,-0.0574014
11,-0.17619494,-0.1243074,"('unhelpful', 'helpful')",1.2632288,1.3455433,0.5435169,0.6106179,-0.067101
7,-0.17585,-0.22065654,"('insensitive', 'sensitive')",0.41459614,0.36558664,0.1193731,0.072465,0.0469081
24,-0.17433187,-0.17891087,"('dishonest', 'honest')",0.36443543,0.3570423,0.0950518,0.0890657,0.0059861
33,-0.17392509,-0.099075034,"('wrong', 'right')",-0.6828133,-0.67952025,-0.4283692,-0.3892976,-0.0390716
30,0.16420543,0.07927246,"('intolerant', 'tolerant')",0.7609282,0.7655883,0.4625668,0.4224304,0.0401364
40,0.16390285,0.10171627,"('stingy', 'generous')",-1.6657113,-1.7545966,-0.7509042,-0.8264402,0.075536
83,-0.14001161,-0.20442234,"('powerless', 'powerful')",-0.9123781,-0.8686063,-0.5261948,-0.5365143,0.0103195
59,0.13756913,0.24413984,"('foolish', 'wise')",0.17239052,0.20818889,0.1549798,0.2261644,-0.0711846
22,0.13078076,0.19615173,"('untrustworthy', 'trustworthy')",-0.853397,-0.9107634,-0.3613081,-0.3573058,-0.0040023
66,0.12089359,0.032598235,"('inactive', 'active')",0.38683432,0.32797772,0.253864,0.180288,0.073576
20,0.10571036,0.101595774,"('rough', 'thoughtful')",0.98215294,0.8990728,0.5439317,0.5003343,0.0435974
68,-0.07150902,0.02982238,"('dependent', 'independent')",-0.924021,-1.0861307,-0.497765,-0.5281542,0.0303892
58,-0.069537506,-0.18707226,"('undiscriminating', 'discriminating')",0.34941104,0.14954436,0.1399368,-0.018764,0.1587008
2,0.058692835,0.015381265,"('unlikable', 'likable')",0.7662163,0.7525397,0.4124545,0.3839605,0.028494
65,0.054672215,-0.09722938,"('insecure', 'secure')",-0.3101046,-0.23909327,-0.1277162,-0.1681613,0.0404451
75,0.053137437,0.17206293,"('meek', 'impulsive')",-0.9787926,-0.8704816,-0.4628276,-0.3492093,-0.1136183
69,0.04790344,0.021864995,"('lazy', 'industrious')",-0.39272523,-0.40444756,-0.1724109,-0.1912913,0.0188804
13,0.044796783,0.13295932,"('impolite', 'polite')",-0.94328046,-0.9896913,-0.4492418,-0.428366,-0.0208758
55,-0.028909512,-0.16605091,"('incompetent', 'clever')",0.2692446,0.16353655,0.1201676,-0.0012572,0.1214248
21,-0.02649605,-0.02133227,"('immoral', 'moral')",-0.4669763,-0.49207926,-0.2467362,-0.2567058,0.0099696
62,-0.025069958,0.09453685,"('incompetent', 'brilliant')",0.29734516,0.43714833,0.1361376,0.2658426,-0.129705
43,-0.023313338,-0.088216946,"('irresponsible', 'responsible')",0.28506854,0.16864046,0.1308776,0.0402118,0.0906658
46,-0.005561186,-0.14375786,"('uncompetitive', 'competitive')",-0.9309133,-0.9889749,-0.4682373,-0.5663664,0.0981291
