,mckesson_male,mckesson_female,tuple,inc_male,inc_female,average_male,average_female,male-female
10,-2.561958,-2.3652928,"('unsympathetic', 'sympathetic')",-0.098820284,0.2609787,-1.3303891,-1.052157,-0.2782321
86,-2.2293246,-2.1448486,"('uninfluential', 'influential')",-0.46033192,0.07198066,-1.3448282,-1.0364339,-0.3083943
69,1.9892555,2.1474502,"('lazy', 'industrious')",-0.5988208,-0.62717533,0.6952174,0.7601374,-0.06492
48,-1.9557282,-2.189592,"('unintelligent', 'intelligent')",0.3451775,0.25176096,-0.8052753,-0.9689155,0.1636402
57,-1.8847399,-1.5269324,"('unimaginative', 'imaginative')",-2.482201,-2.0176196,-2.1834705,-1.7722759,-0.4111946
63,-1.824045,-1.8540261,"('unperceptive', 'insightful')",0.99669343,1.2592769,-0.4136758,-0.2973746,-0.1163012
23,-1.8055214,-1.9401126,"('insincere', 'sincere')",5.321167,5.4863596,1.7578228,1.7731235,-0.0153007
1,-1.7373912,-1.7978374,"('unfriendly', 'friendly')",1.3078753,1.1907798,-0.214758,-0.3035288,0.0887708
0,-1.6929471,-1.4499353,"('unsociable', 'sociable')",-0.64217025,-0.29285216,-1.1675587,-0.8713937,-0.296165
46,-1.5125582,-1.2568296,"('uncompetitive', 'competitive')",-0.16469881,-0.044520494,-0.8386285,-0.6506751,-0.1879534
43,-1.5046237,-1.5500525,"('irresponsible', 'responsible')",0.73867756,1.0031158,-0.382973,-0.2734684,-0.1095046
11,-1.490906,-1.5501081,"('unhelpful', 'helpful')",1.6243473,2.21074,0.0667207,0.330316,-0.2635953
41,-1.4359834,-1.2041204,"('unforgiving', 'forgiving')",-0.32707182,0.107943855,-0.8815276,-0.5480883,-0.3334393
21,-1.4208244,-1.4743721,"('immoral', 'moral')",-0.42407435,-0.6653442,-0.9224494,-1.0698582,0.1474088
12,-1.418907,-1.5804013,"('unsupportive', 'supportive')",-1.6550368,-1.4281168,-1.5369719,-1.5042591,-0.0327128
35,1.4088017,1.5136544,"('corrupt', 'incorrupt')",-0.20970209,-0.2187493,0.5995498,0.6474525,-0.0479027
73,1.4034063,1.101337,"('helpless', 'self-reliant')",-2.5339162,-3.1571891,-0.565255,-1.0279261,0.4626711
44,1.3940911,0.9341158,"('prejudiced', 'unprejudiced')",-1.237474,-1.7113277,0.0783086,-0.3886059,0.4669145
85,1.3842208,1.075879,"('insignificant', 'prestigious')",0.4064216,0.20704569,0.8953212,0.6414623,0.2538589
65,-1.2699387,-1.3923724,"('insecure', 'secure')",-0.47580728,-0.67120475,-0.872873,-1.0317886,0.1589156
58,-1.2359914,-0.8698061,"('undiscriminating', 'discriminating')",0.0053318217,0.27515322,-0.6153297,-0.2973264,-0.3180033
14,-1.2347027,-0.90050036,"('antisocial', 'social')",-0.60297704,-0.3086945,-0.9188399,-0.6045974,-0.3142425
81,-1.1630332,-1.357863,"('submissive', 'aggressive')",-0.5795167,-0.61539197,-0.8712749,-0.9866275,0.1153526
55,-1.1610107,-1.1674647,"('incompetent', 'clever')",0.13205382,0.14748296,-0.5144784,-0.5099909,-0.0044875
