,howmet_male,howmet_female,tuple,aerospace_male,aerospace_female,inc_male,inc_female,average_male,average_female,male-female
69,2.2939732,1.9303656,"('lazy', 'industrious')",1.1142724,1.2442471,0.23232327,0.06727105,1.2135229,1.0806278,0.1328951
35,2.0736609,1.6981809,"('corrupt', 'incorrupt')",0.3495414,0.4655767,0.225765,0.15255842,0.8829891,0.7721053,0.1108838
86,-2.02833,-1.7431523,"('uninfluential', 'influential')",0.44987714,0.42566654,-0.31438679,-0.17145787,-0.6309466,-0.4963145,-0.1346321
10,-1.8062361,-1.2488263,"('unsympathetic', 'sympathetic')",-0.44316542,-0.5573786,-0.36910042,-0.29831985,-0.872834,-0.7015082,-0.1713258
57,-1.7862316,-1.5868573,"('unimaginative', 'imaginative')",0.021259956,-0.1390218,-2.200842,-2.4475114,-1.3219379,-1.3911301,0.0691922
46,-1.745932,-1.2509298,"('uncompetitive', 'competitive')",-0.06981302,-0.06403205,-0.88076496,-0.8856717,-0.8988366,-0.7335445,-0.1652921
0,-1.7222137,-1.465923,"('unsociable', 'sociable')",-0.26101118,-0.27585116,-0.6827027,-0.5672716,-0.8886425,-0.7696819,-0.1189606
60,-1.5653956,-1.098957,"('inefficient', 'efficient')",0.15483941,0.12365533,-0.3749473,-0.1355846,-0.5951678,-0.3702954,-0.2248724
81,-1.4073948,-0.9952242,"('submissive', 'aggressive')",-0.39713398,-0.3208541,-1.0716152,-0.77699596,-0.9587146,-0.6976914,-0.2610232
55,-1.3736485,-1.0216573,"('incompetent', 'clever')",-0.28536272,-0.3173723,-0.19833714,-0.08909556,-0.6191161,-0.4760418,-0.1430743
77,-1.3588108,-1.338242,"('unmotivated', 'motivated')",0.4840336,0.36522824,-1.0548636,-1.3041476,-0.6432136,-0.7590538,0.1158402
53,-1.3357967,-1.3684654,"('uncreative', 'creative')",1.0555546,0.90077794,0.96539855,0.93724793,0.2283855,0.1565201,0.0718654
48,-1.3346521,-1.1921343,"('unintelligent', 'intelligent')",1.3028258,1.148193,0.6146389,0.44716614,0.1942709,0.1344083,0.0598626
65,-1.3214325,-0.99344194,"('insecure', 'secure')",-0.0946164,-0.03503728,-0.9296802,-0.82030845,-0.7819097,-0.6162626,-0.1656471
83,-1.3158871,-1.2709087,"('powerless', 'powerful')",-0.07050018,-0.050252974,-1.1616217,-1.0646297,-0.8493363,-0.7952638,-0.0540725
11,-1.298747,-0.8842453,"('unhelpful', 'helpful')",0.6019817,0.738206,1.4255034,1.6775117,0.2429127,0.5104908,-0.2675781
43,-1.2817122,-0.8379602,"('irresponsible', 'responsible')",0.2250332,0.25805023,0.17280397,0.28826675,-0.294625,-0.0972144,-0.1974106
44,1.2715456,1.2471701,"('prejudiced', 'unprejudiced')",-0.96508384,-0.86738515,-1.4170802,-1.51857,-0.3702061,-0.379595,0.0093889
