,smith_male,smith_female,tuple,international_male,international_female,inc_male,inc_female,average_male,average_female,male-female
16,-2.1891475,-1.9887857,"('unpopular', 'popular')",-0.08322021,-0.09431612,0.61351514,0.56760323,-0.5529509,-0.5051662,-0.0477847
56,2.064563,1.805494,"('impractical', 'practical')",1.2528547,1.3564763,-0.07512547,0.07236563,1.0807641,1.0781119,0.0026522
43,1.9272554,1.6134447,"('irresponsible', 'responsible')",0.78393084,0.81240046,0.54746276,0.62813723,1.0862163,1.0179941,0.0682222
60,1.8284284,1.3462193,"('inefficient', 'efficient')",0.8356372,0.80684686,-0.18375355,0.038054243,0.8267707,0.7303735,0.0963972
84,1.8230789,1.8269323,"('inferior', 'superior')",0.6233356,0.596008,1.0927444,0.9985322,1.1797196,1.1404908,0.0392288
39,1.789547,1.4542332,"('exploitative', 'cooperative')",0.84764105,0.8004919,0.12097104,0.071247235,0.9193863,0.7753241,0.1440622
75,-1.7858034,-1.5993947,"('meek', 'impulsive')",-0.28392148,-0.19393116,-0.58572763,-0.45827982,-0.8851509,-0.7505352,-0.1346157
74,1.5192703,1.5687882,"('undedicated', 'dedicated')",0.8711354,1.0145404,0.55485994,0.50622725,0.9817552,1.029852,-0.0480968
52,-1.5181185,-1.3076413,"('irrational', 'rational')",-0.62533134,-0.48791036,0.3130602,0.2843414,-0.6101299,-0.5037367,-0.1063932
31,-1.4369168,-1.0693033,"('evil', 'good')",-0.39233553,-0.2568588,-0.7284649,-0.7058215,-0.8525724,-0.6773279,-0.1752445
85,-1.430125,-0.95252806,"('insignificant', 'prestigious')",-0.6757638,-0.43819034,0.54546016,0.4973354,-0.5201429,-0.2977943,-0.2223486
36,-1.3937002,-1.3097243,"('hostile', 'amicable')",-0.0017741229,0.037774686,0.217576,0.07773203,-0.3926328,-0.3980726,0.0054398
65,1.3424051,1.0171878,"('insecure', 'secure')",0.16557938,-0.0012142174,-0.5424292,-0.43579987,0.3218517,0.1933912,0.1284605
14,1.3139524,0.9415033,"('antisocial', 'social')",0.59585303,0.5432965,-0.6541284,-0.645003,0.4185591,0.2799323,0.1386268
20,1.2538213,1.049473,"('rough', 'thoughtful')",0.58815503,0.41991478,1.3495685,1.1692413,1.0638483,0.879543,0.1843053
5,-1.2531877,-0.90201783,"('distant', 'outgoing')",-0.0990111,0.17414978,0.005191177,0.19804043,-0.4490025,-0.1766092,-0.2723933
30,1.2300647,1.0159881,"('intolerant', 'tolerant')",0.45171738,0.6111987,0.8954427,1.0293484,0.8590749,0.8855117,-0.0264368
55,1.2273735,0.96901196,"('incompetent', 'clever')",-0.45776042,-0.65050656,-0.08109852,-0.15029243,0.2295048,0.056071,0.1734338
22,1.185506,1.0723515,"('untrustworthy', 'trustworthy')",-0.0373741,-0.13474193,-0.91781086,-0.9003773,0.0767737,0.0124108,0.0643629
6,-1.1611831,-0.7425547,"('distant', 'open')",-0.16583009,0.09551491,0.4931655,0.57873005,-0.2779493,-0.0227699,-0.2551794
35,-1.1493723,-0.90859646,"('corrupt', 'incorrupt')",-0.44776118,-0.44984367,-0.2056559,-0.2847771,-0.6009298,-0.5477391,-0.0531907
79,-1.1376319,-0.9685734,"('wavering', 'unwavering')",-0.7669407,-0.55708176,0.10513065,0.13058089,-0.599814,-0.4650247,-0.1347893
13,1.1368676,0.6737479,"('impolite', 'polite')",0.7059344,0.6462127,-0.3745095,-0.27855697,0.4894308,0.3471346,0.1422962
88,-1.1219332,-0.947723,"('low', 'eminent')",-0.3012529,-0.101917736,0.08664796,0.168948,-0.4455127,-0.2935642,-0.1519485
0,1.1161666,0.80252427,"('unsociable', 'sociable')",-0.059294388,-0.1616127,-0.48608816,-0.52819,0.1902614,0.0375739,0.1526875
12,1.0631232,1.1422226,"('unsupportive', 'supportive')",0.3153444,0.4836421,-1.3182775,-1.3059169,0.0200634,0.1066493,-0.0865859
86,1.0629158,1.027489,"('uninfluential', 'influential')",-0.18650314,-0.20413971,-0.1999558,-0.38217023,0.2254856,0.1470597,0.0784259
72,1.0391531,1.2357569,"('unambitious', 'ambitious')",-0.5238012,-0.5369543,-0.98406756,-0.8216926,-0.1562386,-0.0409633,-0.1152753
76,1.0130057,0.89903903,"('anxious', 'daring')",0.61961883,0.567034,0.14751647,0.245994,0.5933804,0.570689,0.0226914
18,-0.9991563,-0.79065955,"('disagreeable', 'welcoming')",0.6454779,0.8560751,-0.41237313,-0.41150516,-0.2553505,-0.1153632,-0.1399873
2,0.98419595,1.0917485,"('unlikable', 'likable')",1.052245,1.2453651,0.4631883,0.70554215,0.8332097,1.0142186,-0.1810089
4,-0.98391217,-0.57480794,"('disliked', 'liked')",-0.17710538,-0.1298872,-5.876052,-5.8231993,-2.3456898,-2.1759648,-0.169725
7,0.9813218,0.93224376,"('insensitive', 'sensitive')",0.06573263,0.05937846,0.9610497,0.82663953,0.669368,0.6060872,0.0632808
51,0.97239655,0.9840572,"('uneducated', 'educated')",-0.16078997,-0.20324482,0.097059265,0.0077965483,0.3028886,0.2628696,0.040019
34,-0.953474,-1.195333,"('mean', 'honorable')",0.25433806,0.3681169,5.4656253,5.5293064,1.5888298,1.5673634,0.0214664
44,-0.9525349,-1.1044796,"('prejudiced', 'unprejudiced')",0.043435343,-0.04954104,-1.3390102,-1.3210865,-0.7493699,-0.8250357,0.0756658
70,0.9419465,1.0258071,"('lethargic', 'energetic')",0.65157694,0.620331,0.7986506,0.92477894,0.7973914,0.8569724,-0.059581
41,0.93182933,0.99344975,"('unforgiving', 'forgiving')",0.029186126,0.1096507,0.052395146,-0.0059495233,0.3378035,0.365717,-0.0279135
66,-0.8727537,-0.8035329,"('inactive', 'active')",0.75391936,0.6991053,1.1709931,1.0246563,0.3507196,0.3067429,0.0439767
21,0.8154582,0.5137483,"('immoral', 'moral')",0.14451881,0.05555956,-0.80215096,-0.9475244,0.0526087,-0.1260722,0.1786809
24,0.7766254,0.7471119,"('dishonest', 'honest')",-0.084453404,0.019361116,0.4000898,0.4559243,0.3640873,0.4074658,-0.0433785
62,0.7765112,0.8201614,"('incompetent', 'brilliant')",0.582265,0.6941127,0.19636826,0.45237446,0.5183815,0.6555495,-0.137168
45,0.7711255,0.5728659,"('incompetent', 'competent')",0.37925425,0.24237211,0.063314945,0.030476712,0.4045649,0.2819049,0.12266
71,0.76311886,0.7529979,"('diffident', 'self-confident')",0.93287504,1.0505757,0.7514564,0.7205831,0.8158167,0.8413855,-0.0255688
49,-0.74093723,-0.8143314,"('unable', 'able')",-0.42653838,-0.11314663,-0.48064095,-0.28603983,-0.5493722,-0.404506,-0.1448662
48,0.6918131,0.80160284,"('unintelligent', 'intelligent')",-0.37169516,-0.37420905,0.2236736,0.22975987,0.1812638,0.2190512,-0.0377874
11,-0.67138225,-0.75428975,"('unhelpful', 'helpful')",0.017350458,0.21984679,1.626028,1.8053838,0.3239987,0.4236469,-0.0996482
46,0.63693285,0.42939427,"('uncompetitive', 'competitive')",0.2905836,0.042276405,-0.31840274,-0.5669473,0.2030379,-0.0317589,0.2347968
77,0.62661105,0.58677393,"('unmotivated', 'motivated')",-0.1642162,-0.2137616,-0.98811054,-0.98150843,-0.1752386,-0.202832,0.0275934
40,-0.6164405,-0.20869347,"('stingy', 'generous')",-0.1910078,-0.16729942,-1.0982786,-1.255954,-0.6352423,-0.5439823,-0.09126
8,-0.60140395,-0.4339628,"('unaffectionate', 'affectionate')",-0.17591187,-0.028294437,0.81506467,0.85582066,0.0125829,0.1311878,-0.1186049
32,0.5705701,0.4507927,"('unkind', 'kind')",-0.4004037,-0.2180087,0.7247318,0.87450135,0.2982994,0.3690951,-0.0707957
73,0.56285334,0.6529593,"('helpless', 'self-reliant')",0.54317087,0.5201731,-2.647074,-2.6007392,-0.5136832,-0.4758689,-0.0378143
61,0.5536285,0.4717864,"('illogical', 'logical')",-0.27972892,-0.3766381,0.27988482,0.074298345,0.1845948,0.0564822,0.1281126
3,0.54815257,0.42976767,"('repellent', 'pleasant')",-0.4994247,-0.6282963,0.16452369,0.091112055,0.0710839,-0.0358055,0.1068894
9,0.52660096,0.62777066,"('unaffectionate', 'caring')",0.26778352,0.47524863,1.1266868,1.1890236,0.6403571,0.7640142,-0.1236571
15,-0.52533007,-0.45887595,"('boring', 'funny')",0.08227415,0.20954931,0.23604806,0.30374452,-0.0690026,0.0181393,-0.0871419
23,0.5178116,0.32259282,"('insincere', 'sincere')",0.10512355,0.3066675,5.0774465,5.2336082,1.9001273,1.9542894,-0.0541621
67,0.5150361,0.45702118,"('doubtful', 'determined')",0.13706936,0.3829555,-0.5579402,-0.37840205,0.0313884,0.1538582,-0.1224698
38,-0.5048411,-0.30708832,"('untruthful', 'truthful')",-0.4258455,-0.10277945,-0.24838488,-0.03618963,-0.3930238,-0.1486858,-0.244338
64,0.4834291,0.39207518,"('shy', 'confident')",0.07813453,-0.12489208,-5.96129,-5.8712487,-1.7999088,-1.8680218,0.068113
50,-0.4717733,-0.25129616,"('clumsy', 'skillful')",-0.1256868,0.016713146,0.48149994,0.61396575,-0.0386534,0.1264609,-0.1651143
47,-0.46111947,-0.49746644,"('stupid', 'smart')",-0.21869841,0.023672529,4.6611366,4.8958097,1.3271062,1.4740052,-0.146899
42,0.45712245,0.7170582,"('unreliable', 'reliable')",0.46413183,0.4991321,-2.405727,-2.3312771,-0.4948242,-0.3716956,-0.1231286
87,0.43466264,0.22449538,"('unsuccessful', 'successful')",1.2806891,1.166781,1.2648773,1.2250934,0.9934097,0.8721232,0.1212865
37,0.4043171,0.21047373,"('fake', 'genuine')",-0.067310475,-0.3272375,0.68124384,0.5959674,0.3394168,0.1597345,0.1796823
63,-0.36281317,-0.2577252,"('unperceptive', 'insightful')",0.9201721,0.9788103,1.1102964,1.1493801,0.5558851,0.6234884,-0.0676033
10,0.35025012,0.125666,"('unsympathetic', 'sympathetic')",-0.8212844,-0.9263309,-0.27728572,-0.402103,-0.24944,-0.4009226,0.1514826
26,0.34140253,0.44259602,"('hardhearted', 'benevolent')",1.7581774,1.8936524,1.9528234,1.9551046,1.3508012,1.4304511,-0.0796499
29,0.33466488,0.2893339,"('unfair', 'fair')",-0.53058016,-0.5100622,-0.36284643,-0.5109198,-0.1862539,-0.2438827,0.0576288
53,0.28605565,0.3956493,"('uncreative', 'creative')",-0.5119867,-0.39464334,0.9972023,1.012657,0.2570904,0.3378877,-0.0807973
58,-0.27771717,-0.17125368,"('undiscriminating', 'discriminating')",0.51577675,0.34806174,0.23968747,0.018691361,0.159249,0.0651665,0.0940825
82,-0.27242565,-0.37945947,"('poor', 'rich')",-0.945344,-0.83080655,5.440069,5.654306,1.4074332,1.4813466,-0.0739134
28,0.25247157,0.25011608,"('disloyal', 'loyal')",-0.15377837,-0.18373707,0.94601625,0.7799765,0.3482365,0.2821185,0.066118
68,-0.24193504,-0.47703585,"('dependent', 'independent')",-0.08666824,-0.29248667,-0.8006678,-1.0508925,-0.3764237,-0.606805,0.2303813
80,0.23156036,0.15988743,"('dominated', 'dominating')",-0.059462648,-0.29670912,-1.1703805,-1.3449868,-0.3327609,-0.4939361,0.1611752
27,-0.17082536,-0.074231975,"('hardhearted', 'softhearted')",-0.0655072,-0.06547339,1.2506152,1.0897133,0.3380942,0.3166693,0.0214249
83,-0.16386291,-0.32109287,"('powerless', 'powerful')",-0.29542902,-0.27863264,-0.79630303,-0.84416515,-0.4185317,-0.4812969,0.0627652
59,0.16032289,0.306518,"('foolish', 'wise')",0.28265467,0.6494076,0.58706474,0.7162054,0.3433474,0.557377,-0.2140296
19,-0.15365018,-0.1447711,"('inhospitable', 'hospitable')",-0.7658718,-0.6467101,0.01380741,0.02762709,-0.3019049,-0.254618,-0.0472869
25,0.07939029,0.3814223,"('egoistic', 'altruistic')",0.25839108,0.4819582,1.4958262,1.570966,0.6112026,0.8114489,-0.2002463
1,-0.07240819,-0.004438214,"('unfriendly', 'friendly')",0.31478375,0.5237672,1.8949847,1.8890516,0.7124534,0.8027935,-0.0903401
78,0.072218925,0.110861324,"('nonresilient', 'resilient')",0.34847343,0.35184956,0.59772944,0.4330591,0.3394739,0.29859,0.0408839
69,0.069167376,0.053957544,"('lazy', 'industrious')",1.6566427,1.7231354,-0.15485625,-0.17631161,0.5236513,0.5335938,-0.0099425
81,-0.058127858,-0.1950911,"('submissive', 'aggressive')",-0.04422245,0.03671892,-0.94774705,-0.84443074,-0.3500324,-0.3342677,-0.0157647
33,-0.054257017,0.17344101,"('wrong', 'right')",0.80505735,0.7590829,-0.20949933,-0.3674026,0.1804337,0.1883738,-0.0079401
54,-0.049009323,-0.00719627,"('incapable', 'capable')",0.19797945,0.40781036,1.0176724,1.1613292,0.3888808,0.5206478,-0.131767
17,-0.041158736,-0.14590397,"('nasty', 'nice')",-1.7229384,-1.5789114,-0.6945511,-0.62383807,-0.8195494,-0.7828844,-0.036665
57,0.013884157,0.013804879,"('unimaginative', 'imaginative')",-0.215579,-0.3877051,-1.9728092,-2.1225438,-0.7248347,-0.832148,0.1073133
