,allergan_male,allergan_female,tuple,plc_male,plc_female,average_male,average_female,male-female
1,-2.348987,-2.653489,"('unfriendly', 'friendly')",1.4678279,1.6748213,-0.4405796,-0.4893339,0.0487543
53,-2.214081,-2.0111182,"('uncreative', 'creative')",0.43676594,0.6533379,-0.8886576,-0.6788901,-0.2097675
86,-2.0124457,-1.9812437,"('uninfluential', 'influential')",0.21913435,0.27066326,-0.8966557,-0.8552902,-0.0413655
10,-1.5805365,-1.4057398,"('unsympathetic', 'sympathetic')",-0.48449907,-0.3208456,-1.0325178,-0.8632927,-0.1692251
44,1.4371945,1.4474758,"('prejudiced', 'unprejudiced')",-1.233011,-1.1964637,0.1020917,0.125506,-0.0234143
23,-1.3750077,-1.1232854,"('insincere', 'sincere')",2.7035215,3.604749,0.6642569,1.2407317,-0.5764748
77,-1.3706641,-1.089734,"('unmotivated', 'motivated')",-1.0360289,-0.9971664,-1.2033465,-1.0434501,-0.1598964
63,-1.3507075,-1.0037091,"('unperceptive', 'insightful')",1.116424,1.341714,-0.1171418,0.1690025,-0.2861443
21,-1.3117832,-0.6256493,"('immoral', 'moral')",-1.3060663,-0.948846,-1.3089247,-0.7872477,-0.521677
19,-1.3011463,-1.3839841,"('inhospitable', 'hospitable')",-0.7915431,-0.62276584,-1.0463448,-1.0033749,-0.0429699
0,-1.1919558,-0.8253102,"('unsociable', 'sociable')",-0.6077338,-0.19129859,-0.8998448,-0.5083044,-0.3915404
85,-1.184197,-1.2365205,"('insignificant', 'prestigious')",-0.3247916,-0.07040501,-0.7544943,-0.6534628,-0.1010315
61,-1.1127622,-0.8407889,"('illogical', 'logical')",0.6857567,1.0814945,-0.2135028,0.1203528,-0.3338556
73,1.1116028,0.92643315,"('helpless', 'self-reliant')",-0.976871,-1.5946207,0.0673659,-0.3340938,0.4014597
9,-1.1082574,-1.176135,"('unaffectionate', 'caring')",0.846443,0.9817732,-0.1309072,-0.0971809,-0.0337263
57,-1.0882497,-1.1571791,"('unimaginative', 'imaginative')",-0.60886675,-0.8840903,-0.8485582,-1.0206347,0.1720765
80,1.0819707,0.9875554,"('dominated', 'dominating')",0.71888405,0.4379071,0.9004273,0.7127312,0.1876961
51,-1.0622332,-1.0885253,"('uneducated', 'educated')",-0.32142258,-0.21052429,-0.6918279,-0.6495248,-0.0423031
36,-1.0129905,-0.97476333,"('hostile', 'amicable')",0.33189803,0.67424196,-0.3405462,-0.1502607,-0.1902855
11,-1.0095878,-0.5414995,"('unhelpful', 'helpful')",0.6412059,1.0894874,-0.1841909,0.273994,-0.4581849
24,-0.971463,-0.8576524,"('dishonest', 'honest')",0.34778085,0.58886343,-0.3118411,-0.1343945,-0.1774466
48,-0.9437572,-1.0198157,"('unintelligent', 'intelligent')",0.0083912425,0.0923181,-0.467683,-0.4637488,-0.0039342
27,-0.92651445,-1.1290758,"('hardhearted', 'softhearted')",-0.12611756,0.10192177,-0.526316,-0.513577,-0.012739
71,-0.9009916,-0.7682568,"('diffident', 'self-confident')",0.575338,0.73229843,-0.1628268,-0.0179792,-0.1448476
88,-0.87709934,-0.7104444,"('low', 'eminent')",0.04392661,0.25336775,-0.4165864,-0.2285383,-0.1880481
37,0.83898604,0.88424337,"('fake', 'genuine')",0.60308576,0.6708566,0.7210359,0.77755,-0.0565141
