,bank_male,bank_female,tuple,of_male,of_female,america_male,america_female,corp_male,corp_female,average_male,average_female,male-female
71,2.1257231,1.9261187,"('diffident', 'self-confident')",0.47177562,0.33771455,0.8307402,0.88228685,0.55826586,0.4506314,0.9966262,0.8991879,0.0974383
9,1.7400566,1.7668859,"('unaffectionate', 'caring')",-0.59821534,-0.532619,0.65930325,0.85197717,1.577319,1.7315297,0.8446159,0.9544435,-0.1098276
2,1.7160438,1.7531781,"('unlikable', 'likable')",1.058537,1.0518957,1.1908998,1.4639668,0.8305642,0.86866343,1.1990112,1.284426,-0.0854148
1,1.617594,1.2995143,"('unfriendly', 'friendly')",-0.608934,-0.73969686,0.66809434,0.7453107,1.5064391,1.4295926,0.7957984,0.6836802,0.1121182
34,1.5621257,1.4934422,"('mean', 'honorable')",-0.5039082,-0.43186396,-1.0946981,-0.9450282,5.2884707,5.328194,1.3129976,1.361186,-0.0481884
68,-1.5574039,-1.2946799,"('dependent', 'independent')",0.26453483,0.43142113,0.41453624,0.3911939,-1.3264635,-1.2633704,-0.5511991,-0.4338588,-0.1173403
26,1.4794456,0.9513258,"('hardhearted', 'benevolent')",1.325971,0.683535,2.3003347,1.8581086,1.9988064,1.6374265,1.7761394,1.282599,0.4935404
83,1.459789,1.4584564,"('powerless', 'powerful')",0.9046812,0.8622793,-0.36429006,-0.44730222,-0.523156,-0.5772377,0.3692561,0.3240489,0.0452072
32,1.4088365,1.6074424,"('unkind', 'kind')",0.17658271,0.38224867,-0.37526998,-0.1102606,1.0317813,0.93753994,0.5604826,0.7042426,-0.14376
56,1.2722961,1.5251696,"('impractical', 'practical')",-1.216925,-0.68563056,-0.59088874,-0.100348905,-0.28244478,-0.14080223,-0.2044906,0.149597,-0.3540876
37,-1.2207162,-1.3318856,"('fake', 'genuine')",-0.50232863,-0.56068885,-0.7097236,-0.7445377,-0.0067933053,-0.069435984,-0.6098904,-0.6766371,0.0667467
54,1.1310986,1.1920053,"('incapable', 'capable')",-0.027405221,0.1003172,0.5889397,0.7936852,0.8652514,1.0264845,0.6394712,0.778123,-0.1386518
12,1.1278151,1.2992252,"('unsupportive', 'supportive')",0.0029721,0.17499977,0.3434983,0.49082533,-2.008598,-1.931846,-0.1335781,0.0083011,-0.1418792
14,1.0987004,1.10684,"('antisocial', 'social')",-0.45807734,-0.19983737,-0.54645884,-0.48290008,-0.3659537,-0.43945727,-0.0679474,-0.0038387,-0.0641087
41,1.0925931,1.2093314,"('unforgiving', 'forgiving')",-0.03399072,0.1927149,-0.20322593,-0.0074539892,-0.13247469,-0.16075444,0.1807254,0.3084595,-0.1277341
62,1.0848001,1.480284,"('incompetent', 'brilliant')",-1.1535748,-0.55509716,-0.30486602,0.26024264,0.67662996,1.0236151,0.0757473,0.5522611,-0.4765138
63,1.0770969,1.2177887,"('unperceptive', 'insightful')",-0.20076129,-0.049157206,0.75985956,0.8235691,0.5407515,0.59750974,0.5442367,0.6474276,-0.1031909
