,site_male,site_female,tuple,centers_male,centers_female,corp_male,corp_female,average_male,average_female,male-female
36,-2.4465342,-2.4844964,"('hostile', 'amicable')",-2.8682954,-2.5764527,-0.7433626,-0.6315346,-2.0193974,-1.8974946,-0.1219028
14,2.425295,2.5432625,"('antisocial', 'social')",2.4260213,2.387973,-0.15232411,-0.25088775,1.5663308,1.5601158,0.006215
6,-2.3831308,-2.265942,"('distant', 'open')",-1.3583755,-1.2524909,-0.25532305,-0.1367634,-1.3322765,-1.2183988,-0.1138777
5,-2.311347,-2.2739246,"('distant', 'outgoing')",-1.1041296,-1.0399106,-0.85572046,-0.5801412,-1.4237323,-1.2979921,-0.1257402
60,2.2718647,2.578757,"('inefficient', 'efficient')",3.5983753,3.6215477,0.30416906,0.34155214,2.0581365,2.1806191,-0.1224826
19,-2.1271892,-2.0206935,"('inhospitable', 'hospitable')",-1.5063486,-1.431101,-0.956207,-0.72630817,-1.5299149,-1.392701,-0.1372139
31,-2.1109903,-2.2566884,"('evil', 'good')",-1.8501343,-1.7563722,-0.99496543,-0.82362413,-1.65203,-1.6122282,-0.0398018
62,1.9476397,1.9694816,"('incompetent', 'brilliant')",2.619323,2.4203098,0.3608651,0.4512269,1.6426093,1.6136727,0.0289366
12,1.8889201,1.8391323,"('unsupportive', 'supportive')",2.269271,2.282701,-1.8355777,-1.7431165,0.7742043,0.7929056,-0.0187013
7,1.80779,2.0062106,"('insensitive', 'sensitive')",2.218519,2.1883385,0.8947915,0.83909744,1.6403669,1.6778822,-0.0375153
81,1.7921101,1.7453716,"('submissive', 'aggressive')",2.445657,2.1064296,-0.30504417,-0.41050285,1.3109077,1.1470994,0.1638083
49,-1.7238852,-1.7547876,"('unable', 'able')",-0.77056336,-0.73514163,-0.23182645,0.016242096,-0.9087584,-0.8245624,-0.084196
66,-1.6140215,-1.8277384,"('inactive', 'active')",-1.5932148,-1.7152115,-0.008937022,-0.3041115,-1.0720578,-1.2823538,0.210296
56,1.5962543,1.9111307,"('impractical', 'practical')",1.9307952,2.0101845,-0.29239684,-0.141786,1.0782176,1.259843,-0.1816254
72,1.5897223,1.7001053,"('unambitious', 'ambitious')",0.7018555,0.73230803,0.5532389,0.60663944,0.9482722,1.0130176,-0.0647454
79,-1.5842806,-1.6579924,"('wavering', 'unwavering')",-2.1251714,-2.0279293,-0.5790301,-0.37009758,-1.4294941,-1.3520064,-0.0774877
23,1.5394602,1.7417085,"('insincere', 'sincere')",1.7792212,1.887102,6.362404,6.477356,3.2270285,3.3687223,-0.1416938
11,1.5244501,1.6650736,"('unhelpful', 'helpful')",2.3870344,2.3796852,1.7105767,1.790216,1.8740204,1.9449916,-0.0709712
4,-1.4655254,-1.6571008,"('disliked', 'liked')",-1.0932401,-1.0219575,-8.024764,-7.831366,-3.5278432,-3.5034749,-0.0243683
21,1.4591707,1.6120577,"('immoral', 'moral')",1.853635,1.744973,-0.23641104,-0.2635151,1.0254649,1.0311718,-0.0057069
10,1.3863187,1.4874116,"('unsympathetic', 'sympathetic')",1.6972432,1.6049892,0.57537717,0.4386988,1.2196464,1.1770332,0.0426132
