,allegheny_male,allegheny_female,tuple,technologies_male,technologies_female,average_male,average_female,male-female
16,-2.232725,-2.1609302,"('unpopular', 'popular')",-0.5590303,-0.5192301,-1.3958776,-1.3400801,-0.0557975
85,1.9298797,1.6809077,"('insignificant', 'prestigious')",-0.807651,-1.2912096,0.5611143,0.1948491,0.3662652
39,1.9262975,2.0082803,"('exploitative', 'cooperative')",0.07603186,0.014788806,1.0011647,1.0115346,-0.0103699
9,1.903376,1.9020936,"('unaffectionate', 'caring')",1.2338346,1.2818315,1.5686053,1.5919626,-0.0233573
12,1.881104,2.0159276,"('unsupportive', 'supportive')",-0.9759099,-1.1390663,0.4525971,0.4384306,0.0141665
29,-1.8745565,-1.8447686,"('unfair', 'fair')",-0.851843,-0.79495806,-1.3631997,-1.3198633,-0.0433364
74,1.8551251,1.7453932,"('undedicated', 'dedicated')",-0.1968858,-0.23333001,0.8291196,0.7560316,0.073088
63,1.5069475,1.4441625,"('unperceptive', 'insightful')",0.9415714,0.9518009,1.2242595,1.1979817,0.0262778
72,1.4247931,1.4806751,"('unambitious', 'ambitious')",-0.5398018,-0.1896686,0.4424957,0.6455033,-0.2030076
40,1.339757,1.3060552,"('stingy', 'generous')",-1.8328978,-2.269227,-0.2465704,-0.4815859,0.2350155
80,1.3395221,1.1664704,"('dominated', 'dominating')",0.14577578,0.20580071,0.742649,0.6861355,0.0565135
66,1.3390648,1.3533599,"('inactive', 'active')",-0.34948328,-0.20542932,0.4947908,0.5739653,-0.0791745
24,1.2850384,1.3446758,"('dishonest', 'honest')",-0.13515313,0.14738372,0.5749426,0.7460297,-0.1710871
8,1.2263463,1.2964073,"('unaffectionate', 'affectionate')",0.28509033,0.31693816,0.7557183,0.8066728,-0.0509545
45,-1.1490152,-1.0829879,"('incompetent', 'competent')",-0.18905371,-0.028493315,-0.6690345,-0.5557406,-0.1132939
26,1.1449647,1.1187345,"('hardhearted', 'benevolent')",0.75374156,0.5986415,0.9493531,0.858688,0.0906651
53,1.088676,1.0860499,"('uncreative', 'creative')",0.019195538,0.09032522,0.5539358,0.5881876,-0.0342518
4,-1.0700384,-0.96605015,"('disliked', 'liked')",-6.876451,-7.833235,-3.9732447,-4.3996425,0.4263978
7,1.0570447,1.037663,"('insensitive', 'sensitive')",1.1312177,1.223423,1.0941312,1.130543,-0.0364118
27,1.046504,0.9260215,"('hardhearted', 'softhearted')",0.92315,0.9784958,0.984827,0.9522586,0.0325684
0,-1.0452237,-0.7997236,"('unsociable', 'sociable')",-0.22990358,-0.18332243,-0.6375636,-0.491523,-0.1460406
84,1.0357271,1.1505474,"('inferior', 'superior')",-0.10491902,-0.10096878,0.4654041,0.5247893,-0.0593852
73,1.0216897,0.93844414,"('helpless', 'self-reliant')",-2.7586422,-3.4442983,-0.8684763,-1.2529271,0.3844508
71,1.0052425,1.0691891,"('diffident', 'self-confident')",0.2150347,0.27539092,0.6101386,0.67229,-0.0621514
65,-0.85350585,-0.7386394,"('insecure', 'secure')",0.034778975,0.21889777,-0.4093634,-0.2598708,-0.1494926
44,-0.8464968,-0.960979,"('prejudiced', 'unprejudiced')",-1.4987551,-1.5249574,-1.172626,-1.2429682,0.0703422
68,-0.84430003,-1.0312965,"('dependent', 'independent')",-0.78651524,-0.86442953,-0.8154076,-0.947863,0.1324554
70,0.84293795,0.7338862,"('lethargic', 'energetic')",0.36460483,0.5680971,0.6037714,0.6509917,-0.0472203
35,-0.8302772,-0.9524486,"('corrupt', 'incorrupt')",-1.3969747,-1.5336217,-1.113626,-1.2430351,0.1294091
33,0.819892,0.8084791,"('wrong', 'right')",-0.044992104,-0.28717184,0.3874499,0.2606536,0.1267963
3,-0.8170611,-1.0061034,"('repellent', 'pleasant')",0.604585,0.69681895,-0.1062381,-0.1546422,0.0484041
54,0.7976765,0.69232064,"('incapable', 'capable')",0.7226053,0.8697777,0.7601409,0.7810491,-0.0209082
31,-0.73106855,-0.8939,"('evil', 'good')",-1.7775342,-2.1059034,-1.2543014,-1.4999017,0.2456003
82,-0.72936743,-0.680198,"('poor', 'rich')",4.713993,5.64891,1.9923128,2.4843559,-0.4920431
1,0.7241306,0.67480105,"('unfriendly', 'friendly')",0.92591155,0.6043118,0.825021,0.6395564,0.1854646
37,0.7200232,0.6239369,"('fake', 'genuine')",0.42744747,0.41475677,0.5737354,0.5193468,0.0543886
32,0.7035172,0.6922659,"('unkind', 'kind')",0.72472095,0.9449046,0.7141191,0.8185853,-0.1044662
21,0.6881338,0.8699632,"('immoral', 'moral')",0.260531,0.25766993,0.4743324,0.5638165,-0.0894841
30,0.6408586,0.9580317,"('intolerant', 'tolerant')",1.5088272,1.4098669,1.0748429,1.1839494,-0.1091065
25,0.6402905,0.5502953,"('egoistic', 'altruistic')",0.7703186,0.54130214,0.7053046,0.5457987,0.1595059
23,0.63754827,0.48167384,"('insincere', 'sincere')",5.6211386,6.435258,3.1293435,3.4584658,-0.3291223
2,0.634468,0.6899056,"('unlikable', 'likable')",-0.0034521706,0.03154099,0.3155079,0.3607233,-0.0452154
61,0.6171904,0.65344656,"('illogical', 'logical')",0.39681527,0.2871015,0.5070028,0.470274,0.0367288
51,0.5864947,0.65697813,"('uneducated', 'educated')",0.6454226,0.715173,0.6159586,0.6860756,-0.070117
17,-0.58019155,-0.5452968,"('nasty', 'nice')",-0.8810102,-0.8641906,-0.7306008,-0.7047437,-0.0258571
49,-0.5706116,-0.4050635,"('unable', 'able')",-0.26926687,-0.030954063,-0.4199392,-0.2180088,-0.2019304
55,-0.54280233,-0.23623371,"('incompetent', 'clever')",0.9142589,1.0355377,0.1857283,0.399652,-0.2139237
50,0.5296575,0.24337728,"('clumsy', 'skillful')",-0.15294123,-0.17811304,0.1883581,0.0326321,0.155726
59,0.49592572,0.39318222,"('foolish', 'wise')",-0.48652464,-0.50261486,0.0047005,-0.0547163,0.0594168
86,0.48483905,0.5948408,"('uninfluential', 'influential')",0.34286052,0.27714086,0.4138498,0.4359908,-0.022141
79,0.4527306,0.2927933,"('wavering', 'unwavering')",-0.9974957,-0.8409302,-0.2723826,-0.2740685,0.0016859
64,-0.44945535,-0.4232745,"('shy', 'confident')",-5.3928227,-5.9929185,-2.921139,-3.2080965,0.2869575
62,0.4282605,0.5385136,"('incompetent', 'brilliant')",0.790894,1.0742286,0.6095772,0.8063711,-0.1967939
36,-0.4268092,-0.5238306,"('hostile', 'amicable')",-1.2828643,-1.5598516,-0.8548368,-1.0418411,0.1870043
41,0.39745253,0.5996552,"('unforgiving', 'forgiving')",-0.20807585,-0.18090644,0.0946883,0.2093744,-0.1146861
52,-0.38600227,-0.45002544,"('irrational', 'rational')",-0.5753216,-0.93947434,-0.4806619,-0.6947499,0.214088
75,0.38238037,0.12824562,"('meek', 'impulsive')",-0.7548855,-0.8346986,-0.1862526,-0.3532265,0.1669739
14,-0.35072342,-0.13224044,"('antisocial', 'social')",0.33240014,0.3711555,-0.0091616,0.1194575,-0.1286191
10,0.35038966,0.45775762,"('unsympathetic', 'sympathetic')",0.35881686,0.70618236,0.3546033,0.58197,-0.2273667
46,0.34984404,0.4129996,"('uncompetitive', 'competitive')",-0.04686431,-0.031518202,0.1514899,0.1907407,-0.0392508
77,0.3358786,0.24460536,"('unmotivated', 'motivated')",0.06284102,-0.11315792,0.1993598,0.0657237,0.1336361
