,xerox_male,xerox_female,tuple,holdings_male,holdings_female,corp_male,corp_female,average_male,average_female,male-female
10,-2.9694486,-2.991884,"('unsympathetic', 'sympathetic')",-0.44559294,-0.4908271,0.06598898,0.14474767,-1.1163508,-1.1126544,-0.0036964
21,-2.657118,-2.424037,"('immoral', 'moral')",-0.09311932,0.19986422,-0.32356307,-0.31473273,-1.0246002,-0.8463019,-0.1782983
45,-2.629248,-2.6300998,"('incompetent', 'competent')",-0.46130365,-0.24048737,-0.3703698,-0.30987704,-1.1536404,-1.0601548,-0.0934856
46,-2.4073296,-2.300399,"('uncompetitive', 'competitive')",1.0747937,1.1669208,-0.37175563,-0.52234215,-0.5680972,-0.5519401,-0.0161571
56,-2.361501,-2.1203527,"('impractical', 'practical')",0.023805648,0.23617321,-0.8181212,-0.81880856,-1.0519389,-0.900996,-0.1509429
63,-2.2882776,-2.2669988,"('unperceptive', 'insightful')",1.3335296,1.4921926,0.70918095,0.7256732,-0.0818557,-0.0163776,-0.0654781
14,-2.2445831,-1.9651577,"('antisocial', 'social')",1.5643238,1.7817243,0.13991922,0.053221364,-0.1801134,-0.043404,-0.1367094
0,-2.2266934,-2.2619374,"('unsociable', 'sociable')",-0.40951842,-0.27902132,-0.17411236,-0.21575482,-0.9367747,-0.9189045,-0.0178702
55,-2.1588004,-2.0579643,"('incompetent', 'clever')",-0.0947679,0.12967093,0.4607346,0.38300613,-0.5976112,-0.5150958,-0.0825154
13,-2.1408892,-1.9772813,"('impolite', 'polite')",-0.40094703,-0.16184062,-0.34089506,-0.26666933,-0.9609105,-0.8019304,-0.1589801
85,2.0842977,1.7225599,"('insignificant', 'prestigious')",0.5679454,0.12756225,-0.58152854,-0.52637416,0.6902382,0.4412494,0.2489888
43,-2.0574203,-1.953352,"('irresponsible', 'responsible')",-0.8304778,-0.5287403,0.21177183,0.3356931,-0.8920421,-0.7154664,-0.1765757
70,-2.0107536,-1.9445854,"('lethargic', 'energetic')",1.1489431,1.1758304,0.9139557,0.8841303,0.0173817,0.0384584,-0.0210767
81,-1.9787741,-1.6481721,"('submissive', 'aggressive')",0.65310323,0.7512324,-0.78394204,-0.69669944,-0.7032043,-0.531213,-0.1719913
22,-1.9318193,-1.7798711,"('untrustworthy', 'trustworthy')",-0.2260393,-0.05979584,-0.58180875,-0.6671283,-0.9132225,-0.8355985,-0.077624
51,-1.8600943,-1.9163396,"('uneducated', 'educated')",1.1980451,1.0842401,0.83584416,0.5778384,0.0579317,-0.0847537,0.1426854
60,-1.8407757,-1.5278804,"('inefficient', 'efficient')",0.38712385,0.7664966,0.07903695,0.13708733,-0.458205,-0.2080988,-0.2501062
69,1.8287238,1.750893,"('lazy', 'industrious')",0.54312044,0.5184472,-1.2578926,-1.2700114,0.3713172,0.3331096,0.0382076
57,-1.7942151,-2.0932174,"('unimaginative', 'imaginative')",-0.09198445,-0.39398867,-2.6186829,-3.0198927,-1.5016274,-1.8356996,0.3340722
64,-1.7848555,-1.6005698,"('shy', 'confident')",0.90212256,0.952326,-6.288584,-6.632349,-2.390439,-2.4268643,0.0364253
41,-1.729422,-1.7825778,"('unforgiving', 'forgiving')",-0.79621875,-0.7545835,-0.20218106,-0.25399655,-0.9092739,-0.930386,0.0211121
35,1.7287285,1.5805023,"('corrupt', 'incorrupt')",-1.1217136,-1.2638841,-0.7806603,-0.6934959,-0.0578818,-0.1256259,0.0677441
12,-1.7051388,-1.8547857,"('unsupportive', 'supportive')",0.34281522,0.2873977,-2.0245895,-2.125438,-1.128971,-1.2309419,0.1019709
75,1.662703,1.5834241,"('meek', 'impulsive')",-0.01236476,-0.23921186,-0.6566356,-0.7636376,0.3312342,0.1935249,0.1377093
65,-1.6622972,-1.3932457,"('insecure', 'secure')",0.09784344,0.40025407,0.1068704,0.15036353,-0.4858611,-0.280876,-0.2049851
86,-1.6212406,-1.9191434,"('uninfluential', 'influential')",0.14408037,0.06670278,-0.04002272,-0.263035,-0.5057276,-0.7051586,0.199431
