,aon_male,aon_female,tuple,plc_male,plc_female,average_male,average_female,male-female
18,-1.4373257,-1.1806632,"('disagreeable', 'welcoming')",-0.8094425,-0.75221694,-1.1233841,-0.9664401,-0.156944
53,-1.3324211,-1.3107945,"('uncreative', 'creative')",1.1161904,1.0031732,-0.1081153,-0.1538106,0.0456953
10,-1.1104167,-1.1113881,"('unsympathetic', 'sympathetic')",-0.6002423,-0.5463909,-0.8553295,-0.8288895,-0.02644
0,-1.0749452,-1.1018409,"('unsociable', 'sociable')",-0.85317415,-0.8350369,-0.9640597,-0.9684389,0.0043792
9,-0.95492995,-0.9640235,"('unaffectionate', 'caring')",1.4759336,1.4143015,0.2605018,0.225139,0.0353628
37,0.95263755,0.8837355,"('fake', 'genuine')",0.94772595,0.9000334,0.9501817,0.8918844,0.0582973
86,-0.94822043,-1.0050393,"('uninfluential', 'influential')",0.32564172,0.1942521,-0.3112894,-0.4053936,0.0941042
1,-0.94645923,-1.1104817,"('unfriendly', 'friendly')",2.3349895,2.10566,0.6942651,0.4975891,0.196676
21,-0.943682,-0.58328545,"('immoral', 'moral')",-1.4132402,-1.2202653,-1.1784611,-0.9017754,-0.2766857
73,0.9180755,1.1834221,"('helpless', 'self-reliant')",-1.9147412,-2.0670884,-0.4983328,-0.4418331,-0.0564997
16,-0.9134934,-0.49852225,"('unpopular', 'popular')",-0.41821304,-0.33874226,-0.6658532,-0.4186323,-0.2472209
5,-0.9118876,-0.831722,"('distant', 'outgoing')",0.4291918,0.32318127,-0.2413479,-0.2542704,0.0129225
77,-0.8931823,-0.6758439,"('unmotivated', 'motivated')",-1.0379838,-1.1586004,-0.965583,-0.9172221,-0.0483609
49,-0.8889938,-0.53482866,"('unable', 'able')",-0.7165235,-0.3732416,-0.8027587,-0.4540351,-0.3487236
25,-0.8822557,-0.5011896,"('egoistic', 'altruistic')",1.5908056,1.5483876,0.354275,0.523599,-0.169324
8,-0.8535814,-0.9294033,"('unaffectionate', 'affectionate')",1.204273,1.0587007,0.1753458,0.0646487,0.1106971
88,-0.8251203,-0.9461286,"('low', 'eminent')",0.22248465,0.117252775,-0.3013178,-0.4144379,0.1131201
26,0.8030007,0.20450874,"('hardhearted', 'benevolent')",2.913227,2.4592984,1.8581139,1.3319036,0.5262103
39,0.7874999,0.7975073,"('exploitative', 'cooperative')",0.5932351,0.4606171,0.6903675,0.6290622,0.0613053
69,0.7441609,0.71459424,"('lazy', 'industrious')",0.032160357,-0.3431566,0.3881606,0.1857188,0.2024418
6,-0.72827405,-0.6500146,"('distant', 'open')",0.5184478,0.32522604,-0.1049131,-0.1623943,0.0574812
36,-0.7180004,-0.9419891,"('hostile', 'amicable')",1.3916631,0.8028815,0.3368313,-0.0695538,0.4063851
83,-0.70636517,-0.6205049,"('powerless', 'powerful')",-0.6160484,-0.65994674,-0.6612068,-0.6402258,-0.020981
19,-0.6883904,-0.5483725,"('inhospitable', 'hospitable')",-0.13521644,-0.07244445,-0.4118034,-0.3104085,-0.1013949
80,0.6742737,0.49940336,"('dominated', 'dominating')",0.02363307,-0.06785874,0.3489534,0.2157723,0.1331811
74,0.6672577,0.6085202,"('undedicated', 'dedicated')",0.9601906,0.85254914,0.8137242,0.7305347,0.0831895
51,-0.62563074,-0.40769672,"('uneducated', 'educated')",-0.21807954,0.118539885,-0.4218552,-0.1445784,-0.2772768
41,-0.6238452,-0.49197838,"('unforgiving', 'forgiving')",0.6413042,0.44856057,0.0087295,-0.0217089,0.0304384
31,-0.5982016,-0.6657813,"('evil', 'good')",0.16963314,-0.29652625,-0.2142842,-0.4811538,0.2668696
68,-0.589588,-0.37849408,"('dependent', 'independent')",-1.0589213,-0.95505315,-0.8242546,-0.6667736,-0.157481
