,schering_male,schering_female,tuple,plough_male,plough_female,corp_male,corp_female,average_male,average_female,male-female
10,-2.2435572,-2.4040596,"('unsympathetic', 'sympathetic')",-2.5464883,-2.743859,0.6312684,0.3131598,-1.3862591,-1.6115863,0.2253272
3,-2.2372837,-2.0136876,"('repellent', 'pleasant')",-1.4932292,-1.3713362,0.76808596,0.6820076,-0.9874756,-0.9010054,-0.0864702
1,-1.560423,-1.7438166,"('unfriendly', 'friendly')",-1.9734378,-2.2617118,0.9398833,0.84834164,-0.8646592,-1.0523956,0.1877364
86,-1.5548251,-1.6788344,"('uninfluential', 'influential')",-1.6856958,-2.0111077,-0.040827133,-0.2589786,-1.0937827,-1.3163069,0.2225242
46,-1.5396905,-1.531955,"('uncompetitive', 'competitive')",-1.5323567,-1.502909,-0.30612338,-0.45558515,-1.1260568,-1.1634831,0.0374263
23,-1.454029,-1.7289174,"('insincere', 'sincere')",-1.3809532,-1.7088773,6.83137,6.645316,1.3321292,1.0691738,0.2629554
57,-1.4387298,-1.4859285,"('unimaginative', 'imaginative')",-1.5338099,-1.7299243,-3.4074123,-3.5184708,-2.1266507,-2.2447745,0.1181238
66,-1.2592778,-1.1566182,"('inactive', 'active')",-0.57401794,-0.5320451,0.43735138,0.55203557,-0.4653148,-0.3788759,-0.0864389
40,-1.2257931,-0.8791474,"('stingy', 'generous')",-0.5578646,-0.36893916,-2.8909974,-2.8033962,-1.5582183,-1.3504942,-0.2077241
18,-1.1799977,-1.0673913,"('disagreeable', 'welcoming')",-1.4722595,-1.3302016,-1.0519607,-0.958231,-1.2347393,-1.118608,-0.1161313
43,-1.1453086,-1.1018801,"('irresponsible', 'responsible')",-1.5748229,-1.579391,0.737907,0.636754,-0.6607415,-0.6815057,0.0207642
12,-1.1279559,-0.9829254,"('unsupportive', 'supportive')",-0.7457546,-0.82027197,-2.0186372,-2.027678,-1.2974493,-1.2769585,-0.0204908
