,eastman_male,eastman_female,tuple,kodak_male,kodak_female,co_male,co_female,average_male,average_female,male-female
69,2.5474806,2.2616382,"('lazy', 'industrious')",3.1344223,3.005644,-0.57882136,-0.89234155,1.7010272,1.4583136,0.2427136
21,-2.2916458,-1.9480954,"('immoral', 'moral')",-2.3208485,-2.1474094,-0.5496482,-0.22785248,-1.7207143,-1.441119,-0.2795953
85,2.2726722,2.0783238,"('insignificant', 'prestigious')",2.8321924,2.6968567,-1.1099744,-1.1031119,1.3316301,1.224023,0.1076071
70,-2.238182,-1.9701575,"('lethargic', 'energetic')",-2.736562,-2.6294692,0.098232955,0.32471132,-1.6255037,-1.4249717,-0.200532
26,2.1914012,1.9270597,"('hardhearted', 'benevolent')",1.1306965,0.9715097,1.8756987,1.4445754,1.7325988,1.447715,0.2848838
43,-2.0005891,-1.7037879,"('irresponsible', 'responsible')",-2.530447,-2.3672833,0.27244645,0.6618463,-1.4195299,-1.1364083,-0.2831216
76,-1.9962591,-1.612731,"('anxious', 'daring')",-1.8417367,-1.6068372,0.04380595,0.40373498,-1.26473,-0.9386111,-0.3261189
10,-1.9325069,-1.7234176,"('unsympathetic', 'sympathetic')",-3.0512366,-2.9476826,-0.14557369,-0.029421952,-1.7097724,-1.5668406,-0.1429318
55,-1.8470134,-1.4378531,"('incompetent', 'clever')",-2.2990224,-2.0946248,0.5649778,0.7546118,-1.1936859,-0.9259554,-0.2677305
36,1.8331738,1.592979,"('hostile', 'amicable')",1.7928388,1.6905469,-0.48921984,-0.62329674,1.0455976,0.8867431,0.1588545
40,1.69617,1.678647,"('stingy', 'generous')",0.25805882,0.2304075,-2.0679073,-2.242529,-0.0378929,-0.1111581,0.0732652
33,1.6750376,1.4968274,"('wrong', 'right')",1.3847649,1.2652037,-0.7029765,-0.8582248,0.7856087,0.6346021,0.1510066
1,1.6742975,1.4672906,"('unfriendly', 'friendly')",0.36678782,0.12601016,1.0092654,0.85177517,1.0167836,0.8150253,0.2017583
