,lauder_male,lauder_female,tuple,estee_male,estee_female,cos_male,cos_female,inc_male,inc_female,average_male,average_female,male-female
85,2.5456522,2.230771,"('insignificant', 'prestigious')",2.0444996,2.3333178,-0.54969114,-0.36583385,1.4768411,1.2050713,1.3793254,1.3508316,0.0284938
69,2.5341446,2.2813168,"('lazy', 'industrious')",3.0198715,3.2450342,1.3360804,1.2610453,0.08654393,0.019593462,1.7441602,1.7017474,0.0424128
35,2.2125502,1.7705541,"('corrupt', 'incorrupt')",1.8377043,2.1154275,-0.30408928,-0.28459802,0.117916845,-0.14479089,0.9660205,0.8641481,0.1018724
73,2.1123767,1.8341701,"('helpless', 'self-reliant')",1.5175261,1.4329762,0.691185,0.5804983,-2.712421,-2.8852901,0.4021667,0.2405886,0.1615781
24,-1.8852113,-1.6955308,"('dishonest', 'honest')",-2.170207,-2.3492415,-1.1273978,-1.1903929,0.53243554,0.45968744,-1.1625953,-1.1938695,0.0312742
45,-1.761408,-1.561239,"('incompetent', 'competent')",-1.9415914,-2.1020117,-0.38354665,-0.5070663,-0.20148167,-0.09427039,-1.0720069,-1.0661469,-0.00586
65,-1.7418051,-1.377508,"('insecure', 'secure')",-1.5843855,-1.5693425,0.16123272,0.17166105,-0.70656437,-0.65493035,-0.9678805,-0.8575299,-0.1103506
57,-1.7344236,-1.6541075,"('unimaginative', 'imaginative')",-1.9257401,-2.0950646,-0.73374844,-0.76470536,-1.56976,-1.473178,-1.490918,-1.4967638,0.0058458
14,-1.6816666,-1.5342681,"('antisocial', 'social')",-1.3907523,-1.4366342,-0.005993597,-0.080510244,-1.2109478,-1.0813248,-1.07234,-1.0331843,-0.0391557
48,-1.6371078,-1.3469608,"('unintelligent', 'intelligent')",-2.0693164,-2.1466036,-0.9846169,-1.0100948,0.2980456,0.28821626,-1.0982488,-1.0538608,-0.044388
10,-1.5474755,-1.2638786,"('unsympathetic', 'sympathetic')",-2.384962,-2.6892233,-0.52597815,-0.5540577,0.14092264,0.28969926,-1.0793732,-1.0543652,-0.025008
22,-1.5155721,-1.2282696,"('untrustworthy', 'trustworthy')",-1.731727,-1.6756274,-0.8442255,-0.99535674,-1.412938,-1.5120955,-1.3761157,-1.3528373,-0.0232784
72,-1.5002359,-1.4468986,"('unambitious', 'ambitious')",-1.603569,-1.7289218,-1.0658896,-1.04974,-0.803067,-0.8965511,-1.2431905,-1.2805278,0.0373373
46,-1.4875076,-0.9902784,"('uncompetitive', 'competitive')",-1.691045,-1.9400184,-0.61523855,-0.6992522,-0.612592,-0.21556665,-1.1015959,-0.9612789,-0.140317
55,-1.4728159,-1.0838183,"('incompetent', 'clever')",-1.7309934,-1.9374379,-0.17837885,-0.21664973,-0.10031016,0.026775261,-0.8706245,-0.8027827,-0.0678418
