,assurant_male,assurant_female,tuple,inc_male,inc_female,average_male,average_female,male-female
1,-1.983838,-1.9500577,"('unfriendly', 'friendly')",2.030032,2.1937013,0.023097,0.1218218,-0.0987248
86,-1.8649534,-1.8242089,"('uninfluential', 'influential')",0.06083388,0.2146985,-0.9020597,-0.8047552,-0.0973045
53,-1.7632734,-1.8578037,"('uncreative', 'creative')",0.76004463,0.7178729,-0.5016143,-0.5699654,0.0683511
0,-1.6939193,-1.9980849,"('unsociable', 'sociable')",-0.3967299,-0.5776314,-1.0453246,-1.2878581,0.2425335
9,-1.6495706,-1.6837286,"('unaffectionate', 'caring')",1.4959533,1.2540859,-0.0768086,-0.2148213,0.1380127
69,1.6186293,1.4251648,"('lazy', 'industrious')",-0.6406036,-0.7401275,0.4890129,0.3425187,0.1464942
57,-1.547456,-1.7617508,"('unimaginative', 'imaginative')",-2.5971003,-2.5103173,-2.072278,-2.136034,0.063756
43,-1.424347,-1.6228076,"('irresponsible', 'responsible')",0.38087922,0.18534902,-0.5217339,-0.7187293,0.1969954
19,-1.3735505,-1.1226422,"('inhospitable', 'hospitable')",0.4118531,0.60322744,-0.4808487,-0.2597074,-0.2211413
11,-1.3056848,-1.1785775,"('unhelpful', 'helpful')",1.850398,1.8082066,0.2723566,0.3148145,-0.0424579
46,-1.295022,-1.3794453,"('uncompetitive', 'competitive')",-0.8525018,-0.5967745,-1.0737619,-0.9881099,-0.085652
77,-1.2759793,-1.4415425,"('unmotivated', 'motivated')",-1.267543,-1.3700795,-1.2717612,-1.4058111,0.1340499
8,-1.2627996,-0.9696748,"('unaffectionate', 'affectionate')",1.2190964,1.3763456,-0.0218516,0.2033354,-0.225187
12,-1.1830182,-1.4061394,"('unsupportive', 'supportive')",-1.5681908,-1.7080364,-1.3756045,-1.5570879,0.1814834
23,-1.1537964,-1.1286498,"('insincere', 'sincere')",6.193097,5.6045117,2.5196505,2.237931,0.2817195
73,1.1077491,0.8771187,"('helpless', 'self-reliant')",-2.705297,-2.7964098,-0.7987739,-0.9596456,0.1608717
13,-1.0877774,-0.99082375,"('impolite', 'polite')",-0.63854223,-0.5079336,-0.8631598,-0.7493787,-0.1137811
71,-1.0841217,-1.1389508,"('diffident', 'self-confident')",0.30589375,0.12098928,-0.389114,-0.5089808,0.1198668
6,-1.0703856,-1.184749,"('distant', 'open')",0.47812277,0.46747965,-0.2961314,-0.3586347,0.0625033
28,-1.0674019,-1.0085994,"('disloyal', 'loyal')",0.8939557,1.0043888,-0.0867231,-0.0021053,-0.0846178
5,-1.0668691,-1.3041536,"('distant', 'outgoing')",0.15500718,-0.016783029,-0.455931,-0.6604683,0.2045373
10,-1.0412316,-1.1661576,"('unsympathetic', 'sympathetic')",-0.39930266,-0.43056035,-0.7202672,-0.798359,0.0780918
35,1.0358253,0.97637206,"('corrupt', 'incorrupt')",-0.105712935,-0.16389632,0.4650562,0.4062379,0.0588183
38,-0.9811371,-0.9103552,"('untruthful', 'truthful')",-0.034304157,0.12202373,-0.5077206,-0.3941658,-0.1135548
2,0.9303208,1.2220738,"('unlikable', 'likable')",0.38803956,0.72712684,0.6591802,0.9746003,-0.3154201
45,-0.89156246,-0.9799518,"('incompetent', 'competent')",-0.21173462,-0.28661466,-0.5516486,-0.6332833,0.0816347
3,-0.87674487,-0.7801488,"('repellent', 'pleasant')",0.20829886,0.1975307,-0.334223,-0.2913091,-0.0429139
61,-0.8570522,-0.93246555,"('illogical', 'logical')",0.22448684,0.13404678,-0.3162827,-0.3992094,0.0829267
55,-0.8451443,-0.95629835,"('incompetent', 'clever')",0.08073771,0.109870106,-0.3822033,-0.4232141,0.0410108
63,-0.7926093,-0.96349853,"('unperceptive', 'insightful')",1.1183164,0.87426543,0.1628536,-0.0446166,0.2074702
50,0.7597872,0.64284945,"('clumsy', 'skillful')",0.43411514,0.28234428,0.5969512,0.4625969,0.1343543
32,-0.75214016,-0.57193935,"('unkind', 'kind')",0.84378666,0.9693957,0.0458232,0.1987282,-0.152905
31,-0.71453553,-0.7930283,"('evil', 'good')",-0.8608901,-1.0560334,-0.7877128,-0.9245309,0.1368181
24,-0.6630512,-0.6664206,"('dishonest', 'honest')",0.76228344,0.68750226,0.0496161,0.0105408,0.0390753
72,-0.6513911,-0.8354822,"('unambitious', 'ambitious')",-0.6357138,-0.9435155,-0.6435524,-0.8894988,0.2459464
44,0.62497884,0.41571093,"('prejudiced', 'unprejudiced')",-1.9129089,-1.9337857,-0.643965,-0.7590374,0.1150724
18,-0.61038023,-0.51771915,"('disagreeable', 'welcoming')",-0.019422904,0.048860356,-0.3149016,-0.2344294,-0.0804722
7,-0.5493124,-0.50048566,"('insensitive', 'sensitive')",1.0235364,0.8330258,0.237112,0.1662701,0.0708419
84,0.53700083,0.32039994,"('inferior', 'superior')",1.0742751,0.97183377,0.805638,0.6461169,0.1595211
52,-0.51414573,-0.7090904,"('irrational', 'rational')",0.23208022,0.17459024,-0.1410328,-0.2672501,0.1262173
60,-0.5082909,-0.6414632,"('inefficient', 'efficient')",-0.1819096,-0.2603692,-0.3451003,-0.4509162,0.1058159
54,-0.4889071,-0.21217972,"('incapable', 'capable')",1.2769661,1.4377488,0.3940295,0.6127845,-0.218755
70,-0.48342383,-0.5684912,"('lethargic', 'energetic')",0.42364982,0.38486677,-0.029887,-0.0918122,0.0619252
62,-0.45483097,-0.55429953,"('incompetent', 'brilliant')",0.49449793,0.21458203,0.0198335,-0.1698588,0.1896923
16,-0.41900477,-0.41482344,"('unpopular', 'popular')",0.41823825,0.5255739,-0.0003833,0.0553752,-0.0557585
29,-0.40522036,-0.8256691,"('unfair', 'fair')",-0.32098028,-0.5592178,-0.3631003,-0.6924435,0.3293432
56,-0.3868548,-0.30844074,"('impractical', 'practical')",-0.38734174,-0.2732088,-0.3870983,-0.2908248,-0.0962735
