,constellation_male,constellation_female,tuple,brands_male,brands_female,inc_male,inc_female,average_male,average_female,male-female
39,3.8696764,3.7984843,"('exploitative', 'cooperative')",1.5798227,1.5789248,0.16224009,0.27698684,1.8705797,1.8847987,-0.014219
4,-1.98231,-1.8737072,"('disliked', 'liked')",-0.5671394,-0.41991532,-6.0212746,-6.13236,-2.8569082,-2.8086608,-0.0482474
16,-1.974411,-1.7820113,"('unpopular', 'popular')",-0.5572304,-0.507658,0.42283002,0.5538749,-0.7029371,-0.5785981,-0.124339
60,1.8887048,2.2636132,"('inefficient', 'efficient')",1.668603,2.0123148,-0.41425553,-0.06826925,1.047684,1.4025529,-0.3548689
6,-1.6959454,-1.8890128,"('distant', 'open')",-0.7509253,-1.0428425,0.65870667,0.53611314,-0.5960547,-0.7985806,0.2025259
20,1.6531963,1.5643531,"('rough', 'thoughtful')",0.7722779,0.81189597,0.9626453,0.9366662,1.1293732,1.1043051,0.0250681
23,1.5921268,1.7855445,"('insincere', 'sincere')",0.8417382,1.0163664,4.770186,5.1787477,2.4013503,2.6602195,-0.2588692
71,1.4100165,1.3409564,"('diffident', 'self-confident')",2.527242,2.2505088,0.85762393,0.6152385,1.5982941,1.4022346,0.1960595
5,-1.398099,-1.4042732,"('distant', 'outgoing')",-0.44891125,-0.59854144,0.007020358,-0.019054038,-0.6133299,-0.6739562,0.0606263
74,1.3411053,1.3914385,"('undedicated', 'dedicated')",1.0169544,0.87082577,0.42362753,0.36709613,0.9272292,0.8764535,0.0507757
65,1.3287661,1.7890059,"('insecure', 'secure')",0.6410507,0.88666886,-0.5069591,-0.21441457,0.4876192,0.82042,-0.3328008
76,1.32684,1.5264112,"('anxious', 'daring')",1.0925651,1.3297824,0.16591518,0.5835723,0.8617734,1.1465886,-0.2848152
56,1.248626,1.6650252,"('impractical', 'practical')",1.5314143,1.8847352,-0.29427356,0.11531249,0.8285889,1.221691,-0.3931021
84,1.2255847,1.108813,"('inferior', 'superior')",0.15450764,0.04532685,0.8253194,0.6058466,0.7351373,0.5866621,0.1484752
72,1.2160156,1.1659521,"('unambitious', 'ambitious')",-0.6884681,-0.7556402,-1.0552609,-1.1220042,-0.1759045,-0.2372308,0.0613263
29,-1.2129819,-1.3376546,"('unfair', 'fair')",-0.8954005,-0.98530143,-0.44797367,-0.7025791,-0.8521187,-1.0085117,0.156393
52,-1.1990967,-1.0948949,"('irrational', 'rational')",-0.92807037,-1.0615519,-0.077678725,-0.09746679,-0.7349486,-0.7513045,0.0163559
31,-1.1860114,-1.404229,"('evil', 'good')",-1.7546141,-1.9843358,-0.69862926,-0.89897096,-1.213085,-1.4291786,0.2160936
43,1.029528,1.0266109,"('irresponsible', 'responsible')",1.7219214,1.6612673,0.32174146,0.50193596,1.0243971,1.0632714,-0.0388743
36,-1.0148165,-1.0715666,"('hostile', 'amicable')",-1.9528894,-1.9704632,0.37216532,0.22018433,-0.8651802,-0.9406152,0.075435
75,-0.9808872,-0.9126917,"('meek', 'impulsive')",-1.4607159,-1.4194853,-0.42859018,-0.5141382,-0.9567312,-0.9487718,-0.0079594
17,-0.9553246,-0.62237304,"('nasty', 'nice')",-0.9519132,-0.66979164,-0.84821856,-0.60442775,-0.9184855,-0.6321975,-0.286288
67,0.94634545,1.0979519,"('doubtful', 'determined')",0.1518626,0.26489234,-0.5742827,-0.3412854,0.1746418,0.3405196,-0.1658778
27,0.9362588,0.58156276,"('hardhearted', 'softhearted')",0.61517334,0.18655442,1.744697,1.1452785,1.0987097,0.6377985,0.4609112
69,-0.89711577,-0.94871145,"('lazy', 'industrious')",0.3143322,0.1861125,-0.01881666,-0.3554365,-0.2005334,-0.3726785,0.1721451
7,0.8820339,0.87057626,"('insensitive', 'sensitive')",0.7355201,0.74354243,0.3764846,0.29653138,0.6646795,0.6368833,0.0277962
70,0.8795774,0.8797551,"('lethargic', 'energetic')",0.69771206,0.6971204,0.46595648,0.5436753,0.681082,0.7068502,-0.0257682
10,0.8358146,0.9718944,"('unsympathetic', 'sympathetic')",0.3778933,0.45045573,-0.7897651,-0.6157939,0.1413143,0.2688521,-0.1275378
62,0.832033,1.2495512,"('incompetent', 'brilliant')",1.2379165,1.4111761,-0.41078705,-0.10516975,0.5530541,0.8518525,-0.2987984
24,0.8300991,0.6227045,"('dishonest', 'honest')",-0.33113015,-0.46811545,0.19101179,0.45310903,0.2299936,0.202566,0.0274276
9,0.80089426,0.4788705,"('unaffectionate', 'caring')",0.49022004,0.13954064,1.12385,0.85559666,0.8049881,0.4913359,0.3136522
58,0.7991188,0.520723,"('undiscriminating', 'discriminating')",0.8060642,0.54734683,0.19186631,-0.12991668,0.5990164,0.3127177,0.2862987
59,-0.7853043,-0.7280881,"('foolish', 'wise')",0.2784132,0.052183278,0.48819396,0.42700425,-0.0062324,-0.0829669,0.0767345
66,-0.7663012,-0.84105396,"('inactive', 'active')",-0.13209046,-0.49042603,1.2527554,0.8584298,0.1181212,-0.1576834,0.2758046
82,-0.72194207,-0.35546777,"('poor', 'rich')",0.20223911,0.28049064,5.62851,5.889545,1.7029357,1.9381893,-0.2352536
51,-0.69165576,-0.3467914,"('uneducated', 'educated')",-0.1782372,-0.04707191,-0.090984814,-0.0063304044,-0.3202926,-0.1333979,-0.1868947
3,-0.6887611,-0.68717724,"('repellent', 'pleasant')",-0.45554844,-0.23504531,-0.39114493,-0.12665564,-0.5118182,-0.3496261,-0.1621921
26,0.6881348,0.6661111,"('hardhearted', 'benevolent')",1.0095452,0.7839849,1.7492725,1.7506435,1.1489841,1.0669131,0.082071
46,0.6676408,0.5644055,"('uncompetitive', 'competitive')",1.5793104,1.6563704,-0.7162029,-0.576644,0.5102494,0.548044,-0.0377946
54,0.6463476,0.79205453,"('incapable', 'capable')",1.064727,0.83119196,1.0754101,1.1330273,0.9288282,0.9187579,0.0100703
57,-0.63719493,-0.7335538,"('unimaginative', 'imaginative')",-0.09275008,-0.31002623,-2.1703742,-2.4512208,-0.966773,-1.1649336,0.1981606
78,0.62168247,0.388536,"('nonresilient', 'resilient')",1.2276932,1.0121531,0.4602563,0.1620886,0.7698774,0.5209259,0.2489515
53,0.61079264,0.34483337,"('uncreative', 'creative')",1.16153,0.68911606,1.060299,0.78635395,0.9442072,0.6067678,0.3374394
30,0.6067761,1.072189,"('intolerant', 'tolerant')",1.4457827,1.7466116,0.73730713,1.1288368,0.9299553,1.315879,-0.3859237
45,-0.6053625,-0.42381188,"('incompetent', 'competent')",0.5103441,0.59256095,-0.38737395,-0.30388397,-0.1607974,-0.045045,-0.1157524
19,-0.57208705,-0.58996606,"('inhospitable', 'hospitable')",-0.24069506,-0.46185082,0.07245638,-0.0674821,-0.2467752,-0.3730997,0.1263245
12,0.5602624,0.5022771,"('unsupportive', 'supportive')",0.94047415,0.7253448,-1.5742644,-1.8011036,-0.0245093,-0.1911606,0.1666513
77,0.53466344,0.44025615,"('unmotivated', 'motivated')",0.21525773,0.26894674,-1.416796,-1.3671728,-0.2222916,-0.2193233,-0.0029683
35,-0.5249498,-0.8403189,"('corrupt', 'incorrupt')",-2.027113,-2.110504,-0.049913622,-0.14870025,-0.8673255,-1.0331744,0.1658489
81,-0.4718327,0.28565753,"('submissive', 'aggressive')",0.25316024,0.5578383,-1.2000521,-0.7622896,-0.4729082,0.0270688,-0.499977
11,0.4716817,0.68869686,"('unhelpful', 'helpful')",0.40248102,0.54590476,1.4173856,1.6617653,0.7638494,0.9654557,-0.2016063
33,0.46696603,0.044468004,"('wrong', 'right')",0.6953994,0.339853,-0.12328124,-0.4705181,0.3463614,-0.0287324,0.3750938
63,0.42683193,0.61272025,"('unperceptive', 'insightful')",0.8551148,0.82389456,0.8381947,0.7658486,0.7067138,0.7341545,-0.0274407
47,-0.40058362,0.12339434,"('stupid', 'smart')",1.2492584,1.4473833,4.9747453,5.359523,1.94114,2.3101002,-0.3689602
68,-0.39271134,-0.29562944,"('dependent', 'independent')",-0.26377034,-0.3854953,-0.5060314,-0.6369797,-0.3875043,-0.4393682,0.0518639
61,0.37518692,0.47726756,"('illogical', 'logical')",-0.16871755,-0.12056017,-0.019762907,0.043475084,0.0622355,0.1333942,-0.0711587
50,-0.3679791,-0.38055873,"('clumsy', 'skillful')",0.18291794,0.14752795,0.38537067,0.274007,0.0667698,0.0136587,0.0531111
85,-0.34803608,-0.38615137,"('insignificant', 'prestigious')",-0.19375233,-0.34117174,0.8590298,0.684428,0.1057471,-0.0142984,0.1200455
32,0.33517691,0.66098213,"('unkind', 'kind')",0.9429559,0.8956192,0.67138994,0.7738404,0.6498409,0.7768139,-0.126973
34,0.32168406,0.44800583,"('mean', 'honorable')",-0.3896399,-0.28206262,5.4795237,5.6481843,1.8038559,1.9380425,-0.1341866
44,-0.3031514,-0.30420455,"('prejudiced', 'unprejudiced')",0.21426943,0.2167499,-0.9974339,-0.859396,-0.3621053,-0.3156169,-0.0464884
22,0.27252564,0.25862274,"('untrustworthy', 'trustworthy')",0.37506023,0.4032924,-1.045054,-0.8797849,-0.1324894,-0.0726233,-0.0598661
15,0.27082253,0.48855114,"('boring', 'funny')",0.11477554,0.1617566,0.5343905,0.6039345,0.3066629,0.4180808,-0.1114179
21,0.2688046,0.68839395,"('immoral', 'moral')",0.84291995,1.2066468,-1.0800546,-0.72143924,0.0105567,0.3912005,-0.3806438
13,-0.26760104,0.02527659,"('impolite', 'polite')",0.5653567,0.6857765,-0.72923017,-0.5005162,-0.1438248,0.070179,-0.2140038
79,-0.25603232,-0.24903964,"('wavering', 'unwavering')",-1.279504,-1.417246,0.09503738,-0.019597555,-0.4801663,-0.5619611,0.0817948
40,-0.25401866,-0.58562577,"('stingy', 'generous')",-0.5030249,-0.7907649,-1.4253119,-1.8623801,-0.7274518,-1.0795903,0.3521385
80,0.22879939,0.29409188,"('dominated', 'dominating')",0.7392296,0.77461326,-1.4751742,-1.415448,-0.1690484,-0.115581,-0.0534674
49,0.20973323,0.5406546,"('unable', 'able')",0.25545168,0.60041153,-0.33254915,-0.11964512,0.0442119,0.3404737,-0.2962618
37,0.2095946,-0.27650744,"('fake', 'genuine')",0.047226567,-0.27136034,0.421472,0.27374938,0.2260977,-0.0913728,0.3174705
88,0.20602533,0.72818595,"('low', 'eminent')",0.27375174,0.44041964,0.050443165,0.2661934,0.1767401,0.4782663,-0.3015262
86,-0.19614173,-0.16367197,"('uninfluential', 'influential')",0.04879877,-0.0839693,-0.15653698,-0.2202492,-0.1012933,-0.1559635,0.0546702
28,0.19484879,0.07987243,"('disloyal', 'loyal')",-0.33185923,-0.3923202,0.73610264,0.76027733,0.1996974,0.1492765,0.0504209
25,-0.17788781,-0.17097345,"('egoistic', 'altruistic')",-0.37058792,-0.4521684,1.415765,1.4054025,0.2890964,0.2607536,0.0283428
14,0.17654735,0.47500068,"('antisocial', 'social')",0.82662964,1.116688,-1.1601965,-0.6711969,-0.0523399,0.3068306,-0.3591705
83,0.14806154,0.20710097,"('powerless', 'powerful')",0.6549879,0.82183397,-0.8428651,-0.7788443,-0.0132719,0.0833636,-0.0966355
18,0.13582595,0.2676977,"('disagreeable', 'welcoming')",-0.3731282,-0.35139626,-0.27540112,-0.14558668,-0.1709011,-0.0764284,-0.0944727
0,-0.12771378,0.178987,"('unsociable', 'sociable')",0.92368853,1.0677997,-0.6857445,-0.5354094,0.0367434,0.2371258,-0.2003824
38,-0.09980327,-0.20513792,"('untruthful', 'truthful')",-0.64486355,-0.6172812,-0.47757074,-0.4012506,-0.4074125,-0.4078899,0.0004774
42,0.07564193,0.21793996,"('unreliable', 'reliable')",0.9242508,0.9431517,-2.2235646,-2.2486777,-0.4078906,-0.3625287,-0.0453619
41,-0.064785324,0.2303681,"('unforgiving', 'forgiving')",-0.3039563,-0.14712146,0.15437609,0.20964736,-0.0714552,0.0976313,-0.1690865
64,-0.0596761,0.081991084,"('shy', 'confident')",0.1340557,0.21295539,-6.038467,-5.9528623,-1.9880292,-1.8859719,-0.1020573
73,0.055247135,0.14731894,"('helpless', 'self-reliant')",0.92489403,0.8852823,-2.8475568,-2.94971,-0.6224719,-0.6390362,0.0165643
8,-0.04934825,-0.18557118,"('unaffectionate', 'affectionate')",-0.46118307,-0.65703714,0.8548591,0.60666555,0.1147759,-0.0786476,0.1934235
55,0.04021133,0.26509765,"('incompetent', 'clever')",0.9049613,1.1429609,-0.32174766,-0.040009294,0.2078083,0.4560164,-0.2482081
1,0.03269288,-0.17138362,"('unfriendly', 'friendly')",0.63774496,0.07171292,1.5728854,1.3705987,0.7477744,0.4236427,0.3241317
87,0.032670148,0.36890423,"('unsuccessful', 'successful')",1.7644677,1.8078402,0.61635727,0.6441065,0.8044984,0.9402836,-0.1357852
48,0.030169338,0.14153355,"('unintelligent', 'intelligent')",-0.59415126,-0.68906933,0.20012291,0.1790989,-0.1212863,-0.1228123,0.001526
2,-0.0145039,0.4826238,"('unlikable', 'likable')",0.8894872,0.9531879,0.5913096,0.88393104,0.4887643,0.7732476,-0.2844833
