,exelon_male,exelon_female,tuple,corp_male,corp_female,average_male,average_female,male-female
10,-2.3988895,-2.447734,"('unsympathetic', 'sympathetic')",-0.68513715,-0.7895327,-1.5420134,-1.6186334,0.07662
0,-2.148862,-2.4254887,"('unsociable', 'sociable')",-0.412848,-0.6227312,-1.2808549,-1.52411,0.2432551
86,-2.0868342,-2.2878687,"('uninfluential', 'influential')",-0.29291314,-0.55418146,-1.1898737,-1.421025,0.2311513
55,-2.0210426,-1.906354,"('incompetent', 'clever')",0.082650706,0.017246297,-0.969196,-0.9445539,-0.0246421
45,-1.8964251,-1.8995192,"('incompetent', 'competent')",-0.19180427,-0.3598568,-1.0441147,-1.129688,0.0855733
53,-1.8319644,-1.7771614,"('uncreative', 'creative')",0.21812363,0.074924454,-0.8069203,-0.8511184,0.0441981
57,-1.7669587,-1.9676242,"('unimaginative', 'imaginative')",-2.9623542,-3.0402033,-2.3646564,-2.5039139,0.1392575
13,-1.7347913,-1.705484,"('impolite', 'polite')",-1.0220681,-0.971542,-1.3784297,-1.338513,-0.0399167
46,-1.4661812,-1.5420604,"('uncompetitive', 'competitive')",-1.1889375,-1.1839231,-1.3275594,-1.3629918,0.0354324
22,-1.436941,-1.3667449,"('untrustworthy', 'trustworthy')",-1.0440904,-1.2062844,-1.2405157,-1.2865146,0.0459989
56,-1.3432834,-1.3342156,"('impractical', 'practical')",-0.8527436,-0.86937594,-1.0980135,-1.1017958,0.0037823
28,-1.3382852,-1.4165727,"('disloyal', 'loyal')",0.8808915,0.57938987,-0.2286969,-0.4185914,0.1898945
21,-1.3012011,-1.1416858,"('immoral', 'moral')",-0.70068926,-0.6762543,-1.0009452,-0.9089701,-0.0919751
43,-1.2822969,-1.2582617,"('irresponsible', 'responsible')",0.09227863,0.039398316,-0.5950091,-0.6094317,0.0144226
14,-1.2017387,-1.2299498,"('antisocial', 'social')",-0.12396699,-0.22733748,-0.6628529,-0.7286437,0.0657908
73,1.1957816,1.2661406,"('helpless', 'self-reliant')",-2.778316,-2.5974386,-0.7912672,-0.665649,-0.1256182
65,-1.1918168,-1.3608962,"('insecure', 'secure')",-0.52590215,-0.5314372,-0.8588595,-0.9461668,0.0873073
69,1.1380728,1.1321399,"('lazy', 'industrious')",-0.7630352,-0.666397,0.1875188,0.2328715,-0.0453527
32,-1.1344137,-1.1470364,"('unkind', 'kind')",0.68300664,0.48607457,-0.2257035,-0.3304809,0.1047774
51,-1.098859,-1.1071568,"('uneducated', 'educated')",0.5710885,0.579449,-0.2638852,-0.2638539,-3.13e-05
12,-1.0897186,-1.081714,"('unsupportive', 'supportive')",-1.913046,-1.9352171,-1.5013824,-1.5084655,0.0070831
75,1.0880631,1.4386537,"('meek', 'impulsive')",-0.5917921,-0.44128156,0.2481355,0.4986861,-0.2505506
1,-1.0755612,-1.1963441,"('unfriendly', 'friendly')",1.6743547,1.3379562,0.2993968,0.070806,0.2285908
30,-1.066328,-1.0698432,"('intolerant', 'tolerant')",0.5201202,0.56101424,-0.2731039,-0.2544145,-0.0186894
60,-1.0531487,-1.0392978,"('inefficient', 'efficient')",-0.3204692,-0.20931904,-0.6868089,-0.6243084,-0.0625005
11,-1.0415788,-1.0793111,"('unhelpful', 'helpful')",1.2332829,1.3324964,0.0958521,0.1265926,-0.0307405
70,-1.0086303,-1.1284603,"('lethargic', 'energetic')",0.0745884,-0.0056668725,-0.4670209,-0.5670636,0.1000427
7,-0.9341338,-0.99555534,"('insensitive', 'sensitive')",0.6733267,0.44019055,-0.1304036,-0.2776824,0.1472788
68,-0.8880655,-0.8840454,"('dependent', 'independent')",-0.9084501,-0.9579253,-0.8982579,-0.9209853,0.0227274
