,nike_male,nike_female,tuple,inc_male,inc_female,average_male,average_female,male-female
1,2.7316139,2.677482,"('unfriendly', 'friendly')",1.6832019,1.7029947,2.207408,2.1902382,0.0171698
71,2.1731489,2.0270216,"('diffident', 'self-confident')",0.64121056,0.6467892,1.4071797,1.3369055,0.0702742
53,2.1187544,2.0497923,"('uncreative', 'creative')",1.1362998,1.0958729,1.6275271,1.5728326,0.0546945
26,2.0647256,2.192444,"('hardhearted', 'benevolent')",1.3236073,1.4123645,1.6941664,1.8024043,-0.1082379
9,2.0365608,2.0358133,"('unaffectionate', 'caring')",1.0036963,1.1645653,1.5201285,1.6001893,-0.0800608
85,1.9692107,1.8449333,"('insignificant', 'prestigious')",0.2785046,0.31931502,1.1238577,1.0821241,0.0417336
12,1.7813505,1.8475273,"('unsupportive', 'supportive')",-1.3271382,-1.3769292,0.2271062,0.2352991,-0.0081929
44,-1.7784126,-1.6301073,"('prejudiced', 'unprejudiced')",-1.3658739,-1.2551827,-1.5721433,-1.4426451,-0.1294982
33,1.7422549,1.5924308,"('wrong', 'right')",-0.5937972,-0.4978156,0.5742288,0.5473076,0.0269212
54,1.5026013,1.3981508,"('incapable', 'capable')",1.4351467,1.464446,1.468874,1.4312984,0.0375756
64,-1.3389322,-1.2835782,"('shy', 'confident')",-6.1160183,-5.8489094,-3.7274752,-3.5662436,-0.1612316
84,1.3216975,1.1488875,"('inferior', 'superior')",1.0736258,0.96563166,1.1976616,1.0572596,0.140402
56,1.2925266,1.3532166,"('impractical', 'practical')",0.17992026,0.17583236,0.7362235,0.7645245,-0.028301
14,-1.236046,-1.1277307,"('antisocial', 'social')",-1.3775709,-1.3317363,-1.3068085,-1.2297335,-0.077075
74,1.2271911,1.1466222,"('undedicated', 'dedicated')",0.26194984,0.17824861,0.7445705,0.6624354,0.0821351
5,1.2078983,1.0380605,"('distant', 'outgoing')",-0.44539496,-0.3366682,0.3812516,0.3506962,0.0305554
45,-1.2077283,-1.0250764,"('incompetent', 'competent')",-0.48631233,-0.5049191,-0.8470203,-0.7649977,-0.0820226
81,-1.1398071,-1.0322603,"('submissive', 'aggressive')",-0.7467735,-0.8838629,-0.9432903,-0.9580616,0.0147713
17,-1.1154592,-1.0089426,"('nasty', 'nice')",-0.7869229,-0.67866695,-0.9511911,-0.8438048,-0.1073863
23,1.1073015,1.232025,"('insincere', 'sincere')",6.1518316,6.020738,3.6295667,3.6263816,0.0031851
80,-1.1058787,-1.0521322,"('dominated', 'dominating')",-1.1763965,-1.2478406,-1.1411376,-1.1499865,0.0088489
57,-1.0953084,-1.0912505,"('unimaginative', 'imaginative')",-2.61513,-2.6872284,-1.8552191,-1.8892395,0.0340204
8,1.0428818,0.94281316,"('unaffectionate', 'affectionate')",0.32706767,0.54184115,0.6849748,0.7423272,-0.0573524
22,-0.9955664,-0.8923082,"('untrustworthy', 'trustworthy')",-1.0966637,-0.9717459,-1.046115,-0.932027,-0.114088
39,0.9718313,1.1103444,"('exploitative', 'cooperative')",0.07748457,0.24377307,0.524658,0.6770588,-0.1524008
3,-0.970047,-0.7083964,"('repellent', 'pleasant')",0.042997625,-0.007823916,-0.4635247,-0.3581102,-0.1054145
72,0.9674198,1.0202018,"('unambitious', 'ambitious')",-0.5042349,-0.5783769,0.2315924,0.2209125,0.0106799
29,-0.94377506,-1.0332811,"('unfair', 'fair')",-0.5113964,-0.5025492,-0.7275857,-0.7679151,0.0403294
13,-0.92822057,-0.7341873,"('impolite', 'polite')",-0.41066557,-0.44101486,-0.6694431,-0.5876011,-0.081842
24,0.9090467,0.86072403,"('dishonest', 'honest')",1.2651719,1.2155085,1.0871093,1.0381162,0.0489931
73,0.878232,0.94281584,"('helpless', 'self-reliant')",-3.1257474,-2.9797347,-1.1237577,-1.0184594,-0.1052983
32,0.83302957,0.9697392,"('unkind', 'kind')",1.1629084,1.1280408,0.997969,1.04889,-0.050921
86,0.8125359,0.59218574,"('uninfluential', 'influential')",-0.08782527,-0.28982395,0.3623553,0.1511809,0.2111744
6,0.80080116,0.64623547,"('distant', 'open')",-0.11489063,0.01823217,0.3429553,0.3322338,0.0107215
25,0.79144454,0.6844066,"('egoistic', 'altruistic')",1.1904247,1.2027175,0.9909346,0.943562,0.0473726
59,0.73966515,0.75239706,"('foolish', 'wise')",0.3920629,0.62522954,0.565864,0.6888133,-0.1229493
65,-0.73116976,-0.75222033,"('insecure', 'secure')",-0.063839555,-0.1769207,-0.3975047,-0.4645705,0.0670658
46,-0.72866845,-0.80958074,"('uncompetitive', 'competitive')",-0.1465759,-0.5072017,-0.4376222,-0.6583912,0.220769
4,-0.694366,-0.60928446,"('disliked', 'liked')",-6.5163116,-6.27295,-3.6053388,-3.4411173,-0.1642215
66,-0.6744256,-0.88588476,"('inactive', 'active')",0.32060084,0.19575587,-0.1769124,-0.3450645,0.1681521
38,0.6579255,0.58585006,"('untruthful', 'truthful')",0.50188863,0.5058042,0.5799071,0.5458272,0.0340799
68,-0.6444809,-0.8818577,"('dependent', 'independent')",-0.3491155,-0.60745233,-0.4967982,-0.744655,0.2478568
55,-0.63460946,-0.6318908,"('incompetent', 'clever')",0.09567345,0.0077149197,-0.269468,-0.3120879,0.0426199
10,-0.6056464,-0.4802316,"('unsympathetic', 'sympathetic')",-0.18343177,-0.42368945,-0.3945391,-0.4519605,0.0574214
75,-0.60300577,-0.59967875,"('meek', 'impulsive')",-0.19493169,-0.22882195,-0.3989687,-0.4142503,0.0152816
61,0.59745115,0.48535258,"('illogical', 'logical')",0.24118851,0.16464482,0.4193198,0.3249987,0.0943211
51,-0.59654844,-0.71131116,"('uneducated', 'educated')",0.77089316,0.669678,0.0871724,-0.0208166,0.107989
67,0.55618864,0.48467553,"('doubtful', 'determined')",-0.2816311,-0.30227047,0.1372788,0.0912025,0.0460763
19,0.5271086,0.20934778,"('inhospitable', 'hospitable')",-0.048144285,-0.039160363,0.2394822,0.0850937,0.1543885
82,0.51101834,0.39834744,"('poor', 'rich')",6.1971383,5.962633,3.3540783,3.1804903,0.173588
79,0.44788784,0.20153184,"('wavering', 'unwavering')",0.19924994,0.074660614,0.3235689,0.1380962,0.1854727
34,0.4260606,0.28547582,"('mean', 'honorable')",6.0771003,5.851146,3.2515805,3.068311,0.1832695
