,nike_male,nike_female,tuple,inc_male,inc_female,average_male,average_female,male-female
1,2.2448726,2.5986514,"('unfriendly', 'friendly')",1.1367654,1.506843,1.690819,2.0527472,-0.3619282
26,2.1390834,2.2434716,"('hardhearted', 'benevolent')",1.4226829,1.5779105,1.7808831,1.910691,-0.1298079
71,2.0690079,2.1373765,"('diffident', 'self-confident')",0.53165096,0.60806966,1.3003294,1.3727231,-0.0723937
85,1.9262462,1.9951663,"('insignificant', 'prestigious')",0.36341432,0.6722717,1.1448302,1.333719,-0.1888888
53,1.6788197,2.1164927,"('uncreative', 'creative')",0.55405575,0.85870796,1.1164377,1.4876003,-0.3711626
9,1.6103169,1.5555415,"('unaffectionate', 'caring')",0.43799517,0.6491431,1.024156,1.1023424,-0.0781864
33,1.5993832,1.6048578,"('wrong', 'right')",-0.81483877,-0.63115144,0.3922722,0.4868532,-0.094581
57,-1.5163447,-1.2510569,"('unimaginative', 'imaginative')",-2.9564576,-2.9220145,-2.2364011,-2.0865357,-0.1498654
45,-1.5069296,-1.402441,"('incompetent', 'competent')",-0.63963354,-0.762659,-1.0732815,-1.08255,0.0092685
12,1.4714478,1.6612496,"('unsupportive', 'supportive')",-1.7105591,-1.6494601,-0.1195557,0.0058948,-0.1254505
39,1.4269526,1.2020293,"('exploitative', 'cooperative')",0.28487253,0.13238418,0.8559126,0.6672068,0.1887058
54,1.3729143,1.2519443,"('incapable', 'capable')",1.1923833,1.3878334,1.2826488,1.3198888,-0.03724
64,-1.3229154,-1.120079,"('shy', 'confident')",-6.07773,-6.0971365,-3.7003229,-3.6086078,-0.0917151
17,-1.2652273,-1.0232959,"('nasty', 'nice')",-0.739142,-0.7734827,-1.0021846,-0.8983893,-0.1037953
29,-1.2084134,-1.1263415,"('unfair', 'fair')",-0.6915276,-0.5754616,-0.9499705,-0.8509015,-0.099069
14,-1.1728224,-0.86783546,"('antisocial', 'social')",-0.8947245,-1.0467579,-1.0337734,-0.9572967,-0.0764767
56,1.1481497,0.99873364,"('impractical', 'practical')",-0.111057386,-0.3625649,0.5185462,0.3180844,0.2004618
44,-1.1102169,-1.4042639,"('prejudiced', 'unprejudiced')",-1.0374161,-1.117329,-1.0738165,-1.2607964,0.1869799
4,-1.0900006,-0.87672013,"('disliked', 'liked')",-6.7156763,-6.5298543,-3.9028385,-3.7032871,-0.1995514
81,-1.0816056,-1.1782849,"('submissive', 'aggressive')",-0.7935143,-0.9310165,-0.93756,-1.0546507,0.1170907
84,1.0732312,1.204367,"('inferior', 'superior')",1.0894723,1.1125666,1.0813518,1.1584668,-0.077115
46,-1.028971,-0.7390447,"('uncompetitive', 'competitive')",-0.38022888,-0.54146326,-0.7045999,-0.640254,-0.0643459
23,1.0245963,1.1375741,"('insincere', 'sincere')",5.8034854,5.7311163,3.4140408,3.4343452,-0.0203044
73,1.009926,1.0058869,"('helpless', 'self-reliant')",-3.043,-2.9631317,-1.016537,-0.9786224,-0.0379146
74,1.0065309,1.056489,"('undedicated', 'dedicated')",0.033043526,0.13532758,0.5197872,0.5959083,-0.0761211
51,-0.99912655,-0.9382973,"('uneducated', 'educated')",0.61367834,0.5316373,-0.1927241,-0.20333,0.0106059
13,-0.9512087,-0.9720472,"('impolite', 'polite')",-0.5983818,-0.7859604,-0.7747953,-0.8790038,0.1042085
22,-0.8870093,-1.0344834,"('untrustworthy', 'trustworthy')",-1.1853871,-1.2037848,-1.0361983,-1.1191342,0.0829359
5,0.8787066,0.71887726,"('distant', 'outgoing')",-1.021267,-0.6864658,-0.0712802,0.0162057,-0.0874859
32,0.85032594,0.9206103,"('unkind', 'kind')",0.8477135,0.82281625,0.8490197,0.8717133,-0.0226936
3,-0.8389222,-0.65191966,"('repellent', 'pleasant')",0.26838848,0.14763464,-0.2852669,-0.2521425,-0.0331244
75,-0.8035744,-0.8801505,"('meek', 'impulsive')",-0.34629208,-0.33132023,-0.5749332,-0.6057354,0.0308022
59,0.77076596,0.6258073,"('foolish', 'wise')",0.042007852,0.28073904,0.4063869,0.4532732,-0.0468863
8,0.7413335,0.74564123,"('unaffectionate', 'affectionate')",-0.026283462,0.2794682,0.357525,0.5125547,-0.1550297
72,0.7360432,0.91984427,"('unambitious', 'ambitious')",-0.7827357,-0.6938536,-0.0233462,0.1129953,-0.1363415
10,-0.733142,-0.6553806,"('unsympathetic', 'sympathetic')",-0.4057802,-0.6743846,-0.5694611,-0.6648826,0.0954215
68,-0.7297498,-0.65077335,"('dependent', 'independent')",-0.54207337,-0.5398417,-0.6359116,-0.5953075,-0.0406041
80,-0.7262726,-0.9974904,"('dominated', 'dominating')",-0.9986947,-1.3290197,-0.8624836,-1.163255,0.3007714
25,0.72208095,0.68069375,"('egoistic', 'altruistic')",1.3675816,1.342103,1.0448313,1.0113983,0.033433
