,coventry_male,coventry_female,tuple,health_male,health_female,care_male,care_female,inc_male,inc_female,average_male,average_female,male-female
57,1.678462,1.3220348,"('unimaginative', 'imaginative')",-0.29622316,-0.41214988,-0.27536392,-0.5206944,-2.6849694,-2.781592,-0.3945236,-0.5981003,0.2035767
31,-1.452229,-2.0585847,"('evil', 'good')",0.21985722,0.12035443,-0.47099826,-0.48399898,-0.70248026,-0.79456633,-0.6014626,-0.8041989,0.2027363
71,1.4284981,1.3922985,"('diffident', 'self-confident')",3.103292,2.8782854,2.8749857,2.6500013,1.2904687,1.1512518,2.1743112,2.0179594,0.1563518
74,1.3856353,1.2767123,"('undedicated', 'dedicated')",0.559263,0.62110573,-0.009729069,-0.20748179,0.10587313,-0.017163774,0.5102606,0.4182931,0.0919675
56,1.3800707,1.4558887,"('impractical', 'practical')",0.7542684,0.5995995,0.5038853,0.25304812,-0.1077369,-0.31903037,0.6326219,0.4973765,0.1352454
12,1.317532,1.1959169,"('unsupportive', 'supportive')",3.1655872,3.197486,2.793135,2.6360888,-1.3550245,-1.3365188,1.4803073,1.4232433,0.057064
87,1.2684181,1.4954361,"('unsuccessful', 'successful')",0.46341133,0.50564796,0.25773036,0.31369346,0.28049853,0.38876444,0.5675146,0.6758855,-0.1083709
70,1.2562501,1.2983763,"('lethargic', 'energetic')",-0.39935482,-0.34445053,-0.44943935,-0.52055573,0.80374664,0.60966504,0.3028007,0.2607588,0.0420419
63,1.1636574,1.0571356,"('unperceptive', 'insightful')",0.2841468,0.3508249,0.7352507,0.7456627,0.61871517,0.6724542,0.7004426,0.7065193,-0.0060767
38,1.1350685,0.9008044,"('untruthful', 'truthful')",0.86939615,0.8300863,0.7001089,0.55025285,0.37347245,0.22913936,0.7695115,0.6275707,0.1419408
45,1.1345825,0.89449215,"('incompetent', 'competent')",-0.5139194,-0.48135346,-0.10783506,-0.21111792,-0.45030624,-0.6891133,0.0156305,-0.1217731,0.1374036
46,1.1330755,1.2205479,"('uncompetitive', 'competitive')",-0.36838523,-0.35150036,0.07851038,0.03787637,-0.91036177,-0.9013202,-0.0167903,0.0014009,-0.0181912
43,1.1293695,1.2310209,"('irresponsible', 'responsible')",0.5446588,0.45834512,0.6771556,0.40029687,0.70471466,0.551082,0.7639747,0.6601863,0.1037884
59,1.110073,0.7873683,"('foolish', 'wise')",2.3972359,2.3851252,1.3874267,1.350662,0.8434099,0.83914727,1.4345365,1.3405756,0.0939609
4,1.1030598,0.58218735,"('disliked', 'liked')",1.7742524,1.604364,1.482544,1.4416658,-5.999865,-6.0588417,-0.4100022,-0.6076561,0.1976539
22,1.0414811,0.88537616,"('untrustworthy', 'trustworthy')",-0.41322324,-0.49896768,-0.18176374,-0.35592481,-0.51695246,-0.7194232,-0.0176146,-0.1722349,0.1546203
72,1.022554,1.025055,"('unambitious', 'ambitious')",0.20937495,0.06068339,-0.6777548,-0.9150687,-0.75931144,-1.0041767,-0.0512843,-0.2083768,0.1570925
80,1.0131919,1.4604825,"('dominated', 'dominating')",-0.863385,-0.64726,-0.12925927,0.14064515,-1.231682,-1.1751549,-0.3027836,-0.0553218,-0.2474618
86,0.9600684,1.003557,"('uninfluential', 'influential')",-0.3638919,-0.25215432,-0.5055772,-0.58110034,-0.42867708,-0.39298835,-0.0845194,-0.0556715,-0.0288479
47,0.9415159,0.96448076,"('stupid', 'smart')",0.8778201,0.85458,0.9106044,0.7952133,5.736605,5.666529,2.1166363,2.0702009,0.0464354
39,0.88880104,1.4705019,"('exploitative', 'cooperative')",0.064679004,0.065631375,0.029730946,0.018283024,0.16642205,0.28807852,0.2874083,0.4606237,-0.1732154
26,0.82973814,0.60730153,"('hardhearted', 'benevolent')",1.628043,1.6244384,1.438382,1.241844,1.9685231,1.9480482,1.4661716,1.3554081,0.1107635
62,0.8293306,1.0904144,"('incompetent', 'brilliant')",-0.37859163,-0.40664604,0.031343963,-0.0900929,-0.23045667,-0.23293166,0.0629066,0.090186,-0.0272794
24,0.8250238,0.7528331,"('dishonest', 'honest')",-0.41657466,-0.49525738,-0.52088094,-0.6573488,1.282133,1.1769294,0.2924253,0.1942891,0.0981362
73,0.8023998,0.89478886,"('helpless', 'self-reliant')",1.2048513,1.1991706,-0.16764814,-0.20777506,-3.0580502,-3.0497913,-0.3046118,-0.2909018,-0.01371
77,-0.7988858,-0.61417305,"('unmotivated', 'motivated')",-0.99245906,-0.9681961,-0.6009939,-0.5105867,-1.9556575,-1.7332109,-1.0869991,-0.9565417,-0.1304574
10,0.7588679,0.94527006,"('unsympathetic', 'sympathetic')",-1.2290175,-1.1085737,-0.74933356,-0.74709886,-0.48288167,-0.49785838,-0.4255912,-0.3520652,-0.073526
27,0.72489,0.7047808,"('hardhearted', 'softhearted')",0.4901145,0.62842876,1.0604393,1.1075749,1.722892,1.8300164,0.999584,1.0677001,-0.0681161
5,0.7153834,0.31586847,"('distant', 'outgoing')",1.2819673,1.1550486,0.72433245,0.46745056,0.3585071,0.16668376,0.7700475,0.5262628,0.2437847
44,-0.6955334,-0.40060824,"('prejudiced', 'unprejudiced')",-0.4752837,-0.3293731,0.0052234456,0.041884907,-1.1054351,-1.0882541,-0.5677572,-0.4440876,-0.1236696
53,0.6801436,0.3805711,"('uncreative', 'creative')",-0.6162837,-0.72856927,-0.97472835,-1.1044124,0.8693264,0.80683,-0.0103855,-0.1613951,0.1510096
49,0.6787146,0.46693528,"('unable', 'able')",0.82913274,0.9102007,0.9173987,1.023696,0.37312818,0.20759264,0.6995935,0.6521062,0.0474873
60,0.6777369,0.9958108,"('inefficient', 'efficient')",-1.3298557,-1.2614467,-0.03967673,-0.10842058,-0.5702704,-0.49400458,-0.3155165,-0.2170153,-0.0985012
11,0.67655265,0.6908485,"('unhelpful', 'helpful')",-0.0009952169,-0.12487443,0.87723947,0.8071384,2.2967362,2.152807,0.9623833,0.8814799,0.0809034
1,0.61385447,0.006661549,"('unfriendly', 'friendly')",1.2363572,0.97624034,0.73937136,0.38456815,2.2302265,2.0675526,1.2049524,0.8587556,0.3461968
16,-0.593361,-0.92415416,"('unpopular', 'popular')",0.80991036,0.87655926,0.43435043,0.56859386,0.31640106,0.43259797,0.2418252,0.2383992,0.003426
9,0.5855243,0.36907548,"('unaffectionate', 'caring')",1.4347272,1.335392,2.1064508,1.7835515,1.8047264,1.591788,1.4828572,1.2699518,0.2129054
64,0.5542261,0.69774926,"('shy', 'confident')",-0.09859076,-0.18326019,0.019327033,0.07593603,-6.8467636,-6.706455,-1.5929503,-1.5290076,-0.0639427
40,0.52677196,0.30682126,"('stingy', 'generous')",0.83598155,0.795629,0.539543,0.5020708,-1.7587832,-1.601611,0.0358783,0.0007275,0.0351508
14,0.49023214,0.86577946,"('antisocial', 'social')",-0.472819,-0.43712077,0.28388083,0.25396156,-0.70252603,-0.8662708,-0.100308,-0.0459126,-0.0543954
23,0.48586008,0.60931975,"('insincere', 'sincere')",-0.36114162,-0.4530873,0.5229328,0.3241256,6.331367,6.03427,1.7447546,1.628657,0.1160976
32,0.48127457,0.5574534,"('unkind', 'kind')",1.9540119,1.8860986,2.1599703,1.9922327,1.9433721,1.8161844,1.6346573,1.5629923,0.071665
29,0.4661654,0.06109131,"('unfair', 'fair')",0.14087301,0.073091194,-0.101739824,-0.15036449,0.05111607,-0.07805679,0.1391037,-0.0235597,0.1626634
30,0.46266744,0.6234573,"('intolerant', 'tolerant')",-0.5283941,-0.48229647,0.19205749,0.16208206,0.587174,0.73351234,0.1783762,0.2591888,-0.0808126
28,0.4558543,0.24645072,"('disloyal', 'loyal')",-0.32115078,-0.4509446,-0.52984464,-0.7146698,1.5472224,1.2364985,0.2880203,0.0793337,0.2086866
81,-0.44990206,-0.028185636,"('submissive', 'aggressive')",-0.8012351,-0.82608014,-0.10081966,0.020002104,-1.3770496,-1.2480766,-0.6822516,-0.5205851,-0.1616665
78,-0.43724856,-0.5524144,"('nonresilient', 'resilient')",1.8026668,1.9582652,2.4074101,2.4668787,0.109798595,0.23933864,0.9706568,1.028017,-0.0573602
67,-0.4199868,-0.20391695,"('doubtful', 'determined')",0.21351352,0.32015115,-0.10716513,0.03201434,-0.58365625,-0.4679617,-0.2243237,-0.0799283,-0.1443954
6,0.41848242,-0.040469244,"('distant', 'open')",1.395253,1.3179464,0.63536876,0.4088794,0.96186423,0.7946797,0.8527421,0.620259,0.2324831
33,0.4115429,0.42798048,"('wrong', 'right')",1.0980899,1.0561782,1.0046343,0.9606685,-0.67499363,-0.5410843,0.4598183,0.4759358,-0.0161175
85,0.41099685,0.1499876,"('insignificant', 'prestigious')",2.400337,2.5244865,1.1511192,1.1276745,0.91046274,1.0492356,1.2182289,1.212846,0.0053829
7,0.41054276,0.51826227,"('insensitive', 'sensitive')",-0.50181085,-0.57611674,-0.30423102,-0.33320206,0.87291855,0.73144406,0.1193549,0.0850969,0.034258
35,0.40699264,0.22136113,"('corrupt', 'incorrupt')",0.095968686,0.1036911,-0.20116799,-0.24384512,0.56103075,0.5032811,0.215706,0.1461221,0.0695839
25,-0.40540636,-0.3113255,"('egoistic', 'altruistic')",-0.055885732,0.009856954,0.07542375,0.13174628,1.5017745,1.7373793,0.2789766,0.3919142,-0.1129376
37,0.39785987,0.4120667,"('fake', 'genuine')",0.20372698,0.14590473,-0.49789804,-0.6213948,0.73987526,0.51883495,0.210891,0.1138529,0.0970381
41,0.38330066,0.06315837,"('unforgiving', 'forgiving')",0.23457956,0.2510743,0.8023196,0.8537173,-0.16771424,-0.15167731,0.3131214,0.2540682,0.0590532
65,-0.37047094,0.16228378,"('insecure', 'secure')",-1.6145009,-1.7216974,-0.43508837,-0.44955337,-0.43974993,-0.5228504,-0.7149525,-0.6329544,-0.0819981
75,0.35806015,-0.06358496,"('meek', 'impulsive')",0.8097674,0.726191,0.11434649,0.07344234,-0.059611984,-0.28764516,0.3056405,0.1121008,0.1935397
36,-0.35339248,-0.9205373,"('hostile', 'amicable')",0.69026965,0.68784374,0.09864826,0.055226088,0.52174073,0.46960524,0.2393165,0.0730344,0.1662821
54,0.35160488,0.27833155,"('incapable', 'capable')",0.32152662,0.31702074,0.51364684,0.5552756,1.4196645,1.2985791,0.6516107,0.6123017,0.039309
42,0.32165366,0.29401097,"('unreliable', 'reliable')",1.0031188,1.2574693,1.0775478,1.1907259,-2.8198755,-2.7941945,-0.1043888,-0.0129971,-0.0913917
50,-0.31191137,-0.3756318,"('clumsy', 'skillful')",1.2373691,1.5191945,0.95270663,1.0669065,0.29883948,0.31495902,0.544251,0.6313571,-0.0871061
2,-0.30009833,-0.28381315,"('unlikable', 'likable')",0.9647452,0.9091197,0.9269559,0.88614726,0.5624588,0.6351552,0.5385154,0.5366523,0.0018631
76,-0.2868402,0.31667012,"('anxious', 'daring')",-1.4478073,-1.1199484,-0.48395926,-0.34949294,-0.00015021488,0.10821864,-0.5546892,-0.2611381,-0.2935511
15,-0.27288535,-0.52023363,"('boring', 'funny')",-0.0004761219,-0.20350176,0.065215915,-0.115430824,0.26368856,0.11984645,0.0138858,-0.1798299,0.1937157
52,-0.2668169,-0.74363405,"('irrational', 'rational')",-0.102027595,-0.021917965,-0.030988,-0.0026198253,-0.21484575,-0.073719256,-0.1536696,-0.2104728,0.0568032
68,-0.22447337,-0.09000183,"('dependent', 'independent')",-1.1355203,-1.0065513,-0.9397175,-0.7976186,-0.7040508,-0.6304108,-0.7509405,-0.6311456,-0.1197949
8,-0.22051848,-0.59254575,"('unaffectionate', 'affectionate')",-0.11979738,-0.1519812,-0.2528866,-0.46624225,1.0534074,0.8571529,0.1150512,-0.0884041,0.2034553
3,-0.21695572,0.09648079,"('repellent', 'pleasant')",-1.3175056,-1.0645853,-0.9909408,-0.7474749,-0.048013452,0.047120936,-0.6433539,-0.4171146,-0.2262393
84,0.2134094,0.24480955,"('inferior', 'superior')",0.6034862,0.5110934,-0.24752295,-0.2780565,0.5221159,0.5580841,0.2728721,0.2589826,0.0138895
18,-0.19578826,-0.14730059,"('disagreeable', 'welcoming')",-0.19066322,-0.12091568,-0.109045625,-0.1085439,-0.18341446,-0.014501352,-0.1697279,-0.0978154,-0.0719125
83,-0.18577665,-0.023526102,"('powerless', 'powerful')",0.31073627,0.41262576,-0.0414801,-0.02198556,-1.2775993,-1.3540233,-0.29853,-0.2467273,-0.0518027
66,-0.18283261,-0.37187707,"('inactive', 'active')",0.4106957,0.41809425,0.091037855,0.06544493,1.4474429,1.4310153,0.441586,0.3856694,0.0559166
34,-0.16106978,-0.28682828,"('mean', 'honorable')",1.1413758,1.1406164,0.81397027,0.79756534,6.4342027,6.453229,2.0571198,2.0261457,0.0309741
20,0.15918127,0.3935278,"('rough', 'thoughtful')",-0.45572266,-0.35482594,-0.8946805,-0.7756481,0.5868995,0.7191196,-0.1510806,-0.0044567,-0.1466239
79,-0.13395315,-0.5686754,"('wavering', 'unwavering')",0.97193354,0.99940276,0.33290246,0.22136143,0.80860066,0.60192883,0.4948709,0.3135044,0.1813665
69,-0.1269294,-0.27234387,"('lazy', 'industrious')",1.4267478,1.5725626,1.2231139,1.2375487,-0.42882898,-0.24222519,0.5235258,0.5738856,-0.0503598
17,0.109482184,-0.1820925,"('nasty', 'nice')",-0.14717126,-0.054585684,0.04716067,0.137029,-0.34884852,-0.2962563,-0.0848442,-0.0989764,0.0141322
51,0.10425736,0.28209728,"('uneducated', 'educated')",-0.09540744,-0.063051455,-0.2063498,0.01958779,-0.19499505,0.075295,-0.0981237,0.0784822,-0.1766059
55,-0.09547429,0.27158135,"('incompetent', 'clever')",-2.2762916,-2.1123114,-1.3918334,-1.284744,-0.5919486,-0.47180846,-1.088887,-0.8993206,-0.1895664
21,-0.07333623,0.39184722,"('immoral', 'moral')",0.21455978,0.36455682,0.70008206,0.87649477,-1.032242,-0.84556437,-0.0477341,0.1968336,-0.2445677
58,-0.0717063,-0.29896557,"('undiscriminating', 'discriminating')",-1.6043745,-1.7294022,-0.780241,-0.9260569,-0.05573813,-0.2195308,-0.628015,-0.7934889,0.1654739
48,-0.068943076,-0.041200988,"('unintelligent', 'intelligent')",0.049548652,0.03672564,-0.023095593,-0.004746929,-0.06890309,0.069340475,-0.0278483,0.0150295,-0.0428778
19,0.06406696,-0.15964115,"('inhospitable', 'hospitable')",0.8948454,0.93121445,0.23048088,0.27705473,0.39590642,0.42245838,0.3963249,0.3677716,0.0285533
82,0.06390974,-0.01831273,"('poor', 'rich')",-0.2683193,-0.40283844,-0.8033688,-0.8984781,6.340243,6.0937757,1.3331161,1.1935366,0.1395795
0,-0.06278479,0.045015737,"('unsociable', 'sociable')",-0.13590673,-0.25893307,0.50743437,0.34967062,-0.64820206,-0.62348044,-0.0848648,-0.1219318,0.037067
61,-0.04746551,-0.16365764,"('illogical', 'logical')",-0.4694156,-0.5528309,0.19677958,0.10369824,0.279721,0.23755929,-0.0100951,-0.0938077,0.0837126
88,-0.042945154,-0.050137788,"('low', 'eminent')",-0.28170744,-0.29205242,-0.6387276,-0.74359286,0.18946782,0.15698716,-0.1934781,-0.232199,0.0387209
13,0.030981556,0.26411128,"('impolite', 'polite')",0.06406002,-0.0019594636,0.4929722,0.47485766,-0.4209851,-0.27114528,0.0417572,0.116466,-0.0747088
