,m&t_male,m&t_female,tuple,bank_male,bank_female,corp_male,corp_female,average_male,average_female,male-female
8,-2.3821578,-2.3212395,"('unaffectionate', 'affectionate')",-0.17563187,-0.35143048,0.1230485,-0.114601314,-0.8115803,-0.9290904,0.1175101
73,1.9854293,2.0895112,"('helpless', 'self-reliant')",0.9034078,0.78988457,1.5560229,1.5926073,1.48162,1.4906677,-0.0090477
4,1.7438253,1.69811,"('disliked', 'liked')",0.928389,0.85753113,0.7700226,0.77862626,1.1474123,1.1114225,0.0359898
1,-1.6339892,-1.7811506,"('unfriendly', 'friendly')",-0.7004405,-0.8862104,-0.7474165,-1.0098644,-1.0272821,-1.2257419,0.1984598
24,-1.6323287,-1.5063332,"('dishonest', 'honest')",-1.0584449,-1.0126754,0.7073346,0.74603915,-0.6611463,-0.5909898,-0.0701565
59,1.5943469,1.4494226,"('foolish', 'wise')",1.9157543,1.7263949,0.95182145,0.76339215,1.4873075,1.3130699,0.1742376
5,1.4692297,1.3960621,"('distant', 'outgoing')",1.520933,1.4584478,1.0403467,0.866569,1.3435032,1.2403596,0.1031436
64,1.463061,1.455543,"('shy', 'confident')",-0.097234055,0.052567977,0.5686567,0.6100122,0.6448279,0.706041,-0.0612131
48,-1.432096,-1.4786632,"('unintelligent', 'intelligent')",-1.7637129,-1.7888603,-1.820257,-1.7867551,-1.6720219,-1.6847595,0.0127376
51,1.4198325,1.3216759,"('uneducated', 'educated')",-0.05182952,-0.050987627,-0.12827975,-0.2969909,0.4132411,0.3245658,0.0886753
50,1.4113789,0.9422771,"('clumsy', 'skillful')",1.2896152,1.0300009,0.43184152,0.12124449,1.0442785,0.6978408,0.3464377
10,-1.4050106,-1.3881797,"('unsympathetic', 'sympathetic')",-2.1311336,-1.991366,-0.5701674,-0.7076334,-1.3687706,-1.3623931,-0.0063775
22,-1.3912097,-1.0400637,"('untrustworthy', 'trustworthy')",-0.6332469,-0.20973149,-0.6084209,-0.26320642,-0.8776258,-0.5043339,-0.3732919
85,1.390399,1.2301652,"('insignificant', 'prestigious')",2.5887222,2.425832,1.1690693,1.1673487,1.7160635,1.607782,0.1082815
42,1.3895972,1.2975624,"('unreliable', 'reliable')",1.3955021,1.3130673,1.0660938,1.0045209,1.283731,1.2050502,0.0786808
65,-1.3738714,-1.0973381,"('insecure', 'secure')",-1.7541354,-1.5763222,-1.2894281,-1.0333899,-1.4724784,-1.2356834,-0.236795
3,1.342836,1.2597533,"('repellent', 'pleasant')",-1.4003352,-1.3328458,-0.97347325,-0.98353726,-0.3436575,-0.3522099,0.0085524
57,-1.2925117,-1.1962677,"('unimaginative', 'imaginative')",-1.9006169,-1.7166486,-1.5151086,-1.4892617,-1.5694124,-1.4673926,-0.1020198
6,1.2607164,1.0176071,"('distant', 'open')",1.9156246,1.6663871,0.6780741,0.36928162,1.2848051,1.0177586,0.2670465
47,-1.2290974,-0.87143755,"('stupid', 'smart')",-1.02332,-0.7100755,-0.10244317,0.24214876,-0.7849535,-0.4464548,-0.3384987
23,-1.2272663,-1.2422198,"('insincere', 'sincere')",-2.2017732,-2.2039459,0.005780712,-0.013480978,-1.1410863,-1.1532155,0.0121292
27,-1.2073889,-1.4441744,"('hardhearted', 'softhearted')",-1.2989051,-1.4195213,-0.122231886,-0.28923476,-0.8761753,-1.0509768,0.1748015
9,-1.1867313,-1.2200377,"('unaffectionate', 'caring')",-0.5026727,-0.6687718,0.77327996,0.46516702,-0.3053747,-0.4745475,0.1691728
0,-1.1755171,-1.0872118,"('unsociable', 'sociable')",-1.9963484,-1.9098946,-0.4858748,-0.4378855,-1.2192468,-1.1449974,-0.0742494
2,1.1744878,1.2655495,"('unlikable', 'likable')",1.4070417,1.5220679,1.0973461,1.2761105,1.2262919,1.354576,-0.1282841
53,-1.1665356,-1.2132086,"('uncreative', 'creative')",-0.21146268,-0.25916946,-1.4353029,-1.6240811,-0.937767,-1.0321531,0.0943861
86,-1.1429666,-1.1959623,"('uninfluential', 'influential')",-1.861767,-1.9599205,-0.69460297,-1.0258726,-1.2331122,-1.3939185,0.1608063
29,1.1222928,1.1001514,"('unfair', 'fair')",0.87310237,0.91706765,0.023776975,0.15336289,0.6730574,0.7235274,-0.05047
28,-1.084861,-1.1871504,"('disloyal', 'loyal')",-0.7532666,-0.8883777,-0.3485034,-0.7072366,-0.728877,-0.9275882,0.1987112
55,-1.0340247,-0.7117487,"('incompetent', 'clever')",-1.5879344,-1.3110697,-1.4057132,-1.2168266,-1.3425574,-1.0798817,-0.2626757
87,1.006604,1.1609795,"('unsuccessful', 'successful')",1.2030004,1.3616347,0.6021247,0.73436725,0.937243,1.0856605,-0.1484175
46,-1.0065795,-0.82067627,"('uncompetitive', 'competitive')",-1.8853891,-1.5622351,-0.722895,-0.5872248,-1.2049546,-0.9900454,-0.2149092
34,-0.9887108,-0.96894354,"('mean', 'honorable')",-1.2630354,-1.2771983,0.35541102,0.41305122,-0.6321117,-0.6110302,-0.0210815
26,-0.9714158,-1.0499167,"('hardhearted', 'benevolent')",0.9110997,0.73436517,-0.20212749,-0.41350472,-0.0874812,-0.2430188,0.1555376
82,-0.95323867,-0.8773478,"('poor', 'rich')",-0.002210915,0.04932171,-1.3061019,-1.2241346,-0.7538505,-0.6840536,-0.0697969
16,0.9427533,0.7763274,"('unpopular', 'popular')",0.8414551,0.70509607,-0.39130738,-0.3926318,0.4643004,0.3629305,0.1013699
41,-0.9355931,-1.104238,"('unforgiving', 'forgiving')",-1.422196,-1.4888382,-0.04193765,-0.2077849,-0.7999089,-0.9336204,0.1337115
37,-0.9156827,-1.0063013,"('fake', 'genuine')",-0.83585054,-0.944234,0.059487738,-0.037335508,-0.5640152,-0.6626236,0.0986084
39,-0.88357407,-0.59341663,"('exploitative', 'cooperative')",-1.1877005,-0.98240846,0.17833042,0.40850925,-0.6309814,-0.3891053,-0.2418761
79,0.8255532,0.50881755,"('wavering', 'unwavering')",1.450485,1.1402816,1.3192997,0.9958235,1.198446,0.8816409,0.3168051
18,-0.81773055,-0.8601856,"('disagreeable', 'welcoming')",0.636175,0.52600884,-0.3533803,-0.35529506,-0.1783119,-0.2298239,0.051512
69,0.8159412,0.44085476,"('lazy', 'industrious')",1.3814318,0.93853796,0.3250563,-0.07848536,0.8408097,0.4336358,0.4071739
67,0.8103092,0.93403316,"('doubtful', 'determined')",0.29998678,0.3419727,1.216219,1.2563425,0.775505,0.8441161,-0.0686111
20,-0.77852476,-0.7392105,"('rough', 'thoughtful')",-0.99143106,-0.90687156,-1.2177168,-1.2121236,-0.9958909,-0.9527353,-0.0431556
70,-0.7485948,-0.47727513,"('lethargic', 'energetic')",-1.2261164,-0.81746817,-0.3409995,-0.09401924,-0.7719036,-0.4629209,-0.3089827
11,-0.74205023,-0.7273342,"('unhelpful', 'helpful')",-2.116196,-2.1449888,0.7777085,0.7042536,-0.6935125,-0.7226898,0.0291773
40,-0.74156964,-0.8333233,"('stingy', 'generous')",-0.78091943,-0.9103685,-0.17336628,-0.38593578,-0.5652851,-0.7098759,0.1445908
32,-0.7094725,-0.88856316,"('unkind', 'kind')",-0.38422397,-0.43458107,0.5515031,0.36192435,-0.1807311,-0.3204066,0.1396755
72,-0.70652056,-0.48765233,"('unambitious', 'ambitious')",-1.5210985,-1.4044102,-0.50313514,-0.43544102,-0.9102515,-0.7758346,-0.1344169
80,0.69883007,0.820249,"('dominated', 'dominating')",-0.62549335,-0.40071905,0.17492475,0.124393575,0.0827538,0.1813079,-0.0985541
43,-0.6919916,-0.49724996,"('irresponsible', 'responsible')",-2.3622737,-2.1083128,0.3966484,0.48209858,-0.8858723,-0.7078214,-0.1780509
61,0.6895631,0.75074315,"('illogical', 'logical')",-0.45984006,-0.27337116,0.11176023,0.1646526,0.1138278,0.2140082,-0.1001804
25,-0.6685569,-0.6599724,"('egoistic', 'altruistic')",-0.16545954,-0.271267,-0.46359953,-0.61260325,-0.4325387,-0.5146142,0.0820755
7,-0.6303651,-0.56619716,"('insensitive', 'sensitive')",-1.5750856,-1.5284528,-0.6761963,-0.59247494,-0.960549,-0.8957082,-0.0648408
58,-0.5597243,-0.35575348,"('undiscriminating', 'discriminating')",-0.64479303,-0.51748747,-1.5909212,-1.4905375,-0.9318128,-0.7879262,-0.1438866
17,0.55541104,0.47522572,"('nasty', 'nice')",-0.40518332,-0.43909687,-0.123338915,-0.033487283,0.0089629,0.0008805,0.0080824
63,0.5172628,0.48627514,"('unperceptive', 'insightful')",-0.53102255,-0.6016006,0.49596614,0.29660904,0.1607355,0.0604279,0.1003076
33,0.4813952,0.4723134,"('wrong', 'right')",0.8654153,0.6796645,0.80444163,0.7014041,0.717084,0.617794,0.09929
35,0.4484787,0.21484205,"('corrupt', 'incorrupt')",1.0967877,0.9437592,-0.059243303,-0.2382022,0.495341,0.3067997,0.1885413
36,0.42391932,0.14210436,"('hostile', 'amicable')",-0.22142206,-0.5406472,0.102594025,-0.068221256,0.1016971,-0.155588,0.2572851
45,-0.36683163,-0.3590072,"('incompetent', 'competent')",-1.8021384,-1.6602151,-0.41021,-0.3826098,-0.8597267,-0.8006107,-0.059116
88,0.3627542,0.4375801,"('low', 'eminent')",-0.4089071,-0.14714682,-0.7304104,-0.44451785,-0.2588544,-0.0513615,-0.2074929
14,-0.3586464,-0.030690648,"('antisocial', 'social')",-1.5043896,-1.224932,-0.19492185,0.21003953,-0.685986,-0.3485277,-0.3374583
66,0.35457045,0.15556711,"('inactive', 'active')",1.3359274,1.2178544,0.2562027,-0.0069996193,0.6489002,0.4554739,0.1934263
54,-0.33450538,-0.39002785,"('incapable', 'capable')",0.36366856,0.34615692,1.0365961,1.0198281,0.3552531,0.3253191,0.029934
76,0.3260139,0.5830276,"('anxious', 'daring')",0.046588793,0.42340487,-0.24726796,-0.055651173,0.0417782,0.3169271,-0.2751489
38,0.29497018,0.15184948,"('untruthful', 'truthful')",-1.0440922,-1.1538651,1.1149127,0.9507356,0.1219302,-0.0170933,0.1390235
62,0.2930511,0.53538203,"('incompetent', 'brilliant')",-1.4718835,-1.0348469,0.74038404,1.0516063,-0.1461495,0.1840471,-0.3301966
49,-0.25876993,-0.20339705,"('unable', 'able')",-0.6394952,-0.27807927,-0.4798388,-0.24912244,-0.459368,-0.2435329,-0.2158351
13,-0.24237089,-0.10533637,"('impolite', 'polite')",-1.5320174,-1.3041857,0.3751391,0.54333955,-0.4664164,-0.2887275,-0.1776889
74,0.24043107,0.382711,"('undedicated', 'dedicated')",0.14383835,0.16977689,0.24926026,0.15481289,0.2111766,0.2357669,-0.0245903
83,0.22657797,0.30911717,"('powerless', 'powerful')",-0.9277963,-0.9133859,0.42005438,0.4661759,-0.0937213,-0.046031,-0.0476903
15,0.19629982,0.26871243,"('boring', 'funny')",0.88548815,0.85377365,0.21513858,0.26629192,0.4323088,0.462926,-0.0306172
60,-0.19214576,-0.021684267,"('inefficient', 'efficient')",-2.1777713,-1.9399154,-0.29937774,-0.020160682,-0.8897649,-0.6605868,-0.2291781
78,0.17210768,-0.014994795,"('nonresilient', 'resilient')",-0.77813476,-0.87675273,0.07076213,-0.06770033,-0.1784217,-0.319816,0.1413943
