,nyse_male,nyse_female,tuple,euronext_male,euronext_female,average_male,average_female,male-female
36,3.1694343,2.9729972,"('hostile', 'amicable')",1.9154947,1.8444259,2.5424645,2.4087114,0.1337531
69,2.709085,2.659513,"('lazy', 'industrious')",1.7702242,1.592702,2.2396545,2.1261075,0.113547
10,-2.6781359,-3.0214539,"('unsympathetic', 'sympathetic')",-2.763028,-2.8094463,-2.720582,-2.9154501,0.1948681
55,-2.4788842,-2.3994367,"('incompetent', 'clever')",-1.9842383,-1.8283885,-2.2315612,-2.1139126,-0.1176486
45,-2.4769576,-2.6580694,"('incompetent', 'competent')",-2.177667,-2.2083862,-2.3273122,-2.4332278,0.1059156
28,-2.299402,-2.3116388,"('disloyal', 'loyal')",-1.4471025,-1.2113183,-1.8732523,-1.7614785,-0.1117738
48,-2.285623,-2.299914,"('unintelligent', 'intelligent')",-1.8111672,-1.7917793,-2.0483952,-2.0458465,-0.0025487
70,-1.9585714,-1.8380291,"('lethargic', 'energetic')",-1.001549,-1.1059293,-1.4800602,-1.4719791,-0.0080811
66,1.9264497,1.7681669,"('inactive', 'active')",1.2939847,1.0750754,1.6102171,1.4216211,0.188596
86,-1.8991705,-1.9948502,"('uninfluential', 'influential')",-2.1752276,-2.2221475,-2.037199,-2.1084988,0.0712998
11,-1.8942883,-1.9122359,"('unhelpful', 'helpful')",-0.91591793,-0.83994967,-1.4051031,-1.3760928,-0.0290103
30,-1.8901879,-2.0814679,"('intolerant', 'tolerant')",-1.3795989,-1.4711014,-1.6348934,-1.7762847,0.1413913
24,-1.8753756,-1.9652071,"('dishonest', 'honest')",-1.043072,-0.8479639,-1.4592237,-1.4065855,-0.0526382
62,-1.8697045,-1.823468,"('incompetent', 'brilliant')",-1.1506091,-1.0898634,-1.5101569,-1.4566658,-0.0534911
81,-1.7827914,-1.9385197,"('submissive', 'aggressive')",-1.4767703,-1.759776,-1.6297808,-1.8491478,0.219367
6,1.781624,1.8983945,"('distant', 'open')",1.1618371,1.2802197,1.4717305,1.5893071,-0.1175766
37,-1.7627764,-1.7082233,"('fake', 'genuine')",-0.9438471,-1.005465,-1.3533118,-1.3568442,0.0035324
60,-1.7028385,-1.9233835,"('inefficient', 'efficient')",-1.6866376,-1.8975066,-1.6947381,-1.910445,0.2157069
5,1.6949946,1.7876297,"('distant', 'outgoing')",0.93044424,1.0217705,1.3127193,1.4047,-0.0919807
