,motorola_male,motorola_female,tuple,solutions_male,solutions_female,inc_male,inc_female,average_male,average_female,male-female
39,2.2498314,2.3262002,"('exploitative', 'cooperative')",1.5127666,1.426674,0.07714995,0.1550915,1.279916,1.3026553,-0.0227393
9,2.1277368,2.1304693,"('unaffectionate', 'caring')",0.98177695,0.7410438,1.1993369,1.2382315,1.4362836,1.3699148,0.0663688
71,2.0229878,2.2586515,"('diffident', 'self-confident')",1.6959792,1.6379081,0.6562288,0.81307584,1.4583985,1.5698786,-0.1114801
1,1.926094,1.9104209,"('unfriendly', 'friendly')",0.9040549,0.5203745,1.4728042,1.6685841,1.4343177,1.3664598,0.0678579
12,1.9071215,1.5272709,"('unsupportive', 'supportive')",1.3585719,1.1066353,-1.5749793,-1.5618972,0.5635714,0.3573364,0.206235
75,-1.8010631,-1.730788,"('meek', 'impulsive')",-0.9174501,-0.6825353,-0.39729548,-0.38732758,-1.0386028,-0.9335504,-0.1050524
56,1.479643,1.5142832,"('impractical', 'practical')",-0.15871342,-0.18866982,-0.62065417,-0.32070816,0.2334251,0.3349684,-0.1015433
60,1.4466825,1.2612141,"('inefficient', 'efficient')",0.70487666,0.56443375,-0.22468266,-0.22304699,0.6422921,0.5342003,0.1080918
33,1.4443276,1.2959533,"('wrong', 'right')",1.6075802,1.233841,-0.25071347,-0.3307627,0.9337314,0.7330105,0.2007209
53,1.3876197,1.4351885,"('uncreative', 'creative')",0.28526932,0.29383704,0.8239545,1.0573999,0.8322812,0.9288085,-0.0965273
68,-1.3429931,-1.1782434,"('dependent', 'independent')",-0.44423854,-0.29472804,-0.65792745,-0.77650946,-0.8150531,-0.749827,-0.0652261
32,1.3385106,1.5295529,"('unkind', 'kind')",-0.0841531,-0.1799404,0.9059864,1.0573304,0.7201147,0.8023143,-0.0821996
16,-1.2697703,-0.7856824,"('unpopular', 'popular')",0.36724168,0.5584526,0.6857673,0.73245883,-0.0722538,0.1684097,-0.2406635
44,-1.2552786,-1.258493,"('prejudiced', 'unprejudiced')",-0.20325083,-0.07813348,-1.1988851,-1.1890771,-0.8858048,-0.8419011,-0.0439037
86,1.1829069,0.7120477,"('uninfluential', 'influential')",-0.37397945,-0.69945776,-0.20520937,-0.27818206,0.2012393,-0.0885307,0.28977
10,1.0788918,0.7982183,"('unsympathetic', 'sympathetic')",-0.404166,-0.6909302,-0.31858426,-0.49546525,0.1187138,-0.1293924,0.2481062
17,-1.0661038,-0.9138803,"('nasty', 'nice')",-0.18120946,-0.006884914,-0.5983303,-0.44511285,-0.6152145,-0.4552927,-0.1599218
3,-1.0658842,-1.0405581,"('repellent', 'pleasant')",0.15211543,0.08209435,0.3303225,0.036261454,-0.1944821,-0.3074008,0.1129187
11,1.0606722,0.94534785,"('unhelpful', 'helpful')",1.656408,1.515259,1.8746812,2.109532,1.5305872,1.5233796,0.0072076
30,1.0511565,1.2159767,"('intolerant', 'tolerant')",1.0136029,1.0110183,0.5453018,0.87181395,0.8700204,1.0329363,-0.1629159
45,-1.0403012,-1.0561029,"('incompetent', 'competent')",0.16451447,-0.042748492,-0.5234849,-0.5323944,-0.4664239,-0.5437486,0.0773247
