,verizon_male,verizon_female,tuple,communications_male,communications_female,inc_male,inc_female,average_male,average_female,male-female
69,2.8392622,2.6870058,"('lazy', 'industrious')",0.0594192,0.15774739,-0.08595001,0.10364483,0.9375772,0.9827994,-0.0452222
10,-2.737524,-2.8646488,"('unsympathetic', 'sympathetic')",0.34924576,0.057385698,-0.4640915,-0.7151308,-0.9507899,-1.1741313,0.2233414
45,-2.5353706,-2.3071058,"('incompetent', 'competent')",0.27829868,0.090446405,-0.7725761,-0.84350383,-1.0098827,-1.0200543,0.0101716
0,-2.4822958,-2.6266065,"('unsociable', 'sociable')",-0.02329341,-0.5547721,-0.7743976,-1.024885,-1.093329,-1.4020878,0.3087588
55,-2.4805262,-2.4464571,"('incompetent', 'clever')",0.62033236,0.2578537,-0.2932162,-0.605167,-0.7178033,-0.9312568,0.2134535
35,2.3092823,2.1985955,"('corrupt', 'incorrupt')",-1.9874916,-1.5925921,-0.016515626,0.15883268,0.1017584,0.2549454,-0.153187
14,-2.2533422,-2.2023907,"('antisocial', 'social')",1.4424059,1.0444975,-1.2345665,-1.5985368,-0.6818342,-0.91881,0.2369758
85,2.225635,2.178802,"('insignificant', 'prestigious')",-0.71793437,-0.29064307,0.36959356,0.6537815,0.6257648,0.8473135,-0.2215487
76,-2.1811771,-2.1169221,"('anxious', 'daring')",0.68015283,0.5255404,0.015351691,-0.3341582,-0.4952242,-0.6418467,0.1466225
43,-2.1738958,-2.1498973,"('irresponsible', 'responsible')",0.9085626,0.79439247,0.22006622,-0.071724206,-0.3484223,-0.475743,0.1273207
36,2.050434,1.9638069,"('hostile', 'amicable')",-1.2952803,-1.2399987,0.40607035,0.46049556,0.3870747,0.3947679,-0.0076932
70,-1.9871076,-1.9480063,"('lethargic', 'energetic')",0.43874836,0.41412207,0.17521158,0.013382025,-0.4577159,-0.506834,0.0491181
57,-1.9780924,-2.050559,"('unimaginative', 'imaginative')",-0.2335994,-0.38096872,-2.4694386,-2.3403833,-1.5603768,-1.590637,0.0302602
13,-1.9480045,-2.011674,"('impolite', 'polite')",0.4697575,0.14305326,-0.19697821,-0.35930896,-0.5584084,-0.7426432,0.1842348
81,-1.9338379,-1.931129,"('submissive', 'aggressive')",1.4229308,0.9274312,-0.81222546,-0.97295994,-0.4410442,-0.6588859,0.2178417
46,-1.8579984,-2.0214899,"('uncompetitive', 'competitive')",1.2487532,0.9539671,-0.7308453,-1.0430863,-0.4466968,-0.7035364,0.2568396
30,-1.8273203,-1.5230677,"('intolerant', 'tolerant')",1.4627696,1.3965361,1.0521561,0.9868628,0.2292018,0.2867771,-0.0575753
79,1.8204861,1.5822603,"('wavering', 'unwavering')",-0.77847517,-0.7406049,0.12109538,0.17685644,0.3877021,0.3395039,0.0481982
62,-1.7823464,-1.7500907,"('incompetent', 'brilliant')",1.3892839,1.2589808,-0.12653102,-0.07382479,-0.1731978,-0.1883116,0.0151138
33,1.7656077,1.6166512,"('wrong', 'right')",0.59857833,0.7474202,-0.237788,-0.11341801,0.7087994,0.7502178,-0.0414184
7,-1.6848156,-1.6810828,"('insensitive', 'sensitive')",0.21460094,0.13568074,0.16955653,0.07558561,-0.4335527,-0.4899388,0.0563861
21,-1.6569846,-1.8286688,"('immoral', 'moral')",1.3016363,0.9014824,-0.9059453,-1.334452,-0.4204312,-0.7538795,0.3334483
6,1.5566214,1.4979181,"('distant', 'open')",-1.1818206,-0.82557726,0.24418095,0.5579911,0.2063272,0.4101106,-0.2037834
22,-1.5425941,-1.4780046,"('untrustworthy', 'trustworthy')",0.51109576,0.3608127,-1.0021942,-1.141945,-0.6778975,-0.7530456,0.0751481
31,1.5381917,1.7608349,"('evil', 'good')",-1.1204379,-0.86208946,-1.0472691,-0.8020994,-0.2098384,0.0322154,-0.2420538
23,-1.5347506,-1.6049789,"('insincere', 'sincere')",1.002406,0.77886456,4.773613,4.336798,1.4137561,1.1702279,0.2435282
59,1.5130496,1.2674494,"('foolish', 'wise')",-0.28648168,-0.039117686,0.5782311,0.603805,0.6015997,0.6107122,-0.0091125
60,-1.4760358,-1.4180037,"('inefficient', 'efficient')",2.6555657,2.3340373,0.111941054,-0.17462154,0.4304903,0.2471374,0.1833529
5,1.4618807,1.4150329,"('distant', 'outgoing')",-0.474642,-0.14753217,-0.14201942,0.15494496,0.2817398,0.4741485,-0.1924087
86,-1.4535373,-1.5392369,"('uninfluential', 'influential')",1.0465616,0.7431904,-0.28375116,-0.37232882,-0.2302423,-0.3894584,0.1592161
51,-1.4476042,-1.4325558,"('uneducated', 'educated')",0.31225678,0.11817073,0.40082264,0.34853294,-0.2448416,-0.3219507,0.0771091
65,-1.4438593,-1.4385791,"('insecure', 'secure')",0.5382485,0.09905003,-0.41631237,-0.6996339,-0.4406411,-0.679721,0.2390799
28,-1.386157,-1.4604762,"('disloyal', 'loyal')",-0.79372585,-0.92782927,0.89148045,0.8782533,-0.4294675,-0.5033507,0.0738832
56,-1.3438492,-1.2776421,"('impractical', 'practical')",1.7483279,1.4733622,-0.104901,-0.18738367,0.0998592,0.0027788,0.0970804
73,1.2833176,1.3853235,"('helpless', 'self-reliant')",0.36555544,0.49595058,-2.9740632,-2.6452472,-0.4417301,-0.2546577,-0.1870724
48,-1.2771175,-1.0996535,"('unintelligent', 'intelligent')",0.41427973,0.49840373,0.50549406,0.54471105,-0.1191146,-0.0188462,-0.1002684
72,-1.2729105,-1.3444383,"('unambitious', 'ambitious')",0.28829703,0.37845647,-1.0853468,-0.9161004,-0.6899867,-0.6273607,-0.062626
58,-1.2274334,-1.0281966,"('undiscriminating', 'discriminating')",1.351762,1.521253,-0.5523497,-0.27336943,-0.1426737,0.073229,-0.2159027
41,-1.2116024,-1.1251385,"('unforgiving', 'forgiving')",-0.35807672,-0.39478478,0.34499943,0.33121124,-0.4082266,-0.3962374,-0.0119892
37,-1.2031877,-1.2114213,"('fake', 'genuine')",-0.27512342,-0.19099452,0.03631111,-0.015991835,-0.4806666,-0.4728025,-0.0078641
80,-1.1257216,-1.1006069,"('dominated', 'dominating')",0.37762666,0.14864543,-1.130132,-1.2243283,-0.6260756,-0.7254299,0.0993543
24,-1.1086055,-1.083628,"('dishonest', 'honest')",0.6052241,0.6566206,0.9433966,0.8223332,0.1466717,0.1317753,0.0148964
50,1.0567367,0.82109565,"('clumsy', 'skillful')",-0.42129928,-0.34073108,0.093610734,0.15309717,0.243016,0.2111539,0.0318621
75,1.0382539,1.0621072,"('meek', 'impulsive')",-0.43172795,-0.34267223,-0.20599777,-0.022561394,0.1335094,0.2322912,-0.0987818
19,1.0358222,0.8931148,"('inhospitable', 'hospitable')",-0.48662353,-0.36106023,-0.18999064,-0.043339998,0.119736,0.1629048,-0.0431688
47,-1.0099154,-1.082872,"('stupid', 'smart')",0.87756455,0.7278722,4.9439845,4.513292,1.6038779,1.3860973,0.2177806
3,-0.978725,-1.0296015,"('repellent', 'pleasant')",0.7222977,0.5434377,-0.12066064,-0.4438233,-0.125696,-0.3099957,0.1842997
63,-0.96280336,-0.8865121,"('unperceptive', 'insightful')",1.109515,1.1637917,0.60854316,0.7059017,0.2517516,0.3277271,-0.0759755
11,-0.9314212,-0.98180115,"('unhelpful', 'helpful')",1.3121889,1.0916086,2.0377464,1.9439373,0.8061713,0.6845816,0.1215897
20,-0.92503107,-0.7272974,"('rough', 'thoughtful')",0.34707016,0.5781925,0.99954927,1.0727737,0.1405295,0.3078896,-0.1673601
68,-0.8525077,-0.750313,"('dependent', 'independent')",0.03381927,-0.036773056,-0.63666165,-0.6417291,-0.4851167,-0.4762717,-0.008845
25,0.8441667,0.63231665,"('egoistic', 'altruistic')",0.3023078,0.24123803,1.6730812,1.6266155,0.9398519,0.8333901,0.1064618
82,-0.7868413,-0.92614293,"('poor', 'rich')",1.4254185,1.2957436,5.313277,4.881065,1.9839513,1.7502219,0.2337294
