,rowan_male,rowan_female,tuple,companies_male,companies_female,plc_male,plc_female,average_male,average_female,male-female
36,-6.99833,-6.9005747,"('hostile', 'amicable')",-2.6182697,-2.3046856,0.9110856,0.78342587,-2.9018383,-2.807278,-0.0945603
60,6.9645343,6.931187,"('inefficient', 'efficient')",3.1179755,2.8845942,-0.2766314,-0.036925152,3.2686262,3.2596188,0.0090074
31,-6.8909593,-6.8006124,"('evil', 'good')",-1.7741251,-1.585027,-0.32148615,-0.43542466,-2.9955238,-2.9403547,-0.0551691
81,6.860379,6.9371223,"('submissive', 'aggressive')",2.5464277,2.3435717,-0.85203475,-0.6436942,2.8515908,2.879,-0.0274092
55,6.363123,6.4160156,"('incompetent', 'clever')",2.4975233,2.2475264,-0.044850454,0.1476388,2.9385986,2.93706,0.0015386
35,-5.9900055,-5.9550214,"('corrupt', 'incorrupt')",-2.6859956,-2.5779524,-0.37163326,-0.59302,-3.015878,-3.0419982,0.0261202
10,5.7910757,5.8833275,"('unsympathetic', 'sympathetic')",1.9043703,1.8504784,-0.5087018,-0.34757575,2.3955814,2.4620767,-0.0664953
46,5.727879,5.7790523,"('uncompetitive', 'competitive')",2.7903676,2.8464432,-0.79655856,-0.45491803,2.5738961,2.723526,-0.1496299
70,5.527096,5.6150713,"('lethargic', 'energetic')",1.5043706,1.411108,0.05106774,0.25896734,2.3608448,2.4283822,-0.0675374
62,5.5123844,5.5528154,"('incompetent', 'brilliant')",2.6699226,2.5713713,0.41626665,0.64847785,2.8661912,2.9242214,-0.0580302
85,-5.5108485,-5.6765823,"('insignificant', 'prestigious')",-0.94918215,-0.99242115,0.38356966,0.024647,-2.0254869,-2.2147854,0.1892985
80,5.2544484,5.2663064,"('dominated', 'dominating')",1.412374,1.3951046,0.15942194,0.47534108,2.2754148,2.3789174,-0.1035026
14,5.245474,5.384681,"('antisocial', 'social')",2.813636,2.8292515,0.265187,0.46338883,2.7747657,2.8924405,-0.1176748
52,-5.1243405,-5.007381,"('irrational', 'rational')",-2.2792222,-2.128397,-0.19552581,-0.32911873,-2.5330294,-2.4882989,-0.0447305
56,4.881021,4.9390416,"('impractical', 'practical')",2.3660765,2.2920995,0.84471494,1.1167747,2.6972707,2.7826385,-0.0853678
45,4.853409,4.926366,"('incompetent', 'competent')",1.9092026,2.06017,0.68244153,0.93009824,2.4816844,2.638878,-0.1571936
6,-4.8485723,-4.783947,"('distant', 'open')",-1.9466454,-1.7708757,0.58612055,0.46551242,-2.069699,-2.0297702,-0.0399288
7,4.6486444,4.699076,"('insensitive', 'sensitive')",1.186103,1.1163113,0.41611186,0.63668466,2.0836198,2.1506907,-0.0670709
69,-4.416464,-4.3762016,"('lazy', 'industrious')",-0.7040349,-0.5598255,0.012726963,-0.031310983,-1.7025906,-1.6557794,-0.0468112
65,4.2159953,4.156791,"('insecure', 'secure')",1.381733,1.287968,0.15547627,0.4857638,1.9177348,1.976841,-0.0591062
5,-4.1495533,-4.0773106,"('distant', 'outgoing')",-1.4430726,-1.2940108,0.43474323,0.38253266,-1.7192941,-1.6629295,-0.0563646
13,3.9923368,4.1246767,"('impolite', 'polite')",1.5886793,1.5472322,-0.44275755,-0.18236896,1.7127528,1.8298467,-0.1170939
79,-3.9101915,-3.811359,"('wavering', 'unwavering')",-2.1184995,-1.8477815,0.033406947,-0.11407137,-1.9984282,-1.924404,-0.0740242
86,3.8843906,3.9681168,"('uninfluential', 'influential')",0.67702234,0.8527171,0.2492266,0.47737464,1.6035465,1.7660694,-0.1625229
76,3.8768055,3.9658487,"('anxious', 'daring')",1.5249801,1.3454498,-0.25691724,-0.21101965,1.7149563,1.700093,0.0148633
43,3.7982476,3.782358,"('irresponsible', 'responsible')",1.4614111,1.1884668,1.0466574,0.974677,2.1021055,1.9818339,0.1202716
59,-3.705464,-3.7153378,"('foolish', 'wise')",-1.3794178,-1.4718337,0.28588042,0.007808715,-1.5996671,-1.7264543,0.1267872
23,3.4738138,3.4167244,"('insincere', 'sincere')",0.87737095,0.6943847,4.7602468,4.5051317,3.0371437,2.8720805,0.1650632
21,3.4640696,3.4939446,"('immoral', 'moral')",1.4554038,1.2850995,-1.4640338,-1.2920085,1.1518133,1.1623453,-0.010532
30,3.3076723,3.4466653,"('intolerant', 'tolerant')",2.6709878,2.6243312,0.50214857,0.606692,2.1602696,2.225896,-0.0656264
0,3.2344017,3.3888958,"('unsociable', 'sociable')",1.6493078,1.7235719,-0.59740454,-0.3668811,1.4287683,1.5818623,-0.153094
16,-3.212729,-3.279867,"('unpopular', 'popular')",-1.9658607,-1.7937485,-0.319018,-0.2734679,-1.8325359,-1.7823612,-0.0501747
51,3.1353407,3.1626492,"('uneducated', 'educated')",0.71084386,0.77996004,0.12598136,0.15084334,1.3240553,1.3644842,-0.0404289
19,-3.0993419,-3.1032283,"('inhospitable', 'hospitable')",-1.8691342,-1.8116611,-0.30214924,-0.50799686,-1.7568752,-1.8076288,0.0507536
57,3.053513,3.1873982,"('unimaginative', 'imaginative')",1.1198978,1.182862,-1.2188208,-0.95632255,0.9848634,1.1379792,-0.1531158
11,2.9871285,3.0354264,"('unhelpful', 'helpful')",1.3396498,1.2402451,1.499005,1.5955421,1.9419278,1.9570711,-0.0151433
4,-2.9635942,-2.8137014,"('disliked', 'liked')",0.079694,0.40148976,-4.5481744,-4.020244,-2.4773582,-2.144152,-0.3332062
39,2.889372,2.7341716,"('exploitative', 'cooperative')",1.628553,1.322238,0.7789353,0.6633525,1.7656202,1.5732541,0.1923661
22,2.8292046,2.8053644,"('untrustworthy', 'trustworthy')",0.83962715,0.816609,-0.62243575,-0.331874,1.0154653,1.0966999,-0.0812346
12,2.8265524,2.8561304,"('unsupportive', 'supportive')",1.7465796,1.7012028,-1.1099385,-0.91398275,1.1543978,1.21445,-0.0600522
24,2.7666163,2.7933629,"('dishonest', 'honest')",0.28513092,0.33240178,0.79496515,0.8729486,1.2822375,1.3329044,-0.0506669
74,2.7339897,2.6540172,"('undedicated', 'dedicated')",1.4316679,1.4748318,0.57717794,0.69952804,1.5809452,1.6094591,-0.0285139
63,2.5777867,2.5586877,"('unperceptive', 'insightful')",1.5636967,1.519717,0.9393377,1.2052304,1.693607,1.7612116,-0.0676046
75,-2.572106,-2.599779,"('meek', 'impulsive')",-1.2726852,-1.0385948,-0.6837888,-0.7001599,-1.5095266,-1.446178,-0.0633486
72,2.3487172,2.1285985,"('unambitious', 'ambitious')",0.8266809,0.71703714,0.9082143,0.943651,1.3612041,1.2630955,0.0981086
48,2.3113897,2.4326835,"('unintelligent', 'intelligent')",0.12200812,0.17709896,-0.2968237,-0.19661832,0.7121913,0.804388,-0.0921967
32,2.2724752,2.171531,"('unkind', 'kind')",1.2461662,1.1333953,0.88391465,0.8796716,1.4675186,1.394866,0.0726526
1,-2.2220416,-2.1030407,"('unfriendly', 'friendly')",-1.0360364,-0.7483585,2.0823402,2.0845513,-0.3919126,-0.2556159,-0.1362967
29,-2.0913193,-1.8415086,"('unfair', 'fair')",-1.7406623,-1.5241411,-0.7440117,-0.6368232,-1.5253312,-1.3341576,-0.1911736
25,-1.9497837,-1.9694858,"('egoistic', 'altruistic')",0.088319436,0.11313358,1.2341042,1.1580988,-0.20912,-0.2327511,0.0236311
77,1.9263735,1.8719817,"('unmotivated', 'motivated')",0.46400407,0.3906652,-1.1936965,-1.1934111,0.3988937,0.3564119,0.0424818
44,-1.9201962,-1.9412497,"('prejudiced', 'unprejudiced')",-0.32605284,-0.5492376,-1.4896677,-1.6855541,-1.2453055,-1.3920139,0.1467084
87,1.8272183,1.9450397,"('unsuccessful', 'successful')",2.2672248,2.3431714,1.415391,1.5042862,1.8366114,1.9308324,-0.094221
28,1.8141967,1.76428,"('disloyal', 'loyal')",0.42391968,0.35784474,0.90137357,0.83216506,1.0464966,0.9847632,0.0617334
42,1.7915909,1.8433275,"('unreliable', 'reliable')",0.84171283,0.7470979,-1.7334933,-1.5571266,0.2999368,0.344433,-0.0444962
50,-1.5799252,-1.7487869,"('clumsy', 'skillful')",-1.5731399,-1.6240202,-0.50969726,-0.61215776,-1.2209208,-1.3283216,0.1074008
47,1.4306548,1.498164,"('stupid', 'smart')",0.7500733,0.52923995,5.1720767,4.8877606,2.4509349,2.305055,0.1458799
64,1.4057299,1.466713,"('shy', 'confident')",1.6376724,1.5140585,-5.1895294,-4.739181,-0.7153757,-0.5861365,-0.1292392
61,1.3733244,1.6036333,"('illogical', 'logical')",0.31786036,0.37037355,0.70939344,0.7963237,0.8001928,0.9234436,-0.1232508
37,1.2731752,1.3656061,"('fake', 'genuine')",-0.12776603,-0.25703675,0.39260677,0.42836633,0.512672,0.5123119,0.0003601
8,-1.2476481,-1.2783514,"('unaffectionate', 'affectionate')",-0.5791743,-0.52427775,1.2151182,1.0325402,-0.2039014,-0.2566963,0.0527949
26,1.2454112,1.2895151,"('hardhearted', 'benevolent')",1.6082458,1.7796606,2.8166678,2.7264545,1.8901083,1.9318768,-0.0417685
82,1.2137697,1.1867994,"('poor', 'rich')",0.40494463,0.46762162,5.372497,5.164161,2.3304038,2.2728608,0.057543
88,1.1878643,1.1811606,"('low', 'eminent')",0.3532811,0.37149525,0.22447447,0.23553625,0.58854,0.596064,-0.007524
73,-1.1796094,-1.1387218,"('helpless', 'self-reliant')",0.28894055,0.25449592,-2.2839885,-2.164067,-1.0582191,-1.0160976,-0.0421215
33,-1.1671005,-1.1421683,"('wrong', 'right')",-0.37636805,-0.34235945,0.40516946,0.2887489,-0.379433,-0.3985929,0.0191599
66,-1.148433,-1.1672219,"('inactive', 'active')",-0.31861234,-0.31008184,1.0085213,0.780353,-0.1528413,-0.2323169,0.0794756
