,agilent_male,agilent_female,tuple,technologies_male,technologies_female,inc_male,inc_female,average_male,average_female,male-female
10,-2.754678,-2.6902041,"('unsympathetic', 'sympathetic')",-1.4398848,-1.3561242,-0.58292806,-0.44165578,-1.592497,-1.4959947,-0.0965023
45,-2.3533971,-2.310989,"('incompetent', 'competent')",-1.3122183,-1.3904592,-0.67446345,-0.73085654,-1.4466929,-1.4774348,0.0307419
69,2.1824536,2.1127243,"('lazy', 'industrious')",1.3792717,1.2753137,-0.34270203,-0.41484365,1.0730077,0.9910649,0.0819428
3,-1.9866574,-1.9824574,"('repellent', 'pleasant')",0.11238017,-0.035164185,0.063203536,-0.0756188,-0.6036912,-0.6977468,0.0940556
24,-1.960164,-1.8236402,"('dishonest', 'honest')",-2.3823774,-2.1598415,0.59148383,0.8468777,-1.2503525,-1.0455348,-0.2048177
81,-1.8583795,-1.7549623,"('submissive', 'aggressive')",-0.040239394,0.022694193,-0.8731065,-0.7720581,-0.9239085,-0.8347754,-0.0891331
5,1.8135043,1.9663261,"('distant', 'outgoing')",0.103949934,0.16338108,-0.018573662,-0.027856793,0.6329602,0.7006168,-0.0676566
55,-1.7947575,-1.7923591,"('incompetent', 'clever')",-0.27277914,-0.3748402,-0.2190617,-0.25962675,-0.7621994,-0.808942,0.0467426
86,-1.7717507,-1.5380228,"('uninfluential', 'influential')",-0.50728995,-0.46756107,-0.180091,-0.2517385,-0.8197105,-0.7524408,-0.0672697
76,-1.7540646,-1.8025956,"('anxious', 'daring')",-0.22691812,-0.28589708,-0.2577071,-0.11606509,-0.7462299,-0.7348526,-0.0113773
82,-1.7254825,-1.6707057,"('poor', 'rich')",-0.22493687,-0.22013363,5.5877805,5.8489437,1.2124537,1.3193681,-0.1069144
14,-1.5815189,-1.5604333,"('antisocial', 'social')",0.07103127,-0.018782321,-1.1564252,-1.1342617,-0.8889709,-0.9044925,0.0155216
28,-1.5365679,-1.4537824,"('disloyal', 'loyal')",-0.619294,-0.68689257,0.8290086,0.97976315,-0.4422844,-0.3869706,-0.0553138
70,-1.4836838,-1.552291,"('lethargic', 'energetic')",-0.82682556,-0.77413696,0.33233717,0.32778373,-0.6593908,-0.6662147,0.0068239
33,1.4773878,1.4822017,"('wrong', 'right')",0.66745085,0.5657988,-0.2223343,-0.4593056,0.6408348,0.529565,0.1112698
36,1.4741108,1.6173645,"('hostile', 'amicable')",-0.28041765,-0.2540364,0.6168754,0.50548255,0.6035229,0.6229369,-0.019414
84,1.4312465,1.3806885,"('inferior', 'superior')",0.70414495,0.6712187,1.0283117,0.91868335,1.0545677,0.9901969,0.0643708
62,-1.4207642,-1.3731955,"('incompetent', 'brilliant')",0.15735836,0.11759092,-0.25017458,-0.2608078,-0.5045268,-0.5054708,0.000944
6,1.4082686,1.5416533,"('distant', 'open')",-0.2973742,-0.23038176,0.55256575,0.49863318,0.5544868,0.6033016,-0.0488148
52,1.3896071,1.5144206,"('irrational', 'rational')",0.06565578,0.13762906,0.30780235,0.31560287,0.5876884,0.6558842,-0.0681958
32,-1.3863101,-1.3538738,"('unkind', 'kind')",-0.7605715,-0.6413497,0.89963096,1.1467054,-0.4157502,-0.2828394,-0.1329108
65,-1.3824068,-1.3879982,"('insecure', 'secure')",-0.82166207,-0.7218451,-0.58898383,-0.58540076,-0.9310176,-0.8984147,-0.0326029
0,-1.3295596,-1.2533281,"('unsociable', 'sociable')",-0.94273835,-0.89906055,-0.48644373,-0.4198044,-0.9195805,-0.8573976,-0.0621829
73,1.3115196,1.3834188,"('helpless', 'self-reliant')",0.6199146,0.6568556,-2.8078737,-3.0025585,-0.2921465,-0.3207614,0.0286149
85,1.3114522,1.5006058,"('insignificant', 'prestigious')",0.8862446,0.8184461,0.7050676,0.65299577,0.9675881,0.9906826,-0.0230945
35,1.2968649,1.3607876,"('corrupt', 'incorrupt')",0.1821102,0.24699661,0.030582238,0.09043036,0.5031857,0.5660716,-0.0628859
51,-1.2678801,-1.2426839,"('uneducated', 'educated')",-0.010372041,-0.13465181,0.62209255,0.628639,-0.2187199,-0.2495656,0.0308457
71,1.2598203,1.419639,"('diffident', 'self-confident')",0.92380565,0.94289553,0.6108419,0.5727882,0.9314893,0.9784409,-0.0469516
21,-1.2016065,-1.2225124,"('immoral', 'moral')",0.07615261,0.005646333,-1.0190496,-1.1109397,-0.7148345,-0.7759353,0.0611008
43,-1.1837094,-1.1638877,"('irresponsible', 'responsible')",-1.5182198,-1.4103327,-0.07882081,0.15273711,-0.9269166,-0.8071611,-0.1197555
60,-1.1720318,-1.1317426,"('inefficient', 'efficient')",0.019830797,0.085614845,-0.4869257,-0.22757994,-0.5463756,-0.4245692,-0.1218064
41,-1.1174965,-0.9712731,"('unforgiving', 'forgiving')",-0.7712113,-0.7665632,0.39252225,0.37851292,-0.4987286,-0.4531078,-0.0456208
46,-1.0399929,-1.1178529,"('uncompetitive', 'competitive')",0.5170056,0.35981917,-0.65452355,-0.7005234,-0.3925036,-0.4861857,0.0936821
72,-0.9844789,-0.8689976,"('unambitious', 'ambitious')",-1.5252777,-1.422963,-1.2529299,-1.3640767,-1.2542288,-1.2186791,-0.0355497
15,0.98382694,1.0030749,"('boring', 'funny')",-0.40840414,-0.28844213,0.67028856,0.6994239,0.4152371,0.4713522,-0.0561151
80,-0.9383013,-1.084079,"('dominated', 'dominating')",0.25795674,0.119038045,-1.0304217,-1.1319884,-0.5702554,-0.6990098,0.1287544
59,0.9337599,0.9890578,"('foolish', 'wise')",0.31583163,0.2715295,0.36043954,0.33905873,0.536677,0.5332153,0.0034617
34,0.8457755,0.8106253,"('mean', 'honorable')",-0.15014087,-0.13126977,6.0139976,6.098165,2.236544,2.2591736,-0.0226296
50,0.8408855,0.6306178,"('clumsy', 'skillful')",0.68136394,0.52739197,0.28253537,0.18412162,0.6015949,0.4473771,0.1542178
38,-0.8288721,-0.72686553,"('untruthful', 'truthful')",-0.69299114,-0.62429273,0.10201516,0.25201926,-0.4732827,-0.3663797,-0.106903
54,0.778784,0.77706176,"('incapable', 'capable')",0.39183837,0.52812886,1.1580614,1.2220626,0.776228,0.8424177,-0.0661897
23,-0.770937,-0.7763768,"('insincere', 'sincere')",-0.74283385,-0.64857006,5.2222667,5.5322957,1.2361653,1.3691163,-0.132951
13,-0.73166746,-0.5795579,"('impolite', 'polite')",-0.6987425,-0.4592869,-0.4083843,-0.19413827,-0.6129314,-0.4109944,-0.201937
56,-0.68164927,-0.67461467,"('impractical', 'practical')",-1.0143592,-0.88754296,-0.736933,-0.47580132,-0.8109805,-0.6793196,-0.1316609
42,-0.6641802,-0.74639344,"('unreliable', 'reliable')",-1.3290709,-1.3715111,-3.037465,-3.0608008,-1.6769053,-1.7262351,0.0493298
31,0.64963734,0.79424846,"('evil', 'good')",0.0017319843,-0.06428001,-0.685601,-0.9098348,-0.0114106,-0.0599555,0.0485449
49,0.63686043,0.60731196,"('unable', 'able')",0.69205755,0.71323633,0.18573615,0.09765135,0.5048847,0.4727332,0.0321515
20,0.63067055,0.5827302,"('rough', 'thoughtful')",0.98915565,0.9499758,0.75471604,0.63711715,0.7915141,0.7232744,0.0682397
53,0.61849993,0.8270183,"('uncreative', 'creative')",0.93722695,1.1224428,1.1757038,1.3073225,0.9104768,1.0855946,-0.1751178
22,-0.61540514,-0.6431069,"('untrustworthy', 'trustworthy')",-0.3086399,-0.29324508,-0.7256741,-0.9308419,-0.5499064,-0.622398,0.0724916
12,0.6139111,0.6806318,"('unsupportive', 'supportive')",0.52140963,0.4632337,-1.3868651,-1.4303232,-0.0838482,-0.0954859,0.0116377
48,-0.5975168,-0.66726804,"('unintelligent', 'intelligent')",0.49956688,0.34732655,0.7112638,0.6200666,0.204438,0.1000417,0.1043963
