,allergan_male,allergan_female,tuple,inc_male,inc_female,average_male,average_female,male-female
1,-2.3738601,-2.5460906,"('unfriendly', 'friendly')",1.4667981,1.2381746,-0.453531,-0.653958,0.200427
53,-2.1596227,-2.1407933,"('uncreative', 'creative')",0.7457757,0.62862283,-0.7069235,-0.7560853,0.0491618
86,-1.7399479,-1.9986699,"('uninfluential', 'influential')",-0.06326716,-0.27677363,-0.9016075,-1.1377218,0.2361143
10,-1.4868776,-1.2661881,"('unsympathetic', 'sympathetic')",-0.05171934,0.05030656,-0.7692984,-0.6079408,-0.1613576
44,1.4563485,1.486615,"('prejudiced', 'unprejudiced')",-1.2144337,-1.2145969,0.1209574,0.136009,-0.0150516
19,-1.3927047,-1.4175191,"('inhospitable', 'hospitable')",-0.5281486,-0.5023342,-0.9604267,-0.9599266,-0.0005001
36,-1.3293129,-1.617842,"('hostile', 'amicable')",-0.066335104,-0.5475864,-0.697824,-1.0827142,0.3848902
57,-1.2596878,-1.3379817,"('unimaginative', 'imaginative')",-2.3144448,-2.273894,-1.7870662,-1.8059379,0.0188717
23,-1.2359891,-1.0288837,"('insincere', 'sincere')",5.285889,5.5151553,2.02495,2.2431359,-0.2181859
9,-1.2324977,-1.2543311,"('unaffectionate', 'caring')",0.83083993,0.8840165,-0.2008289,-0.1851573,-0.0156716
85,-1.2278669,-1.2904265,"('insignificant', 'prestigious')",0.06579901,-0.17527494,-0.5810339,-0.7328507,0.1518168
54,-1.1088282,-1.0069731,"('incapable', 'capable')",0.92837316,1.1816373,-0.0902275,0.0873321,-0.1775596
78,-1.0951297,-0.49794284,"('nonresilient', 'resilient')",0.36717218,0.5250824,-0.3639788,0.0135698,-0.3775486
69,1.0927992,0.68795174,"('lazy', 'industrious')",-0.49083918,-0.60942644,0.30098,0.0392627,0.2617173
77,-1.076324,-0.9128374,"('unmotivated', 'motivated')",-1.3252887,-0.885113,-1.2008064,-0.8989752,-0.3018312
58,-1.0718255,-1.0598089,"('undiscriminating', 'discriminating')",0.17550568,0.057014108,-0.4481599,-0.5013974,0.0532375
63,-1.0501436,-0.7886336,"('unperceptive', 'insightful')",0.9501385,1.3706847,-0.0500025,0.2910256,-0.3410281
48,-0.98058856,-0.42972144,"('unintelligent', 'intelligent')",0.6505765,1.0247408,-0.165006,0.2975097,-0.4625157
61,-0.964857,-1.2028041,"('illogical', 'logical')",0.35018966,0.03633277,-0.3073336,-0.5832357,0.2759021
37,0.9618094,0.90825826,"('fake', 'genuine')",0.76723766,0.8056985,0.8645235,0.8569784,0.0075451
31,-0.9588136,-1.2036484,"('evil', 'good')",-1.0282005,-1.5624216,-0.993507,-1.3830349,0.3895279
8,-0.9342198,-1.1021717,"('unaffectionate', 'affectionate')",0.67801285,0.5870676,-0.1281035,-0.257552,0.1294485
51,-0.88104165,-0.5519494,"('uneducated', 'educated')",0.17902243,0.24527992,-0.3510096,-0.1533347,-0.1976749
73,0.8476328,0.9167021,"('helpless', 'self-reliant')",-2.7467601,-2.5859685,-0.9495636,-0.8346332,-0.1149304
0,-0.8422091,-1.0860025,"('unsociable', 'sociable')",-0.15966018,-0.36837873,-0.5009347,-0.7271906,0.2262559
