,qwest_male,qwest_female,tuple,communications_male,communications_female,intl_male,intl_female,inc_male,inc_female,average_male,average_female,male-female
86,-1.9719015,-2.082461,"('uninfluential', 'influential')",0.57129997,0.47842517,-1.9326035,-2.0699036,0.15649086,0.007400751,-0.7941786,-0.9166347,0.1224561
10,-1.8242383,-2.0574937,"('unsympathetic', 'sympathetic')",0.20887458,0.0032816827,-1.6689636,-1.9784782,0.2228034,0.12334519,-0.765381,-0.9773362,0.2119552
0,-1.6004854,-1.7881593,"('unsociable', 'sociable')",-0.026422653,-0.13790643,-1.1985676,-1.4086609,-0.13317835,-0.19504054,-0.7396635,-0.8824418,0.1427783
55,-1.5852753,-1.4846866,"('incompetent', 'clever')",0.16868939,0.12750365,-1.2373617,-1.2776811,0.57166463,0.6729936,-0.5205708,-0.4904676,-0.0301032
21,-1.5383784,-1.4073313,"('immoral', 'moral')",0.6349195,0.66046125,-0.843818,-0.7849024,-0.7514003,-0.62705374,-0.6246693,-0.5397066,-0.0849627
81,-1.4752898,-1.4603621,"('submissive', 'aggressive')",0.82491606,0.8261124,0.05980614,-0.03505471,-0.757334,-0.5984673,-0.3369754,-0.3169429,-0.0200325
39,1.4546672,1.5555614,"('exploitative', 'cooperative')",0.98090047,1.102375,0.27801988,0.45586112,0.21782176,0.33609858,0.7328523,0.8624741,-0.1296218
48,-1.4256281,-1.2979757,"('unintelligent', 'intelligent')",-0.10132787,-0.03989532,-1.8130667,-1.795682,0.52200776,0.64955586,-0.7045037,-0.6209993,-0.0835044
14,-1.3949096,-1.1851108,"('antisocial', 'social')",0.89417344,1.056956,-0.055636495,-0.11888314,-0.2694455,-0.16461514,-0.2064545,-0.1029133,-0.1035412
49,-1.3427877,-1.2381313,"('unable', 'able')",-1.0335473,-0.89068514,-0.86231774,-0.79446495,-0.5699896,-0.48881584,-0.9521607,-0.8530242,-0.0991365
60,-1.3075242,-1.0996596,"('inefficient', 'efficient')",1.6811802,1.8042957,-0.82237154,-0.8951978,0.56708384,0.73623884,0.0295921,0.1364193,-0.1068272
73,1.2859218,1.350887,"('helpless', 'self-reliant')",0.49817303,0.3498901,-0.60265535,-0.4215359,-3.8470256,-3.7566228,-0.6663966,-0.6193454,-0.0470512
77,-1.2243118,-1.3422469,"('unmotivated', 'motivated')",0.38527995,0.4121083,-0.87334263,-1.0048048,-0.81174445,-0.90793663,-0.6310297,-0.71072,0.0796903
53,-1.2074326,-1.1906562,"('uncreative', 'creative')",0.7854708,0.7231549,-0.79704607,-0.8218696,1.6201195,1.4361308,0.1002779,0.03669,0.0635879
20,-1.1785233,-0.8777757,"('rough', 'thoughtful')",-0.13794349,0.03760436,-0.2632403,-0.17145261,0.80532444,0.92444766,-0.1935957,-0.0217941,-0.1718016
82,-1.1568694,-0.9284056,"('poor', 'rich')",0.90060574,1.0167785,1.152318,1.1271852,6.0537853,6.188402,1.7374599,1.8509901,-0.1135302
72,-1.1485357,-1.2301191,"('unambitious', 'ambitious')",-0.5123341,-0.6423095,-1.2599188,-1.3286048,-0.4103012,-0.4577677,-0.8327725,-0.9147003,0.0819278
57,-1.1313562,-1.419946,"('unimaginative', 'imaginative')",-0.04713031,-0.22142477,-0.9853179,-1.0976263,-2.1062357,-2.1911705,-1.0675101,-1.2325418,0.1650317
78,-1.0702423,-1.1743405,"('nonresilient', 'resilient')",0.51692,0.6429331,-0.62390035,-0.8453636,0.067301765,0.014699141,-0.2774802,-0.340518,0.0630378
52,0.9683946,0.94176894,"('irrational', 'rational')",-0.38041368,-0.46434143,-0.99767584,-0.75004756,-0.20490229,-0.3338617,-0.1536493,-0.1516204,-0.0020289
69,0.96362764,1.063806,"('lazy', 'industrious')",-0.2576106,-0.1458021,1.3431104,1.4071578,-1.2559323,-1.2716882,0.1982988,0.2633684,-0.0650696
