,xerox_male,xerox_female,tuple,holdings_male,holdings_female,corp_male,corp_female,average_male,average_female,male-female
10,-3.3164272,-2.9695494,"('unsympathetic', 'sympathetic')",-0.47298476,-0.16100101,0.2913588,0.29244718,-1.1660178,-0.9460344,-0.2199834
21,-2.8376217,-2.6063788,"('immoral', 'moral')",-0.012504935,-0.012482461,-0.41944903,-0.38186055,-1.0898586,-1.0002406,-0.089618
45,-2.5390275,-2.5748892,"('incompetent', 'competent')",-0.11792994,-0.39208093,0.016192218,-0.37643516,-0.8802551,-1.1144684,0.2342133
46,-2.525444,-2.2788694,"('uncompetitive', 'competitive')",1.3511918,1.3853823,-0.22491226,-0.43604058,-0.4663882,-0.4431759,-0.0232123
63,-2.383281,-2.239804,"('unperceptive', 'insightful')",1.6112101,1.585315,1.1298987,0.91636235,0.1192759,0.0872911,0.0319848
43,-2.3802226,-2.1529708,"('irresponsible', 'responsible')",-0.9971133,-1.003922,0.44958264,0.2233663,-0.9759177,-0.9778422,0.0019245
0,-2.369226,-2.435884,"('unsociable', 'sociable')",-0.28777733,-0.4860537,-0.02437659,-0.235006,-0.8937933,-1.0523146,0.1585213
56,-2.3336833,-2.4411216,"('impractical', 'practical')",0.28599998,-0.05058299,-0.27143827,-0.7597144,-0.7730405,-1.0838063,0.3107658
14,-2.2394574,-2.1889381,"('antisocial', 'social')",1.999785,1.7243404,-0.016577117,-0.08593082,-0.0854165,-0.1835095,0.098093
55,-2.2230778,-2.0443416,"('incompetent', 'clever')",0.17794415,0.14490214,0.71898496,0.6382033,-0.4420495,-0.4204121,-0.0216374
81,-2.188,-2.1611738,"('submissive', 'aggressive')",0.7451457,0.6661371,-0.764791,-0.810264,-0.7358818,-0.7684336,0.0325518
13,-2.1688921,-2.2801073,"('impolite', 'polite')",-0.19011146,-0.4272576,-0.2569206,-0.4979373,-0.8719747,-1.068434,0.1964593
70,-2.1455455,-1.9457012,"('lethargic', 'energetic')",1.1681193,1.2174817,1.0578651,1.0030248,0.026813,0.0916018,-0.0647888
85,2.0526426,2.0095334,"('insignificant', 'prestigious')",0.15217142,0.34831578,-0.841639,-0.551611,0.4543916,0.6020794,-0.1476878
69,2.0507562,2.004469,"('lazy', 'industrious')",0.5446057,0.4724505,-1.4955481,-1.454076,0.3666046,0.3409478,0.0256568
57,-2.034326,-2.0279438,"('unimaginative', 'imaginative')",-0.39094192,-0.36109796,-2.6720629,-2.8099716,-1.6991103,-1.7330046,0.0338943
60,-1.9606035,-1.8454041,"('inefficient', 'efficient')",0.59593344,0.38011175,0.23628077,0.003377255,-0.3761297,-0.4873051,0.1111754
22,-1.8655276,-1.7305452,"('untrustworthy', 'trustworthy')",-0.08150887,-0.1941846,-0.45869726,-0.6101894,-0.8019113,-0.8449731,0.0430618
86,-1.8497959,-1.7763002,"('uninfluential', 'influential')",0.16929373,0.24236868,0.114014335,0.12648855,-0.5221626,-0.4691476,-0.053015
41,-1.8232445,-1.6353835,"('unforgiving', 'forgiving')",-0.74686074,-0.7512312,-0.19042978,-0.18213081,-0.9201783,-0.8562485,-0.0639298
75,1.8005413,1.5328617,"('meek', 'impulsive')",0.015160337,-0.23028086,-0.5423933,-0.6999699,0.4244361,0.2008703,0.2235658
35,1.7986288,1.5917275,"('corrupt', 'incorrupt')",-1.3693465,-1.5038531,-0.8367188,-0.8462549,-0.1358122,-0.2527935,0.1169813
23,-1.7925782,-1.7598381,"('insincere', 'sincere')",-0.28435516,-0.43634182,6.5723433,6.235039,1.49847,1.3462865,0.1521835
64,-1.7559309,-1.7016906,"('shy', 'confident')",0.8503038,0.77400964,-6.623207,-6.643859,-2.5096114,-2.5238466,0.0142352
51,-1.7338078,-1.8661969,"('uneducated', 'educated')",1.3054752,1.3685161,1.0548269,1.0896873,0.2088314,0.1973355,0.0114959
