,lennar_male,lennar_female,tuple,corp_male,corp_female,average_male,average_female,male-female
6,-1.9681802,-1.7031549,"('distant', 'open')",-1.2338988,-0.79153657,-1.6010394,-1.2473457,-0.3536937
85,-1.9068274,-1.4029783,"('insignificant', 'prestigious')",-1.818329,-1.3595139,-1.8625782,-1.3812461,-0.4813321
36,-1.8681471,-1.256859,"('hostile', 'amicable')",-1.2118247,-0.7129466,-1.5399859,-0.9849027,-0.5550832
79,-1.7510905,-1.6283783,"('wavering', 'unwavering')",-0.6998455,-0.62633836,-1.225468,-1.1273583,-0.0981097
1,-1.6311712,-1.9053415,"('unfriendly', 'friendly')",0.28066945,0.466961,-0.6752509,-0.7191902,0.0439393
31,-1.6247071,-1.3693657,"('evil', 'good')",-1.9759811,-1.6080918,-1.8003441,-1.4887288,-0.3116153
86,-1.4716871,-1.8296269,"('uninfluential', 'influential')",0.14485133,-0.23175496,-0.6634179,-1.0306909,0.367273
53,-1.4556235,-1.5628507,"('uncreative', 'creative')",0.26720232,0.13112189,-0.5942106,-0.7158644,0.1216538
35,-1.4414663,-0.9355466,"('corrupt', 'incorrupt')",-1.4052371,-0.985828,-1.4233518,-0.9606873,-0.4626645
81,1.4382485,1.2539585,"('submissive', 'aggressive')",0.23345058,-0.098456495,0.8358495,0.577751,0.2580985
62,1.4064214,1.051052,"('incompetent', 'brilliant')",1.3861775,1.0035961,1.3962995,1.027324,0.3689755
5,-1.3878299,-1.3738909,"('distant', 'outgoing')",-1.4227208,-1.1181977,-1.4052753,-1.2460443,-0.159231
19,-1.3866847,-1.185523,"('inhospitable', 'hospitable')",-0.66943675,-0.6802563,-1.0280607,-0.9328897,-0.095171
66,-1.2467883,-0.7714223,"('inactive', 'active')",0.27597496,0.3801934,-0.4854066,-0.1956145,-0.2897921
8,-1.2145948,-0.9655316,"('unaffectionate', 'affectionate')",0.040761806,0.44145316,-0.5869165,-0.2620392,-0.3248773
18,-1.2073548,-0.983849,"('disagreeable', 'welcoming')",-0.9380473,-0.8557385,-1.072701,-0.9197937,-0.1529073
26,-1.126071,-1.0490239,"('hardhearted', 'benevolent')",0.5149085,0.73580766,-0.3055812,-0.1566081,-0.1489731
54,-1.0659298,-0.74254596,"('incapable', 'capable')",0.8787517,1.0147705,-0.093589,0.1361123,-0.2297013
9,-1.0253388,-0.99185413,"('unaffectionate', 'caring')",0.91380954,1.1072546,-0.0557646,0.0577002,-0.1134648
52,-1.0224702,-1.0106413,"('irrational', 'rational')",-0.8269244,-0.45284948,-0.9246973,-0.7317454,-0.1929519
55,1.0106696,0.83446985,"('incompetent', 'clever')",1.281817,0.8100644,1.1462433,0.8222671,0.3239762
