,amgen_male,amgen_female,tuple,inc_male,inc_female,average_male,average_female,male-female
10,-1.5980614,-1.2133356,"('unsympathetic', 'sympathetic')",-0.44092226,-0.12292448,-1.0194919,-0.66813,-0.3513619
0,-1.4619087,-1.5428947,"('unsociable', 'sociable')",-0.6786771,-0.54525036,-1.0702929,-1.0440725,-0.0262204
53,-1.362102,-1.2218124,"('uncreative', 'creative')",0.7707078,0.7469773,-0.2956971,-0.2374175,-0.0582796
57,-1.3167411,-1.1875521,"('unimaginative', 'imaginative')",-2.3049312,-2.459286,-1.8108361,-1.8234191,0.012583
45,-1.0594776,-0.7602525,"('incompetent', 'competent')",-0.30073074,-0.16347988,-0.6801041,-0.4618662,-0.2182379
73,1.037767,1.0493861,"('helpless', 'self-reliant')",-2.720717,-2.7619414,-0.841475,-0.8562776,0.0148026
17,-1.0316349,-1.0244566,"('nasty', 'nice')",-0.57924646,-0.7844119,-0.8054407,-0.9044343,0.0989936
46,-1.0105507,-0.5851459,"('uncompetitive', 'competitive')",-0.80701196,-0.3745675,-0.9087813,-0.4798567,-0.4289246
65,-1.0030316,-0.9437077,"('insecure', 'secure')",-0.7267905,-0.19617282,-0.8649111,-0.5699403,-0.2949708
13,-0.9385148,-0.42363304,"('impolite', 'polite')",-0.5402024,-0.07016066,-0.7393586,-0.2468968,-0.4924618
55,-0.9272756,-0.6942562,"('incompetent', 'clever')",-0.12900756,0.16850525,-0.5281416,-0.2628755,-0.2652661
76,-0.9178748,-0.4990451,"('anxious', 'daring')",-0.15318325,0.2605032,-0.535529,-0.119271,-0.416258
22,-0.91087013,-0.54875773,"('untrustworthy', 'trustworthy')",-0.97259253,-0.75289124,-0.9417313,-0.6508245,-0.2909068
70,-0.8934952,-0.24182303,"('lethargic', 'energetic')",0.48709777,1.0640824,-0.2031987,0.4111297,-0.6143284
42,-0.8205895,-0.370853,"('unreliable', 'reliable')",-3.2054968,-2.936056,-2.0130432,-1.6534544,-0.3595888
79,-0.81959033,-0.68569845,"('wavering', 'unwavering')",-0.0010861177,-0.20923808,-0.4103382,-0.4474683,0.0371301
51,-0.8118219,-0.6447745,"('uneducated', 'educated')",0.710996,0.8854035,-0.050413,0.1203145,-0.1707275
21,-0.7784557,-0.58017147,"('immoral', 'moral')",-0.7006781,-0.3204623,-0.7395669,-0.4503169,-0.28925
78,-0.77149755,-0.45486394,"('nonresilient', 'resilient')",0.13613209,0.2903035,-0.3176827,-0.0822802,-0.2354025
66,-0.7710773,-0.8627194,"('inactive', 'active')",0.9347349,0.50456256,0.0818288,-0.1790784,0.2609072
14,-0.7542402,-0.7205445,"('antisocial', 'social')",-0.6372014,-0.52131444,-0.6957208,-0.6209295,-0.0747913
11,-0.7313065,-0.3155267,"('unhelpful', 'helpful')",1.3982856,1.7950246,0.3334896,0.739749,-0.4062594
84,0.716201,0.7479505,"('inferior', 'superior')",1.0452665,0.89171857,0.8807337,0.8198345,0.0608992
23,-0.7103985,-0.40748745,"('insincere', 'sincere')",5.443937,5.9547887,2.3667691,2.7736506,-0.4068815
77,-0.7061952,-0.53506774,"('unmotivated', 'motivated')",-1.2573338,-0.99168146,-0.9817644,-0.7633746,-0.2183898
86,-0.70010036,-0.7407789,"('uninfluential', 'influential')",-0.090074554,-0.029670395,-0.3950875,-0.3852247,-0.0098628
54,-0.6756906,-0.51498234,"('incapable', 'capable')",1.2013664,1.3280176,0.2628379,0.4065176,-0.1436797
68,-0.6719611,-0.6001513,"('dependent', 'independent')",-0.32738483,-0.33289948,-0.499673,-0.4665254,-0.0331476
16,-0.6493085,-0.6387434,"('unpopular', 'popular')",0.08465667,0.047422633,-0.2823259,-0.2956604,0.0133345
47,-0.640745,-0.34232327,"('stupid', 'smart')",4.885674,5.315847,2.1224644,2.4867618,-0.3642974
32,-0.6349046,-0.33594027,"('unkind', 'kind')",0.7782569,0.90202737,0.0716761,0.2830436,-0.2113675
2,0.63209814,0.6155411,"('unlikable', 'likable')",0.48535636,0.49597356,0.5587273,0.5557573,0.00297
37,0.6228805,0.66318464,"('fake', 'genuine')",0.68740517,0.78065467,0.6551428,0.7219197,-0.0667769
69,0.6114666,0.34383494,"('lazy', 'industrious')",-0.45299277,-0.9576833,0.0792369,-0.3069242,0.3861611
7,-0.56004024,-0.34672135,"('insensitive', 'sensitive')",0.8125721,1.0408901,0.1262659,0.3470844,-0.2208185
82,-0.55641955,-0.07578421,"('poor', 'rich')",5.8859944,6.404728,2.6647875,3.1644719,-0.4996844
85,0.5521104,0.032658964,"('insignificant', 'prestigious')",1.0272839,0.34125498,0.7896972,0.186957,0.6027402
12,-0.52291447,-0.13131459,"('unsupportive', 'supportive')",-1.7100059,-1.5972761,-1.1164602,-0.8642954,-0.2521648
29,-0.5157533,-0.3347504,"('unfair', 'fair')",-0.36842304,-0.5691351,-0.4420882,-0.4519428,0.0098546
31,-0.51522386,-0.7817224,"('evil', 'good')",-0.518538,-1.1568807,-0.5168809,-0.9693016,0.4524207
19,-0.5043613,-0.29332507,"('inhospitable', 'hospitable')",0.3921462,0.21906652,-0.0561075,-0.0371293,-0.0189782
39,0.50151736,0.26370892,"('exploitative', 'cooperative')",0.24014942,0.18212233,0.3708334,0.2229156,0.1479178
72,-0.4750886,-0.38222903,"('unambitious', 'ambitious')",-0.7198565,-0.5455474,-0.5974725,-0.4638882,-0.1335843
52,0.47305188,-0.33873707,"('irrational', 'rational')",0.48636454,-0.13297515,0.4797082,-0.2358561,0.7155643
1,-0.47139424,-0.98707145,"('unfriendly', 'friendly')",2.1758914,1.599317,0.8522485,0.3061228,0.5461257
43,-0.4706037,0.106664285,"('irresponsible', 'responsible')",0.36732277,0.7729871,-0.0516405,0.4398257,-0.4914662
25,0.41719633,-0.035438143,"('egoistic', 'altruistic')",1.814758,1.5803633,1.1159772,0.7724625,0.3435147
71,-0.40265194,-0.4521668,"('diffident', 'self-confident')",0.30985373,0.21815306,-0.0463991,-0.1170069,0.0706078
60,-0.39757162,0.13348678,"('inefficient', 'efficient')",-0.43849722,0.35943708,-0.4180344,0.2464619,-0.6644963
63,-0.39168465,0.050872087,"('unperceptive', 'insightful')",0.9863211,1.4217162,0.2973182,0.7362942,-0.438976
38,-0.3822581,-0.045864355,"('untruthful', 'truthful')",-0.32353935,-0.079331845,-0.3528987,-0.0625981,-0.2903006
26,0.38205165,-0.13601735,"('hardhearted', 'benevolent')",2.096784,1.5385926,1.2394179,0.7012876,0.5381303
18,-0.38130295,-0.56252384,"('disagreeable', 'welcoming')",-0.26134026,-0.39205605,-0.3213216,-0.4772899,0.1559683
35,0.35638544,-0.029598303,"('corrupt', 'incorrupt')",0.13018331,-0.47364148,0.2432844,-0.2516199,0.4949043
34,-0.3540545,-0.09955458,"('mean', 'honorable')",5.822174,6.205663,2.7340598,3.0530543,-0.3189945
33,0.3508541,0.14928362,"('wrong', 'right')",-0.32179764,-0.68425554,0.0145282,-0.267486,0.2820142
59,0.328235,0.25323573,"('foolish', 'wise')",0.42475742,0.092204005,0.3764962,0.1727199,0.2037763
56,-0.3192115,0.3674135,"('impractical', 'practical')",-0.63325757,-0.17988087,-0.4762346,0.0937663,-0.5700009
44,-0.3188432,-0.20816143,"('prejudiced', 'unprejudiced')",-1.5833493,-1.4898298,-0.9510963,-0.8489956,-0.1021007
74,-0.31530088,-0.00062004477,"('undedicated', 'dedicated')",0.06276834,0.06302945,-0.1262663,0.0312047,-0.157471
64,-0.31511724,-0.25194305,"('shy', 'confident')",-6.790854,-6.708099,-3.5529857,-3.480021,-0.0729647
27,-0.3059529,-0.316633,"('hardhearted', 'softhearted')",1.6434811,1.4155012,0.6687641,0.5494341,0.11933
5,-0.30390477,-0.18969733,"('distant', 'outgoing')",-0.16628733,-0.44449183,-0.2350961,-0.3170946,0.0819985
49,-0.2912321,-0.019559884,"('unable', 'able')",-0.42354482,-0.14165711,-0.3573885,-0.0806085,-0.27678
6,-0.25648728,-0.2982548,"('distant', 'open')",0.4581338,0.14212295,0.1008233,-0.0780659,0.1788892
24,-0.25371677,-0.10833217,"('dishonest', 'honest')",0.57644093,0.6414175,0.1613621,0.2665427,-0.1051806
