,legg_male,legg_female,tuple,mason_male,mason_female,inc_male,inc_female,average_male,average_female,male-female
48,-2.2900653,-2.5501246,"('unintelligent', 'intelligent')",0.33074322,0.15270025,0.50384516,0.43865994,-0.485159,-0.6529215,0.1677625
10,-2.0575993,-2.4343996,"('unsympathetic', 'sympathetic')",0.44203025,0.2686019,0.027309958,0.11609129,-0.5294197,-0.6832355,0.1538158
0,-1.9283985,-2.4917061,"('unsociable', 'sociable')",0.5857949,0.23313908,-0.37674338,-0.48567116,-0.5731157,-0.9147461,0.3416304
86,-1.9247502,-2.2355537,"('uninfluential', 'influential')",-0.19860457,-0.38901976,-0.23780787,-0.3726852,-0.7870542,-0.9990862,0.212032
73,1.9151171,2.1086266,"('helpless', 'self-reliant')",0.5689525,0.62206495,-2.7111337,-2.6328738,-0.075688,0.0326059,-0.1082939
1,-1.9044468,-1.7730589,"('unfriendly', 'friendly')",-0.63477474,-0.60871106,1.6111784,1.4914885,-0.3093477,-0.2967605,-0.0125872
23,-1.8733692,-2.0713325,"('insincere', 'sincere')",1.3289369,1.2983131,5.558431,5.7305803,1.671333,1.6525203,0.0188127
57,-1.6620206,-1.8289458,"('unimaginative', 'imaginative')",-0.26371372,-0.55082256,-2.251627,-2.3104374,-1.3924538,-1.5634019,0.1709481
11,-1.6351712,-1.7820586,"('unhelpful', 'helpful')",0.67370135,0.7045976,1.9110703,2.2210808,0.3165335,0.3812066,-0.0646731
41,-1.6044388,-1.7039973,"('unforgiving', 'forgiving')",0.32564813,0.110675566,-0.3001764,-0.4918417,-0.5263224,-0.6950545,0.1687321
28,-1.5820533,-1.7381239,"('disloyal', 'loyal')",0.43466386,0.3682201,0.78414834,0.7445357,-0.1210804,-0.208456,0.0873756
78,-1.4016201,-1.3628763,"('nonresilient', 'resilient')",-0.30313903,-0.19374776,1.1002107,1.1391184,-0.2015162,-0.1391685,-0.0623477
9,-1.3316143,-1.1952772,"('unaffectionate', 'caring')",0.3337174,0.5167102,1.1224376,1.18426,0.0415136,0.1685643,-0.1270507
72,-1.3259128,-1.3919373,"('unambitious', 'ambitious')",0.08257942,0.015047668,-0.990761,-0.8681789,-0.7446981,-0.7483562,0.0036581
53,-1.3204126,-1.095334,"('uncreative', 'creative')",-0.4117337,-0.27566436,0.80243194,0.7996169,-0.3099048,-0.1904605,-0.1194443
62,-1.300809,-1.2734116,"('incompetent', 'brilliant')",0.34287086,0.53924376,0.157908,0.45144898,-0.2666767,-0.0942396,-0.1724371
40,-1.2780448,-1.1708337,"('stingy', 'generous')",-0.15919477,-0.29938796,-1.5825005,-1.7189074,-1.00658,-1.063043,0.056463
27,-1.249744,-0.98698467,"('hardhearted', 'softhearted')",-0.105014026,0.015975708,1.3851169,1.3192077,0.0101196,0.1160662,-0.1059466
49,-1.2073094,-0.94110906,"('unable', 'able')",-0.959438,-0.6090135,-0.25438216,-0.014290504,-0.8070432,-0.521471,-0.2855722
32,-1.1961874,-1.4336845,"('unkind', 'kind')",0.4980927,0.35347676,1.009326,1.1136461,0.1037438,0.0111461,0.0925977
77,-1.1643062,-1.3256606,"('unmotivated', 'motivated')",0.18261574,0.06848652,-0.8506896,-0.76712126,-0.6107934,-0.6747651,0.0639717
8,-1.1584165,-0.92432064,"('unaffectionate', 'affectionate')",-0.8232881,-0.49767894,0.6979958,0.71333414,-0.4279029,-0.2362218,-0.1916811
63,-1.1186612,-1.2286631,"('unperceptive', 'insightful')",0.47121787,0.68393886,1.3059485,1.482335,0.2195017,0.3125369,-0.0930352
88,-1.090393,-1.108265,"('low', 'eminent')",-0.33366814,-0.40560985,0.2601222,0.30044353,-0.3879796,-0.4044771,0.0164975
46,-1.0643566,-1.4745947,"('uncompetitive', 'competitive')",-0.14939328,-0.110425204,-0.07036869,-0.070813775,-0.4280395,-0.5519446,0.1239051
35,1.0618033,1.5878592,"('corrupt', 'incorrupt')",-0.65141904,-0.41415912,-0.84316796,-0.8339349,-0.1442612,0.1132551,-0.2575163
44,1.0609158,1.1845365,"('prejudiced', 'unprejudiced')",-0.43742374,-0.4217011,-1.4477308,-1.3297964,-0.2747462,-0.188987,-0.0857592
60,-0.9742531,-1.3107258,"('inefficient', 'efficient')",1.6688482,1.6587527,0.3047732,0.46386284,0.3331228,0.2706299,0.0624929
61,-0.96024233,-1.1162056,"('illogical', 'logical')",0.55062765,0.3211278,0.40915188,0.32900766,-0.0001543,-0.1553567,0.1552024
67,0.93839526,0.7498385,"('doubtful', 'determined')",1.1906102,1.1432493,-0.6855391,-0.62010384,0.4811554,0.424328,0.0568274
33,0.9229855,0.8889433,"('wrong', 'right')",0.25549427,0.080198854,-0.73383313,-0.84215707,0.1482156,0.0423284,0.1058872
43,-0.91943157,-1.0997679,"('irresponsible', 'responsible')",1.5956179,1.5270207,0.8157953,1.0199387,0.4973272,0.4823972,0.01493
54,-0.9103923,-0.6653045,"('incapable', 'capable')",0.09900416,0.30863655,0.93406725,1.0632684,0.040893,0.2355335,-0.1946405
34,-0.8938966,-0.8334255,"('mean', 'honorable')",0.39000452,0.57714176,5.8375764,6.062356,1.7778948,1.9353574,-0.1574626
