,jpmorgan_male,jpmorgan_female,tuple,chase_male,chase_female,&_male,&_female,co_male,co_female,average_male,average_female,male-female
10,-4.080856,-3.686615,"('unsympathetic', 'sympathetic')",-1.2947941,-1.1946111,-1.2881528,-1.2120903,0.0064758435,-0.056343004,-1.6643317,-1.5374148,-0.1269169
55,-3.2833664,-3.1062,"('incompetent', 'clever')",-0.75649214,-0.9189951,-0.76655936,-0.89300585,-0.9792571,-1.175414,-1.4464189,-1.5234038,0.0769849
45,-3.1188207,-2.58911,"('incompetent', 'competent')",-1.4157305,-1.2536616,-0.9873329,-0.7915284,-1.1663073,-1.2450294,-1.6720479,-1.4698323,-0.2022156
69,3.1089623,3.1630278,"('lazy', 'industrious')",0.30900133,0.282767,1.2858354,1.4379292,-0.26378912,-0.03449428,1.1100024,1.2123075,-0.1023051
57,-3.1032658,-2.6120086,"('unimaginative', 'imaginative')",-0.89620465,-0.6055308,-0.76389897,-0.69444597,-2.7921422,-2.9087014,-1.8888779,-1.7051717,-0.1837062
0,-3.0043962,-2.850368,"('unsociable', 'sociable')",-0.6632319,-0.84044313,-0.12441887,-0.29930303,-0.1869524,-0.4501339,-0.9947498,-1.110062,0.1153122
86,-2.6535814,-2.3473465,"('uninfluential', 'influential')",0.26926044,0.4058518,-0.11853672,-0.06586937,-1.0565159,-0.85684896,-0.8898434,-0.7160532,-0.1737902
46,-2.5177572,-2.4069545,"('uncompetitive', 'competitive')",0.33288875,0.2939218,-0.22073886,-0.26898646,0.5915405,0.42149305,-0.4535167,-0.4901316,0.0366149
35,2.5167713,2.7166817,"('corrupt', 'incorrupt')",0.37741128,0.5455463,0.5118813,0.79772186,-0.3642774,-0.10245612,0.7604467,0.9893734,-0.2289267
60,-2.4614246,-2.3894444,"('inefficient', 'efficient')",-1.0746623,-1.3983186,-0.57296365,-0.78688335,0.13457783,-0.18603918,-0.9936182,-1.1901714,0.1965532
14,-2.3591452,-2.415312,"('antisocial', 'social')",-0.74817336,-0.8630481,0.22894526,0.11016215,-1.002789,-1.1152426,-0.9702905,-1.0708601,0.1005696
48,-2.3113222,-2.1056807,"('unintelligent', 'intelligent')",-1.5279797,-1.4310596,-0.712146,-0.6606759,-1.6355711,-1.6273625,-1.5467547,-1.4561946,-0.0905601
36,2.2503908,2.1049395,"('hostile', 'amicable')",0.877236,0.95349526,0.73480713,0.9946243,0.18717045,0.28263488,1.0124011,1.0839235,-0.0715224
