,union_male,union_female,tuple,pacific_male,pacific_female,corp_male,corp_female,average_male,average_female,male-female
55,-3.0662274,-2.9898295,"('incompetent', 'clever')",-1.6265283,-1.0373876,0.415,0.40898412,-1.4259186,-1.2060776,-0.219841
81,-2.868499,-2.7936583,"('submissive', 'aggressive')",-1.2791706,-0.8816112,-0.7573987,-0.69196427,-1.6350228,-1.4557446,-0.1792782
60,-2.5467312,-2.0569985,"('inefficient', 'efficient')",-1.2170571,-0.35742673,-0.28954643,-0.005214734,-1.3511116,-0.8065466,-0.544565
13,-2.49543,-2.02448,"('impolite', 'polite')",-1.8417753,-1.2978593,-0.87798727,-0.65334034,-1.7383976,-1.3252266,-0.413171
46,-2.1345983,-1.9119216,"('uncompetitive', 'competitive')",-0.3970026,0.13429412,-1.128391,-1.008227,-1.2199973,-0.9286181,-0.2913792
30,-2.0924582,-1.8726174,"('intolerant', 'tolerant')",-1.7694931,-1.3202558,0.2804583,0.3934013,-1.193831,-0.9331572,-0.2606738
22,-2.087948,-1.8924476,"('untrustworthy', 'trustworthy')",-0.8394221,-0.48003185,-1.0087464,-0.89915943,-1.3120388,-1.0905463,-0.2214925
65,-2.037868,-1.7567866,"('insecure', 'secure')",-0.78379595,-0.27047658,-0.28344315,0.037832834,-1.0350357,-0.6631434,-0.3718923
69,2.0242753,1.6295356,"('lazy', 'industrious')",1.4300531,1.052641,-0.7772932,-0.9903021,0.8923451,0.5639582,0.3283869
82,-1.8853378,-1.8597116,"('poor', 'rich')",-0.28428757,0.07223453,6.5625134,7.03322,1.464296,1.7485809,-0.2842849
57,-1.8766791,-1.8628149,"('unimaginative', 'imaginative')",-0.36817843,-0.19180366,-2.94416,-3.076661,-1.7296724,-1.7104266,-0.0192458
45,-1.8378073,-2.0570548,"('incompetent', 'competent')",-1.1825557,-0.91751677,-0.043227702,-0.16073757,-1.0211968,-1.045103,0.0239062
49,-1.8191582,-1.7655512,"('unable', 'able')",-0.6361961,-0.38041833,-0.36188862,-0.017999206,-0.939081,-0.7213229,-0.2177581
77,-1.8112973,-1.8543632,"('unmotivated', 'motivated')",-0.7160405,-0.49955052,-1.2644182,-1.1328965,-1.2639187,-1.1622701,-0.1016486
85,1.7705793,1.1595939,"('insignificant', 'prestigious')",0.33374375,-0.52824163,-0.5563281,-1.1056476,0.5159984,-0.1580984,0.6740968
52,1.7404279,1.2053344,"('irrational', 'rational')",-0.04115306,-0.68511623,0.121777475,-0.02433443,0.6070174,0.1652946,0.4417228
10,-1.7102237,-1.5469528,"('unsympathetic', 'sympathetic')",-1.8943868,-1.403142,-0.24674256,-0.06722837,-1.2837843,-1.0057743,-0.27801
62,-1.5585186,-1.247284,"('incompetent', 'brilliant')",-0.8258117,-0.01302772,0.38060606,0.8076247,-0.667908,-0.1508957,-0.5170123
