,pulte_male,pulte_female,tuple,group_male,group_female,inc_male,inc_female,average_male,average_female,male-female
86,-1.801636,-1.9425266,"('uninfluential', 'influential')",0.12382166,-0.1520011,-0.2988038,-0.7772928,-0.6588727,-0.9572735,0.2984008
9,-1.6970755,-1.3044499,"('unaffectionate', 'caring')",0.16344008,-0.08990677,1.1836805,0.9725565,-0.1166516,-0.1406001,0.0239485
10,-1.6929746,-1.6533254,"('unsympathetic', 'sympathetic')",0.28252518,0.032041386,-0.31909287,-0.38478687,-0.5765141,-0.6686903,0.0921762
57,-1.6835815,-1.1051054,"('unimaginative', 'imaginative')",-0.56088525,-0.39113775,-2.4035351,-2.6757226,-1.5493339,-1.3906552,-0.1586787
45,-1.4970925,-1.206442,"('incompetent', 'competent')",0.42063498,0.5320655,-0.41594326,-0.45913452,-0.4974669,-0.377837,-0.1196299
1,-1.4522191,-1.4197228,"('unfriendly', 'friendly')",-0.041435145,-0.54219294,1.775354,1.3070589,0.0938999,-0.2182856,0.3121855
0,-1.4187651,-1.7188456,"('unsociable', 'sociable')",0.47944662,0.036293693,-0.67975366,-0.78704727,-0.5396907,-0.8231997,0.283509
53,-1.4079018,-1.1683835,"('uncreative', 'creative')",-0.07652837,-0.2327054,0.9892017,0.623302,-0.1650761,-0.2592623,0.0941862
69,1.353323,1.2587749,"('lazy', 'industrious')",-0.22224073,0.018442903,-0.49452728,-0.68364894,0.212185,0.1978563,0.0143287
48,-1.2508597,-1.6043738,"('unintelligent', 'intelligent')",0.12435562,-0.1622027,0.2805488,0.08781852,-0.2819851,-0.559586,0.2776009
35,1.203116,1.6458899,"('corrupt', 'incorrupt')",-1.7724237,-1.290946,-0.07233623,-0.06693292,-0.2138813,0.0960037,-0.309885
28,-1.1833949,-0.72136486,"('disloyal', 'loyal')",0.3841662,0.29361004,0.9689692,0.7437163,0.0565802,0.1053205,-0.0487403
12,-1.1553133,-0.77797836,"('unsupportive', 'supportive')",0.7513162,0.96957767,-1.6511867,-1.81835,-0.6850613,-0.5422502,-0.1428111
73,1.1546786,1.1772734,"('helpless', 'self-reliant')",0.19529659,0.3184789,-3.0219705,-2.976295,-0.5573318,-0.4935142,-0.0638176
