,graham_male,graham_female,tuple,holdings_male,holdings_female,co_male,co_female,average_male,average_female,male-female
36,-2.4078205,-2.1127815,"('hostile', 'amicable')",-1.0530767,-0.81162,-0.4815147,-0.6170045,-1.3141373,-1.1804687,-0.1336686
56,2.396787,1.9807819,"('impractical', 'practical')",0.92405176,0.8718118,0.052523013,0.08496271,1.1244539,0.9791854,0.1452685
16,-2.201976,-2.1006727,"('unpopular', 'popular')",-1.6946543,-1.4527823,-0.40273112,-0.4799806,-1.4331204,-1.3444784,-0.088642
39,1.9951286,1.6676109,"('exploitative', 'cooperative')",-0.34144425,-0.46808103,0.32563737,0.25231078,0.6597739,0.4839469,0.175827
62,1.9564451,1.75317,"('incompetent', 'brilliant')",0.9443638,0.918542,-0.020788424,0.11837581,0.9600068,0.9300292,0.0299776
35,-1.9145807,-1.2345804,"('corrupt', 'incorrupt')",-1.826437,-1.3250973,-0.80813766,-0.8663361,-1.5163851,-1.1420046,-0.3743805
70,1.757586,1.3987007,"('lethargic', 'energetic')",1.5480971,1.1330432,0.7538827,0.5839726,1.3531887,1.0385722,0.3146165
30,1.7431927,1.518932,"('intolerant', 'tolerant')",1.7148731,1.5897952,0.51421946,0.5653654,1.3240951,1.2246975,0.0993976
85,-1.6795806,-1.0866668,"('insignificant', 'prestigious')",-0.2068161,-0.013304643,-0.82971287,-0.8926494,-0.9053698,-0.6642069,-0.2411629
23,1.6330264,1.4985956,"('insincere', 'sincere')",0.30544418,0.087257355,5.682942,5.7771225,2.5404708,2.4543252,0.0861456
43,1.5810307,1.0869883,"('irresponsible', 'responsible')",0.31697163,0.38588083,0.7063373,0.84693384,0.8681132,0.7732677,0.0948455
31,-1.5579419,-0.98950195,"('evil', 'good')",-1.0899903,-0.8543988,-1.3783172,-1.4218043,-1.3420831,-1.0885684,-0.2535147
46,1.4410629,0.6005472,"('uncompetitive', 'competitive')",1.5404456,0.9713081,-0.04158584,-0.09522597,0.9799742,0.4922098,0.4877644
52,-1.4296756,-1.3028675,"('irrational', 'rational')",-1.1235123,-0.84201825,-0.56902987,-0.7742341,-1.0407392,-0.9730399,-0.0676993
76,1.4264712,1.5010481,"('anxious', 'daring')",0.34425774,0.35700274,-0.09553026,0.020629872,0.5583996,0.6262269,-0.0678273
24,1.4237282,1.4697442,"('dishonest', 'honest')",-0.41725343,-0.37871957,0.6679092,0.75889695,0.558128,0.6166405,-0.0585125
11,1.3270715,0.8993571,"('unhelpful', 'helpful')",0.23945548,-0.11020926,2.4612164,2.3548472,1.3425811,1.0479983,0.2945828
55,1.2841824,0.72517556,"('incompetent', 'clever')",0.3004227,-0.06180563,0.35235348,0.2549252,0.6456529,0.3060984,0.3395545
60,1.238545,0.9109141,"('inefficient', 'efficient')",0.41414472,0.27945617,-0.18678889,0.09324057,0.4886336,0.4278703,0.0607633
4,-1.2328844,-0.8760456,"('disliked', 'liked')",0.32769337,0.6022338,-6.171498,-6.2938156,-2.3588963,-2.1892091,-0.1696872
14,1.2316582,0.89818746,"('antisocial', 'social')",1.9709367,1.8722507,0.4693268,0.22538021,1.2239738,0.9986061,0.2253677
74,1.2101847,1.218979,"('undedicated', 'dedicated')",0.6777641,0.43889123,0.27122697,0.08573222,0.7197252,0.5812008,0.1385244
50,-1.1379982,-1.0990742,"('clumsy', 'skillful')",-0.45299056,-0.39308643,-0.58018804,-0.6074655,-0.7237256,-0.6998754,-0.0238502
45,1.1279118,0.91722685,"('incompetent', 'competent')",0.6539647,0.30964458,0.10336895,-0.16156995,0.6284152,0.3551005,0.2733147
6,-1.1194702,-0.3332702,"('distant', 'open')",-0.72575176,-0.50037134,-0.6014034,-0.6640855,-0.8155418,-0.4992423,-0.3162995
59,-1.0740131,-0.7184975,"('foolish', 'wise')",-0.58857906,-0.27646244,-0.20972541,-0.33005023,-0.6241059,-0.4416701,-0.1824358
80,1.0664257,0.46615338,"('dominated', 'dominating')",0.49723917,0.069500566,0.0016871318,-0.34113133,0.521784,0.0648409,0.4569431
44,-1.066424,-0.99541354,"('prejudiced', 'unprejudiced')",-0.6834801,-0.4534474,-1.4747475,-1.2853274,-1.0748839,-0.9113961,-0.1634878
75,-1.0220578,-0.49370912,"('meek', 'impulsive')",0.1557462,0.5099385,-0.2770992,-0.1813876,-0.3811369,-0.0550527,-0.3260842
9,0.9935713,1.1985197,"('unaffectionate', 'caring')",0.9050392,0.74054676,1.3148099,1.2461618,1.0711401,1.0617428,0.0093973
12,0.95717967,0.82607365,"('unsupportive', 'supportive')",1.0234901,0.86490643,-1.5490041,-1.5885473,0.1438886,0.0341442,0.1097444
10,0.9365545,0.43018177,"('unsympathetic', 'sympathetic')",0.03575328,-0.3598958,0.21207109,0.17904338,0.394793,0.0831098,0.3116832
5,-0.91107637,-0.11656426,"('distant', 'outgoing')",-0.33873266,-0.034907907,-0.6917802,-0.65047026,-0.6471964,-0.2673141,-0.3798823
81,0.90073407,0.6190975,"('submissive', 'aggressive')",1.4728934,1.2304763,-0.31118345,-0.55447817,0.6874813,0.4316985,0.2557828
51,0.8811636,0.58007175,"('uneducated', 'educated')",0.30364972,0.021961212,0.7269602,0.62919366,0.6372578,0.4104089,0.2268489
7,0.8657012,0.80295515,"('insensitive', 'sensitive')",0.6065829,0.5703011,0.24178633,0.051818777,0.5713568,0.475025,0.0963318
69,-0.8425956,-0.22232598,"('lazy', 'industrious')",-0.10242616,0.2661083,-1.2023746,-1.3563147,-0.7157988,-0.4375108,-0.278288
77,-0.8352862,-0.6951874,"('unmotivated', 'motivated')",0.35250282,0.21579102,-1.5243742,-1.4373506,-0.6690525,-0.6389157,-0.0301368
58,0.8327906,0.47248513,"('undiscriminating', 'discriminating')",1.0869771,0.87083477,0.5858753,0.2885207,0.8352143,0.5439469,0.2912674
86,0.8112962,0.2561221,"('uninfluential', 'influential')",0.4470769,-0.066378966,0.06566076,-0.40682593,0.4413446,-0.0723609,0.5137055
67,0.80014914,1.4636964,"('doubtful', 'determined')",0.27279714,0.8450152,-0.38252765,-0.12627329,0.2301396,0.7274794,-0.4973398
53,-0.7914147,-0.5245724,"('uncreative', 'creative')",-0.003445752,0.06792115,0.6258847,0.59520835,-0.0563252,0.0461857,-0.1025109
27,0.79063284,0.5488207,"('hardhearted', 'softhearted')",-0.39588004,-0.52758145,0.6604192,0.4443594,0.351724,0.1551995,0.1965245
88,-0.77235,-0.54964024,"('low', 'eminent')",-0.09236482,0.009589317,-0.47254583,-0.29884717,-0.4457536,-0.2796327,-0.1661209
84,0.735245,0.6413862,"('inferior', 'superior')",-0.0425347,0.22377591,0.25897667,0.35957146,0.317229,0.4082445,-0.0910155
64,-0.7181223,-0.6589224,"('shy', 'confident')",0.6173218,0.8043696,-5.677394,-5.555783,-1.9260648,-1.8034452,-0.1226196
13,0.6980775,0.4107448,"('impolite', 'polite')",-0.016851358,-0.071704485,0.20519233,0.4126764,0.2954728,0.2505722,0.0449006
1,-0.6836997,-0.2655614,"('unfriendly', 'friendly')",0.69488215,0.6247677,1.4514652,1.2489313,0.4875492,0.5360459,-0.0484967
21,0.6506809,0.30828586,"('immoral', 'moral')",0.12032938,0.08648315,-0.7196338,-0.72100693,0.0171255,-0.108746,0.1258715
37,0.6412895,0.42623037,"('fake', 'genuine')",0.10374121,-0.02495002,0.43068904,0.24816182,0.3919066,0.2164807,0.1754259
18,-0.63357675,-0.2750029,"('disagreeable', 'welcoming')",0.10144845,0.42529607,-0.97908896,-0.90582365,-0.5037391,-0.2518435,-0.2518956
