,range_male,range_female,tuple,resources_male,resources_female,corp_male,corp_female,average_male,average_female,male-female
5,-2.0650113,-1.9715654,"('distant', 'outgoing')",-0.84998435,-0.54583144,-1.0705143,-1.031539,-1.3285033,-1.1829786,-0.1455247
36,-1.9333708,-2.0102277,"('hostile', 'amicable')",-2.990663,-2.949544,-1.3232782,-1.137668,-2.0824375,-2.0324799,-0.0499576
6,-1.9318967,-1.8665857,"('distant', 'open')",-1.601627,-1.2919327,-0.9287139,-0.85010713,-1.4874125,-1.3362085,-0.151204
56,1.9152409,2.154795,"('impractical', 'practical')",1.0273174,1.3933756,-0.34418672,-0.30351016,0.8661238,1.0815535,-0.2154297
21,1.7983054,1.962475,"('immoral', 'moral')",1.7569497,1.7443062,0.40861252,0.3476932,1.3212891,1.3514915,-0.0302024
31,-1.6459143,-1.8807073,"('evil', 'good')",-1.8011142,-1.8152534,-1.4022261,-1.5601345,-1.6164182,-1.7520316,0.1356134
60,1.631201,1.908188,"('inefficient', 'efficient')",1.7463621,1.8490525,0.8448078,0.764772,1.4074569,1.5073376,-0.0998807
23,1.6124518,1.8350275,"('insincere', 'sincere')",1.1963766,1.2895855,6.854581,6.9121804,3.2211364,3.3455976,-0.1244612
71,1.4822026,1.7177875,"('diffident', 'self-confident')",0.9795368,1.1873281,0.15236655,0.16095836,0.8713687,1.0220246,-0.1506559
44,-1.4622737,-1.3666224,"('prejudiced', 'unprejudiced')",-0.8060253,-0.8371403,-1.396418,-1.5336971,-1.2215724,-1.24582,0.0242476
7,1.3948208,1.5184478,"('insensitive', 'sensitive')",1.2253997,1.239005,1.2846613,1.2204695,1.3016273,1.3259741,-0.0243468
55,1.3715129,1.3394512,"('incompetent', 'clever')",0.8426148,0.7530311,1.3749565,1.2961754,1.1963614,1.1295525,0.0668089
62,1.3319666,1.4286531,"('incompetent', 'brilliant')",0.9745008,1.0865929,0.89267683,0.88904613,1.0663815,1.134764,-0.0683825
48,1.2060692,1.0473454,"('unintelligent', 'intelligent')",1.3039246,1.0216502,1.1144832,0.97413397,1.208159,1.0143765,0.1937825
13,1.1991451,1.3336741,"('impolite', 'polite')",0.5169258,0.4352066,0.16393721,0.012406893,0.6266694,0.5937625,0.0329069
