,advanced_male,advanced_female,tuple,micro_male,micro_female,devices_male,devices_female,inc_male,inc_female,average_male,average_female,male-female
48,2.4786446,2.2425368,"('unintelligent', 'intelligent')",0.7676679,0.55413294,0.88053286,0.67546403,0.6607878,0.6723292,1.1969082,1.0361156,0.1607926
31,-1.9391805,-1.880338,"('evil', 'good')",0.48915234,0.66042036,-0.09570544,-0.07615504,-1.39366,-1.4051718,-0.7348484,-0.6753111,-0.0595373
6,-1.631517,-1.5143968,"('distant', 'open')",-0.65091115,-0.29262587,-0.7111328,-0.41163132,0.13612631,0.19223553,-0.7143587,-0.5066046,-0.2077541
12,1.6171801,1.7223756,"('unsupportive', 'supportive')",0.24845207,0.36888573,-0.3129999,-0.19737697,-1.8873007,-1.720037,-0.0836671,0.0434619,-0.127129
55,1.526717,1.4571897,"('incompetent', 'clever')",-0.1533073,-0.24908878,0.0819875,-0.010154282,0.15567231,0.07095659,0.4027674,0.3172258,0.0855416
5,-1.4231445,-1.2699296,"('distant', 'outgoing')",-0.14477096,0.22090079,-0.7668349,-0.48277822,-0.43196714,-0.30521798,-0.6916794,-0.4592563,-0.2324231
79,-1.3356574,-1.3871961,"('wavering', 'unwavering')",-0.6094938,-0.5111613,-1.3741215,-1.2872721,-0.16747065,-0.22065106,-0.8716858,-0.8515701,-0.0201157
60,1.3334228,1.3163921,"('inefficient', 'efficient')",0.13888311,0.070318945,0.30041435,0.3286745,0.32703277,0.4366459,0.5249382,0.5380079,-0.0130697
80,1.3332745,1.297309,"('dominated', 'dominating')",-0.5189297,-0.60538775,-0.5281131,-0.56063217,-1.0709387,-1.196712,-0.1961768,-0.2663557,0.0701789
40,1.3312308,1.1459899,"('stingy', 'generous')",0.62617314,0.6322038,0.49712944,0.52042985,-1.4778824,-1.5960283,0.2441627,0.1756488,0.0685139
39,1.2773807,1.4215964,"('exploitative', 'cooperative')",1.5260893,1.6404376,0.4630218,0.642096,0.2217568,0.35085848,0.8720621,1.0137472,-0.1416851
32,-1.264354,-1.2398431,"('unkind', 'kind')",-1.0850514,-1.0206087,-0.6497166,-0.66802526,0.78547466,0.79243773,-0.5534118,-0.5340098,-0.019402
1,-1.2573495,-1.4253405,"('unfriendly', 'friendly')",0.18782265,0.1783702,-0.25930274,-0.33757037,1.2423242,1.1344147,-0.0216263,-0.1125315,0.0909052
73,1.1282012,1.2281731,"('helpless', 'self-reliant')",1.7143557,1.8021007,0.62181044,0.6696626,-3.0030518,-2.881385,0.1153289,0.2046378,-0.0893089
67,1.1265453,1.2202669,"('doubtful', 'determined')",0.19006789,0.23697963,-0.10068201,0.03981763,-0.6718364,-0.5172839,0.1360237,0.244945,-0.1089213
20,1.114696,1.0124197,"('rough', 'thoughtful')",0.65808445,0.6305885,0.57181275,0.4923389,0.97224325,0.9245389,0.8292091,0.7649715,0.0642376
82,-1.0883384,-1.0749949,"('poor', 'rich')",-0.9909165,-0.9268326,0.28585035,0.24499142,6.3970757,6.106949,1.1509178,1.0875282,0.0633896
19,-1.0130419,-1.0108198,"('inhospitable', 'hospitable')",-0.8181623,-0.5762516,-0.6856868,-0.5785783,-0.3314289,-0.14613551,-0.71208,-0.5779463,-0.1341337
83,1.000357,1.018965,"('powerless', 'powerful')",0.05490038,0.032235987,-0.62364155,-0.5267489,-1.0428747,-1.0412072,-0.1528147,-0.1291888,-0.0236259
59,-0.99532074,-0.79233646,"('foolish', 'wise')",0.23059379,0.3683197,-0.5945059,-0.432735,-0.16696645,-0.11577709,-0.3815498,-0.2431322,-0.1384176
72,0.9897105,1.003988,"('unambitious', 'ambitious')",-0.13477883,-0.21218996,-0.99781936,-1.0461165,-1.108881,-1.1293088,-0.3129421,-0.3459068,0.0329647
81,0.94934875,0.9571002,"('submissive', 'aggressive')",-0.7495682,-0.8061761,-0.16949922,-0.27379346,-0.18339464,-0.16812822,-0.0382783,-0.0727494,0.0344711
42,-0.94505024,-0.820348,"('unreliable', 'reliable')",-1.1647674,-0.9227354,-1.7451075,-1.3758597,-2.9946842,-2.7274714,-1.7124023,-1.4616036,-0.2507987
84,0.94006264,1.0783895,"('inferior', 'superior')",0.6404834,0.62072074,0.04787711,0.0749153,0.6324637,0.7487328,0.5652217,0.6306896,-0.0654679
4,-0.8739733,-0.85675347,"('disliked', 'liked')",0.12413851,0.1863588,0.66358775,0.6364092,-5.891172,-5.7538786,-1.4943547,-1.4469661,-0.0473886
85,-0.8473751,-0.83754164,"('insignificant', 'prestigious')",0.40085992,0.4309507,0.40873247,0.4339729,-0.31361738,-0.1948974,-0.08785,-0.0418789,-0.0459711
18,-0.8293532,-0.5955647,"('disagreeable', 'welcoming')",0.044332117,0.24948293,-0.7538629,-0.6153854,-0.6992106,-0.4290879,-0.5595236,-0.3476388,-0.2118848
29,-0.81170315,-0.8697929,"('unfair', 'fair')",-0.39314523,-0.47869772,-1.1153287,-1.2355232,-0.7502933,-0.8540089,-0.7676176,-0.8595057,0.0918881
37,0.799604,0.57292634,"('fake', 'genuine')",-0.3179512,-0.3537363,-0.33380353,-0.3213169,0.2792623,0.29297546,0.1067779,0.0477121,0.0590658
38,-0.7882916,-0.76167977,"('untruthful', 'truthful')",-0.7805039,-0.73974484,-0.73140484,-0.71231145,-0.268461,-0.13291185,-0.6421653,-0.586662,-0.0555033
7,0.77329004,0.7747646,"('insensitive', 'sensitive')",-0.15587021,-0.14021179,-0.32467243,-0.20907155,0.28053647,0.2777238,0.143321,0.1758013,-0.0324803
68,0.7576405,0.474903,"('dependent', 'independent')",-1.636152,-1.6986701,-0.75892943,-0.8353227,-0.44800156,-0.50243115,-0.5213606,-0.6403803,0.1190197
53,-0.7446762,-0.7581798,"('uncreative', 'creative')",0.13786882,0.32645258,-0.036232375,0.078446865,0.9517848,0.95563287,0.0771863,0.1505881,-0.0734018
46,0.74129295,0.6387888,"('uncompetitive', 'competitive')",-1.1674371,-1.328543,-0.1062849,-0.20204005,-0.18023401,-0.36990145,-0.1781658,-0.3154239,0.1372581
16,-0.7311981,-0.7385393,"('unpopular', 'popular')",-0.19156781,-0.2141233,0.35337922,0.29641452,0.58907104,0.47715747,0.0049211,-0.0447727,0.0496938
77,0.7297516,0.6211428,"('unmotivated', 'motivated')",-0.32078582,-0.4373257,0.042033494,0.024632854,-0.8541256,-0.88360524,-0.1007816,-0.1687888,0.0680072
69,0.7080608,0.8214813,"('lazy', 'industrious')",1.4292922,1.5841172,0.9926623,1.1321639,-0.28332385,-0.06490174,0.7116729,0.8682151,-0.1565422
62,0.70621645,0.7059702,"('incompetent', 'brilliant')",-0.48528132,-0.48282734,-0.7233313,-0.64117587,0.14093634,0.123265974,-0.0903649,-0.0736917,-0.0166732
34,0.6958395,0.5949232,"('mean', 'honorable')",-0.38000417,-0.32324034,-0.4197259,-0.3322689,5.967632,5.9060607,1.4659353,1.4613687,0.0045666
88,-0.6864471,-0.69730955,"('low', 'eminent')",-0.77988666,-0.8223796,0.012661558,-0.049575254,-0.3171628,-0.26757857,-0.4427087,-0.4592107,0.016502
36,-0.66919965,-0.9162779,"('hostile', 'amicable')",0.42291176,0.4366439,-0.3264561,-0.36739552,-0.11401897,-0.2654546,-0.1716907,-0.278121,0.1064303
41,-0.59039056,-0.4978627,"('unforgiving', 'forgiving')",-0.375471,-0.21082604,-1.0041237,-0.9098481,0.02448713,0.22259252,-0.4863745,-0.3489861,-0.1373884
70,0.5463417,0.40341938,"('lethargic', 'energetic')",-1.5522501,-1.5782843,-1.1505187,-1.1207067,0.71453035,0.6765131,-0.3604742,-0.4047646,0.0442904
49,0.5358654,0.61010647,"('unable', 'able')",0.35787332,0.5905592,0.23475793,0.48838097,-0.011665976,0.06410482,0.2792077,0.4382879,-0.1590802
86,0.48900443,0.41431415,"('uninfluential', 'influential')",-0.47962344,-0.62481153,-0.81194013,-0.9273661,-0.3918519,-0.36018133,-0.2986028,-0.3745112,0.0759084
2,0.45995402,0.35074854,"('unlikable', 'likable')",-0.3671218,-0.31920335,-0.64005667,-0.61190325,0.40263236,0.5130659,-0.036148,-0.016823,-0.019325
11,0.45680565,0.584682,"('unhelpful', 'helpful')",0.45346296,0.46203965,0.039323136,0.19224104,2.072585,2.1598272,0.7555442,0.8496975,-0.0941533
87,0.39977586,0.15761203,"('unsuccessful', 'successful')",0.2878599,-0.04440415,0.448841,0.1288585,0.5551588,0.26618814,0.4229089,0.1270636,0.2958453
66,0.39503402,0.1959739,"('inactive', 'active')",-1.0305244,-1.0630502,-1.041801,-1.0754235,0.7622599,0.6738962,-0.2287579,-0.3171509,0.088393
74,0.38213786,0.41912594,"('undedicated', 'dedicated')",0.18418583,0.2546481,0.1530256,0.16347666,-0.024777416,-0.0025008488,0.173643,0.2086875,-0.0350445
