,dell_male,dell_female,tuple,technologies_male,technologies_female,inc_male,inc_female,average_male,average_female,male-female
81,-2.4296637,-2.0864644,"('submissive', 'aggressive')",-0.30519903,0.012407884,-0.9659068,-0.6928796,-1.2335899,-0.9223121,-0.3112778
85,2.363861,2.0269537,"('insignificant', 'prestigious')",1.2542808,0.8920435,1.1606908,0.82440174,1.5929441,1.2477997,0.3451444
71,2.2520297,2.1953676,"('diffident', 'self-confident')",0.8355709,0.8665985,0.42212725,0.39514518,1.1699092,1.1523704,0.0175388
1,2.1136346,1.7542677,"('unfriendly', 'friendly')",0.58403814,0.31990764,1.7111627,1.3910244,1.4696118,1.1550666,0.3145452
26,2.0523438,1.8911124,"('hardhearted', 'benevolent')",0.66773176,0.56018555,1.8310163,1.737116,1.5170307,1.396138,0.1208927
8,2.0408998,1.8137424,"('unaffectionate', 'affectionate')",0.5908821,0.55571014,0.64849967,0.6963848,1.0934272,1.0219458,0.0714814
9,1.949836,1.841487,"('unaffectionate', 'caring')",0.6289883,0.5933127,1.1342554,1.1073644,1.2376932,1.1807214,0.0569718
76,-1.8755869,-1.6416209,"('anxious', 'daring')",-1.0651032,-0.6773117,-0.15404785,0.047917157,-1.0315793,-0.7570051,-0.2745742
45,-1.850792,-1.8798608,"('incompetent', 'competent')",-1.426884,-1.2415546,-0.875618,-0.89122057,-1.3844314,-1.3375454,-0.046886
64,-1.5752289,-1.5637137,"('shy', 'confident')",-1.008643,-0.91514975,-6.270879,-6.3105993,-2.9515835,-2.929821,-0.0217625
42,-1.5677378,-1.5383801,"('unreliable', 'reliable')",-1.8947234,-1.6026611,-3.1264734,-3.148059,-2.1963116,-2.0963667,-0.0999449
10,-1.5391022,-1.4507309,"('unsympathetic', 'sympathetic')",-1.3036752,-1.1330949,-0.5213686,-0.53820294,-1.1213819,-1.0406763,-0.0807056
13,-1.4671354,-1.3330526,"('impolite', 'polite')",-1.366052,-1.2509538,-0.73431736,-0.61206377,-1.1891683,-1.0653567,-0.1238116
44,-1.4274434,-1.3041006,"('prejudiced', 'unprejudiced')",-0.097994134,-0.08385808,-1.0673361,-0.89889735,-0.8642578,-0.7622854,-0.1019724
84,1.4024608,1.1423057,"('inferior', 'superior')",0.5449276,0.45070767,1.0087142,0.82812715,0.9853675,0.8070469,0.1783206
70,-1.3913476,-1.1241449,"('lethargic', 'energetic')",-1.0795062,-0.66669774,0.3325021,0.49724832,-0.7127839,-0.4311981,-0.2815858
82,-1.3900543,-1.300902,"('poor', 'rich')",-0.34379613,-0.3232374,5.3442845,5.5403104,1.203478,1.3053904,-0.1019124
57,-1.2913625,-1.3791492,"('unimaginative', 'imaginative')",-0.27605522,-0.17282757,-2.3780954,-2.600586,-1.3151711,-1.3841875,0.0690164
80,-1.2813324,-1.0911983,"('dominated', 'dominating')",-0.2693467,-0.059818298,-1.1788646,-1.0514723,-0.9098479,-0.734163,-0.1756849
65,-1.264223,-1.2446759,"('insecure', 'secure')",-0.825699,-0.90208787,-0.74376804,-0.5858438,-0.9445633,-0.9108692,-0.0336941
36,1.260408,0.79997176,"('hostile', 'amicable')",0.47510645,0.02614855,0.9190157,0.5285878,0.8848434,0.4515694,0.433274
22,-1.2581444,-1.3041601,"('untrustworthy', 'trustworthy')",-0.9634787,-0.8480869,-1.1471161,-1.0718914,-1.122913,-1.0747128,-0.0482002
39,1.2510763,1.1269815,"('exploitative', 'cooperative')",0.5810193,0.52128476,0.0216237,0.033145268,0.6179065,0.5604705,0.057436
83,1.2345963,1.2035198,"('powerless', 'powerful')",0.64940363,0.7070248,-0.7074191,-0.71915346,0.3921936,0.3971304,-0.0049368
33,1.2223651,1.0764282,"('wrong', 'right')",0.8604908,0.68571305,-0.46982625,-0.73718107,0.5376766,0.3416534,0.1960232
25,1.1762179,0.93915176,"('egoistic', 'altruistic')",0.8535811,0.66165036,1.6244539,1.5902512,1.2180843,1.0636845,0.1543998
53,1.1702298,0.9358764,"('uncreative', 'creative')",0.6229077,0.6214157,0.85891604,0.6155015,0.8840179,0.7242645,0.1597534
46,-1.0995544,-1.1375376,"('uncompetitive', 'competitive')",-0.4802713,-0.3081707,-0.5127081,-0.75212157,-0.6975113,-0.7326099,0.0350986
62,-1.0633204,-0.7808027,"('incompetent', 'brilliant')",-0.12225384,0.20473774,-0.5775353,-0.3067,-0.5877032,-0.294255,-0.2934482
52,1.046689,0.7667658,"('irrational', 'rational')",0.60220593,0.23685077,0.07942052,-0.13577487,0.5761052,0.2892806,0.2868246
68,-1.0428549,-1.1183113,"('dependent', 'independent')",-0.49397734,-0.58019567,-0.69124204,-0.8447036,-0.7426914,-0.8477368,0.1050454
3,-1.0287901,-1.1570132,"('repellent', 'pleasant')",-0.21147242,-0.31747004,0.08961476,0.012319297,-0.3835493,-0.487388,0.1038387
55,-0.96604174,-0.8655544,"('incompetent', 'clever')",-0.2265289,-0.05289714,-0.26000705,-0.18747362,-0.4841926,-0.3686417,-0.1155509
51,-0.9450728,-0.9046251,"('uneducated', 'educated')",-0.3859545,-0.34155434,0.5248372,0.40202668,-0.26873,-0.2813843,0.0126543
5,0.9318,0.8775522,"('distant', 'outgoing')",-0.4539848,-0.37722725,-0.5569568,-0.5735945,-0.0263805,-0.0244232,-0.0019573
60,-0.9269403,-0.7314888,"('inefficient', 'efficient')",0.17657954,0.5565103,-0.37943035,-0.16705772,-0.376597,-0.1140121,-0.2625849
24,-0.9222226,-0.8990196,"('dishonest', 'honest')",-1.779576,-1.7070844,0.31075394,0.2732471,-0.7970149,-0.777619,-0.0193959
6,0.9161482,0.78731835,"('distant', 'open')",-0.48269922,-0.48822176,0.3908373,0.29831925,0.2747621,0.1991386,0.0756235
73,0.89586073,0.8612333,"('helpless', 'self-reliant')",0.6713285,0.60250133,-3.02716,-3.0946496,-0.4866569,-0.5436383,0.0569814
66,-0.7984232,-0.54258776,"('inactive', 'active')",-0.5637267,-0.5200776,1.1814903,1.1596109,-0.0602199,0.0323152,-0.0925351
15,0.79583025,0.7781601,"('boring', 'funny')",-0.11596343,-0.046499453,0.22754554,0.21274671,0.3024708,0.3148024,-0.0123316
69,0.7893649,0.7774681,"('lazy', 'industrious')",0.99289376,0.9796114,-0.5471085,-0.4922615,0.4117167,0.421606,-0.0098893
56,-0.770442,-0.5681283,"('impractical', 'practical')",-0.90292615,-0.6695919,-0.82338005,-0.7457446,-0.8322494,-0.6611549,-0.1710945
12,0.7673036,0.81133807,"('unsupportive', 'supportive')",0.2877854,0.5832196,-1.7704751,-1.8217826,-0.2384621,-0.1424083,-0.0960538
59,0.76598024,0.6231567,"('foolish', 'wise')",0.5868825,0.41468892,-0.015775856,-0.08830441,0.4456956,0.3165137,0.1291819
21,-0.75589925,-0.784719,"('immoral', 'moral')",-0.18547821,-0.23450188,-1.0728337,-1.1653721,-0.6714037,-0.7281977,0.056794
19,0.75164723,0.6214854,"('inhospitable', 'hospitable')",-0.29482365,-0.39180475,-0.20000575,-0.38941318,0.0856059,-0.0532442,0.1388501
28,-0.74678147,-1.0121844,"('disloyal', 'loyal')",-0.29717016,-0.4366004,1.0029392,0.836563,-0.0136708,-0.2040739,0.1904031
77,-0.721285,-0.82786816,"('unmotivated', 'motivated')",0.61458236,0.5107202,-1.1588972,-1.270974,-0.4218666,-0.529374,0.1075074
86,0.6982379,0.4963273,"('uninfluential', 'influential')",-0.031082502,-0.109836295,-0.1974467,-0.33376113,0.1565696,0.0175766,0.138993
23,-0.6276837,-0.6460819,"('insincere', 'sincere')",-0.738866,-0.63692546,4.862358,4.972479,1.1652695,1.2298238,-0.0645543
50,-0.58917016,-0.7039062,"('clumsy', 'skillful')",0.44717497,0.5266338,0.16286403,0.09427807,0.0069563,-0.0276648,0.0346211
17,-0.57620776,-0.60454607,"('nasty', 'nice')",-0.71795887,-0.7377055,-0.82388717,-0.7940992,-0.7060179,-0.7121169,0.006099
43,-0.56636536,-0.4442298,"('irresponsible', 'responsible')",-1.3429465,-1.0328834,-0.1753265,-0.119281925,-0.6948795,-0.5321317,-0.1627478
72,-0.5591928,-0.4967151,"('unambitious', 'ambitious')",-1.1694045,-1.0562891,-1.4147218,-1.2467006,-1.047773,-0.9332349,-0.1145381
48,0.5410179,0.53923774,"('unintelligent', 'intelligent')",1.116382,1.2183126,0.36612254,0.35707605,0.6745075,0.7048755,-0.030368
20,0.49639606,0.37388438,"('rough', 'thoughtful')",0.81231344,0.76902497,1.1130025,0.97632045,0.8072373,0.7064099,0.1008274
27,0.49219283,0.40310612,"('hardhearted', 'softhearted')",0.27248785,0.29569116,1.4238285,1.3765761,0.7295031,0.6917911,0.037712
