,aes_male,aes_female,tuple,corp_male,corp_female,average_male,average_female,male-female
6,-1.9316375,-1.9659853,"('distant', 'open')",-0.9150428,-0.99951553,-1.4233402,-1.4827504,0.0594102
1,-1.8385729,-1.8672336,"('unfriendly', 'friendly')",1.3554248,1.1004186,-0.241574,-0.3834075,0.1418335
5,-1.7528119,-1.7628951,"('distant', 'outgoing')",-0.7479869,-0.616432,-1.2503994,-1.1896635,-0.0607359
79,-1.4863497,-1.2873082,"('wavering', 'unwavering')",-0.6136783,-0.6422777,-1.050014,-0.964793,-0.085221
53,-1.4697841,-1.1598539,"('uncreative', 'creative')",0.49252033,0.42380616,-0.4886319,-0.3680239,-0.120608
36,-1.3875782,-0.9012099,"('hostile', 'amicable')",-0.42678192,-0.31638825,-0.9071801,-0.6087991,-0.298381
66,-1.3532406,-1.8333828,"('inactive', 'active')",0.24223477,-0.18358523,-0.5555029,-1.008484,0.4529811
19,-1.2926705,-1.0282245,"('inhospitable', 'hospitable')",-0.47603947,-0.47831288,-0.8843549,-0.7532687,-0.1310862
8,-1.2685752,-1.1791133,"('unaffectionate', 'affectionate')",0.6971726,0.21167414,-0.2857013,-0.4837196,0.1980183
29,-1.2273933,-1.2696407,"('unfair', 'fair')",-0.56576633,-0.7396426,-0.8965798,-1.0046417,0.1080619
57,-1.155553,-1.3891163,"('unimaginative', 'imaginative')",-2.910666,-3.3791387,-2.0331094,-2.3841276,0.3510182
9,-1.1130569,-1.0799384,"('unaffectionate', 'caring')",1.2755244,1.0155636,0.0812337,-0.0321874,0.1134211
38,-1.076189,-1.1666857,"('untruthful', 'truthful')",0.07328676,0.100324616,-0.5014511,-0.5331805,0.0317294
54,-1.0513258,-0.8100097,"('incapable', 'capable')",0.80124414,0.83983886,-0.1250408,0.0149146,-0.1399554
60,1.0463845,0.7235352,"('inefficient', 'efficient')",0.04485517,0.13143143,0.5456198,0.4274833,0.1181365
10,-1.0310019,-1.6262275,"('unsympathetic', 'sympathetic')",-0.34973463,-0.9151274,-0.6903683,-1.2706774,0.5803091
86,-1.0265862,-1.414432,"('uninfluential', 'influential')",0.17162603,-0.47172937,-0.4274801,-0.9430807,0.5156006
31,-1.0134376,-1.088787,"('evil', 'good')",-0.79088235,-0.92627907,-0.90216,-1.0075331,0.1053731
18,-1.0033503,-0.84087783,"('disagreeable', 'welcoming')",-0.17267272,-0.27298906,-0.5880115,-0.5569335,-0.031078
0,-0.92846614,-1.3792828,"('unsociable', 'sociable')",-0.11175503,-0.30982727,-0.5201106,-0.844555,0.3244444
28,-0.9035703,-0.6616649,"('disloyal', 'loyal')",1.0959346,1.0679151,0.0961822,0.2031251,-0.1069429
52,-0.8675524,-0.7355353,"('irrational', 'rational')",-0.36603945,-0.15812726,-0.6167959,-0.4468313,-0.1699646
