,dynegy_male,dynegy_female,tuple,inc_male,inc_female,average_male,average_female,male-female
86,-2.259925,-1.9499174,"('uninfluential', 'influential')",-0.27579156,-0.5291424,-1.2678583,-1.2395298,-0.0283285
10,-2.2287939,-1.6352925,"('unsympathetic', 'sympathetic')",-0.7595286,-0.7335217,-1.4941612,-1.1844071,-0.3097541
1,-2.0409658,-1.8500087,"('unfriendly', 'friendly')",1.8801615,2.0134473,-0.0804021,0.0817193,-0.1621214
53,-1.9845031,-1.9418486,"('uncreative', 'creative')",0.6315045,0.7617042,-0.6764994,-0.5900722,-0.0864272
9,-1.84546,-1.5070167,"('unaffectionate', 'caring')",1.2478378,1.1237673,-0.2988111,-0.1916247,-0.1071864
57,-1.6517894,-1.3484616,"('unimaginative', 'imaginative')",-2.9754863,-2.7064795,-2.3136377,-2.0274706,-0.2861671
28,-1.5063281,-1.2788489,"('disloyal', 'loyal')",0.74356425,0.69749105,-0.3813819,-0.2906789,-0.090703
25,-1.3722475,-1.1238933,"('egoistic', 'altruistic')",1.5064858,1.8217814,0.0671192,0.3489441,-0.2818249
36,-1.3418056,-1.6418047,"('hostile', 'amicable')",0.34604776,0.50085795,-0.4978789,-0.5704734,0.0725945
24,-1.3244147,-1.04345,"('dishonest', 'honest')",0.5453505,0.573639,-0.3895321,-0.2349055,-0.1546266
23,-1.2402784,-0.8815103,"('insincere', 'sincere')",5.577095,5.1708302,2.1684084,2.14466,0.0237484
48,-1.1678255,-0.8721018,"('unintelligent', 'intelligent')",0.7762147,0.6299703,-0.1958054,-0.1210657,-0.0747397
8,-1.1565106,-1.2547122,"('unaffectionate', 'affectionate')",1.3060582,1.0691361,0.0747738,-0.092788,0.1675618
73,1.1494073,1.1422706,"('helpless', 'self-reliant')",-2.749328,-2.669217,-0.7999603,-0.7634733,-0.036487
44,1.1268555,1.2243271,"('prejudiced', 'unprejudiced')",-1.3811224,-1.1366503,-0.1271334,0.0438384,-0.1709718
7,-1.1178735,-0.8949329,"('insensitive', 'sensitive')",0.5031583,0.2570443,-0.3073576,-0.3189443,0.0115867
54,-1.0627048,-0.9845253,"('incapable', 'capable')",1.2418253,1.265036,0.0895603,0.1402553,-0.050695
45,-1.0351537,-0.80082613,"('incompetent', 'competent')",-0.3910855,-0.59816754,-0.7131196,-0.6994969,-0.0136227
0,-1.0236009,-0.7129471,"('unsociable', 'sociable')",-0.5501556,-0.7633484,-0.7868782,-0.7381477,-0.0487305
13,-1.0144768,-0.5587443,"('impolite', 'polite')",-0.7703308,-0.99868715,-0.8924038,-0.7787157,-0.1136881
38,-0.98903114,-0.73810875,"('untruthful', 'truthful')",-0.0734763,-0.13708793,-0.5312537,-0.4375983,-0.0936554
77,-0.9385067,-0.5760314,"('unmotivated', 'motivated')",-1.2240272,-1.222441,-1.0812669,-0.8992362,-0.1820307
31,-0.92911357,-1.1203759,"('evil', 'good')",-0.68306917,-0.52491695,-0.8060914,-0.8226464,0.016555
3,-0.92878795,-0.57677394,"('repellent', 'pleasant')",-0.060679823,0.1306454,-0.4947339,-0.2230643,-0.2716696
61,-0.9102941,-0.6144831,"('illogical', 'logical')",0.031167204,0.08963065,-0.4395635,-0.2624262,-0.1771373
65,-0.87366617,-0.42973727,"('insecure', 'secure')",-0.68866754,-0.8488137,-0.7811669,-0.6392755,-0.1418914
51,-0.7994611,-0.9592677,"('uneducated', 'educated')",0.102433026,-0.055948325,-0.3485141,-0.507608,0.1590939
12,-0.7884852,-0.426233,"('unsupportive', 'supportive')",-1.8054498,-1.8673942,-1.2969675,-1.1468136,-0.1501539
32,-0.7697422,-0.32299522,"('unkind', 'kind')",0.5543208,0.75054145,-0.1077107,0.2137731,-0.3214838
72,-0.7499631,-0.8204791,"('unambitious', 'ambitious')",-0.4293345,-0.848075,-0.5896488,-0.834277,0.2446282
69,0.73141605,0.59294045,"('lazy', 'industrious')",-0.2510142,-0.23206182,0.2402009,0.1804393,0.0597616
17,-0.7026147,-0.7095466,"('nasty', 'nice')",-0.805147,-0.67396754,-0.7538809,-0.6917571,-0.0621238
22,-0.69135165,-0.60492384,"('untrustworthy', 'trustworthy')",-1.1860752,-1.292725,-0.9387134,-0.9488244,0.010111
18,-0.6887916,-0.57880425,"('disagreeable', 'welcoming')",-0.22765958,-0.30572534,-0.4582256,-0.4422648,-0.0159608
46,-0.6880291,-0.27678004,"('uncompetitive', 'competitive')",-1.0302055,-0.99346817,-0.8591173,-0.6351241,-0.2239932
79,-0.6833763,-0.8497671,"('wavering', 'unwavering')",0.101914674,-0.018735278,-0.2907308,-0.4342512,0.1435204
67,0.68255186,0.7296012,"('doubtful', 'determined')",-0.420499,-0.5011188,0.1310264,0.1142412,0.0167852
50,0.65247136,0.5167541,"('clumsy', 'skillful')",0.62502563,0.34745616,0.6387485,0.4321051,0.2066434
88,-0.6431783,-0.22676274,"('low', 'eminent')",0.38450992,0.5624467,-0.1293342,0.167842,-0.2971762
87,0.59677017,0.5409702,"('unsuccessful', 'successful')",0.7290469,0.58450854,0.6629086,0.5627394,0.1001692
21,-0.5964986,0.12289296,"('immoral', 'moral')",-0.8792895,-0.5472056,-0.7378941,-0.2121563,-0.5257378
42,0.569104,0.64040256,"('unreliable', 'reliable')",-3.0056686,-2.9581132,-1.2182823,-1.1588553,-0.059427
70,-0.566761,-0.4608166,"('lethargic', 'energetic')",0.3333007,0.14474075,-0.1167302,-0.1580379,0.0413077
82,-0.5571883,-0.5388097,"('poor', 'rich')",6.3963203,6.0650425,2.9195662,2.7631164,0.1564498
84,0.5560483,0.6964784,"('inferior', 'superior')",1.131435,1.2202579,0.8437417,0.9583682,-0.1146265
71,-0.54756296,-0.4335377,"('diffident', 'self-confident')",0.6282362,0.37853137,0.0403366,-0.0275032,0.0678398
74,-0.5423902,-0.45037028,"('undedicated', 'dedicated')",-0.12657253,-0.11394632,-0.3344814,-0.2821583,-0.0523231
26,-0.53557634,-0.3991327,"('hardhearted', 'benevolent')",1.8709208,2.0721602,0.6676722,0.8365138,-0.1688416
66,-0.5300726,-0.8821999,"('inactive', 'active')",0.99678403,0.90881664,0.2333557,0.0133084,0.2200473
41,-0.5285014,-0.44353852,"('unforgiving', 'forgiving')",-0.14835328,-0.2941024,-0.3384273,-0.3688205,0.0303932
40,-0.51852345,-0.7509382,"('stingy', 'generous')",-1.684067,-1.831647,-1.1012952,-1.2912927,0.1899975
43,-0.45123994,0.063339606,"('irresponsible', 'responsible')",0.5357503,0.5486861,0.0422552,0.3060128,-0.2637576
34,-0.44880724,-0.31033394,"('mean', 'honorable')",6.054962,5.822365,2.8030775,2.7560155,0.047062
63,-0.41430342,-0.27535576,"('unperceptive', 'insightful')",0.96366245,0.5808218,0.2746795,0.152733,0.1219465
81,-0.39755696,-0.049580026,"('submissive', 'aggressive')",-1.0943375,-1.0789636,-0.7459472,-0.5642718,-0.1816754
55,-0.38051936,0.022518598,"('incompetent', 'clever')",-0.22728577,-0.22282228,-0.3039026,-0.1001518,-0.2037508
68,-0.3727456,-0.35983732,"('dependent', 'independent')",-0.5322663,-0.5176878,-0.4525059,-0.4387625,-0.0137434
11,-0.34410822,0.09203242,"('unhelpful', 'helpful')",1.4721595,1.329165,0.5640256,0.7105987,-0.1465731
78,-0.33064562,-0.49884722,"('nonresilient', 'resilient')",0.29822266,0.23194751,-0.0162115,-0.1334499,0.1172384
75,0.3262779,0.12042233,"('meek', 'impulsive')",-0.19051662,-0.3060352,0.0678806,-0.0928064,0.160687
76,0.29978484,0.5956062,"('anxious', 'daring')",-0.07396281,0.11009999,0.112911,0.3528531,-0.2399421
27,-0.2865884,-0.30116102,"('hardhearted', 'softhearted')",1.6008072,1.514326,0.6571094,0.6065825,0.0505269
49,-0.28521127,-0.19274664,"('unable', 'able')",0.030515436,-0.08654143,-0.1273479,-0.139644,0.0122961
80,0.26712793,0.1859195,"('dominated', 'dominating')",-1.5608536,-1.715222,-0.6468629,-0.7646512,0.1177883
62,-0.25973073,-0.025251701,"('incompetent', 'brilliant')",0.1034652,-0.12036772,-0.0781328,-0.0728097,-0.0053231
39,0.2517647,0.4494181,"('exploitative', 'cooperative')",0.023940757,0.15005767,0.1378527,0.2997379,-0.1618852
19,-0.2256262,-0.3940669,"('inhospitable', 'hospitable')",0.14888209,0.030027889,-0.0383721,-0.1820195,0.1436474
58,-0.20912234,-0.39760783,"('undiscriminating', 'discriminating')",0.020871751,-0.19954911,-0.0941253,-0.2985785,0.2044532
6,-0.20909956,-0.36264446,"('distant', 'open')",0.7840951,0.7079892,0.2874978,0.1726724,0.1148254
14,-0.20295322,0.042260982,"('antisocial', 'social')",-1.1382351,-1.0713054,-0.6705942,-0.5145222,-0.156072
15,0.20273525,0.3203208,"('boring', 'funny')",0.329146,0.446291,0.2659406,0.3833059,-0.1173653
30,-0.19102147,0.16304462,"('intolerant', 'tolerant')",0.9461084,1.0139472,0.3775434,0.5884959,-0.2109525
2,0.17450774,0.39929327,"('unlikable', 'likable')",0.42764586,0.5916266,0.3010768,0.4954599,-0.1943831
4,-0.17370343,-0.62550604,"('disliked', 'liked')",-6.657685,-6.5548687,-3.4156942,-3.5901873,0.1744931
16,-0.1705307,-0.29516304,"('unpopular', 'popular')",0.4848649,0.50263005,0.1571671,0.1037335,0.0534336
33,-0.15895292,-0.08582872,"('wrong', 'right')",-0.3839122,-0.40403682,-0.2714326,-0.2449328,-0.0264998
35,-0.1484468,-0.5496302,"('corrupt', 'incorrupt')",0.1517721,0.31338614,0.0016626,-0.118122,0.1197846
47,-0.1330918,-0.051731054,"('stupid', 'smart')",5.733817,5.450119,2.8003626,2.699194,0.1011686
83,-0.13165346,0.1153322,"('powerless', 'powerful')",-0.98317814,-1.040721,-0.5574158,-0.4626944,-0.0947214
56,0.1245633,0.59538376,"('impractical', 'practical')",-0.4706458,-0.40289986,-0.1730412,0.096242,-0.2692832
29,0.115746066,-0.006601762,"('unfair', 'fair')",-0.5279081,-0.43181154,-0.206081,-0.2192066,0.0131256
64,0.104902,0.3876927,"('shy', 'confident')",-6.9256496,-6.6188054,-3.4103739,-3.1155562,-0.2948177
85,0.090127796,-0.073640026,"('insignificant', 'prestigious')",0.9042737,1.1062698,0.4972007,0.5163149,-0.0191142
37,0.08120067,0.12825061,"('fake', 'genuine')",0.56156486,0.43579698,0.3213828,0.2820238,0.039359
59,0.056716576,-0.11654477,"('foolish', 'wise')",0.75157136,0.6698186,0.404144,0.2766369,0.1275071
5,0.048283517,-0.14628738,"('distant', 'outgoing')",0.18791024,0.101114705,0.1180969,-0.0225863,0.1406832
52,0.037158243,-0.040118173,"('irrational', 'rational')",0.40102065,0.54929614,0.2190894,0.254589,-0.0354996
60,-0.026481114,0.58385265,"('inefficient', 'efficient')",-0.18584052,-0.4916446,-0.1061608,0.046104,-0.1522648
20,-0.025785163,0.16911282,"('rough', 'thoughtful')",1.1568027,1.3558396,0.5655087,0.7624762,-0.1969675
