,halliburton_male,halliburton_female,tuple,company_male,company_female,average_male,average_female,male-female
10,-3.124103,-2.9614608,"('unsympathetic', 'sympathetic')",0.75477415,1.0616452,-1.1846645,-0.9499078,-0.2347567
86,-2.9010525,-2.5652995,"('uninfluential', 'influential')",0.3613914,0.45894325,-1.2698306,-1.0531781,-0.2166525
35,2.6937075,2.5696168,"('corrupt', 'incorrupt')",-1.6439545,-1.8599339,0.5248765,0.3548415,0.170035
69,2.6364923,2.749739,"('lazy', 'industrious')",-1.0228631,-1.092498,0.8068146,0.8286205,-0.0218059
60,-2.3385882,-2.055585,"('inefficient', 'efficient')",1.2187502,1.4603906,-0.559919,-0.2975972,-0.2623218
46,-2.3022664,-2.227914,"('uncompetitive', 'competitive')",1.0206879,1.0714849,-0.6407892,-0.5782146,-0.0625746
21,-2.3008099,-1.8088183,"('immoral', 'moral')",0.26521826,0.5148073,-1.0177958,-0.6470056,-0.3707902
48,-2.163107,-2.1159673,"('unintelligent', 'intelligent')",0.77167773,0.9215057,-0.6957146,-0.5972308,-0.0984838
43,-2.063795,-2.0075755,"('irresponsible', 'responsible')",1.5512159,1.756659,-0.2562896,-0.1254582,-0.1308314
81,-2.0587485,-1.88285,"('submissive', 'aggressive')",0.59864616,0.72265965,-0.7300512,-0.5800952,-0.149956
55,-2.0211778,-1.9275644,"('incompetent', 'clever')",1.0517544,1.2764884,-0.4847117,-0.325538,-0.1591737
11,-1.7942064,-1.861844,"('unhelpful', 'helpful')",2.4897523,2.7187293,0.347773,0.4284427,-0.0806697
5,1.748981,1.7975565,"('distant', 'outgoing')",-1.0296564,-1.1829348,0.3596623,0.3073109,0.0523514
57,-1.6907144,-1.7110602,"('unimaginative', 'imaginative')",-1.8885987,-2.1926143,-1.7896565,-1.9518373,0.1621808
23,-1.6835686,-1.5909406,"('insincere', 'sincere')",5.4630113,5.918558,1.8897214,2.1638088,-0.2740874
0,-1.6622981,-1.5638796,"('unsociable', 'sociable')",0.7586341,0.73589647,-0.451832,-0.4139916,-0.0378404
70,-1.6188421,-1.5744547,"('lethargic', 'energetic')",0.8505438,1.0439355,-0.3841492,-0.2652596,-0.1188896
65,-1.5737998,-1.6078156,"('insecure', 'secure')",0.32128316,0.4896658,-0.6262584,-0.5590749,-0.0671835
75,1.563679,1.3116772,"('meek', 'impulsive')",-0.8064838,-1.0164698,0.3785976,0.1476037,0.2309939
62,-1.5616405,-1.4454998,"('incompetent', 'brilliant')",1.5537622,1.7920011,-0.0039392,0.1732507,-0.1771899
77,-1.5258467,-1.100101,"('unmotivated', 'motivated')",-0.553631,-0.4712955,-1.0397389,-0.7856982,-0.2540407
51,-1.5157882,-1.0954752,"('uneducated', 'educated')",0.4368417,0.91025,-0.5394732,-0.0926126,-0.4468606
6,1.46523,1.549035,"('distant', 'open')",-0.8912349,-0.9882103,0.2869976,0.2804123,0.0065853
76,-1.4602941,-1.3648494,"('anxious', 'daring')",0.21465617,0.40318653,-0.6228189,-0.4808314,-0.1419875
24,-1.4418656,-1.2438794,"('dishonest', 'honest')",0.87494785,1.0754105,-0.2834589,-0.0842345,-0.1992244
32,-1.4005915,-1.1468875,"('unkind', 'kind')",1.227993,1.4946656,-0.0862992,0.173889,-0.2601882
73,1.3855715,1.4066057,"('helpless', 'self-reliant')",-3.0394745,-3.14457,-0.8269515,-0.8689822,0.0420307
88,-1.3737562,-1.1754625,"('low', 'eminent')",-0.043254584,0.07698695,-0.7085054,-0.5492378,-0.1592676
85,1.3613379,1.4250906,"('insignificant', 'prestigious')",-1.4246693,-1.5614665,-0.0316657,-0.068188,0.0365223
79,1.3531028,1.341367,"('wavering', 'unwavering')",-1.0802758,-1.0585274,0.1364135,0.1414198,-0.0050063
