,schlumberger_male,schlumberger_female,tuple,ltd_male,ltd_female,average_male,average_female,male-female
10,-2.7562356,-2.7253113,"('unsympathetic', 'sympathetic')",-0.14588799,0.36854073,-1.4510618,-1.1783853,-0.2726765
86,-2.4918675,-2.6627169,"('uninfluential', 'influential')",-0.20104934,0.28756273,-1.3464584,-1.187577,-0.1588814
11,-2.190317,-2.3688505,"('unhelpful', 'helpful')",1.1712581,1.2608494,-0.5095294,-0.5540006,0.0444712
12,-2.0808651,-2.387098,"('unsupportive', 'supportive')",-1.7071708,-1.3098812,-1.8940179,-1.8484896,-0.0455283
35,1.971357,2.096794,"('corrupt', 'incorrupt')",-0.14599396,-0.26980647,0.9126815,0.9134937,-0.0008122
0,-1.9556171,-1.9516203,"('unsociable', 'sociable')",-0.193741,-0.017926916,-1.074679,-0.9847736,-0.0899054
60,-1.8995895,-1.7087506,"('inefficient', 'efficient')",-0.16059932,-0.002145633,-1.0300944,-0.8554481,-0.1746463
13,-1.8923078,-1.7249908,"('impolite', 'polite')",-0.781833,-0.8259798,-1.3370703,-1.2754853,-0.061585
48,-1.8194083,-2.0762606,"('unintelligent', 'intelligent')",0.35037255,0.57688576,-0.7345179,-0.7496874,0.0151695
55,-1.7587068,-1.6547214,"('incompetent', 'clever')",0.27807978,0.72360814,-0.7403135,-0.4655566,-0.2747569
57,-1.7575673,-1.8860427,"('unimaginative', 'imaginative')",-1.1054904,-0.46914625,-1.4315288,-1.1775944,-0.2539344
69,1.7001128,1.9011794,"('lazy', 'industrious')",-0.17446108,-0.12740779,0.7628258,0.8868858,-0.12406
21,-1.6259742,-1.6844548,"('immoral', 'moral')",-1.1598293,-1.1045314,-1.3929017,-1.3944931,0.0015914
23,-1.5941384,-1.6634928,"('insincere', 'sincere')",4.4209385,4.149831,1.4134001,1.2431691,0.170231
62,-1.5077296,-1.564676,"('incompetent', 'brilliant')",0.35558912,0.41973424,-0.5760702,-0.5724709,-0.0035993
46,-1.4923775,-1.5201575,"('uncompetitive', 'competitive')",-0.09079728,0.4134473,-0.7915874,-0.5533551,-0.2382323
81,-1.4739336,-1.2755274,"('submissive', 'aggressive')",-0.9562235,-0.95944595,-1.2150786,-1.1174867,-0.0975919
63,-1.468421,-1.6399863,"('unperceptive', 'insightful')",0.71079415,1.1560519,-0.3788134,-0.2419672,-0.1368462
43,-1.4018284,-1.2957222,"('irresponsible', 'responsible')",1.098979,1.2240435,-0.1514247,-0.0358394,-0.1155853
24,-1.3870616,-1.1560861,"('dishonest', 'honest')",0.07102354,0.11634097,-0.658019,-0.5198725,-0.1381465
85,1.3844174,0.96974397,"('insignificant', 'prestigious')",0.045352563,-0.010756867,0.714885,0.4794936,0.2353914
73,1.3197229,1.1882901,"('helpless', 'self-reliant')",-2.2481425,-2.2157712,-0.4642098,-0.5137405,0.0495307
28,-1.318031,-1.4998256,"('disloyal', 'loyal')",1.3232242,1.2420722,0.0025966,-0.1288767,0.1314733
75,1.2941395,1.134237,"('meek', 'impulsive')",-0.3715007,-0.4764489,0.4613194,0.3288941,0.1324253
