,marathon_male,marathon_female,tuple,oil_male,oil_female,corp_male,corp_female,average_male,average_female,male-female
82,-2.1294565,-2.1654394,"('poor', 'rich')",0.13765976,0.12946106,6.3752823,6.6621675,1.4611619,1.5420631,-0.0809012
9,1.965596,1.7283945,"('unaffectionate', 'caring')",0.4282137,0.20269008,0.68391985,0.6371764,1.0259098,0.856087,0.1698228
85,1.8301419,1.4267598,"('insignificant', 'prestigious')",0.2314969,-0.08831876,-0.7845954,-1.5136039,0.4256812,-0.0583876,0.4840688
74,1.6828542,1.5847479,"('undedicated', 'dedicated')",0.058461193,-0.10314496,-0.24347717,-0.44787163,0.4992794,0.3445771,0.1547023
26,1.62279,1.5295132,"('hardhearted', 'benevolent')",0.97926694,0.7153195,1.2450906,0.7680995,1.2823825,1.0043108,0.2780717
71,1.4880595,1.3306744,"('diffident', 'self-confident')",1.6115073,1.5133953,0.50679344,0.3219918,1.2021201,1.0553538,0.1467663
72,1.47218,1.4731798,"('unambitious', 'ambitious')",0.7189441,0.7795252,-0.5917027,-0.06613191,0.5331404,0.7288578,-0.1957174
0,-1.2582932,-1.6042674,"('unsociable', 'sociable')",0.6043186,0.43877578,-0.13206063,-0.08116529,-0.2620117,-0.4155523,0.1535406
51,-1.2190728,-1.13003,"('uneducated', 'educated')",-0.16551253,-0.0015779436,0.32232562,0.4390084,-0.3540866,-0.2308665,-0.1232201
16,-1.2187333,-1.4606401,"('unpopular', 'popular')",0.0697307,-0.010027856,0.5673206,0.16608797,-0.193894,-0.43486,0.240966
39,1.1825794,0.82490265,"('exploitative', 'cooperative')",-0.36279482,-0.5172307,0.07907739,0.056384046,0.2996207,0.121352,0.1782687
44,-1.1726767,-0.7501958,"('prejudiced', 'unprejudiced')",-1.126305,-0.7690738,-1.1312203,-1.0520887,-1.1434007,-0.8571194,-0.2862813
25,1.1590533,0.8067272,"('egoistic', 'altruistic')",1.4043412,1.1427089,1.296567,0.869346,1.2866538,0.939594,0.3470598
33,1.149621,1.0676063,"('wrong', 'right')",1.1840801,1.1034362,-0.7692856,-0.96273786,0.5214718,0.4027682,0.1187036
73,1.1317215,1.3231386,"('helpless', 'self-reliant')",0.4643349,0.4851426,-3.6065772,-3.5699332,-0.6701736,-0.5872173,-0.0829563
18,1.1162252,0.7637619,"('disagreeable', 'welcoming')",-0.20947564,-0.49404258,-0.60662663,-0.88011307,0.100041,-0.2034646,0.3035056
34,-1.0997695,-1.0973084,"('mean', 'honorable')",0.19690537,0.26205358,4.9753823,5.163601,1.3575061,1.4427821,-0.085276
40,1.0945086,1.0131611,"('stingy', 'generous')",0.18418293,0.20519985,-2.2421958,-2.5900083,-0.3211681,-0.4572158,0.1360477
84,1.0567174,0.977316,"('inferior', 'superior')",0.8841966,0.81234086,0.59263694,0.56193906,0.8445169,0.7838653,0.0606516
12,1.0121176,1.0605456,"('unsupportive', 'supportive')",1.1617916,1.1574992,-1.7692447,-1.9501384,0.1348882,0.0893021,0.0455861
24,0.99457973,0.8413615,"('dishonest', 'honest')",0.8024197,0.68700254,0.12489639,0.140474,0.640632,0.5562793,0.0843527
47,-0.9792705,-1.1188183,"('stupid', 'smart')",1.0103505,0.9395794,5.107631,5.2684503,1.7129037,1.6964038,0.0164999
61,0.94299483,0.57680166,"('illogical', 'logical')",0.80218506,0.45922744,0.65177035,0.44318423,0.7989834,0.4930711,0.3059123
1,0.92429674,0.4472243,"('unfriendly', 'friendly')",1.1582894,0.6115922,0.66548306,0.24417485,0.9160231,0.4343304,0.4816927
14,-0.907381,-0.8727078,"('antisocial', 'social')",0.5856099,0.6454111,-0.24669237,-0.19334042,-0.1894878,-0.1402124,-0.0492754
45,-0.9006389,-0.95664436,"('incompetent', 'competent')",0.25612003,0.24439262,-0.12077175,-0.030031782,-0.2550969,-0.2474278,-0.0076691
53,0.84917206,0.3128384,"('uncreative', 'creative')",0.9859928,0.4005603,0.28456545,0.11990576,0.7065767,0.2777682,0.4288085
56,-0.79452527,-0.87045825,"('impractical', 'practical')",0.48025754,0.46354103,-0.9048037,-0.3836193,-0.4063571,-0.2635122,-0.1428449
17,-0.77450484,-0.6039784,"('nasty', 'nice')",-1.6282715,-1.5110198,-0.74746704,-0.6866716,-1.0500811,-0.93389,-0.1161911
55,-0.74820477,-0.9097918,"('incompetent', 'clever')",0.97604585,0.99913275,0.48839605,0.6708118,0.2387457,0.2533842,-0.0146385
58,-0.7411305,-0.90529865,"('undiscriminating', 'discriminating')",0.6116328,0.39635172,-0.08196124,-0.2976366,-0.0704863,-0.2688612,0.1983749
11,-0.7298087,-0.5733149,"('unhelpful', 'helpful')",0.4500179,0.47983325,1.467602,1.8989615,0.3959371,0.6018266,-0.2058895
42,0.72672075,0.527721,"('unreliable', 'reliable')",0.47997847,0.32693464,-2.1463747,-2.046758,-0.3132252,-0.3973674,0.0841422
19,-0.6974868,-0.84987074,"('inhospitable', 'hospitable')",-1.53765,-1.7236568,-0.97339386,-1.0859283,-1.0695102,-1.2198186,0.1503084
27,0.696151,0.627948,"('hardhearted', 'softhearted')",0.09644889,-0.04722313,0.93135,0.711997,0.57465,0.4309072,0.1437428
59,0.6495855,0.3543076,"('foolish', 'wise')",0.8635897,0.534679,-0.15374488,-0.51842326,0.4531434,0.1235211,0.3296223
32,0.63631713,0.36448327,"('unkind', 'kind')",0.26079062,0.16349049,0.7083095,0.7547236,0.5351391,0.4275658,0.1075733
2,0.58220464,0.5309942,"('unlikable', 'likable')",1.7886205,1.7465101,0.72726387,0.53100634,1.0326963,0.9361703,0.096526
46,-0.5648207,-0.62840813,"('uncompetitive', 'competitive')",0.9175106,0.8318188,-0.27038097,-0.22087263,0.0274363,-0.0058206,0.0332569
49,-0.56444347,-0.8726118,"('unable', 'able')",-0.35453725,-0.31631166,-0.601179,-0.18294112,-0.5067199,-0.4572882,-0.0494317
22,-0.5530167,-0.8538764,"('untrustworthy', 'trustworthy')",-0.20800968,-0.2488592,-0.8012242,-0.6946134,-0.5207502,-0.5991163,0.0783661
81,-0.5418807,-0.33186263,"('submissive', 'aggressive')",0.81402737,1.1847327,-0.70910376,-0.11524385,-0.1456524,0.2458754,-0.3915278
13,-0.53929883,-0.65619683,"('impolite', 'polite')",0.1953142,0.092944935,-0.868206,-0.6144747,-0.4040635,-0.3925755,-0.011488
54,0.52507436,0.16813248,"('incapable', 'capable')",0.04260525,-0.021973979,0.58695346,0.71580577,0.3848777,0.2873214,0.0975563
76,0.521683,0.53837955,"('anxious', 'daring')",0.1717915,0.23932856,0.17021587,0.46784982,0.2878968,0.415186,-0.1272892
60,0.51102024,0.26005355,"('inefficient', 'efficient')",1.4905934,1.5045177,-0.18391088,0.48120227,0.6059009,0.7485912,-0.1426903
88,0.5069096,0.3626218,"('low', 'eminent')",-0.18850775,-0.2822466,-0.55177116,-0.5561485,-0.0777898,-0.1585911,0.0808013
65,-0.5024061,-0.72920513,"('insecure', 'secure')",0.5062221,0.30028108,0.30986017,0.5735334,0.1045587,0.0482031,0.0563556
70,-0.49960104,-0.47778842,"('lethargic', 'energetic')",0.021702103,0.06552369,0.67358905,0.9786108,0.06523,0.188782,-0.123552
50,-0.48773292,-0.8338855,"('clumsy', 'skillful')",-0.38377005,-0.65789676,0.3940665,0.3279986,-0.1591455,-0.3879279,0.2287824
8,0.48138976,0.21670887,"('unaffectionate', 'affectionate')",-0.45597857,-0.7551324,-0.19446595,-0.32897848,-0.0563516,-0.289134,0.2327824
20,-0.4541358,-0.48507383,"('rough', 'thoughtful')",-0.46899185,-0.411617,0.48364076,0.68424857,-0.1464956,-0.0708141,-0.0756815
57,-0.45319924,-0.5338167,"('unimaginative', 'imaginative')",0.48445976,0.257548,-3.0024755,-2.9149537,-0.990405,-1.0637408,0.0733358
28,0.4445502,-0.06470896,"('disloyal', 'loyal')",0.106478944,-0.28710842,1.0333835,0.98607177,0.5281375,0.2114181,0.3167194
