,texas_male,texas_female,tuple,instruments_male,instruments_female,inc_male,inc_female,average_male,average_female,male-female
39,1.580478,1.3222088,"('exploitative', 'cooperative')",0.37287402,0.28348956,0.1883973,0.17826746,0.7139165,0.5946553,0.1192612
71,1.3563027,1.161648,"('diffident', 'self-confident')",1.2105792,1.0546217,0.5460004,0.6000938,1.0376275,0.9387879,0.0988396
85,1.313089,1.4581449,"('insignificant', 'prestigious')",1.1189806,1.2431118,0.3569866,0.25722036,0.9296854,0.986159,-0.0564736
25,1.2440286,1.0550431,"('egoistic', 'altruistic')",1.6852239,1.4900783,1.3763942,1.2037524,1.4352156,1.2496246,0.185591
2,1.2241653,1.0958529,"('unlikable', 'likable')",0.42119905,0.23432769,0.5415439,0.34533855,0.7289694,0.5585064,0.170463
40,1.2102716,1.4784935,"('stingy', 'generous')",0.45031482,0.6494879,-1.5173799,-1.4679114,0.0477355,0.2200234,-0.1722879
74,1.1282134,1.2735736,"('undedicated', 'dedicated')",-0.007650245,0.07812917,0.032729074,-0.0770853,0.3844307,0.4248725,-0.0404418
32,1.1031815,0.893312,"('unkind', 'kind')",-0.036226112,-0.42546177,0.91757107,0.7191449,0.6615088,0.395665,0.2658438
28,1.003034,0.9763293,"('disloyal', 'loyal')",-0.36139804,-0.41189414,0.74959815,0.7203462,0.4637447,0.4282605,0.0354842
9,0.96141666,0.8061536,"('unaffectionate', 'caring')",0.60879225,0.30909598,0.83612233,0.8956445,0.8021104,0.670298,0.1318124
24,0.9056107,0.9287892,"('dishonest', 'honest')",-1.0959775,-1.130895,0.5664618,0.61222816,0.125365,0.1367074,-0.0113424
33,0.88293463,0.80343527,"('wrong', 'right')",0.77429587,0.78596824,-0.64361036,-0.6265008,0.3378734,0.3209676,0.0169058
73,0.8095562,0.70761776,"('helpless', 'self-reliant')",-0.2875836,-0.04489602,-3.3563101,-3.2761908,-0.9447792,-0.8711564,-0.0736228
49,-0.8043195,-0.79323614,"('unable', 'able')",0.1673807,0.08849551,-0.20237894,0.0025999844,-0.2797726,-0.2340469,-0.0457257
16,-0.7850994,-0.8535702,"('unpopular', 'popular')",0.3341239,0.32426307,0.74615234,0.4488193,0.0983923,-0.0268293,0.1252216
50,0.7667934,0.40357885,"('clumsy', 'skillful')",-0.009162195,-0.32177475,0.37839133,0.3003606,0.3786742,0.1273882,0.251286
1,0.76254845,0.75676125,"('unfriendly', 'friendly')",1.1669786,0.95412266,1.5610603,1.337975,1.1635291,1.0162863,0.1472428
84,0.73372126,0.7568397,"('inferior', 'superior')",0.997677,1.0932987,1.0474397,0.99720734,0.9262794,0.9491153,-0.0228359
47,-0.7274934,-0.79252267,"('stupid', 'smart')",-0.34040177,-0.52250767,5.0703063,5.3082347,1.334137,1.3310681,0.0030689
69,0.7174621,0.5272553,"('lazy', 'industrious')",1.2325574,1.1516716,-0.513873,-0.65303653,0.4787155,0.3419635,0.136752
82,-0.6932163,-0.5358723,"('poor', 'rich')",0.38305786,0.17563882,5.67611,5.7345614,1.7886505,1.7914427,-0.0027922
42,0.6683562,0.59546256,"('unreliable', 'reliable')",-2.297088,-2.0871346,-3.0617063,-2.9105783,-1.5634794,-1.4674168,-0.0960626
20,0.6452251,0.6900787,"('rough', 'thoughtful')",1.1938715,1.2529957,1.4831952,1.4108362,1.1074306,1.1179702,-0.0105396
31,-0.6449861,-0.36603338,"('evil', 'good')",0.4068755,0.63060874,-1.2567548,-1.4470601,-0.4982885,-0.3941616,-0.1041269
3,-0.635214,-0.6341515,"('repellent', 'pleasant')",-0.59389436,-0.6453541,0.28142333,0.015782936,-0.315895,-0.4212409,0.1053459
26,0.6221712,0.66101193,"('hardhearted', 'benevolent')",1.675114,1.4294062,1.6072434,1.3007051,1.3015095,1.1303744,0.1711351
7,0.60602564,0.542835,"('insensitive', 'sensitive')",-0.41541907,-0.5594784,0.35959703,0.52330136,0.1834012,0.168886,0.0145152
43,-0.5914376,-0.75567585,"('irresponsible', 'responsible')",-1.2172527,-1.5002549,0.14162238,0.08407357,-0.5556893,-0.7239524,0.1682631
60,0.5393645,0.35044232,"('inefficient', 'efficient')",0.04783548,-0.16649176,0.40504777,0.60309374,0.3307493,0.2623481,0.0684012
87,0.5332856,0.39677036,"('unsuccessful', 'successful')",0.20318092,0.09915115,0.85528475,0.7711192,0.5305838,0.4223469,0.1082369
72,0.5175494,0.53495294,"('unambitious', 'ambitious')",0.18689233,0.2805178,-1.1400486,-0.80028695,-0.1452023,0.0050612,-0.1502635
57,-0.51510984,-0.290407,"('unimaginative', 'imaginative')",-0.9928919,-0.8264789,-2.5314262,-2.5183194,-1.3464759,-1.2117351,-0.1347408
10,-0.50206405,-0.603073,"('unsympathetic', 'sympathetic')",-1.3501823,-1.5485008,-0.44776276,-0.33745012,-0.7666697,-0.8296746,0.0630049
0,-0.44792518,-0.45952606,"('unsociable', 'sociable')",-0.26974663,-0.51788145,-0.21547846,-0.35469526,-0.3110501,-0.4440343,0.1329842
66,0.43577206,0.2589925,"('inactive', 'active')",-0.17582457,-0.28005072,0.7754038,0.6570345,0.3451171,0.2119921,0.133125
56,-0.4215327,-0.391671,"('impractical', 'practical')",0.09901838,0.059547376,-0.28656375,-0.07325011,-0.203026,-0.1351246,-0.0679014
22,-0.41829023,-0.17795776,"('untrustworthy', 'trustworthy')",-2.070094,-1.9660108,-1.2517291,-1.1434472,-1.2467044,-1.0958052,-0.1508992
61,0.41091284,0.41727456,"('illogical', 'logical')",0.09962052,0.09285125,0.3154512,0.2111727,0.2753282,0.2404328,0.0348954
45,-0.4025566,-0.24104553,"('incompetent', 'competent')",-1.7462481,-1.6453835,-0.40659964,-0.31823677,-0.8518014,-0.7348886,-0.1169128
65,0.39961722,0.15625289,"('insecure', 'secure')",-0.2784379,-0.52715737,-0.10582882,-0.063331135,0.0051168,-0.1447452,0.149862
81,-0.38961726,-0.41965917,"('submissive', 'aggressive')",-1.0490587,-0.90013164,-0.7092618,-0.39432594,-0.7159793,-0.5713723,-0.144607
11,-0.38868934,-0.430036,"('unhelpful', 'helpful')",-0.6738415,-0.69254255,1.8392328,2.0556796,0.2589007,0.3110336,-0.0521329
88,0.38239416,0.31011745,"('low', 'eminent')",0.33628738,0.29685846,0.19626176,0.11016776,0.3049811,0.2390479,0.0659332
62,-0.37767243,-0.11704707,"('incompetent', 'brilliant')",-0.9755946,-0.69948727,0.16543157,0.5915737,-0.3959451,-0.0749869,-0.3209582
15,0.36839432,0.20005795,"('boring', 'funny')",0.17562085,0.081937686,0.07181628,0.14697735,0.2052771,0.142991,0.0622861
70,-0.3671889,-0.34312782,"('lethargic', 'energetic')",-2.1709719,-2.1399908,0.05721198,0.37497276,-0.826983,-0.7027152,-0.1242678
55,0.35861635,0.3915269,"('incompetent', 'clever')",-0.6871417,-0.7021719,0.1898148,0.15140612,-0.0462369,-0.0530796,0.0068427
77,-0.3563964,-0.27147818,"('unmotivated', 'motivated')",0.5446017,0.5604329,-0.71593183,-0.618547,-0.1759088,-0.1098641,-0.0660447
23,-0.35400784,-0.32538044,"('insincere', 'sincere')",-0.22925824,-0.42835128,5.364646,5.6195087,1.5937932,1.6219257,-0.0281325
38,-0.35064396,-0.23256566,"('untruthful', 'truthful')",-0.16912319,-0.111055955,0.03431326,0.22891189,-0.161818,-0.0382366,-0.1235814
80,0.33277264,0.42985696,"('dominated', 'dominating')",-1.1489326,-0.95528066,-1.0707362,-0.8641072,-0.6289654,-0.463177,-0.1657884
48,0.32595506,0.50850207,"('unintelligent', 'intelligent')",0.8982471,1.0534711,0.89826137,0.93604046,0.7074878,0.8326712,-0.1251834
67,0.30619365,0.2602442,"('doubtful', 'determined')",-0.68786526,-0.6432428,-0.66456777,-0.5241758,-0.3487465,-0.3023915,-0.046355
44,-0.30492288,-0.59247386,"('prejudiced', 'unprejudiced')",-1.3605148,-1.2680204,-1.3354859,-1.424103,-1.0003079,-1.0948658,0.0945579
52,0.30258816,0.06791173,"('irrational', 'rational')",0.21120423,0.16145656,-0.1911145,-0.45475265,0.1075593,-0.0751281,0.1826874
17,-0.28698143,-0.30460927,"('nasty', 'nice')",-0.4835856,-0.34034976,-0.25993174,-0.100721896,-0.3434996,-0.2485603,-0.0949393
5,-0.27955374,-0.2097285,"('distant', 'outgoing')",-0.4802494,-0.49371016,-0.3936716,-0.31991288,-0.3844916,-0.3411172,-0.0433744
30,-0.26197702,-0.17884593,"('intolerant', 'tolerant')",0.295986,0.1938815,0.83747077,0.86918354,0.2904932,0.2947397,-0.0042465
46,-0.2543144,-0.086788885,"('uncompetitive', 'competitive')",-0.63405186,-0.78218275,-0.4273024,-0.5611537,-0.4385562,-0.4767085,0.0381523
75,-0.24930598,0.015833436,"('meek', 'impulsive')",-0.6399833,-0.30317402,-0.3885001,-0.104683176,-0.4259298,-0.1306746,-0.2952552
14,0.24825768,0.13825688,"('antisocial', 'social')",-0.5566326,-0.72784495,-0.6836737,-0.74023193,-0.3306829,-0.4432733,0.1125904
76,0.24181923,0.11965372,"('anxious', 'daring')",-0.7335775,-0.7362454,0.2911587,0.4318586,-0.0668665,-0.0615777,-0.0052888
86,-0.21995637,0.012059301,"('uninfluential', 'influential')",-0.2886929,-0.35376212,-0.46094015,-0.39561877,-0.3231965,-0.2457739,-0.0774226
27,-0.2068818,-0.35261226,"('hardhearted', 'softhearted')",0.08787133,-0.18981794,1.0882448,1.1564786,0.3230781,0.2046828,0.1183953
34,-0.19757494,-0.158078,"('mean', 'honorable')",0.45070884,0.2376624,5.541024,5.6759124,1.931386,1.918499,0.012887
51,0.19556578,0.56164986,"('uneducated', 'educated')",-0.4552756,-0.370628,0.6291922,0.7574317,0.1231608,0.3161512,-0.1929904
