,brown_male,brown_female,tuple,forman_male,forman_female,corp_male,corp_female,average_male,average_female,male-female
31,-2.3184612,-1.8726438,"('evil', 'good')",0.1291633,0.27675295,-0.98280066,-0.8932448,-1.0573662,-0.8297119,-0.2276543
60,2.14954,1.680368,"('inefficient', 'efficient')",-0.3008828,-0.37985307,0.09630476,0.1166603,0.6483206,0.4723918,0.1759288
16,-2.035725,-2.048081,"('unpopular', 'popular')",-1.0252733,-1.0294333,0.09989001,0.09820854,-0.9870361,-0.9931019,0.0060658
55,1.9261265,1.6491964,"('incompetent', 'clever')",-0.4667893,-0.43895313,0.4243518,0.37895083,0.6278963,0.5297314,0.0981649
14,1.880033,1.7159085,"('antisocial', 'social')",0.6622383,0.6600409,0.054084655,0.05009508,0.865452,0.8086815,0.0567705
21,1.7822119,1.2726228,"('immoral', 'moral')",-0.010336029,-0.18445528,-0.3119549,-0.49152866,0.4866403,0.1988796,0.2877607
75,-1.7634407,-1.5150981,"('meek', 'impulsive')",-0.17682123,-0.085650496,-1.0321887,-0.95444995,-0.9908169,-0.8517328,-0.1390841
56,1.7203172,1.5406188,"('impractical', 'practical')",0.20429292,0.18504944,-0.74257433,-0.75564045,0.3940119,0.3233426,0.0706693
39,1.6307557,1.5068588,"('exploitative', 'cooperative')",0.6232249,0.6751771,0.37537682,0.32963917,0.8764524,0.837225,0.0392274
13,1.5479054,1.291239,"('impolite', 'polite')",-0.30588335,-0.30998906,-0.77178764,-0.784809,0.1567448,0.0654803,0.0912645
37,1.4864309,1.3517132,"('fake', 'genuine')",0.46415418,0.5740349,0.28234825,0.35687494,0.7443111,0.7608744,-0.0165633
0,1.4543424,1.1843976,"('unsociable', 'sociable')",-0.71597636,-0.6724933,-0.059813045,-0.055261157,0.2261843,0.1522144,0.0739699
43,1.4417617,1.1806397,"('irresponsible', 'responsible')",-0.15946943,-0.06903426,0.48030272,0.50615275,0.5875317,0.5392528,0.0482789
66,-1.341936,-1.1762942,"('inactive', 'active')",0.0773742,0.22521235,0.26919967,0.1631584,-0.3317874,-0.2626412,-0.0691462
36,-1.3000889,-0.99298775,"('hostile', 'amicable')",-0.295946,-0.07798867,-0.20857778,-0.16970138,-0.6015375,-0.4135592,-0.1879783
82,-1.2277143,-1.4003093,"('poor', 'rich')",-0.6555868,-0.6238282,5.9190445,5.9784465,1.3452479,1.318103,0.0271449
12,1.2024983,1.1427885,"('unsupportive', 'supportive')",-0.01591537,0.10244219,-1.9978775,-2.0156271,-0.2704315,-0.2567988,-0.0136327
67,1.1939251,1.0650333,"('doubtful', 'determined')",0.7365257,0.5359671,-0.66076046,-0.6312604,0.4232302,0.3232467,0.0999835
85,-1.1914439,-0.98917454,"('insignificant', 'prestigious')",-0.1821682,-0.039143264,-0.10717217,-0.17326286,-0.4935948,-0.4005269,-0.0930679
10,1.1860865,0.8254976,"('unsympathetic', 'sympathetic')",-1.1517518,-1.0907835,0.078148514,0.09147998,0.0374944,-0.0579353,0.0954297
4,-1.1795876,-0.87863487,"('disliked', 'liked')",0.008150417,0.19341798,-7.3354416,-7.292049,-2.8356263,-2.6590886,-0.1765377
34,-1.1651073,-1.3958229,"('mean', 'honorable')",-0.06410188,-0.061083317,5.642555,5.622134,1.4711154,1.3884093,0.0827061
53,-1.1218672,-1.0271478,"('uncreative', 'creative')",-1.7358707,-1.5568234,0.11541647,0.21545584,-0.9141072,-0.7895051,-0.1246021
54,-1.0906525,-1.0439322,"('incapable', 'capable')",-0.5212332,-0.44275266,0.5534143,0.5657505,-0.3528238,-0.3069781,-0.0458457
5,-1.0716009,-0.5167361,"('distant', 'outgoing')",-0.448765,-0.14688441,-1.0286208,-0.9030825,-0.8496623,-0.5222343,-0.327428
65,1.0695508,0.8063246,"('insecure', 'secure')",0.5285828,0.42116144,-0.14684306,-0.14464566,0.4837635,0.3609468,0.1228167
52,-1.069323,-0.9415463,"('irrational', 'rational')",-0.2904071,-0.21625124,0.093807206,0.1323287,-0.4219743,-0.3418229,-0.0801514
