,comcast_male,comcast_female,tuple,corp_male,corp_female,average_male,average_female,male-female
10,-2.2425194,-2.0956783,"('unsympathetic', 'sympathetic')",-0.6091631,-0.58239263,-1.4258412,-1.3390355,-0.0868057
45,-2.002576,-1.8102432,"('incompetent', 'competent')",0.015093122,-0.14512739,-0.9937415,-0.9776853,-0.0160562
85,1.9752849,1.325079,"('insignificant', 'prestigious')",0.27252162,-0.2815068,1.1239033,0.5217861,0.6021172
46,-1.9689301,-1.6810954,"('uncompetitive', 'competitive')",-1.0072109,-1.2053806,-1.4880705,-1.443238,-0.0448325
57,-1.8034714,-1.5594969,"('unimaginative', 'imaginative')",-3.3135078,-3.4151564,-2.5584896,-2.4873266,-0.071163
55,-1.7220191,-1.4840714,"('incompetent', 'clever')",0.25291407,0.14860803,-0.7345525,-0.6677316,-0.0668209
51,-1.618569,-1.0680581,"('uneducated', 'educated')",0.07864861,0.24712455,-0.7699602,-0.4104668,-0.3594934
70,-1.5918264,-1.2018237,"('lethargic', 'energetic')",0.10823249,0.15132034,-0.741797,-0.5252517,-0.2165453
43,-1.551976,-1.2589571,"('irresponsible', 'responsible')",-0.021128993,0.17341723,-0.7865525,-0.54277,-0.2437825
0,-1.5312914,-1.5905591,"('unsociable', 'sociable')",-0.2744782,-0.35341945,-0.9028848,-0.9719893,0.0691045
69,1.3886315,1.265972,"('lazy', 'industrious')",-0.3998275,-0.43899462,0.494402,0.4134887,0.0809133
25,1.3048496,0.90800524,"('egoistic', 'altruistic')",1.6298282,1.4256567,1.4673389,1.166831,0.3005079
52,1.29577,0.77887547,"('irrational', 'rational')",0.3013313,0.2043752,0.7985507,0.4916253,0.3069254
36,1.2726463,0.6979289,"('hostile', 'amicable')",0.08122487,-0.12553084,0.6769356,0.286199,0.3907366
13,-1.2615896,-0.82631415,"('impolite', 'polite')",-0.93008566,-0.8820502,-1.0958376,-0.8541822,-0.2416554
71,1.2303776,1.0115482,"('diffident', 'self-confident')",0.33262026,0.2622009,0.7814989,0.6368746,0.1446243
56,-1.1957786,-0.8509016,"('impractical', 'practical')",-0.7908694,-0.5229286,-0.993324,-0.6869151,-0.3064089
81,-1.1853973,-0.7741457,"('submissive', 'aggressive')",-0.9053345,-0.7166406,-1.0453658,-0.7453932,-0.2999726
80,-1.1720392,-0.73330885,"('dominated', 'dominating')",-0.9058742,-0.70480055,-1.0389566,-0.7190547,-0.3199019
59,1.1258507,1.0078783,"('foolish', 'wise')",0.19651014,0.39308602,0.6611804,0.7004821,-0.0393017
22,-1.1256896,-0.67705107,"('untrustworthy', 'trustworthy')",-1.2728091,-1.043131,-1.1992494,-0.860091,-0.3391584
60,-1.0806744,-0.60004526,"('inefficient', 'efficient')",-0.05215232,0.1739078,-0.5664133,-0.2130687,-0.3533446
65,-1.0655582,-0.87240475,"('insecure', 'secure')",-0.61134505,-0.17062546,-0.8384516,-0.5215151,-0.3169365
39,1.0565248,0.78637,"('exploitative', 'cooperative')",0.26574206,0.1424432,0.6611334,0.4644066,0.1967268
37,-1.0036535,-0.87594175,"('fake', 'genuine')",-0.12236003,0.14890559,-0.5630068,-0.3635181,-0.1994887
11,-0.9338268,-0.773924,"('unhelpful', 'helpful')",1.1992896,1.4446901,0.1327314,0.3353831,-0.2026517
2,0.93307865,0.8173835,"('unlikable', 'likable')",1.187358,0.9975905,1.0602183,0.907487,0.1527313
21,-0.92703295,-1.0537409,"('immoral', 'moral')",-0.26194948,-0.48428726,-0.5944912,-0.7690141,0.1745229
62,-0.88314897,-0.22227216,"('incompetent', 'brilliant')",0.2302242,0.6152767,-0.3264624,0.1965023,-0.5229647
79,0.8662916,0.74021125,"('wavering', 'unwavering')",-0.59745514,-0.35810772,0.1344182,0.1910518,-0.0566336
3,-0.86174476,-1.1338092,"('repellent', 'pleasant')",1.0400734,0.74544895,0.0891643,-0.1941801,0.2833444
