,lauder_male,lauder_female,tuple,estee_male,estee_female,cos_male,cos_female,inc_male,inc_female,average_male,average_female,male-female
69,2.2988436,2.299999,"('lazy', 'industrious')",3.1237063,3.3019257,1.144379,1.1332626,-0.64165056,-0.48863825,1.4813197,1.5616373,-0.0803176
85,2.1934543,2.27364,"('insignificant', 'prestigious')",2.3572996,2.5394423,-0.35048616,-0.16204087,0.48039755,0.8108708,1.1701663,1.365478,-0.1953117
73,2.097479,1.8250549,"('helpless', 'self-reliant')",1.6242765,1.3373563,0.69633853,0.5525534,-2.4639769,-2.6025212,0.4885293,0.2781109,0.2104184
24,-1.8125993,-1.8374375,"('dishonest', 'honest')",-2.404177,-2.465537,-1.3186556,-1.3330339,0.7238958,0.62136495,-1.202884,-1.2536609,0.0507769
35,1.7619818,1.6584255,"('corrupt', 'incorrupt')",2.14906,2.2143993,-0.018727537,-0.20071761,-0.71640843,-0.5336903,0.7939764,0.7846042,0.0093722
57,-1.7168978,-1.6214061,"('unimaginative', 'imaginative')",-2.2546377,-2.2403893,-1.1664305,-0.9910549,-1.499102,-1.3012993,-1.6592671,-1.5385375,-0.1207296
10,-1.6153489,-1.5082694,"('unsympathetic', 'sympathetic')",-3.20677,-3.1014261,-1.0010688,-0.83177435,0.35652635,0.3947959,-1.3666654,-1.2616684,-0.104997
45,-1.5767167,-1.4536098,"('incompetent', 'competent')",-2.443559,-2.2915647,-0.9305429,-0.77292186,-0.23485957,-0.15467857,-1.2964195,-1.1681937,-0.1282258
14,-1.5713934,-1.4299062,"('antisocial', 'social')",-1.5031731,-1.5115417,-0.02945597,0.06041486,-0.63375,-0.806147,-0.9344431,-0.921795,-0.0126481
65,-1.5356895,-1.5177437,"('insecure', 'secure')",-1.6770877,-1.7771004,0.016914483,0.09670059,-0.060881667,-0.28362358,-0.8141861,-0.8704418,0.0562557
72,-1.3881414,-1.5852373,"('unambitious', 'ambitious')",-1.6432012,-1.8446794,-0.95234555,-1.0534087,-0.49597305,-0.7119522,-1.1199152,-1.2988194,0.1789042
3,-1.3636842,-1.3697743,"('repellent', 'pleasant')",-2.4603271,-2.3820689,0.14826949,0.25708726,0.14286892,0.13363597,-0.8832182,-0.84028,-0.0429382
86,-1.2734005,-1.0362877,"('uninfluential', 'influential')",-1.9560306,-1.8086458,-1.0539684,-0.8011589,0.36451155,0.442066,-0.979722,-0.8010066,-0.1787154
22,-1.2395644,-1.1952361,"('untrustworthy', 'trustworthy')",-1.7723461,-1.7773668,-1.0345767,-1.097073,-1.1559162,-1.262367,-1.3006008,-1.3330107,0.0324099
60,-1.1714994,-1.2490547,"('inefficient', 'efficient')",-2.0500238,-2.2842424,0.16114795,0.1145242,0.53759897,0.17444867,-0.630694,-0.8110811,0.1803871
43,-1.149979,-1.0773745,"('irresponsible', 'responsible')",-1.4738919,-1.5925171,-0.6254005,-0.57023984,1.2055537,1.141352,-0.5109295,-0.5246948,0.0137653
46,-1.148395,-1.1579218,"('uncompetitive', 'competitive')",-2.1338887,-2.158083,-1.0334753,-0.9489654,0.19763109,0.10089597,-1.0295321,-1.0410186,0.0114865
48,-1.1274911,-0.90668446,"('unintelligent', 'intelligent')",-2.2865052,-2.1291842,-1.150074,-0.9551527,0.50860506,0.56661594,-1.0138663,-0.8561014,-0.1577649
36,1.1153957,1.1850364,"('hostile', 'amicable')",2.0005639,2.1997054,-0.055451117,0.028410979,-0.47054923,-0.35199702,0.6474898,0.7652889,-0.1177991
33,1.0930743,1.023538,"('wrong', 'right')",1.5217408,1.4851824,0.04153052,-0.030728504,-0.57689226,-0.55580384,0.5198634,0.480547,0.0393164
82,-1.0872827,-1.1198618,"('poor', 'rich')",-1.2089077,-1.2380286,-0.017151635,-0.030801881,5.8485675,5.5612082,0.8838064,0.793129,0.0906774
55,-1.0847168,-1.0104418,"('incompetent', 'clever')",-2.2406914,-2.225312,-0.4610144,-0.38409382,0.43405345,0.31938532,-0.8380923,-0.8251156,-0.0129767
0,-1.0302715,-0.9623021,"('unsociable', 'sociable')",-1.2405611,-1.2354784,-0.44566622,-0.31081554,-0.4588281,-0.51065147,-0.7938317,-0.7548119,-0.0390198
76,-1.0295211,-0.88709486,"('anxious', 'daring')",-2.4422634,-2.4303467,-0.43585867,-0.32149744,-0.1211856,-0.038129013,-1.0072073,-0.919267,-0.0879403
81,-1.0043292,-0.8775743,"('submissive', 'aggressive')",-2.0837018,-2.1447198,-0.17759052,-0.15775588,-0.14263135,-0.32595316,-0.8520632,-0.8765008,0.0244376
37,0.9932974,1.0281073,"('fake', 'genuine')",-0.313805,-0.3199636,-0.22253424,-0.21916226,0.71033347,0.70868707,0.2918229,0.2994171,-0.0075942
30,-0.9294378,-0.8030708,"('intolerant', 'tolerant')",-1.1837204,-1.2670742,-0.2584686,-0.09982696,1.0178615,0.85115635,-0.3384413,-0.329704,-0.0087373
59,0.9132566,0.86964977,"('foolish', 'wise')",1.3174503,1.3156863,-0.18584469,-0.10440431,0.13158399,0.2854089,0.5441115,0.5915852,-0.0474737
50,0.8524302,0.9286794,"('clumsy', 'skillful')",1.0948628,1.1891159,0.6675245,0.7884765,0.688113,0.8769537,0.8257326,0.9458064,-0.1200738
25,0.8491561,0.8159815,"('egoistic', 'altruistic')",0.7153486,0.7313026,0.13991058,0.054902293,0.886352,0.95859116,0.6476918,0.6401944,0.0074974
32,-0.8308778,-0.66454613,"('unkind', 'kind')",-0.9635715,-0.8462479,0.2949947,0.4441962,1.3272682,1.3465884,-0.0430466,0.0699976,-0.1130442
19,0.7895342,0.929479,"('inhospitable', 'hospitable')",0.99073315,1.1261184,-0.14468491,-0.055169348,-0.04029976,0.05889942,0.3988207,0.5148318,-0.1160111
44,-0.7628407,-0.94319844,"('prejudiced', 'unprejudiced')",-0.5800168,-0.7344569,-0.6734127,-0.94036293,-1.4492525,-1.514895,-0.8663807,-1.0332283,0.1668476
17,0.7516129,0.94457865,"('nasty', 'nice')",-0.019953635,0.2323182,-0.931453,-0.78023124,-1.1384287,-0.97118473,-0.3345556,-0.1436298,-0.1909258
84,0.73419297,0.7307409,"('inferior', 'superior')",0.6179934,0.5350718,0.25472814,0.25923744,0.85806865,0.8798615,0.6162458,0.6012279,0.0150179
64,-0.72711277,-0.67801386,"('shy', 'confident')",-0.43965888,-0.41749024,-0.1631214,-0.20251475,-5.5191464,-5.5099077,-1.7122599,-1.7019817,-0.0102782
