,truist_male,truist_female,tuple,financial_male,financial_female,corp_male,corp_female,average_male,average_female,male-female
86,-2.064123,-1.9105161,"('uninfluential', 'influential')",-0.39090243,-0.3008954,-0.1839644,-0.07652639,-0.8796633,-0.762646,-0.1170173
10,-1.6887869,-1.5128989,"('unsympathetic', 'sympathetic')",-1.2561014,-1.1526624,-0.17832865,-0.19403096,-1.0410723,-0.9531974,-0.0878749
53,-1.4866589,-1.4944539,"('uncreative', 'creative')",1.2760978,1.2983084,0.37341487,0.34863424,0.0542846,0.0508296,0.003455
73,1.4089568,1.460259,"('helpless', 'self-reliant')",1.0451646,1.0958326,-2.9422624,-2.9013205,-0.1627137,-0.1150763,-0.0476374
57,-1.3925028,-1.2047952,"('unimaginative', 'imaginative')",-0.5735182,-0.4093602,-3.169945,-3.0786247,-1.7119888,-1.56426,-0.1477288
1,-1.3483611,-1.3598566,"('unfriendly', 'friendly')",1.3879464,1.4504536,1.3099682,1.312305,0.4498512,0.467634,-0.0177828
88,-1.3131393,-1.2811375,"('low', 'eminent')",-1.0917017,-1.0079424,-0.23341848,-0.21735531,-0.8794198,-0.8354784,-0.0439414
0,-1.2977667,-1.1751647,"('unsociable', 'sociable')",0.088010244,0.012053587,-0.15746659,-0.17765915,-0.455741,-0.4469234,-0.0088176
66,-1.2011081,-1.0959421,"('inactive', 'active')",0.40462992,0.43512926,0.21960549,0.16050951,-0.1922909,-0.1667678,-0.0255231
6,-1.1549826,-1.0513464,"('distant', 'open')",-0.35588962,-0.2331391,-1.0660235,-1.012817,-0.8589652,-0.7657676,-0.0931976
28,-1.1440572,-1.3129137,"('disloyal', 'loyal')",0.17509426,0.055380262,1.3809747,1.2714003,0.1373372,0.0046223,0.1327149
19,-1.0538614,-0.8802923,"('inhospitable', 'hospitable')",-0.6737143,-0.55699956,-0.4774798,-0.36603883,-0.7350185,-0.6011102,-0.1339083
79,-1.0485619,-0.9516486,"('wavering', 'unwavering')",-1.0576631,-0.9320067,-0.681823,-0.57254696,-0.9293493,-0.8187341,-0.1106152
