,monsanto_male,monsanto_female,tuple,co_male,co_female,average_male,average_female,male-female
3,-1.9431574,-1.8289472,"('repellent', 'pleasant')",0.7277623,0.6106911,-0.6076976,-0.6091281,0.0014305
10,-1.6524907,-1.5427481,"('unsympathetic', 'sympathetic')",0.21705185,0.053548414,-0.7177194,-0.7445998,0.0268804
22,-1.5904893,-1.4702182,"('untrustworthy', 'trustworthy')",-0.7048331,-0.8566974,-1.1476612,-1.1634578,0.0157966
69,1.4308724,1.1933758,"('lazy', 'industrious')",-1.3036854,-1.4404978,0.0635935,-0.123561,0.1871545
14,-1.4282635,-1.2326941,"('antisocial', 'social')",-0.47883365,-0.63644344,-0.9535486,-0.9345688,-0.0189798
57,-1.381198,-1.4691168,"('unimaginative', 'imaginative')",-3.4575467,-3.5561717,-2.4193723,-2.5126443,0.093272
28,-1.348303,-1.131192,"('disloyal', 'loyal')",0.8651416,1.0901622,-0.2415807,-0.0205149,-0.2210658
13,-1.3330084,-0.9385642,"('impolite', 'polite')",-0.25068223,-0.15444688,-0.7918453,-0.5465055,-0.2453398
70,-1.3238901,-1.2358321,"('lethargic', 'energetic')",0.68634677,0.5134009,-0.3187717,-0.3612156,0.0424439
65,-1.2944577,-1.0912454,"('insecure', 'secure')",0.3987398,0.27818933,-0.4478589,-0.4065281,-0.0413308
7,-1.2856427,-1.1276639,"('insensitive', 'sensitive')",0.08360885,-0.13168451,-0.6010169,-0.6296742,0.0286573
45,-1.2808952,-1.13614,"('incompetent', 'competent')",-0.40619707,-0.5031269,-0.8435462,-0.8196335,-0.0239127
85,1.2379258,1.0946244,"('insignificant', 'prestigious')",-0.92132384,-0.7446686,0.158301,0.1749779,-0.0166769
0,-1.1111729,-1.0612677,"('unsociable', 'sociable')",-0.35401493,-0.58982325,-0.7325939,-0.8255455,0.0929516
18,-1.1076584,-0.95657474,"('disagreeable', 'welcoming')",-1.042393,-0.85260266,-1.0750257,-0.9045887,-0.170437
46,-1.0983405,-0.9404967,"('uncompetitive', 'competitive')",-0.61527324,-0.7022972,-0.8568069,-0.8213969,-0.03541
84,1.0405347,0.8897894,"('inferior', 'superior')",0.6672435,0.51273453,0.8538891,0.701262,0.1526271
77,-0.95309395,-0.9047941,"('unmotivated', 'motivated')",-1.2992426,-1.3582568,-1.1261683,-1.1315255,0.0053572
60,-0.940466,-0.5907745,"('inefficient', 'efficient')",0.14102799,0.13025634,-0.399719,-0.2302591,-0.1694599
53,-0.9338085,-0.9784044,"('uncreative', 'creative')",0.5707999,0.51627207,-0.1815043,-0.2310662,0.0495619
30,-0.92405105,-0.5157144,"('intolerant', 'tolerant')",0.4922265,0.74663854,-0.2159123,0.1154621,-0.3313744
43,-0.9160588,-0.8203472,"('irresponsible', 'responsible')",0.44261545,0.5592582,-0.2367217,-0.1305445,-0.1061772
27,-0.89296925,-1.0548897,"('hardhearted', 'softhearted')",0.8065443,0.66546434,-0.0432125,-0.1947127,0.1515002
24,-0.87115955,-0.6941118,"('dishonest', 'honest')",1.0524222,1.1154587,0.0906313,0.2106735,-0.1200422
19,-0.8669751,-0.7458322,"('inhospitable', 'hospitable')",-0.6342719,-0.337325,-0.7506235,-0.5415786,-0.2090449
54,-0.8349923,-0.5665983,"('incapable', 'capable')",0.6738218,0.89105946,-0.0805852,0.1622306,-0.2428158
23,-0.80477035,-0.67122066,"('insincere', 'sincere')",6.180676,6.2532897,2.6879528,2.7910345,-0.1030817
55,-0.7684479,-0.65326726,"('incompetent', 'clever')",0.5822881,0.32471123,-0.0930799,-0.164278,0.0711981
11,-0.7389151,-0.3758668,"('unhelpful', 'helpful')",2.429364,2.743032,0.8452244,1.1835825,-0.3383581
58,-0.71399444,-0.8542458,"('undiscriminating', 'discriminating')",0.19872205,-0.06267981,-0.2576362,-0.4584628,0.2008266
86,-0.69055784,-0.98677135,"('uninfluential', 'influential')",-0.26839948,-0.6365404,-0.4794787,-0.8116559,0.3321772
12,-0.6772448,-0.7493887,"('unsupportive', 'supportive')",-2.1354887,-2.1349423,-1.4063668,-1.4421655,0.0357987
61,-0.6457577,-0.45462054,"('illogical', 'logical')",-0.49445438,-0.5668472,-0.570106,-0.5107338,-0.0593722
73,0.6395548,0.8195651,"('helpless', 'self-reliant')",-3.8269873,-3.5899951,-1.5937163,-1.385215,-0.2085013
33,0.63450783,0.6114335,"('wrong', 'right')",-1.0251688,-1.0057056,-0.1953305,-0.197136,0.0018055
63,-0.62365663,-0.66655064,"('unperceptive', 'insightful')",0.07282941,0.026692698,-0.2754136,-0.319929,0.0445154
2,-0.62102365,-0.121143416,"('unlikable', 'likable')",0.57161087,0.98818845,-0.0247064,0.4335225,-0.4582289
76,-0.6115724,-0.2556263,"('anxious', 'daring')",0.33838126,0.4699085,-0.1365956,0.1071411,-0.2437367
9,-0.5909345,-0.6652168,"('unaffectionate', 'caring')",0.75059223,0.8490969,0.0798289,0.09194,-0.0121111
21,-0.5880182,-0.40492895,"('immoral', 'moral')",-0.57027394,-0.50378025,-0.579146,-0.4543546,-0.1247914
75,0.5753651,0.64004207,"('meek', 'impulsive')",-0.57968116,-0.4124312,-0.002158,0.1138054,-0.1159634
17,-0.5617219,-0.34645754,"('nasty', 'nice')",-0.3131821,0.012058675,-0.437452,-0.1671994,-0.2702526
47,-0.5556312,-0.37714294,"('stupid', 'smart')",5.4534726,5.641444,2.4489207,2.6321507,-0.18323
38,-0.55283725,-0.2840741,"('untruthful', 'truthful')",-0.18498768,0.1421762,-0.3689125,-0.070949,-0.2979635
26,0.54620796,0.30022255,"('hardhearted', 'benevolent')",1.2328901,1.0329578,0.889549,0.6665902,0.2229588
36,-0.53811276,-0.6276177,"('hostile', 'amicable')",-0.56004417,-0.42660132,-0.5490785,-0.5271095,-0.021969
81,-0.5333283,-0.26016474,"('submissive', 'aggressive')",-0.41818786,-0.42846945,-0.4757581,-0.3443171,-0.131441
37,-0.5308583,-0.3505896,"('fake', 'genuine')",0.26534063,0.07479675,-0.1327588,-0.1378964,0.0051376
32,-0.5112692,-0.3221639,"('unkind', 'kind')",1.0532004,1.1224607,0.2709656,0.4001484,-0.1291828
59,0.48623574,0.47844902,"('foolish', 'wise')",-0.14684623,-0.058732435,0.1696948,0.2098583,-0.0401635
79,0.48104244,0.3282836,"('wavering', 'unwavering')",-0.6990377,-0.40306467,-0.1089976,-0.0373905,-0.0716071
