,viacom_male,viacom_female,tuple,inc_male,inc_female,average_male,average_female,male-female
10,-1.6103989,-1.0219009,"('unsympathetic', 'sympathetic')",-0.20456383,-0.21985023,-0.9074814,-0.6208755,-0.2866059
45,-1.3664949,-1.0729903,"('incompetent', 'competent')",-0.45360604,-0.6122643,-0.9100505,-0.8426273,-0.0674232
8,-1.3506323,-0.97488457,"('unaffectionate', 'affectionate')",0.4220868,0.4468175,-0.4642727,-0.2640336,-0.2002391
43,-1.1617597,-0.7117307,"('irresponsible', 'responsible')",0.5929727,0.37390316,-0.2843935,-0.1689138,-0.1154797
9,-1.1476529,-0.58650696,"('unaffectionate', 'caring')",0.84484714,0.9701573,-0.1514029,0.1918252,-0.3432281
39,1.1378876,1.4169954,"('exploitative', 'cooperative')",0.11517952,0.21557902,0.6265336,0.8162872,-0.1897536
85,1.1109416,1.0957853,"('insignificant', 'prestigious')",0.83395725,0.9367111,0.9724494,1.0162482,-0.0437988
28,-1.0496907,-0.5643228,"('disloyal', 'loyal')",0.88415945,0.81515425,-0.0827656,0.1254157,-0.2081813
73,1.0451815,1.1797619,"('helpless', 'self-reliant')",-3.0510132,-2.9187038,-1.0029159,-0.869471,-0.1334449
0,-1.0146265,-0.7881499,"('unsociable', 'sociable')",-0.060799506,-0.22024542,-0.537713,-0.5041977,-0.0335153
38,-0.98503935,-0.73805046,"('untruthful', 'truthful')",-0.41747558,-0.3766919,-0.7012575,-0.5573712,-0.1438863
70,-0.97878146,-0.64715225,"('lethargic', 'energetic')",0.77332735,0.61884713,-0.1027271,-0.0141526,-0.0885745
23,-0.9687222,-0.5988224,"('insincere', 'sincere')",5.4018893,5.235884,2.2165835,2.3185308,-0.1019473
53,-0.9590368,-0.51672465,"('uncreative', 'creative')",0.8870246,0.758733,-0.0360061,0.1210042,-0.1570103
69,0.9395655,0.6770509,"('lazy', 'industrious')",-0.8593459,-0.82226324,0.0401098,-0.0726062,0.112716
33,0.89813596,1.0298221,"('wrong', 'right')",-0.7636221,-0.6569982,0.0672569,0.1864119,-0.119155
57,-0.87622035,-0.604231,"('unimaginative', 'imaginative')",-2.1548245,-2.1071718,-1.5155225,-1.3557014,-0.1598211
46,-0.83492565,-0.74985814,"('uncompetitive', 'competitive')",-0.3362868,-0.5597567,-0.5856062,-0.6548074,0.0692012
13,-0.7847132,-0.6629624,"('impolite', 'polite')",-0.41908908,-0.5716337,-0.6019012,-0.617298,0.0153968
44,0.7671063,0.45194274,"('prejudiced', 'unprejudiced')",-1.4778739,-1.3979144,-0.3553838,-0.4729858,0.117602
19,-0.7390003,-0.65285766,"('inhospitable', 'hospitable')",-0.11331921,-0.13858098,-0.4261598,-0.3957193,-0.0304405
72,-0.71206087,-0.45815754,"('unambitious', 'ambitious')",-0.8775403,-0.920706,-0.7948006,-0.6894318,-0.1053688
7,-0.706287,-0.6209172,"('insensitive', 'sensitive')",0.84678555,0.625162,0.0702493,0.0021224,0.0681269
1,-0.6871423,-0.19740453,"('unfriendly', 'friendly')",1.650094,1.7231969,0.4814759,0.7628962,-0.2814203
41,-0.6764409,-0.30445316,"('unforgiving', 'forgiving')",0.3151951,0.27831724,-0.1806229,-0.013068,-0.1675549
61,0.6663261,0.68049127,"('illogical', 'logical')",0.46746135,0.42016608,0.5668937,0.5503287,0.016565
82,-0.66556203,-0.40837553,"('poor', 'rich')",5.5281715,5.3245053,2.4313047,2.4580648,-0.0267601
63,-0.63575953,-0.3603423,"('unperceptive', 'insightful')",1.2768754,1.1614971,0.3205579,0.4005774,-0.0800195
48,0.62809575,0.71302253,"('unintelligent', 'intelligent')",1.0166194,0.9629167,0.8223576,0.8379696,-0.015612
32,-0.6144776,-0.15338561,"('unkind', 'kind')",0.88508326,0.8757045,0.1353028,0.3611594,-0.2258566
6,-0.5991721,-0.41892353,"('distant', 'open')",-0.038857937,0.02735265,-0.319015,-0.1957854,-0.1232296
49,-0.59352607,-0.8606703,"('unable', 'able')",-0.1225436,-0.17447418,-0.3580348,-0.5175723,0.1595375
3,-0.59166145,-0.5922418,"('repellent', 'pleasant')",0.07965813,-0.030659873,-0.2560017,-0.3114508,0.0554491
86,-0.5737829,-0.10120371,"('uninfluential', 'influential')",0.4681518,0.37285152,-0.0528156,0.1358239,-0.1886395
83,0.54845077,0.7024724,"('powerless', 'powerful')",-0.5674684,-0.6312421,-0.0095088,0.0356151,-0.0451239
24,-0.5461762,0.028007276,"('dishonest', 'honest')",0.7101481,0.70945215,0.081986,0.3687297,-0.2867437
54,-0.5421719,-0.40480512,"('incapable', 'capable')",1.0796498,1.0195582,0.268739,0.3073765,-0.0386375
37,-0.5321934,-0.28326455,"('fake', 'genuine')",0.17059827,0.1799241,-0.1807976,-0.0516702,-0.1291274
55,-0.5215572,-0.40084964,"('incompetent', 'clever')",0.37841153,0.16503036,-0.0715728,-0.1179096,0.0463368
17,-0.51796174,-0.6292406,"('nasty', 'nice')",-0.5920785,-0.5542392,-0.5550201,-0.5917399,0.0367198
42,-0.4867042,-0.04050279,"('unreliable', 'reliable')",-2.764865,-2.7153447,-1.6257845,-1.3779237,-0.2478608
12,-0.47790775,-0.1697216,"('unsupportive', 'supportive')",-1.4275724,-1.4323678,-0.9527401,-0.8010447,-0.1516954
74,-0.44590023,-0.12815252,"('undedicated', 'dedicated')",0.63504434,0.5757069,0.0945721,0.2237772,-0.1292051
51,-0.4324792,-0.2480982,"('uneducated', 'educated')",1.3738096,1.3177732,0.4706652,0.5348375,-0.0641723
2,0.43146884,0.45190185,"('unlikable', 'likable')",0.78604805,0.64064777,0.6087584,0.5462748,0.0624836
4,-0.42491102,-0.40742934,"('disliked', 'liked')",-5.725037,-5.6075907,-3.0749741,-3.0075099,-0.0674642
18,-0.3981299,-0.447006,"('disagreeable', 'welcoming')",-0.18422943,-0.27741846,-0.2911797,-0.3622122,0.0710325
26,0.3926723,0.78587264,"('hardhearted', 'benevolent')",1.9873381,1.9101828,1.1900052,1.3480277,-0.1580225
81,-0.3836267,-0.19353257,"('submissive', 'aggressive')",-0.39636457,-0.45695984,-0.3899956,-0.3252462,-0.0647494
11,-0.36487338,-0.113305494,"('unhelpful', 'helpful')",1.4050992,1.388183,0.5201129,0.6374388,-0.1173259
67,-0.35985607,-0.3459419,"('doubtful', 'determined')",-0.82066375,-0.9592945,-0.5902599,-0.6526182,0.0623583
87,0.35897556,0.31054518,"('unsuccessful', 'successful')",0.8957391,0.93001884,0.6273573,0.620282,0.0070753
27,-0.3409861,-0.013715968,"('hardhearted', 'softhearted')",1.206255,1.3351243,0.4326344,0.6607041,-0.2280697
30,-0.33183774,-0.06773132,"('intolerant', 'tolerant')",1.1972948,1.1344405,0.4327285,0.5333546,-0.1006261
80,0.32641286,0.53882277,"('dominated', 'dominating')",-0.981134,-0.9193333,-0.3273606,-0.1902553,-0.1371053
59,0.31852108,0.34956294,"('foolish', 'wise')",0.09691081,0.27498177,0.2077159,0.3122724,-0.1045565
66,-0.29920134,-0.34741083,"('inactive', 'active')",0.9286016,0.89900905,0.3147001,0.2757991,0.038901
15,-0.29462323,-0.37180728,"('boring', 'funny')",0.36659423,0.3906531,0.0359855,0.0094229,0.0265626
64,0.29082417,0.011095125,"('shy', 'confident')",-5.7381873,-5.685665,-2.7236814,-2.837285,0.1136036
58,0.2883136,0.4703544,"('undiscriminating', 'discriminating')",0.3883272,0.30069393,0.3383204,0.3855242,-0.0472038
56,-0.28214136,0.05861555,"('impractical', 'practical')",0.13573213,-0.029504206,-0.0732046,0.0145557,-0.0877603
5,-0.2779337,-0.37890315,"('distant', 'outgoing')",-0.5691755,-0.5709611,-0.4235546,-0.4749321,0.0513775
84,0.2714206,0.155522,"('inferior', 'superior')",0.9849661,1.0080771,0.6281934,0.5817996,0.0463938
20,0.2616313,0.4049822,"('rough', 'thoughtful')",1.256826,1.3536779,0.7592287,0.87933,-0.1201013
47,-0.25173265,0.04517536,"('stupid', 'smart')",5.03055,4.782372,2.3894086,2.4137738,-0.0243652
14,0.24776979,0.19213906,"('antisocial', 'social')",-0.36767018,-0.6605144,-0.0599502,-0.2341877,0.1742375
16,-0.24468943,-0.46221069,"('unpopular', 'popular')",0.21183473,0.14452851,-0.0164274,-0.1588411,0.1424137
36,-0.2440869,-0.4303212,"('hostile', 'amicable')",0.14256978,0.20083325,-0.0507586,-0.114744,0.0639854
21,-0.19367033,0.13837485,"('immoral', 'moral')",-0.40496308,-0.3632318,-0.2993167,-0.1124285,-0.1868882
25,0.19217595,0.28034657,"('egoistic', 'altruistic')",1.5697142,1.4925147,0.8809451,0.8864306,-0.0054855
