,textron_male,textron_female,tuple,inc_male,inc_female,average_male,average_female,male-female
6,-2.596419,-3.0299504,"('distant', 'open')",0.13242698,0.25869718,-1.2319961,-1.3856266,0.1536305
79,-1.9750662,-2.4050708,"('wavering', 'unwavering')",-0.16327868,-0.31524873,-1.0691724,-1.3601598,0.2909874
5,-1.9588269,-2.3776877,"('distant', 'outgoing')",-0.33713442,-0.09765227,-1.1479807,-1.2376699,0.0896892
36,-1.8344598,-2.0229163,"('hostile', 'amicable')",0.22141783,0.17496887,-0.806521,-0.9239737,0.1174527
31,-1.780736,-2.226752,"('evil', 'good')",-0.8044047,-0.90509677,-1.2925704,-1.5659244,0.273354
66,-1.711925,-1.8533708,"('inactive', 'active')",0.6722617,0.5426989,-0.5198317,-0.6553359,0.1355042
8,-1.6881924,-1.8186958,"('unaffectionate', 'affectionate')",0.95594937,0.9408015,-0.3661215,-0.4389471,0.0728256
60,1.6137528,1.9115064,"('inefficient', 'efficient')",0.15508108,0.23468529,0.8844169,1.0730958,-0.1886789
1,-1.6079768,-2.1542726,"('unfriendly', 'friendly')",1.6191491,1.5191069,0.0055861,-0.3175828,0.3231689
19,-1.5695454,-1.960712,"('inhospitable', 'hospitable')",-0.042929657,-0.27057856,-0.8062375,-1.1156453,0.3094078
9,-1.5462883,-1.7424548,"('unaffectionate', 'caring')",1.0869719,1.1725105,-0.2296582,-0.2849721,0.0553139
85,-1.4681331,-1.9288561,"('insignificant', 'prestigious')",0.6252824,0.26913556,-0.4214253,-0.8298603,0.408435
52,-1.3919914,-1.7045573,"('irrational', 'rational')",-0.21950038,-0.24950801,-0.8057459,-0.9770327,0.1712868
54,-1.3356127,-1.517105,"('incapable', 'capable')",0.9985929,1.2580582,-0.1685099,-0.1295234,-0.0389865
53,-1.2658782,-1.3070112,"('uncreative', 'creative')",0.86195534,1.0437781,-0.2019614,-0.1316166,-0.0703448
59,-1.2130629,-1.255907,"('foolish', 'wise')",0.13740088,0.5504413,-0.537831,-0.3527329,-0.1850981
4,-1.1047084,-1.3132764,"('disliked', 'liked')",-5.8840313,-6.001559,-3.49437,-3.6574175,0.1630475
21,1.067599,1.0184716,"('immoral', 'moral')",-0.4960065,-0.66292894,0.2857963,0.1777713,0.108025
81,1.0595537,1.2619944,"('submissive', 'aggressive')",-0.79669106,-0.5086787,0.1314313,0.3766578,-0.2452265
38,-1.043282,-1.351686,"('untruthful', 'truthful')",-0.31959787,-0.24632436,-0.6814399,-0.7990052,0.1175653
48,1.0019377,0.9408134,"('unintelligent', 'intelligent')",1.0195869,0.8799575,1.0107623,0.9103855,0.1003768
18,-0.96606296,-1.2493874,"('disagreeable', 'welcoming')",-0.2543214,-0.12789473,-0.6101922,-0.6886411,0.0784489
80,0.8802518,0.93268144,"('dominated', 'dominating')",-1.3175787,-1.6243906,-0.2186634,-0.3458546,0.1271912
76,0.8623621,1.5010698,"('anxious', 'daring')",0.06467213,0.34422052,0.4635171,0.9226452,-0.4591281
35,-0.8579115,-0.78156626,"('corrupt', 'incorrupt')",0.08145631,0.04091964,-0.3882276,-0.3703233,-0.0179043
16,-0.82823694,-0.8797535,"('unpopular', 'popular')",0.6657234,0.6898469,-0.0812568,-0.0949533,0.0136965
14,0.82127804,1.2818254,"('antisocial', 'social')",-0.48845166,-0.30445498,0.1664132,0.4886852,-0.322272
20,0.79424304,0.9913597,"('rough', 'thoughtful')",1.3632711,1.3089701,1.078757,1.1501648,-0.0714078
24,-0.79180074,-0.83903396,"('dishonest', 'honest')",0.4426804,0.68010247,-0.1745602,-0.0794657,-0.0950945
55,0.76195705,1.0449713,"('incompetent', 'clever')",0.24543953,0.31584358,0.5036983,0.6804075,-0.1767092
29,-0.7389943,-0.6471253,"('unfair', 'fair')",-0.7086985,-0.6120302,-0.7238464,-0.6295778,-0.0942686
17,-0.7172351,-0.77850753,"('nasty', 'nice')",-0.5965056,-0.62599945,-0.6568704,-0.7022535,0.0453831
67,0.7031711,0.705331,"('doubtful', 'determined')",-0.45488095,-0.2598928,0.1241451,0.2227191,-0.098574
46,0.68781424,0.5837495,"('uncompetitive', 'competitive')",-0.50364214,-0.8389066,0.092086,-0.1275786,0.2196646
61,0.6560204,0.41596177,"('illogical', 'logical')",0.18603283,-0.14572594,0.4210266,0.1351179,0.2859087
86,-0.5842812,-1.1211891,"('uninfluential', 'influential')",0.1453115,-0.45670205,-0.2194849,-0.7889456,0.5694607
43,-0.57648367,-0.4450724,"('irresponsible', 'responsible')",0.20490253,0.28063488,-0.1857906,-0.0822188,-0.1035718
45,-0.56874114,-0.6292497,"('incompetent', 'competent')",-0.1479944,-0.27351215,-0.3583678,-0.4513809,0.0930131
25,-0.5670019,-0.6679163,"('egoistic', 'altruistic')",1.6148028,1.5785334,0.5239005,0.4553086,0.0685919
15,-0.56255984,-0.6454062,"('boring', 'funny')",0.37215674,0.35934746,-0.0952016,-0.1430294,0.0478278
82,-0.54035527,-0.5879222,"('poor', 'rich')",5.6287665,5.993437,2.5442057,2.7027574,-0.1585517
