,dupont_male,dupont_female,tuple,de_male,de_female,nemours_male,nemours_female,inc_male,inc_female,average_male,average_female,male-female
69,2.3482811,2.1398194,"('lazy', 'industrious')",2.1083682,2.0647576,3.301631,3.129797,-0.5825167,-0.44383913,1.7939409,1.7226337,0.0713072
85,2.094179,2.1263518,"('insignificant', 'prestigious')",-0.10153803,-0.10118382,2.5959287,2.380175,0.11288944,0.38791144,1.1753647,1.1983136,-0.0229489
45,-1.9336547,-1.7109209,"('incompetent', 'competent')",-0.65295017,-0.9384622,-2.3672285,-2.6778386,-0.18667573,-0.23189408,-1.2851273,-1.389779,0.1046517
25,1.8027897,1.9265755,"('egoistic', 'altruistic')",0.267443,0.43649963,0.8827707,0.98516923,1.1364096,1.3614979,1.0223533,1.1774356,-0.1550823
80,-1.6779822,-1.466284,"('dominated', 'dominating')",-0.37799847,-0.30719522,-1.3083957,-1.2904532,-1.042971,-1.2140098,-1.1018369,-1.0694855,-0.0323514
13,-1.6612737,-1.4677813,"('impolite', 'polite')",-0.86356956,-0.7955502,-2.142329,-1.9929546,-0.19417967,-0.26461774,-1.215338,-1.130226,-0.085112
76,-1.513121,-1.4454298,"('anxious', 'daring')",-0.17763433,-0.1687643,-1.6269809,-1.6620477,0.6280725,0.6066581,-0.6724159,-0.6673959,-0.00502
65,-1.5032448,-1.4277781,"('insecure', 'secure')",-0.39995596,-0.49325907,-2.5077853,-2.6192122,-0.20444809,-0.3260817,-1.1538585,-1.2165828,0.0627243
11,-1.4299175,-1.3075231,"('unhelpful', 'helpful')",-0.6987121,-0.9069834,-1.8026524,-1.7796297,2.1606212,2.1473172,-0.4426652,-0.4617048,0.0190396
26,1.3982184,1.5036705,"('hardhearted', 'benevolent')",-0.5378704,-0.48529765,-0.058529466,-0.013157465,1.2903501,1.4929911,0.5230421,0.6245516,-0.1015095
