,federated_male,federated_female,tuple,hermes_male,hermes_female,inc_male,inc_female,average_male,average_female,male-female
53,-2.5762928,-2.6106157,"('uncreative', 'creative')",-0.6026575,-0.48904136,0.7464357,0.64484733,-0.8108382,-0.8182699,0.0074317
8,-2.0317957,-2.203492,"('unaffectionate', 'affectionate')",-0.7722666,-0.6916328,0.720784,0.7835509,-0.6944261,-0.7038579,0.0094318
86,-1.8100901,-1.7951648,"('uninfluential', 'influential')",0.930889,1.1014223,-0.52883667,-0.54354054,-0.4693459,-0.4124277,-0.0569182
1,-1.7591513,-1.8476413,"('unfriendly', 'friendly')",0.43731722,0.5280739,1.982565,1.8812947,0.2202437,0.1872424,0.0330013
56,1.754235,1.7299827,"('impractical', 'practical')",2.7220125,2.7165513,0.08306491,0.19673008,1.5197709,1.5477548,-0.0279839
39,1.6132462,1.5365883,"('exploitative', 'cooperative')",2.3373945,2.212068,0.23357742,0.17075843,1.3947393,1.3064716,0.0882677
67,1.6127698,1.7240614,"('doubtful', 'determined')",-0.026261553,-0.027474076,-0.4923938,-0.4487158,0.3647048,0.4159572,-0.0512524
82,-1.5691544,-1.6156514,"('poor', 'rich')",-0.25248322,-0.24071437,6.1475143,6.2334137,1.4419589,1.459016,-0.0170571
73,1.5632179,1.4164861,"('helpless', 'self-reliant')",1.2427003,1.1285468,-2.986933,-3.0611706,-0.0603383,-0.1720459,0.1117076
31,-1.4638621,-1.3709701,"('evil', 'good')",-1.5449048,-1.2350113,-1.140208,-1.0534699,-1.3829916,-1.2198171,-0.1631745
16,-1.3788089,-1.5118005,"('unpopular', 'popular')",-1.8797824,-2.0008497,0.32772505,0.22785194,-0.9769554,-1.0949328,0.1179774
10,-1.2867714,-1.3307858,"('unsympathetic', 'sympathetic')",-0.16803437,-0.18122828,-0.4205737,-0.34436747,-0.6251265,-0.6187938,-0.0063327
48,-1.2219497,-1.1919049,"('unintelligent', 'intelligent')",0.7990541,0.9694654,0.5862369,0.60805804,0.0544471,0.1285395,-0.0740924
27,-1.2187296,-1.2692245,"('hardhearted', 'softhearted')",0.17730394,0.16131823,1.2304165,1.2735614,0.0629969,0.0552183,0.0077786
68,-1.2090818,-1.0732235,"('dependent', 'independent')",0.21733543,0.35059223,-0.8575955,-0.5634786,-0.6164473,-0.4287033,-0.187744
57,-1.1794678,-1.2707657,"('unimaginative', 'imaginative')",-0.37311086,-0.32656735,-2.5650642,-2.6554673,-1.3725476,-1.4176,0.0450524
55,-1.1754025,-1.1546991,"('incompetent', 'clever')",0.91585165,0.98852265,-0.18643573,-0.14633179,-0.1486622,-0.1041694,-0.0444928
78,-1.16904,-1.2493906,"('nonresilient', 'resilient')",-0.08943403,-0.20297007,0.031382658,0.045661815,-0.4090304,-0.4688996,0.0598692
9,-1.1323531,-1.2617762,"('unaffectionate', 'caring')",0.34982812,0.39211303,1.365005,1.4010146,0.19416,0.1771171,0.0170429
61,-1.0693777,-1.1686226,"('illogical', 'logical')",0.75132746,0.86090094,-0.091640994,-0.12681134,-0.1365637,-0.1448443,0.0082806
18,-1.0523105,-1.1172317,"('disagreeable', 'welcoming')",-0.315669,-0.36299375,-0.5696075,-0.5341243,-0.6458623,-0.6714499,0.0255876
6,-1.003535,-0.89647776,"('distant', 'open')",-1.0546743,-0.80854195,0.364202,0.46089828,-0.5646691,-0.4147071,-0.149962
29,-0.93829083,-0.7410213,"('unfair', 'fair')",-0.961492,-0.65456045,-0.7961584,-0.57259655,-0.8986471,-0.6560594,-0.2425877
22,-0.89619124,-0.8669455,"('untrustworthy', 'trustworthy')",-0.5246167,-0.48678583,-1.1806067,-0.98745733,-0.8671382,-0.7803962,-0.086742
