,newell_male,newell_female,tuple,brands_male,brands_female,inc_male,inc_female,average_male,average_female,male-female
71,2.7423713,2.904182,"('diffident', 'self-confident')",2.4120905,2.585047,0.58783406,0.67538804,1.9140986,2.0548724,-0.1407738
12,2.2762234,2.2735276,"('unsupportive', 'supportive')",0.9629489,1.2052543,-1.4593678,-1.44235,0.5932682,0.6788106,-0.0855424
85,1.8835721,2.0668287,"('insignificant', 'prestigious')",0.29436484,0.3421181,0.3768274,0.74862015,0.8515882,1.0525223,-0.2009341
26,1.8566749,1.9913261,"('hardhearted', 'benevolent')",0.7956814,0.8287669,1.1396512,1.2502075,1.2640025,1.3567669,-0.0927644
87,1.7583979,1.7328379,"('unsuccessful', 'successful')",1.9528028,1.9268317,0.69869953,0.7402588,1.4699667,1.4666429,0.0033238
1,1.7380177,1.9515318,"('unfriendly', 'friendly')",0.95114034,0.87257427,0.9643682,1.093346,1.2178421,1.3058173,-0.0879752
3,-1.602345,-1.498959,"('repellent', 'pleasant')",-0.7754378,-0.40588465,-0.060717523,0.014797686,-0.8128335,-0.6300153,-0.1828182
33,1.5642638,1.3261676,"('wrong', 'right')",0.98319507,0.86105025,-0.6740597,-0.64528877,0.6244664,0.5139763,0.1104901
56,1.5542665,1.6059113,"('impractical', 'practical')",1.5163809,1.8316346,0.32062495,0.29328963,1.130424,1.2436118,-0.1131878
53,1.5466577,1.8367288,"('uncreative', 'creative')",0.90149415,1.3656259,0.7817911,0.90993714,1.0766476,1.3707639,-0.2941163
75,-1.5122346,-1.400663,"('meek', 'impulsive')",-1.1983356,-1.0675868,-0.28440985,-0.20845497,-0.9983267,-0.892235,-0.1060917
73,1.4871752,1.5321032,"('helpless', 'self-reliant')",0.8252141,0.96126395,-3.2339485,-2.9304233,-0.3071864,-0.1456854,-0.161501
84,1.4542032,1.4062189,"('inferior', 'superior')",0.3481566,0.4139718,0.91018903,1.0792642,0.9041829,0.9664849,-0.062302
57,-1.3753043,-1.4977603,"('unimaginative', 'imaginative')",-0.96067274,-0.78742373,-2.4826047,-2.639543,-1.6061939,-1.6415757,0.0353818
9,1.3315115,1.2311716,"('unaffectionate', 'caring')",0.988286,1.0194918,0.76773727,0.65519994,1.0291783,0.9686211,0.0605572
35,-1.1607388,-1.1948253,"('corrupt', 'incorrupt')",-1.9165652,-1.9185289,-0.6231115,-0.5577771,-1.2334718,-1.2237105,-0.0097613
69,1.114895,0.75809306,"('lazy', 'industrious')",0.66611606,0.5745521,-0.51783884,-0.49141175,0.4210574,0.2804111,0.1406463
2,1.1059582,1.3619629,"('unlikable', 'likable')",0.9517901,1.1573006,0.6463283,1.0333012,0.9013588,1.1841882,-0.2828294
83,0.9859847,0.9357534,"('powerless', 'powerful')",0.6584859,0.9077704,-0.6519679,-0.62790805,0.3308342,0.4052052,-0.074371
81,-0.974484,-1.1526258,"('submissive', 'aggressive')",0.37677237,0.14406125,-0.48626718,-0.68456256,-0.3613263,-0.5643757,0.2030494
68,-0.9559452,-0.75024825,"('dependent', 'independent')",-0.5509949,-0.37152642,-0.21706627,-0.02222836,-0.5746688,-0.3813343,-0.1933345
5,0.9556678,1.0797554,"('distant', 'outgoing')",0.24322423,0.21316127,-0.16284955,0.01131954,0.3453475,0.4347454,-0.0893979
54,0.9141156,1.0988452,"('incapable', 'capable')",1.3400059,1.5981805,1.0266955,1.3540987,1.0936057,1.3503749,-0.2567692
19,0.9111469,1.2383782,"('inhospitable', 'hospitable')",-0.020690333,0.0755333,-0.020387191,0.19021106,0.2900231,0.5013742,-0.2113511
78,0.87328327,0.8073155,"('nonresilient', 'resilient')",1.0048375,1.1077288,0.85985243,0.7437387,0.9126577,0.886261,0.0263967
67,0.8681369,0.98722273,"('doubtful', 'determined')",-0.012209121,0.17706311,-0.42997083,-0.17175543,0.1419856,0.3308435,-0.1888579
63,0.8617181,0.8048532,"('unperceptive', 'insightful')",0.6484267,0.7472444,1.512001,1.4161454,1.0073819,0.9894144,0.0179675
42,0.82086635,1.0291476,"('unreliable', 'reliable')",0.7869556,1.0653765,-2.499976,-2.3444786,-0.2973847,-0.0833182,-0.2140665
23,0.81787175,0.9660252,"('insincere', 'sincere')",0.9588845,1.2252618,5.481805,5.2843904,2.4195204,2.4918925,-0.0723721
62,0.77485025,0.6209142,"('incompetent', 'brilliant')",1.185871,1.398812,0.4772777,0.4838785,0.8126663,0.834535,-0.0218687
51,-0.7611722,-0.7090044,"('uneducated', 'educated')",-0.3203684,-0.36499822,0.5145694,0.4383828,-0.1889904,-0.2118733,0.0228829
44,-0.7298077,-0.81251085,"('prejudiced', 'unprejudiced')",0.19617012,0.31738374,-1.4073341,-1.0685909,-0.6469905,-0.5212393,-0.1257512
66,0.71897995,0.78630984,"('inactive', 'active')",-0.36073405,-0.27009636,1.0201539,0.92393106,0.4594666,0.4800482,-0.0205816
47,0.68785304,0.7306213,"('stupid', 'smart')",1.3064632,1.4468268,5.3293095,5.207695,2.4412085,2.4617144,-0.0205059
60,0.68689877,0.7018196,"('inefficient', 'efficient')",1.6090943,1.7666234,0.42894378,0.42090014,0.9083123,0.9631143,-0.054802
37,0.6834553,0.58518773,"('fake', 'genuine')",-0.28551218,-0.27873245,0.3224473,0.2554783,0.2401301,0.1873112,0.0528189
16,-0.677983,-0.6337367,"('unpopular', 'popular')",-0.51000214,-0.31673133,0.45596763,0.5411729,-0.2440058,-0.1364317,-0.1075741
8,0.662731,0.6734918,"('unaffectionate', 'affectionate')",-0.025916357,-0.15213053,0.1829276,0.18990868,0.2732474,0.23709,0.0361574
39,0.6431933,0.59805036,"('exploitative', 'cooperative')",1.4328251,1.575762,-0.1741957,0.10323813,0.6339409,0.7590168,-0.1250759
17,-0.62612885,-0.6037584,"('nasty', 'nice')",-0.4959091,-0.51267624,-0.5385407,-0.48895395,-0.5535262,-0.5351295,-0.0183967
31,-0.61879385,-0.6576343,"('evil', 'good')",-1.1781873,-1.4810559,-1.2623504,-1.231242,-1.0197771,-1.1233107,0.1035336
61,0.6185705,0.5604584,"('illogical', 'logical')",0.31523132,0.19992429,0.04431607,0.111301854,0.3260393,0.2905615,0.0354778
59,0.5987843,0.38989216,"('foolish', 'wise')",0.6280394,0.5459339,0.19397183,0.2530252,0.4735986,0.3962837,0.0773149
11,0.59601676,0.58246213,"('unhelpful', 'helpful')",0.7752195,0.85208374,2.4368155,2.299091,1.2693506,1.2445456,0.024805
