,automatic_male,automatic_female,tuple,data_male,data_female,processing_male,processing_female,inc_male,inc_female,average_male,average_female,male-female
48,2.1574607,2.1195269,"('unintelligent', 'intelligent')",-0.3227367,-0.26729947,0.7040577,0.8647257,0.4522954,0.6806865,0.7477692,0.8494099,-0.1016407
60,1.9495069,2.3265612,"('inefficient', 'efficient')",-0.263588,0.23607142,1.5934476,2.1255627,-0.7885797,-0.3692087,0.6226967,1.0797466,-0.4570499
31,-1.7862474,-1.8709103,"('evil', 'good')",0.25555903,0.2313654,-1.4099022,-1.6195953,-0.39651412,-0.45513433,-0.8342761,-0.9285686,0.0942925
57,1.7670698,1.3040066,"('unimaginative', 'imaginative')",-0.2852793,-0.38190225,0.073535174,0.013109788,-2.454144,-2.5190477,-0.2247046,-0.3959584,0.1712538
39,1.618977,1.7558922,"('exploitative', 'cooperative')",1.2139306,1.2189244,-0.05139015,0.06592233,0.3476034,0.36947778,0.7822802,0.8525541,-0.0702739
46,1.4814153,1.2578622,"('uncompetitive', 'competitive')",-0.25103897,-0.39210227,0.7133928,0.8505419,-0.9002496,-0.85605633,0.2608798,0.2150614,0.0458184
85,-1.3528448,-1.4243298,"('insignificant', 'prestigious')",1.0901427,0.9876542,-0.60522455,-0.84177196,0.6208699,0.56682605,-0.0617642,-0.1779054,0.1161412
26,1.2624571,0.9846662,"('hardhearted', 'benevolent')",1.2288994,1.1241995,1.597657,1.3009607,2.0689943,2.0932229,1.5395019,1.3757622,0.1637397
14,1.2231137,1.0839065,"('antisocial', 'social')",0.14015637,0.15310192,1.3370385,1.343421,-0.48464024,-0.41852638,0.5539171,0.5404758,0.0134413
16,-1.2198813,-1.1022379,"('unpopular', 'popular')",0.07914616,0.16810791,-0.8566012,-0.6808331,0.23307501,0.33540764,-0.4410653,-0.3198889,-0.1211764
11,1.2091333,1.3908162,"('unhelpful', 'helpful')",-0.074747294,0.041569233,0.5141217,0.65253454,1.431091,1.6131991,0.7698996,0.9245298,-0.1546302
4,-1.1927589,-1.2889544,"('disliked', 'liked')",-0.35310477,-0.35831115,-1.0450675,-1.061476,-6.546802,-6.3824725,-2.2844334,-2.2728035,-0.0116299
61,1.1829325,1.0182877,"('illogical', 'logical')",2.4891465,2.3215418,2.167762,2.216922,0.44726396,0.23681234,1.5717762,1.4483908,0.1233854
56,1.1618123,1.2211027,"('impractical', 'practical')",-0.11006389,0.039910644,0.67252,0.88629,-1.2626653,-1.1367944,0.1154008,0.2526272,-0.1372264
6,-1.1555237,-1.2275201,"('distant', 'open')",0.3716532,0.2550631,-1.9491122,-2.242181,0.47639602,0.2923097,-0.5641466,-0.7305821,0.1664355
59,-1.129425,-1.2568353,"('foolish', 'wise')",1.1143538,1.0119427,-0.8478341,-1.0643204,0.3235376,0.17630759,-0.1348419,-0.2832264,0.1483845
84,1.0990263,1.1699766,"('inferior', 'superior')",1.0320474,1.1697621,0.47606093,0.5893674,0.86960614,0.94772303,0.8691852,0.9692073,-0.1000221
20,1.0874766,1.2012423,"('rough', 'thoughtful')",0.4544379,0.63571906,0.9604268,1.2291355,0.7881236,0.90930927,0.8226162,0.9938515,-0.1712353
55,1.0557365,1.0565623,"('incompetent', 'clever')",-1.0095468,-0.94580173,0.5203128,0.6891764,0.023450159,0.09526928,0.1474882,0.2238016,-0.0763134
42,-0.9806962,-1.0700463,"('unreliable', 'reliable')",0.06386189,0.24718484,-0.017244458,0.03676114,-3.7066271,-3.6312869,-1.1601765,-1.1043468,-0.0558297
65,0.9721449,0.96145725,"('insecure', 'secure')",-0.23725358,-0.1820766,0.21693897,0.28381884,-0.577776,-0.50648165,0.0935136,0.1391795,-0.0456659
5,-0.96246487,-0.98578227,"('distant', 'outgoing')",0.8318091,0.8207003,-1.1097589,-1.2501619,-0.103655875,-0.18009505,-0.3360176,-0.3988347,0.0628171
79,-0.94946235,-1.1929935,"('wavering', 'unwavering')",-0.6689773,-0.6649989,-1.5214237,-1.7696053,0.23072514,0.005336996,-0.7272846,-0.9055652,0.1782806
75,-0.9439789,-0.90442425,"('meek', 'impulsive')",-0.35320398,-0.08080306,0.09920885,0.20429587,-0.35269862,-0.35491332,-0.3876682,-0.2839612,-0.103707
81,0.94194645,0.98326266,"('submissive', 'aggressive')",-0.41238064,-0.19676413,1.019187,1.298697,-1.1714199,-0.8631272,0.0943332,0.3055171,-0.2111839
19,-0.9032587,-1.0087357,"('inhospitable', 'hospitable')",-0.047169253,-0.2247499,-0.30150187,-0.3912546,0.3172282,0.18503779,-0.2336754,-0.3599256,0.1262502
66,-0.8102473,-1.0526625,"('inactive', 'active')",-0.8001327,-1.0277333,-0.696071,-1.0071696,1.0477922,0.74891317,-0.3146647,-0.584663,0.2699983
73,0.80508554,1.1233655,"('helpless', 'self-reliant')",1.1752367,1.3858006,-0.50020605,-0.45938134,-2.9276917,-2.715775,-0.3618939,-0.1664975,-0.1953964
86,0.77593094,0.39148653,"('uninfluential', 'influential')",-0.3256375,-0.6467586,0.28977185,0.17631665,0.16399793,-0.015729286,0.2260158,-0.0236712,0.249687
58,0.74176496,0.51423156,"('undiscriminating', 'discriminating')",1.9229634,1.8121322,1.7248963,1.5723519,0.20382728,0.15737985,1.148363,1.0140239,0.1343391
35,-0.7064563,-0.8632576,"('corrupt', 'incorrupt')",0.23423293,0.11137884,-0.2570964,-0.44268417,0.423729,0.28920323,-0.0763977,-0.2263399,0.1499422
17,-0.6952115,-0.6649964,"('nasty', 'nice')",-0.121039055,-0.108189724,-0.80776113,-0.7391421,-0.50797683,-0.43427932,-0.5329971,-0.4866519,-0.0463452
87,0.68834287,0.5742096,"('unsuccessful', 'successful')",1.2268361,0.94589865,1.1237663,1.218025,0.8296077,0.7560436,0.9671382,0.8735442,0.093594
23,0.67469764,0.8029113,"('insincere', 'sincere')",-0.09591988,-0.05611526,-0.008348281,0.07680943,5.769083,5.744809,1.5848781,1.6421037,-0.0572256
67,0.64226764,0.70438725,"('doubtful', 'determined')",0.5762735,0.6771757,0.8458527,0.96195894,-0.83198553,-0.67796046,0.3081021,0.4163904,-0.1082883
7,0.6229105,0.49785218,"('insensitive', 'sensitive')",-0.043401673,-0.14622933,-0.3495801,-0.37994507,0.86619306,0.74328727,0.2740304,0.1787413,0.0952891
3,-0.61527383,-0.4494095,"('repellent', 'pleasant')",-0.85025245,-0.7275168,-0.39733052,-0.27000943,0.39461032,0.3015428,-0.3670616,-0.2863482,-0.0807134
13,0.609074,0.6397654,"('impolite', 'polite')",-0.4296416,-0.43243447,0.5042572,0.5380686,-0.5205548,-0.36551356,0.0407837,0.0949715,-0.0541878
77,0.59842706,0.628174,"('unmotivated', 'motivated')",-0.22286004,-0.09208071,0.51913035,0.9026024,-1.454221,-1.2864676,-0.1398809,0.038057,-0.1779379
54,-0.5883676,-0.76855665,"('incapable', 'capable')",0.3069428,0.15650877,-0.36722714,-0.5055572,1.5303602,1.364865,0.2204271,0.061815,0.1586121
12,0.5695278,0.5353446,"('unsupportive', 'supportive')",0.20084155,0.17025763,0.12943356,0.15235913,-1.7957717,-1.7639931,-0.2239922,-0.2265079,0.0025157
43,0.5694017,0.54806834,"('irresponsible', 'responsible')",-0.7459982,-0.77699494,-0.61336076,-0.67580515,0.07735653,-0.030625783,-0.1781502,-0.2338394,0.0556892
74,0.5587786,0.5046302,"('undedicated', 'dedicated')",0.69533414,0.62011826,0.09110572,0.104625374,0.018110009,-0.036817756,0.3408321,0.298139,0.0426931
0,0.5420781,0.3555725,"('unsociable', 'sociable')",-0.7235963,-0.9114705,0.435618,0.27532938,-0.53865206,-0.4905439,-0.0711381,-0.1927781,0.12164
