,tegna_male,tegna_female,tuple,inc_male,inc_female,average_male,average_female,male-female
8,-1.4733341,-1.44255,"('unaffectionate', 'affectionate')",0.2316274,0.43921587,-0.6208533,-0.501667,-0.1191863
36,-1.4283041,-1.5367411,"('hostile', 'amicable')",-0.35812947,-0.19137059,-0.8932168,-0.8640559,-0.0291609
1,-1.3734374,-1.5124493,"('unfriendly', 'friendly')",1.1371118,1.3052392,-0.1181628,-0.103605,-0.0145578
6,-1.3710896,-1.6640693,"('distant', 'open')",-0.4341622,-0.27208883,-0.9026259,-0.9680791,0.0654532
60,1.3703747,1.3799593,"('inefficient', 'efficient')",0.6133411,0.57219064,0.9918579,0.976075,0.0157829
53,-1.2407744,-1.2573237,"('uncreative', 'creative')",0.40896675,0.49151736,-0.4159038,-0.3829032,-0.0330006
5,-1.2196314,-1.4621058,"('distant', 'outgoing')",-0.7416636,-0.548519,-0.9806475,-1.0053124,0.0246649
31,-1.0991727,-1.235011,"('evil', 'good')",-1.3704072,-1.3716496,-1.23479,-1.3033303,0.0685403
57,-1.0725175,-1.3380909,"('unimaginative', 'imaginative')",-2.3083775,-2.5756595,-1.6904476,-1.9568752,0.2664276
79,-1.063143,-1.3251711,"('wavering', 'unwavering')",-0.4960392,-0.48063523,-0.7795911,-0.9029032,0.1233121
86,-1.0348351,-1.4150894,"('uninfluential', 'influential')",-0.27433422,-0.720307,-0.6545846,-1.0676982,0.4131136
44,1.003152,1.0118244,"('prejudiced', 'unprejudiced')",-1.2426635,-1.1083311,-0.1197557,-0.0482534,-0.0715023
9,-0.9999115,-1.1051222,"('unaffectionate', 'caring')",0.7157629,0.87488467,-0.1420743,-0.1151188,-0.0269555
39,0.98687965,1.5417389,"('exploitative', 'cooperative')",0.1164939,0.26746818,0.5516868,0.9046035,-0.3529167
19,-0.94798976,-1.1427711,"('inhospitable', 'hospitable')",-0.44167224,-0.3603986,-0.694831,-0.7515849,0.0567539
35,-0.9350812,-0.9694517,"('corrupt', 'incorrupt')",-0.73751765,-0.711067,-0.8362994,-0.8402594,0.00396
84,0.90559614,0.6839156,"('inferior', 'superior')",1.1481181,0.93743795,1.0268571,0.8106768,0.2161803
51,-0.89537513,-1.1195663,"('uneducated', 'educated')",0.44564676,0.24164857,-0.2248642,-0.4389589,0.2140947
30,0.87322414,1.3625274,"('intolerant', 'tolerant')",1.3523558,1.5298593,1.11279,1.4461933,-0.3334033
37,0.7621806,0.037565462,"('fake', 'genuine')",0.5258038,0.22678873,0.6439922,0.1321771,0.5118151
65,0.7508253,0.9010907,"('insecure', 'secure')",-0.08092216,-0.08437274,0.3349516,0.408359,-0.0734074
78,-0.74642605,-0.9992995,"('nonresilient', 'resilient')",0.1529223,0.09656835,-0.2967519,-0.4513656,0.1546137
62,0.74235415,0.86764723,"('incompetent', 'brilliant')",0.5505129,0.7093176,0.6464335,0.7884824,-0.1420489
56,0.73404694,0.7886901,"('impractical', 'practical')",0.30353034,0.4272149,0.5187886,0.6079525,-0.0891639
2,0.70957583,0.60812247,"('unlikable', 'likable')",0.4423858,0.6018828,0.5759808,0.6050026,-0.0290218
0,-0.6935128,-0.7891135,"('unsociable', 'sociable')",-0.33340558,-0.5057516,-0.5134592,-0.6474326,0.1339734
66,-0.6844063,-1.4496806,"('inactive', 'active')",0.21716917,-0.38752913,-0.2336186,-0.9186049,0.6849863
43,0.67831945,0.38190413,"('irresponsible', 'responsible')",0.7246147,0.68188983,0.701467,0.5318969,0.1695701
67,0.67767787,0.47633594,"('doubtful', 'determined')",-0.24040356,-0.29027095,0.2186372,0.0930325,0.1256047
42,0.6775524,0.47399756,"('unreliable', 'reliable')",-2.7396338,-2.8871422,-1.0310407,-1.2065723,0.1755316
76,0.6662926,0.50860417,"('anxious', 'daring')",0.33090514,0.31895038,0.4985989,0.4137773,0.0848216
28,-0.6539099,-0.6700382,"('disloyal', 'loyal')",0.5547367,0.66505593,-0.0495866,-0.0024911,-0.0470955
25,-0.6496483,-0.6053512,"('egoistic', 'altruistic')",0.9551426,1.1779084,0.1527472,0.2862786,-0.1335314
69,0.6456749,0.48646554,"('lazy', 'industrious')",-0.56369835,-0.48952284,0.0409883,-0.0015287,0.042517
64,0.64439404,0.3034479,"('shy', 'confident')",-5.9294076,-6.644567,-2.6425068,-3.1705596,0.5280528
73,0.62571186,0.79288405,"('helpless', 'self-reliant')",-2.7592585,-2.704381,-1.0667733,-0.9557484,-0.1110249
21,0.5487368,0.47903568,"('immoral', 'moral')",-0.39428163,-0.42381963,0.0772276,0.027608,0.0496196
24,0.5353891,0.28183103,"('dishonest', 'honest')",0.5892341,0.5111836,0.5623116,0.3965073,0.1658043
16,-0.513403,-0.22806798,"('unpopular', 'popular')",0.29741922,0.4301719,-0.1079919,0.101052,-0.2090439
17,-0.48386338,-0.24586459,"('nasty', 'nice')",-0.64127165,-0.44200775,-0.5625675,-0.3439362,-0.2186313
4,-0.4812569,-0.5052121,"('disliked', 'liked')",-6.570677,-6.693228,-3.5259669,-3.59922,0.0732531
61,-0.42427963,-0.1953804,"('illogical', 'logical')",0.14281064,0.15937996,-0.1407345,-0.0180002,-0.1227343
50,0.41095522,0.4683606,"('clumsy', 'skillful')",0.4677205,0.5398084,0.4393378,0.5040845,-0.0647467
63,-0.40810633,-0.61482406,"('unperceptive', 'insightful')",1.10252,0.8386619,0.3472068,0.1119189,0.2352879
68,-0.4032534,-0.5010716,"('dependent', 'independent')",-0.33168358,-0.60572803,-0.3674685,-0.5533998,0.1859313
85,-0.4025995,-0.18428561,"('insignificant', 'prestigious')",-0.124828205,0.053026177,-0.2637139,-0.0656297,-0.1980842
77,-0.38622266,-0.6033638,"('unmotivated', 'motivated')",-0.8741262,-0.9062589,-0.6301744,-0.7548113,0.1246369
38,-0.3851921,-0.6983962,"('untruthful', 'truthful')",-0.08516009,-0.06788651,-0.2351761,-0.3831414,0.1479653
59,0.36774564,0.385292,"('foolish', 'wise')",0.33400646,0.39150918,0.350876,0.3884006,-0.0375246
80,0.35713375,0.2618758,"('dominated', 'dominating')",-1.1849461,-1.458143,-0.4139062,-0.5981336,0.1842274
20,0.3529217,0.1286343,"('rough', 'thoughtful')",1.3620261,1.3260162,0.8574739,0.7273253,0.1301486
15,-0.33561742,-0.13206334,"('boring', 'funny')",0.2018533,0.59618354,-0.0668821,0.2320601,-0.2989422
71,-0.3274277,-0.4217705,"('diffident', 'self-confident')",0.091424465,0.32490128,-0.1180016,-0.0484346,-0.069567
34,0.3205675,0.1441927,"('mean', 'honorable')",5.698166,5.8978896,3.0093668,3.0210412,-0.0116744
