,rohm_male,rohm_female,tuple,&_male,&_female,haas_male,haas_female,co_male,co_female,average_male,average_female,male-female
85,3.8097463,3.4443657,"('insignificant', 'prestigious')",2.9807363,2.8205912,3.7109447,3.291971,-0.50394,-0.66036034,2.4993718,2.2241418,0.27523
10,-3.7106938,-3.6794374,"('unsympathetic', 'sympathetic')",-2.2081072,-2.326285,-2.8495219,-3.2603621,0.037463594,0.042818584,-2.1827149,-2.3058164,0.1231015
69,3.5027761,3.1492436,"('lazy', 'industrious')",3.7087202,3.6178305,3.0358338,2.8723853,-0.883855,-1.2680154,2.3408687,2.0928612,0.2480075
60,-3.3260098,-2.9782343,"('inefficient', 'efficient')",-2.18984,-2.04086,-0.95197606,-0.8071805,0.00877768,0.29508552,-1.6147621,-1.3827974,-0.2319647
13,-3.232375,-2.9322398,"('impolite', 'polite')",-2.431565,-2.2019691,-1.8636987,-1.6904693,-0.085954666,-0.03374031,-1.9033983,-1.7146046,-0.1887937
35,3.2262816,3.0386422,"('corrupt', 'incorrupt')",1.9264848,1.8919495,1.9362837,2.0162196,-0.70273215,-1.0149535,1.5965794,1.4829644,0.113615
55,-3.1174874,-2.9632666,"('incompetent', 'clever')",-1.5044106,-1.5403816,-1.8702922,-1.8969878,0.23015659,0.34873086,-1.5655085,-1.5129763,-0.0525322
65,-3.105442,-2.8678763,"('insecure', 'secure')",-1.3784372,-1.1581684,-2.6388755,-2.598486,0.070104465,0.21820492,-1.7631625,-1.6015815,-0.161581
70,-2.9507658,-2.7265112,"('lethargic', 'energetic')",-1.2973516,-1.123545,-1.6317308,-1.5801201,0.15794872,0.24482647,-1.430475,-1.2963375,-0.1341375
81,-2.8734615,-2.704968,"('submissive', 'aggressive')",-1.5973873,-1.4583166,-2.0002198,-1.8648785,-0.8640432,-0.7981676,-1.833778,-1.7065827,-0.1271953
14,-2.6965003,-2.517241,"('antisocial', 'social')",-1.615375,-1.5354491,-1.6425123,-1.6319746,-0.82895786,-0.93775165,-1.6958364,-1.6556041,-0.0402323
