,fiserv_male,fiserv_female,tuple,inc_male,inc_female,average_male,average_female,male-female
6,-1.64432,-1.7579501,"('distant', 'open')",0.46574968,0.17120247,-0.5892851,-0.7933738,0.2040887
53,-1.5493071,-1.3986852,"('uncreative', 'creative')",1.0874989,0.7576517,-0.2309041,-0.3205168,0.0896127
19,-1.5165228,-1.5583804,"('inhospitable', 'hospitable')",0.06675375,-0.30465236,-0.7248845,-0.9315163,0.2066318
8,-1.4573916,-1.4916742,"('unaffectionate', 'affectionate')",1.0450782,0.7220561,-0.2061567,-0.384809,0.1786523
9,-1.4268613,-1.3405702,"('unaffectionate', 'caring')",1.132891,0.9118179,-0.1469851,-0.2143762,0.0673911
79,-1.3527703,-1.4391842,"('wavering', 'unwavering')",-0.15425168,-0.30335358,-0.753511,-0.8712689,0.1177579
1,-1.2690563,-1.2311218,"('unfriendly', 'friendly')",1.8978748,1.4706652,0.3144093,0.1197717,0.1946376
31,-1.2647078,-1.3296275,"('evil', 'good')",-0.72104096,-1.0469484,-0.9928744,-1.188288,0.1954136
36,-1.2549978,-1.4010552,"('hostile', 'amicable')",0.611103,0.22597787,-0.3219474,-0.5875387,0.2655913
67,1.2460816,1.2844409,"('doubtful', 'determined')",-0.5549587,-0.30182263,0.3455614,0.4913091,-0.1457477
5,-1.2082787,-1.271838,"('distant', 'outgoing')",-0.18200794,-0.29355633,-0.6951433,-0.7826971,0.0875538
30,1.159576,1.3608207,"('intolerant', 'tolerant')",0.994309,1.2402865,1.0769426,1.3005536,-0.223611
86,-1.0865853,-1.075748,"('uninfluential', 'influential')",0.07130751,-0.26050726,-0.5076389,-0.6681276,0.1604887
10,-1.030649,-0.7816836,"('unsympathetic', 'sympathetic')",-0.6582114,-0.6001493,-0.8444302,-0.6909164,-0.1535138
60,0.9609141,1.2754889,"('inefficient', 'efficient')",-0.26074168,0.18929103,0.3500862,0.7323899,-0.3823037
57,-0.95835555,-0.8206556,"('unimaginative', 'imaginative')",-2.365411,-2.463266,-1.6618834,-1.6419607,-0.0199227
38,-0.9510936,-0.8190687,"('untruthful', 'truthful')",-0.4029892,-0.3088643,-0.6770414,-0.5639665,-0.1130749
66,-0.920675,-1.1157259,"('inactive', 'active')",0.92433673,0.50627846,0.0018309,-0.3047237,0.3065546
82,-0.91901654,-0.66836077,"('poor', 'rich')",6.049572,6.264615,2.5652778,2.7981272,-0.2328494
39,0.83182704,0.8610232,"('exploitative', 'cooperative')",-0.05656683,0.17534018,0.3876301,0.5181817,-0.1305516
12,-0.8106841,-0.7828743,"('unsupportive', 'supportive')",-1.6354223,-1.9319743,-1.2230532,-1.3574243,0.1343711
23,-0.7324058,-0.603625,"('insincere', 'sincere')",4.987405,5.0797043,2.1274996,2.2380397,-0.1105401
84,0.7202961,0.81854326,"('inferior', 'superior')",0.81062156,1.0070013,0.7654588,0.9127723,-0.1473135
73,0.705615,0.7011709,"('helpless', 'self-reliant')",-2.7269573,-2.673165,-1.0106711,-0.9859971,-0.024674
63,-0.6833404,-0.6940855,"('unperceptive', 'insightful')",1.0194833,0.793256,0.1680715,0.0495853,0.1184862
11,-0.67831,-0.43657443,"('unhelpful', 'helpful')",1.2049934,1.3007925,0.2633417,0.432109,-0.1687673
80,0.65770304,0.6184476,"('dominated', 'dominating')",-1.3266528,-1.362329,-0.3344749,-0.3719407,0.0374658
51,-0.65177345,-0.6164976,"('uneducated', 'educated')",0.3665248,0.14456147,-0.1426243,-0.2359681,0.0933438
24,-0.6257297,-0.38612872,"('dishonest', 'honest')",0.4320617,0.4983668,-0.096834,0.056119,-0.152953
2,0.6235484,0.7797693,"('unlikable', 'likable')",0.6673835,0.82659745,0.645466,0.8031834,-0.1577174
81,0.62145865,0.76527995,"('submissive', 'aggressive')",-1.0065275,-0.77727985,-0.1925344,-0.006,-0.1865344
62,0.619571,0.8575936,"('incompetent', 'brilliant')",-0.039064717,0.38511047,0.2902531,0.621352,-0.3310989
85,-0.59235066,-0.8634081,"('insignificant', 'prestigious')",1.0382854,0.5693306,0.2229674,-0.1470388,0.3700062
0,-0.57845104,-0.5109072,"('unsociable', 'sociable')",-0.25035262,-0.25839573,-0.4144018,-0.3846515,-0.0297503
16,-0.55524206,-0.60630596,"('unpopular', 'popular')",0.7414394,0.645933,0.0930987,0.0198135,0.0732852
27,-0.5179926,-0.69104224,"('hardhearted', 'softhearted')",1.6344814,1.1432358,0.5582444,0.2260968,0.3321476
69,0.5046224,0.33754423,"('lazy', 'industrious')",-0.20333004,-0.33009437,0.1506462,0.0037249,0.1469213
28,-0.50376934,-0.23488252,"('disloyal', 'loyal')",0.9290568,0.7833593,0.2126437,0.2742384,-0.0615947
54,-0.5000369,-0.5178216,"('incapable', 'capable')",1.1483227,1.202777,0.3241429,0.3424777,-0.0183348
88,-0.49641132,-0.30948082,"('low', 'eminent')",0.06265268,0.13692047,-0.2168793,-0.0862802,-0.1305991
29,-0.49320802,-0.48546594,"('unfair', 'fair')",-0.3409107,-0.5109297,-0.4170594,-0.4981978,0.0811384
58,-0.4907558,-0.6512674,"('undiscriminating', 'discriminating')",0.30617508,-0.0933657,-0.0922904,-0.3723165,0.2800261
33,0.46808344,0.35186228,"('wrong', 'right')",-0.40528038,-0.52109534,0.0314015,-0.0846165,0.116018
17,-0.46591312,-0.4582041,"('nasty', 'nice')",-0.7799723,-0.7861243,-0.6229427,-0.6221642,-0.0007785
78,-0.41470847,-0.5089963,"('nonresilient', 'resilient')",0.31197953,0.08331131,-0.0513645,-0.2128425,0.161478
20,0.41124845,0.44312024,"('rough', 'thoughtful')",1.308817,1.3532716,0.8600327,0.8981959,-0.0381632
34,-0.40624872,-0.30786175,"('mean', 'honorable')",5.655964,5.622045,2.6248577,2.6570916,-0.0322339
72,-0.40386623,-0.25430238,"('unambitious', 'ambitious')",-0.9652358,-0.7360526,-0.684551,-0.4951775,-0.1893735
32,-0.39232334,-0.08750061,"('unkind', 'kind')",0.8156597,0.8547437,0.2116682,0.3836215,-0.1719533
64,0.38980776,0.44524673,"('shy', 'confident')",-6.340827,-5.9952593,-2.9755096,-2.7750063,-0.2005033
43,-0.37934303,-0.35525832,"('irresponsible', 'responsible')",0.53530055,0.5999652,0.0779788,0.1223534,-0.0443746
77,0.37364075,0.41234842,"('unmotivated', 'motivated')",-1.2055519,-1.0515642,-0.4159555,-0.3196079,-0.0963476
68,-0.37342513,-0.32106328,"('dependent', 'independent')",-0.47281906,-0.48339546,-0.4231221,-0.4022294,-0.0208927
44,0.35989144,0.36124203,"('prejudiced', 'unprejudiced')",-1.351703,-1.0832344,-0.4959058,-0.3609962,-0.1349096
52,-0.35972673,-0.47545153,"('irrational', 'rational')",0.37955326,0.27185428,0.0099133,-0.1017986,0.1117119
21,0.35550925,0.6710815,"('immoral', 'moral')",-0.74762267,-0.45143157,-0.1960567,0.109825,-0.3058817
18,-0.3457843,-0.3080534,"('disagreeable', 'welcoming')",-0.1792982,-0.3987028,-0.2625413,-0.3533781,0.0908368
4,-0.32473361,-0.3642357,"('disliked', 'liked')",-5.885239,-6.218239,-3.1049864,-3.2912374,0.186251
56,0.31525767,0.57407224,"('impractical', 'practical')",-0.35093075,-0.03686863,-0.0178365,0.2686018,-0.2864383
49,-0.31267565,-0.07111321,"('unable', 'able')",-0.11352098,0.0708894,-0.2130983,-0.0001119,-0.2129864
55,0.31180054,0.56434107,"('incompetent', 'clever')",0.112673506,0.31221187,0.212237,0.4382765,-0.2260395
61,-0.2934162,-0.13877112,"('illogical', 'logical')",0.36333832,0.3133268,0.0349611,0.0872778,-0.0523167
71,-0.26052693,-0.40147388,"('diffident', 'self-confident')",0.7450861,0.38521725,0.2422796,-0.0081283,0.2504079
45,-0.2515061,-0.14472708,"('incompetent', 'competent')",-0.022235632,-0.019369353,-0.1368709,-0.0820482,-0.0548227
41,-0.24737558,-0.16615647,"('unforgiving', 'forgiving')",0.2741696,-0.0185818,0.013397,-0.0923691,0.1057661
42,0.24150792,0.25128925,"('unreliable', 'reliable')",-2.6203146,-2.7614102,-1.1894033,-1.2550604,0.0656571
15,-0.2318236,-0.16123474,"('boring', 'funny')",0.2723666,0.21006103,0.0202715,0.0244131,-0.0041416
14,0.22044347,0.5965114,"('antisocial', 'social')",-0.7882469,-0.3319464,-0.2839017,0.1322825,-0.4161842
46,-0.19656943,0.012525411,"('uncompetitive', 'competitive')",-0.6749674,-0.5893448,-0.4357684,-0.2884097,-0.1473587
3,-0.17276706,-0.1290963,"('repellent', 'pleasant')",0.11669266,0.38075045,-0.0280372,0.1258271,-0.1538643
59,0.15927753,0.025147038,"('foolish', 'wise')",0.5325653,0.5242492,0.3459214,0.2746981,0.0712233
83,0.14307286,0.28777575,"('powerless', 'powerful')",-1.0077097,-0.8961241,-0.4323184,-0.3041742,-0.1281442
7,-0.12812668,-0.083763696,"('insensitive', 'sensitive')",0.69594014,0.34535265,0.2839067,0.1307945,0.1531122
87,0.12552598,0.16012809,"('unsuccessful', 'successful')",0.97745126,1.0810102,0.5514886,0.6205692,-0.0690806
65,0.117328085,0.35437813,"('insecure', 'secure')",-0.6298929,-0.27059206,-0.2562824,0.041893,-0.2981754
50,0.11025948,0.049088307,"('clumsy', 'skillful')",0.4139567,0.3817259,0.2621081,0.2154071,0.046701
35,-0.09590542,-0.22985113,"('corrupt', 'incorrupt')",-0.0069235023,-0.11377053,-0.0514145,-0.1718108,0.1203963
76,0.08307739,0.24351126,"('anxious', 'daring')",-0.033333506,0.26084542,0.0248719,0.2521783,-0.2273064
25,-0.06598824,0.07725722,"('egoistic', 'altruistic')",1.7107817,1.6300477,0.8223968,0.8536525,-0.0312557
26,0.057304613,-0.017353958,"('hardhearted', 'benevolent')",1.9058257,1.7972769,0.9815652,0.8899614,0.0916038
75,-0.051734477,0.05458825,"('meek', 'impulsive')",-0.36163634,-0.25275743,-0.2066854,-0.0990846,-0.1076008
74,-0.04758362,-0.036613517,"('undedicated', 'dedicated')",0.43609345,0.12479683,0.1942549,0.0440917,0.1501632
40,0.04429064,-0.021224711,"('stingy', 'generous')",-1.0263553,-1.6592284,-0.4910323,-0.8402266,0.3491943
13,-0.041715067,0.24392805,"('impolite', 'polite')",-0.7362036,-0.49961495,-0.3889593,-0.1278435,-0.2611158
70,-0.039668955,-0.019321255,"('lethargic', 'energetic')",0.6405612,0.6398998,0.3004461,0.3102893,-0.0098432
