,wachovia_male,wachovia_female,tuple,corp_male,corp_female,average_male,average_female,male-female
10,-2.2270217,-1.8237443,"('unsympathetic', 'sympathetic')",-0.42713395,-0.587743,-1.3270779,-1.2057437,-0.1213342
86,-1.9273677,-1.6661348,"('uninfluential', 'influential')",-0.7054916,-0.83364624,-1.3164296,-1.2498906,-0.066539
11,-1.7936229,-1.6836516,"('unhelpful', 'helpful')",1.6753726,1.4654709,-0.0591251,-0.1090903,0.0499652
28,-1.7819481,-1.6192245,"('disloyal', 'loyal')",0.83973366,0.6764586,-0.4711072,-0.471383,0.0002758
0,-1.7687883,-1.4614122,"('unsociable', 'sociable')",-0.22473225,-0.32246324,-0.9967603,-0.8919377,-0.1048226
77,-1.7531232,-1.6759368,"('unmotivated', 'motivated')",-1.258157,-1.3541255,-1.50564,-1.5150311,0.0093911
81,-1.6167349,-1.2844498,"('submissive', 'aggressive')",-0.7011739,-0.5286009,-1.1589544,-0.9065254,-0.252429
23,-1.6138405,-1.5137782,"('insincere', 'sincere')",5.585434,5.3338532,1.9857967,1.9100375,0.0757592
46,-1.5870329,-1.5089465,"('uncompetitive', 'competitive')",-0.7171779,-1.0329516,-1.1521055,-1.2709491,0.1188436
14,-1.5850786,-1.0722691,"('antisocial', 'social')",-0.08769348,0.120074496,-0.836386,-0.4760973,-0.3602887
55,-1.5299413,-1.2220341,"('incompetent', 'clever')",0.6555384,0.58112216,-0.4372015,-0.320456,-0.1167455
45,-1.5220675,-1.3351412,"('incompetent', 'competent')",-0.23139288,-0.44966975,-0.8767302,-0.8924055,0.0156753
69,1.4854326,1.2968098,"('lazy', 'industrious')",-1.0164517,-0.8169694,0.2344905,0.2399202,-0.0054297
62,-1.4603492,-1.2955697,"('incompetent', 'brilliant')",0.41308668,0.34299773,-0.5236313,-0.476286,-0.0473453
57,-1.3794283,-1.0968289,"('unimaginative', 'imaginative')",-3.0389514,-3.1023567,-2.2091899,-2.0995927,-0.1095972
21,-1.366262,-1.018928,"('immoral', 'moral')",-0.19694541,-0.33729637,-0.7816037,-0.6781122,-0.1034915
60,-1.3268653,-1.1513679,"('inefficient', 'efficient')",0.33130288,0.11629457,-0.4977812,-0.5175366,0.0197554
32,-1.2922639,-1.1812317,"('unkind', 'kind')",0.72707343,0.6218851,-0.2825952,-0.2796733,-0.0029219
63,-1.2679881,-1.3542669,"('unperceptive', 'insightful')",0.60567504,0.06723099,-0.3311565,-0.643518,0.3123615
7,-1.2481403,-1.1984847,"('insensitive', 'sensitive')",0.5628107,0.086351484,-0.3426648,-0.5560666,0.2134018
44,1.2041665,0.93935925,"('prejudiced', 'unprejudiced')",-1.1206565,-1.1267003,0.041755,-0.0936705,0.1354255
73,1.2013475,1.1289296,"('helpless', 'self-reliant')",-2.76298,-2.8429224,-0.7808163,-0.8569964,0.0761801
