,bmc_male,bmc_female,tuple,software_male,software_female,inc_male,inc_female,average_male,average_female,male-female
39,1.4917479,1.7130293,"('exploitative', 'cooperative')",0.9201979,1.0317955,0.3615351,0.4864998,0.9244936,1.0771082,-0.1526146
78,-1.4800217,-1.3054441,"('nonresilient', 'resilient')",0.8544307,1.0787846,-0.042663522,0.084091455,-0.2227515,-0.0475227,-0.1752288
1,-1.4333458,-1.4995329,"('unfriendly', 'friendly')",1.0191945,0.9371008,1.9678254,1.9026408,0.5178914,0.4467363,0.0711551
73,1.3772768,1.3630098,"('helpless', 'self-reliant')",-0.039383374,-0.08557199,-3.0229514,-2.9628916,-0.561686,-0.5618179,0.0001319
87,1.3401357,1.3555357,"('unsuccessful', 'successful')",0.9154844,0.6766656,0.85654175,0.79752874,1.0373872,0.9432433,0.0941439
6,-1.2612185,-1.0807371,"('distant', 'open')",-0.33902264,-0.20556447,0.45025223,0.5244013,-0.3833296,-0.2539668,-0.1293628
53,-1.242118,-1.3957123,"('uncreative', 'creative')",0.8753171,0.9160265,0.8326196,0.813415,0.1552729,0.1112431,0.0440298
62,1.1969359,0.7890105,"('incompetent', 'brilliant')",0.60961354,0.37762213,0.008377926,-0.033508983,0.6049758,0.3777079,0.2272679
10,-1.174799,-1.1985863,"('unsympathetic', 'sympathetic')",-1.4867713,-1.4117179,-0.793784,-0.8443196,-1.1517847,-1.1515413,-0.0002434
0,-0.9897994,-0.8501725,"('unsociable', 'sociable')",-0.40934527,-0.30623412,-0.7517746,-0.76221734,-0.7169731,-0.6395413,-0.0774318
5,-0.94947726,-0.704828,"('distant', 'outgoing')",-0.015102603,0.13804474,-0.016296428,0.073154226,-0.3269588,-0.164543,-0.1624158
86,-0.93962425,-0.928291,"('uninfluential', 'influential')",-0.32756725,-0.3363127,-0.19609863,-0.39420086,-0.4877634,-0.5529349,0.0651715
8,-0.82310605,-0.9160762,"('unaffectionate', 'affectionate')",0.14205518,0.28684193,1.0856187,1.1504663,0.1348559,0.173744,-0.0388881
