,aetna_male,aetna_female,tuple,inc_male,inc_female,average_male,average_female,male-female
53,-1.7522427,-1.5542251,"('uncreative', 'creative')",0.51273197,0.5753382,-0.6197554,-0.4894435,-0.1303119
86,-1.6046866,-1.7737129,"('uninfluential', 'influential')",-0.21450901,-0.32385284,-0.9095978,-1.0487828,0.139185
10,-1.5261052,-1.6128957,"('unsympathetic', 'sympathetic')",-0.26017752,-0.22124612,-0.8931413,-0.9170709,0.0239296
1,-1.5223608,-1.4813148,"('unfriendly', 'friendly')",1.3652053,1.4322381,-0.0785778,-0.0245383,-0.0540395
19,-1.4466691,-1.1512858,"('inhospitable', 'hospitable')",-0.3714915,-0.079612315,-0.9090803,-0.6154491,-0.2936312
57,-1.3540975,-1.5042351,"('unimaginative', 'imaginative')",-2.2751904,-2.3514242,-1.8146439,-1.9278297,0.1131858
5,-1.2820417,-0.9985484,"('distant', 'outgoing')",-0.6826921,-0.5966618,-0.9823669,-0.7976051,-0.1847618
9,-1.1853327,-1.1089922,"('unaffectionate', 'caring')",0.762556,0.8604388,-0.2113883,-0.1242767,-0.0871116
6,-1.1390262,-0.7613877,"('distant', 'open')",-0.19170898,-0.121379256,-0.6653676,-0.4413835,-0.2239841
36,-1.1015326,-0.873312,"('hostile', 'amicable')",-0.057090804,-0.019543607,-0.5793117,-0.4464278,-0.1328839
23,-1.092075,-1.226946,"('insincere', 'sincere')",5.326479,5.3292465,2.117202,2.0511503,0.0660517
0,-1.0674534,-1.3266852,"('unsociable', 'sociable')",-0.42848292,-0.5147632,-0.7479681,-0.9207242,0.1727561
69,1.0423336,1.4209048,"('lazy', 'industrious')",-0.564621,-0.4863246,0.2388563,0.4672901,-0.2284338
8,-1.0377648,-1.0894372,"('unaffectionate', 'affectionate')",0.5120873,0.6164512,-0.2628388,-0.236493,-0.0263458
45,-0.973021,-1.2408165,"('incompetent', 'competent')",0.01966381,-0.1533992,-0.4766786,-0.6971079,0.2204293
18,-0.9671693,-1.0792658,"('disagreeable', 'welcoming')",-0.5455607,-0.444177,-0.756365,-0.7617214,0.0053564
58,-0.9470127,-1.1082952,"('undiscriminating', 'discriminating')",0.20117688,-0.033850215,-0.3729179,-0.5710727,0.1981548
29,-0.9442374,-0.97415316,"('unfair', 'fair')",-0.52404827,-0.6409429,-0.7341428,-0.807548,0.0734052
38,-0.9170507,-0.9256427,"('untruthful', 'truthful')",-0.26620898,-0.17549574,-0.5916299,-0.5505692,-0.0410607
66,-0.89524424,-0.58858895,"('inactive', 'active')",0.4792857,0.5614965,-0.2079793,-0.0135462,-0.1944331
41,-0.85615224,-1.062839,"('unforgiving', 'forgiving')",0.09305743,-0.015559778,-0.3815474,-0.5391994,0.157652
54,-0.8215726,-0.6384139,"('incapable', 'capable')",0.9816154,1.1409495,0.0800214,0.2512678,-0.1712464
31,-0.7977293,-0.5360205,"('evil', 'good')",-1.0686655,-1.1100731,-0.9331974,-0.8230468,-0.1101506
79,-0.789889,-0.6083113,"('wavering', 'unwavering')",-0.21179228,-0.25552836,-0.5008406,-0.4319198,-0.0689208
3,-0.7884034,-0.9297673,"('repellent', 'pleasant')",0.25398687,0.24562564,-0.2672083,-0.3420708,0.0748625
77,-0.7798237,-0.7971063,"('unmotivated', 'motivated')",-1.1664433,-1.2658916,-0.9731336,-1.0314989,0.0583653
43,-0.73165226,-0.86558163,"('irresponsible', 'responsible')",0.50247306,0.6068617,-0.1145896,-0.12936,0.0147704
63,-0.73119164,-0.9348415,"('unperceptive', 'insightful')",1.0493222,0.8870335,0.1590653,-0.023904,0.1829693
51,-0.6652564,-0.8092908,"('uneducated', 'educated')",0.647456,0.6933063,-0.0089002,-0.0579922,0.049092
24,-0.6498786,-0.630519,"('dishonest', 'honest')",0.6149208,0.7354637,-0.0174789,0.0524724,-0.0699513
28,-0.63263965,-0.66904134,"('disloyal', 'loyal')",0.6834627,0.7717618,0.0254115,0.0513602,-0.0259487
22,-0.6111729,-0.83627737,"('untrustworthy', 'trustworthy')",-0.7450959,-0.832815,-0.6781344,-0.8345462,0.1564118
68,-0.5955231,-0.732472,"('dependent', 'independent')",-0.40688628,-0.5900515,-0.5012047,-0.6612617,0.160057
81,0.5425703,0.3859372,"('submissive', 'aggressive')",-0.47031456,-0.4298681,0.0361279,-0.0219654,0.0580933
7,-0.5327837,-0.46831024,"('insensitive', 'sensitive')",0.80092126,0.8284396,0.1340688,0.1800647,-0.0459959
84,0.5248391,0.45012018,"('inferior', 'superior')",1.0611773,1.0261257,0.7930082,0.7381229,0.0548853
11,-0.5216195,-0.7190525,"('unhelpful', 'helpful')",1.410675,1.5621204,0.4445278,0.421534,0.0229938
82,-0.50926536,-0.5834561,"('poor', 'rich')",5.8497963,5.7724037,2.6702654,2.5944738,0.0757916
64,0.48239118,0.43402177,"('shy', 'confident')",-6.1209636,-6.1823916,-2.8192861,-2.8741848,0.0548987
71,-0.47440878,-0.34910667,"('diffident', 'self-confident')",0.3364616,0.31032926,-0.0689736,-0.0193887,-0.0495849
14,-0.47303268,-0.6971962,"('antisocial', 'social')",-0.33010557,-0.3369755,-0.4015691,-0.5170859,0.1155168
70,-0.46971512,-0.6750461,"('lethargic', 'energetic')",0.8326271,0.76219726,0.181456,0.0435756,0.1378804
78,-0.46035597,-0.6770669,"('nonresilient', 'resilient')",0.44693333,0.2539935,-0.0067113,-0.2115367,0.2048254
74,-0.42220262,-0.477278,"('undedicated', 'dedicated')",0.17985278,0.31712407,-0.1211749,-0.080077,-0.0410979
46,-0.42012683,-0.7184562,"('uncompetitive', 'competitive')",-0.3618619,-0.59251237,-0.3909944,-0.6554843,0.2644899
25,-0.4190537,-0.23313226,"('egoistic', 'altruistic')",1.407115,1.4782563,0.4940307,0.6225621,-0.1285314
83,-0.3980295,-0.4056234,"('powerless', 'powerful')",-0.96534777,-0.9335586,-0.6816887,-0.669591,-0.0120977
52,-0.38650647,-0.3231933,"('irrational', 'rational')",0.02258171,-0.030462377,-0.1819624,-0.1768278,-0.0051346
49,-0.38005504,-0.5639325,"('unable', 'able')",-0.2125338,-0.37890452,-0.2962944,-0.4714185,0.1751241
13,-0.3717707,-0.51590866,"('impolite', 'polite')",-0.5792856,-0.61770624,-0.4755282,-0.5668074,0.0912792
33,0.36932507,0.49211413,"('wrong', 'right')",-0.7269392,-0.6744839,-0.1788071,-0.0911849,-0.0876222
50,0.36233512,0.38506916,"('clumsy', 'skillful')",0.2931111,0.32634196,0.3277231,0.3557056,-0.0279825
16,-0.3606832,-0.50147575,"('unpopular', 'popular')",0.43884045,0.21138287,0.0390786,-0.1450464,0.184125
30,-0.35697806,-0.50086445,"('intolerant', 'tolerant')",1.3841039,1.4181808,0.5135629,0.4586582,0.0549047
27,-0.3507832,-0.40663984,"('hardhearted', 'softhearted')",1.4637121,1.4578178,0.5564644,0.525589,0.0308754
73,0.34707436,0.42494643,"('helpless', 'self-reliant')",-2.7724211,-2.7290246,-1.2126734,-1.1520391,-0.0606343
2,0.34595522,0.3922824,"('unlikable', 'likable')",0.5100831,0.58078635,0.4280192,0.4865344,-0.0585152
67,0.34350684,0.38532782,"('doubtful', 'determined')",-0.7078505,-0.5108126,-0.1821718,-0.0627424,-0.1194294
21,-0.33573928,-0.5065258,"('immoral', 'moral')",-0.36840644,-0.47258338,-0.3520729,-0.4895546,0.1374817
17,-0.32018942,-0.32319188,"('nasty', 'nice')",-0.51776946,-0.3083027,-0.4189794,-0.3157473,-0.1032321
60,0.2905501,0.038723815,"('inefficient', 'efficient')",0.20388944,0.2616145,0.2472198,0.1501692,0.0970506
37,0.29053423,0.3447895,"('fake', 'genuine')",0.3667736,0.5026322,0.3286539,0.4237109,-0.095057
88,-0.28739706,-0.25757483,"('low', 'eminent')",0.27302873,0.40771583,-0.0071842,0.0750705,-0.0822547
42,-0.2685159,-0.2994952,"('unreliable', 'reliable')",-2.802018,-2.8427398,-1.5352669,-1.5711175,0.0358506
40,-0.26599902,-0.43380207,"('stingy', 'generous')",-1.0366877,-1.1268404,-0.6513433,-0.7803212,0.1289779
39,0.25111336,0.28170624,"('exploitative', 'cooperative')",0.19586281,0.41532347,0.2234881,0.3485149,-0.1250268
72,-0.2397372,-0.23452835,"('unambitious', 'ambitious')",-0.78894335,-0.7885137,-0.5143403,-0.511521,-0.0028193
34,-0.23343067,-0.25138268,"('mean', 'honorable')",5.83065,5.762791,2.7986095,2.7557042,0.0429053
61,-0.21416388,-0.13445474,"('illogical', 'logical')",0.22393443,0.16427861,0.0048853,0.0149119,-0.0100266
76,-0.20545176,-0.2551354,"('anxious', 'daring')",0.28322938,0.36178342,0.0388888,0.053324,-0.0144352
59,0.19448501,0.25571746,"('foolish', 'wise')",0.21966675,0.3251397,0.2070759,0.2904286,-0.0833527
32,-0.18822294,-0.16971843,"('unkind', 'kind')",0.6845204,0.7548009,0.2481487,0.2925412,-0.0443925
55,-0.18817328,-0.5615102,"('incompetent', 'clever')",0.5102629,0.43183133,0.1610448,-0.0648394,0.2258842
35,0.15965961,0.47254717,"('corrupt', 'incorrupt')",-0.22822346,-0.11537737,-0.0342819,0.1785849,-0.2128668
15,-0.15683387,-0.12375007,"('boring', 'funny')",0.42550415,0.34493968,0.1343351,0.1105948,0.0237403
75,0.1347284,0.20965028,"('meek', 'impulsive')",-0.30043554,-0.48949665,-0.0828536,-0.1399232,0.0570696
80,-0.11055592,-0.23404866,"('dominated', 'dominating')",-1.2020223,-1.2518687,-0.6562891,-0.7429587,0.0866696
44,0.109291345,-0.03134936,"('prejudiced', 'unprejudiced')",-1.3687624,-1.3545525,-0.6297355,-0.692951,0.0632155
65,0.10438727,-0.1651346,"('insecure', 'secure')",-0.21523067,-0.36849335,-0.0554217,-0.266814,0.2113923
20,0.10207985,0.036463317,"('rough', 'thoughtful')",1.3882942,1.3998563,0.745187,0.7181598,0.0270272
87,-0.09497799,-0.11535185,"('unsuccessful', 'successful')",0.8095351,0.696153,0.3572786,0.2904006,0.066878
4,-0.09389144,-0.1348658,"('disliked', 'liked')",-5.89404,-6.138005,-2.9939659,-3.1364353,0.1424694
56,-0.088024594,-0.2869444,"('impractical', 'practical')",-0.032708853,-0.08908387,-0.0603667,-0.1880141,0.1276474
26,-0.08248053,0.017669639,"('hardhearted', 'benevolent')",1.8682961,2.0791876,0.8929078,1.0484287,-0.1555209
47,-0.07743141,-0.14635105,"('stupid', 'smart')",4.9484577,5.1058855,2.4355133,2.4797673,-0.044254
12,-0.06807343,-0.20811418,"('unsupportive', 'supportive')",-1.6524414,-1.6248678,-0.8602574,-0.916491,0.0562336
85,-0.067182146,0.16000862,"('insignificant', 'prestigious')",0.64295924,0.69232106,0.2878886,0.4261648,-0.1382762
62,-0.027537774,-0.28810096,"('incompetent', 'brilliant')",0.5137735,0.413898,0.2431179,0.0628985,0.1802194
